Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309),S(3199),S(3198),C7H8O(842),S(1368),C6H7(1328),CH2O(20),S(1448),S(1498),C6H7(1473)
0.0,0.47245359611961785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.332203516413059e-20,0.47245359611961785,6.4598415873703786e-24,2.3822103336425341e-38,2.1981800961605675e-38,3.7250464292668484e-52,5.8312490718739589e-51,0.0,0.0,1.9524263701695287e-23,1.9665676899275591e-40,154.0,0.0,0.99999999999999911,1.0,19.0,8.3124606931350508e-17,2.4688576890424912e-17,3.3164797347177773e-16,3.316479994440731e-16,2.0982603975176853e-25,1.6314461980443558e-26,1.6313582022228154e-26,1.1810620948346102e-26,2.0491944338307091e-25,2.8613086675875793e-38,7.377481101338863e-30,9.6770189156774989e-31,2.0509835717794293e-41,2.0509835716957359e-41,7.3039452810961533e-52,1.7033848183761078e-41,1.0653986702557809e-52,5.2473145211213146e-31,2.965348827375547e-94,2.8539388309188148e-94,2.8539388309188196e-94,2.6833437808244942e-43,8.7236191400140907e-47,4.1422252619142603e-38,9.9782906466417259e-44,3.4220151373089707e-48,9.0313324705329323e-56,3.3105861842726399e-67,3.8510230746538868e-78,4.1474988197009022e-80,1.6754159074220227e-91,6.3340236677267231e-95,1.2162716095458499e-92,4.2724641783916824e-81,2.9802677021951233e-90,1.7441707078277341e-41,4.4496019891642396e-40,2.1888528888088948e-50,4.9546086923978676e-52,8.6593606282140527e-52,4.4916217150788723e-57,7.6959393743532051e-62,3.8388642167531281e-62,1.6780740723718571e-69,5.8865526809520903e-81,1.1195548945315821e-70,5.5073210222326619e-81,1.2466059415815692e-82,3.9869492376460811e-81,4.0755652894964035e-83,4.0755652894853599e-83,3.3764784958075311e-95,1.7523294205418675e-69,1.2972398399534315e-73,3.4394069814114161e-84,4.323502596960957e-94,8.4595834865892079e-95,8.7753416001071576e-106,1.0283576552935909e-106,2.3802120519881799e-119,1.9772970374842799e-75,8.205462973033411e-84,1.2210210062691761e-94,5.6639495092290093e-121,6.588561372360499e-132,3.4719922602847713e-132,2.7600419821525509e-86,5.49773405310189e-42,1.3522218535464316e-52,1.3522169147377482e-52,3.2428925968241532e-53,2.0436279613980797e-90,6.369895842966721e-99,4.5429627106380213e-95,3.1334843848617509e-109,2.2684419670690988e-109,7.0928040713934682e-111
3.7301698459565646e-20,0.47245359611961785,1.8087556444849333e-23,1.3792292448995658e-37,1.327700778093651e-37,5.6292901634539657e-51,6.9228589097167283e-50,0.0,0.0,5.4667941764555351e-23,1.1878069466753967e-39,154.0,0.0,0.99999999999999778,1.0,19.0,2.3274889940777933e-16,6.9128013917686931e-17,9.2861432566811266e-16,9.2861439835228445e-16,1.2673492590581825e-24,9.8539350352404745e-26,9.8528896533615403e-26,7.1336150120286262e-26,1.2377134174833092e-24,3.3967511139452535e-37,4.4559985848438157e-29,5.8449194246715204e-30,2.4349276962648204e-40,2.4349276960776017e-40,1.633863270935923e-50,2.022258425622632e-40,2.383254187103299e-51,3.1693779705245495e-30,3.1598092862882369e-92,3.0410932896612332e-92,3.0410932896612438e-92,3.1856657508097623e-42,1.0356680642062169e-45,4.9167579538741509e-37,1.184620684706863e-42,4.0626162758653168e-47,2.020272903121636e-54,1.3661226287398755e-65,2.8989539865446185e-76,3.1221335225907172e-78,2.2869344082372303e-89,8.6459109886346965e-93,1.6602031674744105e-90,3.2162043234671728e-79,2.2804138632736107e-88,2.0706794328430948e-40,2.6875596011143837e-39,2.5986061491704521e-49,5.8821113594509156e-51,1.0280388619390872e-50,5.7601398862146229e-56,1.7214226944677456e-60,8.586819425554923e-61,4.0413959721116713e-68,2.6107068889652607e-79,2.6962842198065219e-69,2.4425152130592601e-79,5.528697055127595e-81,1.7682265033161632e-79,1.8075281778477954e-81,1.8075281778387017e-81,2.7292298949910772e-93,7.2310367391210887e-68,5.3530964732861347e-72,2.589099704307846e-82,5.9015596849515679e-92,1.1547289658547205e-92,2.1648688861386445e-103,2.5369491906830432e-104,1.0593333658471115e-116,9.1963505806402562e-74,6.9514608414786374e-82,9.8695935332025062e-93,2.5207883022871643e-118,5.284718801797713e-129,2.7849027641931066e-129,1.2240901212310424e-84,6.5269098333604018e-41,3.0248591826047413e-51,3.0248388026259101e-51,7.2542209867751926e-52,9.0635650607292259e-89,5.1488289175341094e-97,3.505580074483862e-93,4.5904021551249088e-107,3.3231583063698431e-107,1.0390567201149196e-108
8.526102505043577e-20,0.47245359611961785,4.1342986160656323e-23,6.5100870755893969e-37,6.3923077198250084e-37,6.0557334776321205e-50,6.7969039347329856e-49,0.0,0.0,1.249553114895097e-22,5.7187797716053623e-39,154.0,0.0,0.999999999999995,1.0,19.0,5.3199748436062856e-16,1.5800688247020006e-16,2.1225470298493211e-15,2.1225471958042656e-15,6.1017409203439493e-24,4.744245542491838e-25,4.743218899899459e-25,3.4345285106204801e-25,5.9590571053231278e-24,3.3345383932378086e-36,2.1453715037220863e-28,2.8140771000824836e-29,2.3906264507957776e-39,2.3906264504258643e-39,3.2282381796482745e-49,1.9854652489633952e-39,4.7089085645559808e-50,1.5259190623930025e-29,7.1909866285242431e-90,6.9208167964279448e-90,6.9208167964279893e-90,3.1277055315460203e-41,1.0168250466616555e-44,4.8254139996296927e-36,1.1630634171205106e-41,3.9887005490888805e-46,3.9917186159857941e-53,5.4042450024973666e-64,2.2921156380009363e-74,2.468576977898579e-76,3.6127956929746072e-87,1.3658419761289303e-90,2.6227085112703359e-88,2.5429559279824343e-77,2.2550217718780004e-86,2.0330052794250386e-39,1.2939442579377541e-38,2.5513269258829399e-48,5.7750916433511524e-50,1.009333736114121e-49,6.5612615174204729e-55,3.4006871051819972e-59,1.6963660032443039e-59,9.2287959725495593e-67,1.1915660491232174e-77,6.1571439959172777e-68,1.1147997222172097e-77,2.5233361628563481e-79,8.0704572792521004e-78,8.2498374968068803e-80,8.2498374967302357e-80,2.4877960308992034e-91,2.8605262341535581e-66,2.1176316874169638e-70,2.047123242394932e-80,9.3230177136496565e-90,1.8241887168297454e-90,6.8338467021350255e-101,8.0083941614905035e-102,6.6835669167236037e-114,4.6455904527748591e-72,7.0097563127079823e-80,8.9965069133797056e-91,1.5904207159426821e-115,6.665461353127624e-126,3.5125164543020524e-126,5.5869389765876904e-83,6.4081587054009798e-40,5.9765816790515484e-50,5.9765010592240811e-50,1.4333118070744707e-50,4.1367509174940527e-87,4.6933518118990848e-95,3.8204483787198588e-91,8.3574206614980893e-105,6.0502442718430171e-105,1.891718538234705e-106
1.81179678232176e-19,0.47245359611961785,8.7853845595666625e-23,2.8167168381050529e-36,2.7916887223204464e-36,5.5662623750878454e-49,6.011784560017928e-48,0.0,0.0,2.6553010533635505e-22,2.4975419264379728e-38,154.0,0.0,0.99999999999998945,1.0,19.0,1.130494654266293e-15,3.3576459756718528e-16,4.5104124373658903e-15,4.5104127892507913e-15,2.664790378688753e-23,2.071936670047815e-24,2.0710286380625629e-24,1.4999487972429084e-24,2.6024766124332284e-23,2.9486288102191886e-35,9.3694009930460611e-28,1.2289814016746233e-28,2.1144820221740357e-38,2.1144820215157956e-38,5.7444762332297956e-48,1.7561214121478725e-38,8.3792508496749359e-49,6.6640894382173116e-29,1.215244949143372e-87,1.1695874419300235e-87,1.1695874419300391e-87,2.7664201259191626e-40,8.9937023823232364e-44,4.264669066866128e-35,1.0287089572272916e-40,3.5279601065473646e-45,7.1030493015671854e-52,1.9287364678155072e-62,1.6383082583644773e-72,1.7644354335265054e-74,5.1679859548162894e-85,1.9537922339242565e-88,3.7516829759832861e-86,1.8175983919110222e-75,1.7818782167522899e-84,1.7981700279422614e-38,5.6509945209565191e-38,2.2566197714899023e-47,5.108002855648481e-49,8.9274263203930703e-49,7.4149146245650293e-54,6.049361140860502e-58,3.0177177935575962e-58,2.0868456660342711e-65,5.3898971963105418e-76,1.3922736289036635e-66,5.0426444753952264e-76,1.1413584936216796e-77,3.6505725896685117e-76,3.7317142501993197e-78,3.7317142501266642e-78,2.2508361910363294e-89,1.0209014650651019e-64,7.5576767688287607e-69,1.4631980359057772e-78,1.333627233567979e-87,2.6094423718280997e-88,1.9557588634881807e-98,2.2918996046234252e-99,3.8261223225861975e-111,1.8312412419246075e-70,5.541633191169994e-78,8.139599509781631e-89,9.1046357124281098e-113,7.6321297706846424e-123,4.0219243624326713e-123,2.5271849340384502e-81,5.6679436749078041e-39,1.0634899325935123e-48,1.0634611609108855e-48,2.55050172252595e-49,1.8712092430985184e-85,4.246315158175113e-93,3.1254101930632358e-89,1.5123256012160148e-102,1.0948299106812565e-102,3.4231113452603724e-104
3.730169845956565e-19,0.47245359611961774,1.8087556447927246e-22,1.1706279367713581e-35,1.1654750871614086e-35,4.7620546486659686e-48,5.0532671610687955e-47,0.0,0.0,5.4667991061779239e-22,1.04267505338832e-37,154.0,0.0,0.99999999999997835,1.0,19.0,2.3274889940774864e-15,6.9127993972901343e-16,9.2861432490156476e-15,9.2861439703167205e-15,1.1124973692210791e-22,8.6499277288146305e-24,8.6422976501249823e-24,6.2619906580421903e-24,1.0864826021384851e-22,2.4772685770514644e-34,3.911540474842219e-27,5.1307554235444353e-28,1.7773495457749615e-37,1.7773495446647434e-37,9.6888950065980335e-47,1.4761256662183268e-37,1.4132830130959725e-47,2.7821261558531404e-28,1.7793862938556721e-85,1.7125336460805619e-85,1.7125336460806068e-85,2.3253428077609306e-39,7.5597487574639302e-43,3.5790802037115752e-34,8.6467930678077704e-40,2.9654624419584125e-44,1.1980328492075614e-50,6.5167633453479037e-61,1.1079884552477702e-70,1.1932883085471544e-72,6.9930346222100651e-83,2.643764299923576e-86,5.0765288142815599e-84,1.2292424361890959e-73,1.2635500824160039e-82,1.5114700567439926e-37,2.3591789699017535e-37,1.8968248867950822e-46,4.2935836722801497e-48,7.504012366043098e-48,8.9437425633319324e-53,1.019645662900241e-56,5.0868721728288252e-57,5.0202870072754399e-64,2.5898367300653822e-74,3.3493675738809545e-65,2.4229727510171905e-74,5.4838204568426058e-76,1.7540980271361732e-74,1.7930877135808601e-76,1.7930877135035625e-76,2.161653048111186e-87,3.4493950594276965e-63,2.5535679607552582e-67,9.8956145938413898e-77,1.8045912907897532e-85,3.5309544036806233e-86,5.2939128390513913e-96,6.2037918573137755e-97,2.071543486605016e-108,6.4718563550674707e-69,3.9228469921245716e-76,7.8170904487825722e-87,4.9294421919236941e-110,8.264807195485223e-120,4.3553281212819978e-120,1.2143118647054033e-79,4.7642479594076362e-38,1.7936946179290991e-47,1.7935974114123791e-47,4.3017937531745364e-48,8.9911552827328095e-84,4.0780666024374992e-91,2.2494964789587474e-87,2.9038685711520069e-100,2.1022274928573478e-100,6.5725759473006256e-102
7.566915973226175e-19,0.47245359611961785,3.6691900230082534e-22,4.7717989588065552e-35,4.761346016990305e-35,3.9373588673661017e-47,4.1429737251364839e-46,0.0,0.0,1.1089803915316518e-21,4.2596715958131834e-37,154.0,0.0,0.99999999999995615,1.0,19.0,4.7214776736993324e-15,1.4023102719242756e-15,1.8837604858781633e-14,1.8837606309161092e-14,4.5449134661108432e-22,3.5337777116221808e-23,3.5275270159284895e-23,2.5582272583404317e-23,4.4386346842435298e-22,2.0289976345562299e-33,1.597991912168931e-26,2.0960810005142923e-27,1.4571785389857148e-36,1.45717853716218e-36,1.5914026687851499e-45,1.2102166852297586e-36,2.3213212104105375e-46,1.136589311786412e-27,2.433160238711035e-83,2.3417448979417565e-83,2.3417448979418805e-83,1.9064565281815905e-38,6.1979387621530694e-42,2.9251536513668774e-33,7.0889574732697837e-39,2.4312642865193736e-43,1.9677717774610836e-49,2.1425683789621543e-59,7.2887153335643638e-69,7.8498460446856281e-71,9.2024368557375195e-81,3.479043853045482e-84,6.6803122372679585e-82,8.0863642151667471e-72,8.5059365259790246e-81,1.2391941443446042e-36,9.6380158523786469e-37,1.5551316391282326e-45,3.5201384686115374e-47,6.1521978204676664e-47,1.1778474990645248e-51,1.6725823627831127e-55,8.3455280811659885e-56,1.3175322594888717e-62,1.3569618779463014e-72,8.7901345395725687e-64,1.2695223378456269e-72,2.8728771748634178e-74,9.1907521347347926e-73,9.3950542516443593e-75,9.3950542507520157e-75,2.2632670895376258e-85,1.1340854499110646e-61,8.3955714035057238e-66,6.5096647405820111e-75,2.3747402895070005e-83,4.6465366631022765e-84,1.3934437230415435e-93,1.6329397605872266e-94,1.0905857858833644e-105,2.1739829881749504e-67,2.6374716947313076e-74,8.1845528190236206e-85,2.595156520657391e-107,8.7024175624067482e-117,4.5859368583049223e-117,6.3625034690608963e-78,3.9060179624156992e-37,2.9460285760184952e-46,2.9457090249697214e-46,7.0657085294845431e-47,4.7110014367481548e-82,4.2697663822213622e-89,1.524952942549224e-85,6.0780735973024742e-98,4.4001909125206894e-98,1.3755946974626885e-99
1.5240408227765395e-18,0.47245359611961774,7.3900587816129528e-22,1.9267175136986687e-34,1.9246121880749035e-34,3.2017948324025911e-46,3.3550875376219949e-45,0.0,0.0,2.2335848347632994e-21,1.7218304263443934e-36,154.0,0.0,0.99999999999991174,1.0,19.0,9.5094550329408583e-15,2.8243695278026172e-15,3.7940528024179508e-14,3.7940530893867259e-14,1.8371256501438859e-21,1.428409446601135e-22,1.4233557328658621e-22,1.0340761588972862e-22,1.7941660915757586e-21,1.6398776729727602e-32,6.4593387879330131e-26,8.4726945189460369e-27,1.1800609582210106e-35,1.180060955264986e-35,2.5797282664238972e-44,9.8006433088315837e-36,3.7629604747336443e-45,4.5942757117660159e-27,3.2180873240536064e-81,3.0971817853834614e-81,3.0971817853837873e-81,1.5438979292735636e-37,5.0192514858271648e-41,2.3541108265321911e-32,5.7404880876684392e-38,1.9688992519851034e-42,3.1898403362119544e-48,6.9493637909304549e-58,4.7291635554486519e-67,5.0932440273750833e-69,1.1942978888803027e-78,4.5151244396486137e-82,8.6694602117084833e-80,5.2467049691926856e-70,5.5821151145826122e-79,1.0035310161650122e-35,3.8958400893362883e-36,1.2593859137568545e-44,2.8506980479203575e-46,4.9821365942690881e-46,1.6739271476880631e-50,2.7042593477088354e-54,1.3497200896918689e-54,3.7339463306921403e-61,7.6801977874201992e-71,2.4911640906262069e-62,7.1851893963185074e-71,1.6255452176136144e-72,5.2018721562618648e-71,5.3175188748292046e-73,5.3175188737477481e-73,2.5601420535951776e-83,3.6783778074649498e-60,2.7230825756207915e-64,4.2236912100747081e-73,3.0819538441650418e-81,6.0303062582041036e-82,3.6170297066088001e-91,4.2387070566594126e-92,5.6619324408362985e-103,7.1257125624575257e-66,1.7296386788140908e-72,9.2581286401050515e-83,1.3473127089019033e-104,9.0360904765472645e-114,4.7617733922978317e-114,3.6011217378395204e-76,3.1631940357652902e-36,4.7752495526298105e-45,4.7742133734398419e-45,1.1453815973694953e-45,2.6663855454951476e-80,4.8298353919816944e-87,1.0043267263374418e-83,1.3745578651776517e-95,9.9511715202758339e-96,3.1104222384303574e-97
3.0587392736843833e-18,0.4724535961196179,1.4831796307516928e-21,7.7430064587032047e-34,7.7387809659003429e-34,2.5823635115896192e-45,2.7004663380319521e-44,0.0,0.0,4.4828076468422147e-21,6.9234290322136089e-36,154.0,0.0,0.99999999999982292,1.0,19.0,1.908540975141525e-14,5.6684824055217334e-15,7.6146374138438745e-14,7.6146379692680154e-14,7.386993077685459e-21,5.7435715234119163e-22,5.7030285456073677e-22,4.1579731345610354e-22,7.2142547776469069e-21,1.3147028714648773e-31,2.5972717030068216e-25,3.4068331860005666e-26,9.4981571804718747e-35,9.4981571328661495e-35,4.1545598387649538e-43,7.8884020361653372e-35,6.0601278454186552e-44,1.8473380481419842e-26,4.1868197894437066e-79,4.0295183706475881e-79,4.0295183706484378e-79,1.2426633766699449e-36,4.039930234808466e-40,1.871466311909589e-31,4.6199075037021857e-37,1.5847388294614941e-41,5.1371314328660801e-47,2.2388266427717524e-56,3.0474499146760752e-65,3.2820615955887314e-67,1.5392824305518832e-76,5.8193620465111085e-80,1.1172970749337946e-77,3.3809510788967302e-68,3.6175127051772444e-77,8.0772821352443027e-35,1.5665001519008353e-35,1.0136633360456764e-43,2.2944876213807394e-45,4.0099399293002497e-45,2.5064385429209882e-49,4.3325326450336473e-53,2.1636823731809847e-53,1.116081229022993e-59,4.5868194337237514e-69,7.4461205926930731e-61,4.2910511860786393e-69,9.7027074310966112e-71,3.1067523704927477e-69,3.1758373909636642e-71,3.1758373896178047e-71,3.0566079351971455e-81,1.1850376556965121e-58,8.7727675465747367e-63,2.7217284136770948e-71,3.9722096385963624e-79,7.7722252977004967e-80,9.323921546972216e-89,1.092650155307954e-89,2.9190951957248928e-100,2.3076005678754621e-64,1.1204710801805014e-70,1.1053476281399187e-80,6.9462751410430935e-102,9.3174499085554398e-111,4.9100421503486889e-111,2.1507356740809118e-74,2.5460128171306247e-35,7.6891372191193638e-44,7.6858008133530103e-44,1.8446010971006326e-44,1.5924730356458843e-78,5.7664419471149766e-85,6.5221590371813132e-82,3.2813701405366955e-93,2.3756236738383594e-93,7.4229263789227102e-95
6.128136175500071e-18,0.47245359611961785,2.9715271394103174e-21,3.1044439631983241e-33,3.1035972970226407e-33,2.0742947855567984e-44,2.1669541696344974e-43,0.0,0.0,8.9813089734617845e-21,2.7766244447177206e-35,154.0,0.0,0.99999999999964528,1.0,19.0,3.8237319188329389e-14,1.1356685624898978e-14,1.5255806550081141e-13,1.5255807581842421e-13,2.962507908569991e-20,2.3034290382174865e-21,2.2711089287768868e-21,1.6675318975636328e-21,2.893232281180728e-20,1.0466947250487665e-30,1.041622107223837e-24,1.3662924692489317e-25,7.621672898287449e-34,7.6216728218701458e-34,6.6689468836668276e-42,6.3299324624431344e-34,9.7278344867736087e-43,7.4086517417744033e-26,5.402869025734751e-77,5.199879882229753e-77,5.1998798822319476e-77,9.9715911090552269e-36,3.2417895459469589e-39,1.4656051527193814e-30,3.7063237400954536e-36,1.2716489684853138e-40,8.2462076761951626e-46,7.1883805307055422e-55,1.9570443293188125e-63,2.1077097968917101e-65,1.9770795454903628e-74,7.4744840331196714e-78,1.4348827376945088e-75,2.1712157160296169e-66,2.3297342853139179e-75,6.4814965263297436e-34,6.2823661356008477e-35,8.1340097057722221e-43,1.8411783275579236e-44,3.2175364409041307e-44,3.8713395899066133e-48,6.8832386534859042e-52,3.4415164648153868e-52,3.4439664725231196e-58,2.8291117498286661e-67,2.2976991957568645e-59,2.6465166434473689e-67,5.977796950076189e-69,1.9162869590069677e-67,1.9589198646035785e-69,1.9589198629053573e-69,3.7697366587854445e-79,3.8049025482126927e-57,2.816748016970577e-61,1.747872071921468e-69,5.1019800624207514e-77,9.982790128947649e-78,2.3951829250567179e-86,2.806878384142373e-87,1.4997665153705544e-97,7.4283782740613558e-63,7.2144885261485807e-69,1.3632332189288628e-78,3.5688424557397096e-99,9.57423150002745e-108,5.0453590629937049e-108,1.3266167366535591e-72,2.043013443837782e-34,1.2338741040034755e-42,1.2328039979470195e-42,2.9609911747296655e-43,9.8226879466796252e-77,7.1117919723518861e-83,4.2075587330839674e-80,8.0923418399229153e-91,5.858940902371141e-91,1.82945414000173e-92
