Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082)
0.0,0.34154113270691605,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0533706214264883e-24,0.34154113270691605,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,2.759823985883648e-18,2.8140782677219285e-17,2.8140407673529049e-17,1.0479339320678667e-31,1.0479478600016718e-31,5.0339705717846325e-16,4.8987221276900051e-28,5.2287114185657152e-32,1.9160547046802243e-46,5.3096072918071644e-51,5.1643794640945997e-35,1.2297171348739594e-27,1.5754347658837549e-33,1.9120464580710325e-46,1.0341413874851585e-50,2.8505556634425935e-52,3.7952222766145458e-67,3.3938028446772389e-45,7.6625564735814782e-33,2.9752571698750512e-46,2.9752571698750574e-46,5.5281906390242127e-61,8.6820319825080123e-62,3.850938922139921e-48,2.7548328495900027e-33,1.0237260378952774e-47,8.0388166605412482e-49,6.8253859926129527e-108,5.7311839614300817e-61,7.3886179249312218e-50,6.2268683646283071e-108,1.4346939425595436e-29,1.0671313310013821e-75,1.067131330411723e-75,5.3160145510737647e-43,1.56704363550204e-43,5.462377107694502e-31,5.3156386924607388e-43,1.1758058342380649e-56,6.2268683646283056e-108,6.4008116135434589e-64,1.4862690485347049e-59,1.3405821613757349e-77,1.5797132435082311e-92,7.6029616677919089e-51,1.1672118745353562e-107,9.2435467952499916e-37,9.4537723979648456e-76,2.5225581400297404e-107,1.8954384643724733e-50,5.5728111122591857e-123,1.2492887203782421e-112,5.9140540910492437e-127,2.6367675977397275e-73,1.8084701547877893e-50,2.4484398457422153e-74,2.0446491719466378e-50,3.8070828080876829e-65,5.4074377582875559e-40,3.7990700524756862e-65,3.1511688400520713e-66,2.0137012851166934e-54,2.11589555778964e-53,3.0974544941693108e-79,3.313262492530001e-54,8.5647540917107366e-57,2.382657401912911e-86,4.2549430472721327e-64,2.8539510600323089e-47,2.0696502492116637e-87,3.7500369029289269e-22,1.0322910982478897e-45,1.1247144367252441e-41,1.0322910982478897e-45,5.7096525662529453e-76,5.0914719543671824e-69,3.6818747678250843e-69,3.3797052975531556e-123,5.1296593859052413e-125,7.5925882541981532e-54,5.404795098754053e-66,3.7584777800690506e-67,5.4906742566805266e-91,5.4166457357512398e-55,5.343155965978751e-103,1.4265322512869837e-67,1.5201972463372567e-81,1.2103129557678403e-95,2.824609674674581e-96,4.1779735638429966e-83,5.7723111628347092e-72,4.6412324414853848e-104,5.7723111641148012e-72,1.7390785717184807e-92,7.0350324131300685e-74,2.5725879946862854e-88
2.9494377399941673e-24,0.34154113270691605,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,7.7275071604742095e-18,7.8794191496213403e-17,7.8793141485880882e-17,6.3295209496887206e-31,6.3296048616817034e-31,1.4095117600939987e-15,2.958828165114782e-27,3.158141696804816e-31,2.2747395018719487e-45,6.3038577068164819e-50,3.1192851963132137e-34,7.4274914946136595e-27,9.5156259859378177e-33,2.2699798515051659e-45,1.2277326547302029e-49,3.3841796836390687e-51,8.4901360240219944e-66,4.0291227371883365e-44,4.628184110043019e-32,3.5322253120755189e-45,3.5322253120755333e-45,1.2366341331710955e-59,1.9421358263517082e-60,4.5718346883318668e-47,1.6639190411471201e-32,1.2153675521691944e-46,9.5436831393230771e-48,7.2729784250818021e-106,1.2820429274282889e-59,8.7717672004380814e-49,6.6352114474962948e-106,8.6655514130304112e-29,4.403547315846824e-74,4.4035473114080178e-74,6.3111724750025768e-42,1.8603942040584215e-42,3.2992757730292148e-30,6.3107262556572733e-42,2.6302306189443792e-55,6.6352114474962919e-106,1.4318359546962439e-62,1.764498654292202e-58,5.5321886362874059e-76,1.1892193538414089e-90,9.0262360919718515e-50,1.5933058250418452e-105,5.5831022643306458e-36,2.1147711159856998e-74,3.4434250252262801e-105,2.2502645449005266e-49,1.3748654546607851e-120,1.7053450524766854e-110,1.459201012674773e-124,1.0880695321514043e-71,2.1470157674698645e-49,1.010355557971384e-72,2.4274074969349015e-49,8.5162919582284276e-64,3.2660924060055104e-39,8.4983677445020298e-64,7.0490386484396445e-65,2.3906661656900157e-53,2.5119912061837995e-52,1.278168846699191e-77,3.9335052309046996e-53,1.0168199218904875e-55,1.7936050210193861e-84,9.5181373989895261e-63,3.3882106983151065e-46,1.5579810491274649e-85,1.0500103328287691e-21,1.2255359918272203e-44,6.7932751979353256e-41,1.2255359918272203e-44,2.3561041184802753e-74,1.1389415982147273e-67,8.236203780759537e-68,8.3380541104207028e-121,9.3258869543903411e-123,9.0139207753774206e-53,1.2075269122389884e-64,8.407564454087954e-66,4.1332425331766074e-89,6.4306418174837722e-54,7.2933815624423443e-101,3.191095584838716e-66,6.2731365025386528e-80,9.1109338368980419e-94,2.1262956608131291e-94,1.7240524894455194e-81,1.2912429173962761e-70,6.3352594105977513e-102,1.2912429179245097e-70,1.3091349413823877e-90,1.5737268201746115e-72,1.0615976251868367e-86
6.741571977129526e-24,0.34154113270691605,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,1.7662873509655314e-17,1.801010091341992e-16,1.8009860911058264e-16,3.0473918744515634e-30,3.0474320577922877e-30,3.2217411659022758e-15,1.4245483947172811e-26,1.5205092805055946e-30,2.2333513688507705e-44,6.1892927999688437e-49,1.5018015481588212e-33,3.5760174281758895e-26,4.5813642991898621e-32,2.2286760706339532e-44,1.2053951997269505e-48,3.3226076813087497e-50,1.6775440214309543e-64,3.9558165957170952e-43,2.228271422517203e-31,3.4679597572059181e-44,3.4679597572059465e-44,2.44338065640229e-58,3.8373331149613441e-59,4.4886544075450831e-46,8.0110539265290945e-32,1.193255069708489e-45,9.3700446993052441e-47,1.6551597227378097e-103,2.5331007818540401e-58,8.6121730531749965e-48,1.5100188805552973e-103,4.1720899849193054e-28,1.7419995254380131e-72,1.7419995219283822e-72,6.1963465606317652e-41,1.8265460615114152e-41,1.5884592628901624e-29,6.1959084598326694e-41,5.1968924712114549e-54,1.5100188805552958e-103,2.8290665614550259e-61,1.7323953265731058e-57,2.1885271465860258e-74,9.4030102222883054e-89,8.8620121198830616e-49,2.5170894446109162e-103,2.6880234080581722e-35,4.1784315531729314e-73,5.4398902257697742e-103,2.2093230740648861e-48,4.3401397409146554e-118,2.6940879547084442e-108,4.6065601319162624e-122,4.3042948646412086e-70,2.1079528115086295e-48,3.9968661111486053e-71,2.3832430748205427e-48,1.6826757790869386e-62,1.572482900109761e-38,1.6791342565325872e-62,1.3927712504696787e-63,2.3471702179303975e-52,2.466287862085015e-51,5.0562701732690713e-76,3.8619387605895266e-52,9.9834591690981856e-55,1.4181495578672835e-82,1.8806235556915037e-61,3.3265653550923808e-45,1.2318487683172692e-83,2.4000236179351999e-21,1.2032385040784486e-43,3.2706695821673402e-40,1.2032385040784486e-43,9.3205135867396987e-73,2.2503553204721351e-66,1.6273338644624146e-66,2.6321353756091092e-118,4.2442818658423674e-120,8.8499208690728635e-52,2.3793910245613679e-63,1.6611930561968482e-64,3.2680305877294536e-87,6.3136422695913252e-53,1.1521755351146464e-98,6.3050671300429227e-65,2.4815904163783587e-78,7.2037414265129511e-92,1.6811980429955259e-92,6.8201801975785472e-80,2.5512784096354513e-69,1.0008157175120679e-99,2.551278411725091e-69,1.0350936335263714e-88,3.1094977419052344e-71,4.1996794394595556e-85
1.4325840451400242e-23,0.341541132706916,76.950000000000003,0.0,0.0,0.0,0.99999999999999245,9.5,3.753360620801744e-17,3.8271464441016097e-16,3.827095443599788e-16,1.3308760937243378e-29,1.3308934524731735e-29,6.8461999774276586e-15,6.2213771020115939e-26,6.6404635014408621e-30,1.9753715690006555e-43,5.4744101936268332e-48,6.5587619194012867e-33,1.5617407612510911e-25,2.0008021526722669e-31,1.9712323265712384e-43,1.0661584016376231e-47,2.9388088667829051e-49,2.9851293429730988e-63,3.4988749806671891e-42,9.7314467214454736e-31,3.0673711318534571e-43,3.0673711318535072e-43,4.3478653284919434e-57,6.8283292500375703e-58,3.9701639909568363e-45,3.4986377188980486e-31,1.0554205958977974e-44,8.2876984238861711e-46,2.7971467593742469e-101,4.5075174981332906e-57,7.6173695356249307e-47,2.5518651525381286e-101,1.822061307005311e-27,6.2170725633960186e-71,6.2170725383106441e-71,5.4805983613654014e-40,1.6155593063946826e-40,6.9372189264889022e-29,5.4802108661702346e-40,9.2475924834234908e-53,2.5518651525381239e-101,5.0341727895549514e-60,1.5322841978380266e-56,7.8107770224866774e-73,6.7209475319846056e-87,7.8383493608268426e-48,3.6006516063923884e-101,1.1739304429962062e-34,7.4352964018482737e-72,7.78166605162042e-101,1.95412123921334e-47,1.2421052138718767e-115,3.8538448224292351e-106,1.3183789891931197e-119,1.5361722634791867e-68,1.864460388864781e-47,1.4264531250401829e-69,2.107951510309143e-47,2.9942316436292294e-61,6.8674459530224986e-38,2.9879296935708018e-61,2.4783620247233993e-62,2.0760454769005022e-51,2.181403684102167e-50,1.8045192135682818e-74,3.4158410978214963e-51,8.8307206579699497e-54,1.0136340057041246e-80,3.3464691359657935e-60,2.9423093838402233e-44,8.8047399128638362e-82,5.1000501882867737e-21,1.064250830567133e-42,1.4283873348161614e-39,1.064250830567133e-42,3.3264250948393126e-71,4.0043822320276415e-65,2.8957493352480863e-65,7.5329119970621613e-116,1.4408868747877483e-117,7.8276547865052702e-51,4.2110223298711953e-62,2.9560042850375042e-63,2.3358516152564206e-85,5.5843450877294161e-52,1.6481495382641696e-96,1.1219530079463834e-63,8.8566199271478877e-77,5.148933155809052e-90,1.2016500637841211e-90,2.4340738683423986e-78,4.5398636081629606e-68,1.4316342540159808e-97,4.5398636156207371e-68,7.3984164802559382e-87,5.5334666012145642e-70,1.4989108227835196e-83
2.9494377399941675e-23,0.34154113270691605,76.950000000000003,0.0,0.0,0.0,0.99999999999998435,9.5,7.7275071604741352e-17,7.8794191496204553e-16,7.8793141485874125e-16,5.5561457078071531e-29,5.5562165861691071e-29,1.4095117600113744e-14,2.5973024719620009e-25,2.7722627939997028e-29,1.6604147495653734e-42,4.6015917687657642e-47,2.7381539918639837e-32,6.5199602487522038e-25,8.3529551287147457e-31,1.6569287478066164e-42,8.9617037431932816e-47,2.4702459290489668e-48,5.034880460730257e-62,2.9410152442043581e-41,4.062687442290192e-30,2.5783102592973196e-42,2.5783102592974044e-42,7.3333103730197781e-56,1.1516975329386892e-56,3.3371620545181021e-44,1.4606123767794902e-30,8.8714460458628147e-44,6.9663098961140467e-45,4.095639003405134e-99,7.6025870928018429e-56,6.40285807538296e-46,3.7364927010494844e-99,7.606747283042923e-27,2.1006083011991578e-69,2.1006082842339075e-69,4.6067731533474273e-39,1.3579749417145076e-39,2.896152342244825e-28,4.6064474402880549e-39,1.5597416379158582e-51,3.736492701049469e-99,8.4908682193840692e-59,1.2879774480712951e-55,2.6390977284526662e-71,4.5454022812794578e-85,6.5886049335591023e-47,4.8722288217434535e-99,4.9009285108366567e-34,1.2540716529117323e-70,1.0529776763348967e-98,1.6425566461805353e-46,3.3621895540531105e-113,5.214837723284074e-104,3.5686873154449742e-117,5.1903788858004763e-67,1.5671912971418312e-46,4.8196627147563184e-68,1.7718602580204578e-46,5.0502093122883437e-60,2.8670234994416337e-37,5.0395801527541293e-60,4.1801197996880429e-61,1.7450413144553872e-50,1.8336012357673875e-49,6.0968754086146739e-73,2.8712202611464939e-50,7.4235335170471044e-53,6.8552116884903354e-79,5.6443093278284222e-59,2.4731883235733666e-43,5.9546498662864008e-80,1.0500103329544774e-20,8.9456694893435105e-42,5.9632359450892708e-39,8.9456694893435105e-42,1.1239238585357315e-69,6.7539596448532804e-64,4.8840898980827513e-64,2.0390444967619372e-113,4.2303267904003746e-115,6.579615499599e-50,7.0261929041962408e-61,4.9857332811321328e-62,1.579737578408587e-83,4.6939785282690049e-51,2.2301858194334671e-94,1.8923377359995592e-62,2.9924517037940682e-75,3.4822259865121934e-88,8.1267651992886055e-89,8.224185472939301e-77,7.6571435102677841e-67,1.937209177815803e-95,7.6571435354659248e-67,5.0035526479225724e-85,9.3339502394598802e-69,5.0649882595857733e-82
5.983145129702454e-23,0.34154113270691605,76.950000000000003,0.0,0.0,0.0,0.99999999999996814,9.5,1.5675800239818788e-16,1.5983964560656574e-15,1.5983751558561462e-15,2.2698668142021608e-28,2.2698944701454358e-28,2.8592952844027166e-14,1.0610828076282761e-24,1.1325598080021567e-28,1.3613016401689694e-41,3.772670964527768e-46,1.1186252494416145e-31,2.6636165025264576e-24,3.4124547202940636e-30,1.3584325868806678e-41,7.34734612084081e-46,2.0252568586073029e-47,8.269825058364738e-61,2.4112219857257515e-40,1.6597403824013484e-29,2.1138545255150523e-41,2.1138545255151919e-41,1.2044984305483778e-54,1.8916666560560424e-55,2.7360070747934956e-43,5.9670781449067652e-30,7.273347456505058e-43,5.7114017388071572e-44,5.6004399028616699e-97,1.24872721277186e-54,5.2494498941712619e-45,5.1093377131903236e-97,3.1076044669964219e-26,6.9063404748148786e-68,6.9063403632117961e-68,3.7769109602901488e-38,1.1133499025079616e-38,1.1831727308193295e-27,3.7766439210461465e-38,2.5618803236682521e-50,5.1093377131902831e-97,1.3946276545623477e-57,1.0559621427192035e-54,8.6767962737098818e-70,2.990124561746216e-83,5.4017363909559635e-46,6.4115945742724956e-97,2.0021892100341891e-33,2.0598172380685524e-69,1.3856627435674268e-96,1.3466671776056735e-45,8.8498570674643333e-111,6.8624497125874825e-102,9.3934421313452989e-115,1.7064830187361077e-65,1.2848781080485623e-45,1.584599652471657e-66,1.4526780908113981e-45,8.2949839576677571e-59,1.1712726481940604e-36,8.277525532370885e-59,6.8658593230461807e-60,1.4306903005405319e-49,1.503297074352499e-48,2.0043962054904517e-71,2.3539998395505171e-49,6.0875415896857143e-52,4.5095872195751729e-77,9.2707950191349433e-58,2.0276692097963092e-42,3.9171675733357127e-78,2.1300209614280156e-20,7.3342003206318961e-41,2.4361764598537209e-38,7.3342003206318961e-41,3.6952157465626479e-68,1.1093345506968753e-62,8.0220843352991442e-63,5.3671133143954341e-111,1.1584545701878626e-112,5.3943663101304872e-49,1.1297632852358891e-59,8.1890818715099185e-61,1.0392041439026091e-81,3.8484071957112842e-50,2.9347991467807129e-92,3.108170413710018e-61,9.8385264925193837e-74,2.2907245639709997e-86,5.3460575896673436e-87,2.7039322489626581e-75,1.2576881125415508e-65,2.5492583589706704e-93,1.2576881208261482e-65,3.2915040555512484e-83,1.53341623536865e-67,1.6655909542534929e-80
1.2050559909119028e-22,0.34154113270691605,76.950000000000003,0.0,0.0,0.0,0.99999999999993572,9.5,3.1572386398507564e-16,3.2193055382722541e-15,3.219262637850478e-15,9.1751645834254083e-28,9.1752658617027795e-28,5.7588623326019021e-14,4.2890663604849922e-24,4.5779878242398828e-28,1.1024065274754856e-40,3.0552099583634703e-45,4.5216621110362342e-31,1.0766763777611965e-23,1.3793687583993426e-29,1.1000652482166731e-40,5.9500712985999661e-45,1.6401055124304522e-46,1.340575779650548e-59,1.9526700789821693e-39,6.7089359953124416e-29,1.7118542001392575e-40,1.7118542001394835e-40,1.9525438603871282e-53,3.0664731665053385e-54,2.2156894643917705e-42,2.411988391283515e-29,5.890145341164133e-42,4.6252412049720058e-43,7.4071179009563187e-95,2.0242406227697861e-53,4.2511406248012195e-44,6.7575882419652624e-95,1.2561434117361264e-25,2.2400549565288373e-66,2.2400548841169523e-66,3.0586404181302191e-37,9.0161961643480736e-38,4.7825733501131517e-27,3.0584241628283041e-37,4.1529184028723006e-49,6.7575882419651573e-95,2.260751526243277e-56,8.5514619215551918e-54,2.8143013266019478e-68,1.940097115776372e-81,4.3744661783525543e-45,8.3210229175339037e-95,8.0931689094534807e-33,3.3390550431649371e-68,1.7983250986401867e-94,1.0905659950877793e-44,2.2972071155383734e-108,8.9061466306337147e-100,2.4383147319941039e-112,5.5349367655378785e-64,1.0405275996587738e-44,5.1396109885343229e-65,1.1764163811594703e-44,1.3446526442090714e-57,4.7344713143762251e-36,1.3418225586095953e-57,1.112985383244251e-58,1.1586100985198465e-48,1.2174089460141882e-47,6.5004134423311097e-70,1.9063300978146296e-48,4.9319227019034215e-51,2.9259740520919093e-75,1.5028358229675572e-56,1.6420590943534167e-41,2.5415919727449559e-76,4.2900422192628492e-20,5.9394255694979144e-40,9.8474147673877705e-38,5.9394255694979144e-40,1.1985343696764697e-66,1.7982617690623652e-61,1.3003988821062481e-61,1.3931717497219658e-108,3.0663889556655077e-110,4.3684976962342561e-48,1.7573433728805133e-58,1.3274854559936775e-59,6.7427110552413426e-80,3.1165399237796534e-49,3.8088032180054617e-90,5.0384781807675072e-60,3.1911024847605604e-72,1.4863002553622269e-84,3.468704567404521e-85,8.7701394355688689e-74,2.0387666009276945e-64,3.3084456399775419e-91,2.0387666277985871e-64,2.135640135257375e-81,2.4867456840103128e-66,5.4044685916525984e-79
2.4185389467952174e-22,0.341541132706916,76.950000000000003,0.0,0.0,0.0,0.99999999999987088,9.5,6.3365558715883031e-16,6.4611237026829409e-15,6.4610376018372289e-15,3.6892933251079901e-27,3.6893255953785782e-27,1.1557996426666286e-13,1.7246147191552138e-23,1.8407887690521562e-27,8.8729523923646358e-40,2.4591000500163424e-44,1.8181404478581457e-30,4.3292683600346914e-23,5.5463811106791444e-29,8.8538204958715935e-40,4.7891348922160525e-44,1.3200996023593551e-45,2.1589571626644197e-58,1.5716787576840734e-38,2.6976336567349409e-28,1.3778491882177735e-39,1.3778491882181375e-39,3.1445116907044633e-52,4.9384604992306696e-53,1.7833796406845258e-41,9.698499236164496e-29,4.7409013961899422e-41,3.7227965067143189e-42,9.6368634627135148e-93,3.259977117658305e-52,3.4216878146242629e-43,8.7918075688624713e-93,5.0508974102350485e-25,7.2166352895932118e-65,7.2166348229738721e-65,2.461859903341004e-36,7.2570190618038321e-37,1.9230517088329202e-26,2.4616858422623886e-36,6.6881470581928961e-48,8.7918075688621988e-93,3.6408706366795589e-55,6.8829713215402872e-53,9.0666517989157641e-67,1.2501917652172442e-79,3.5209509494622736e-44,1.0724653916002769e-92,3.2542276234273137e-32,5.3774533802808573e-67,2.3177936778435261e-92,8.7778238987688843e-44,5.9217275190284552e-106,1.147879792812817e-97,6.2854819110650512e-110,1.7831536068496922e-62,8.3750712808660257e-44,1.6557941417660009e-63,9.4688224946521997e-44,2.1655216274574216e-56,1.9037100925424367e-35,2.1609638630527399e-56,1.7924286482300322e-57,9.3255020407510354e-48,9.7987663128467932e-47,2.0936814883574155e-68,1.5343803035410558e-47,3.9729786523267709e-50,1.8854863007377116e-73,2.4202707623915126e-55,1.3216720108402541e-40,1.6377919836900254e-74,8.6100847384835441e-20,4.7805664132430511e-39,3.9596021719303879e-37,4.7805664132430511e-39,3.8612381220481329e-65,2.8959892853813154e-60,2.0942022003354498e-60,3.5913102390194214e-106,7.9816017463926238e-108,3.5161469964928562e-47,2.6180432715994372e-57,2.1378743882074459e-58,4.3449767834964036e-78,2.5084624635006105e-48,4.9090205333984831e-88,8.1143137824590574e-59,1.0280561727825921e-70,9.5776610507040547e-83,2.235219733479428e-83,2.8254172422667699e-72,3.2833706722779985e-63,4.2641288224551525e-89,3.2833707588461554e-63,1.3761981983452554e-79,4.0080864975188995e-65,1.7425160373323875e-77
4.845504858561846e-22,0.34154113270691605,76.950000000000003,0.0,0.0,0.0,0.99999999999974132,9.5,1.2695190335062553e-15,1.2944760031494282e-14,1.2944587529803075e-14,1.4795716310071337e-26,1.4795777925713971e-26,2.3156264605459101e-13,6.9164763734168925e-23,7.3823862739692291e-27,7.119705600945338e-39,1.9732734335979403e-43,7.2915563791249751e-30,1.7362302428352695e-22,2.2243468933384461e-28,7.1038925637814271e-39,3.8429789277306303e-43,1.0592967939251959e-44,3.4656053316365474e-57,1.2611732216277214e-37,1.0818717509587501e-27,1.1056371996276585e-38,1.1056371996282429e-38,5.0476376586394253e-51,7.9273228010307202e-52,1.431049846902481e-40,3.8895319680113832e-28,3.8042747901670277e-40,2.9873097399936101e-41,1.243586179403948e-90,5.2329852450724013e-51,2.7456889791126208e-42,1.1345361929146661e-90,2.0256357674806461e-24,2.3171101545652337e-63,2.3171098549057016e-63,1.9754875285094678e-35,5.8233007618248072e-36,7.7122974524970103e-26,1.975347855459316e-35,1.073595722218391e-46,1.1345361929145959e-90,5.8444036990765679e-54,5.5231683545570944e-52,2.9111125715463359e-65,8.0286436522240197e-78,2.8253413938622647e-43,1.3774967233383316e-90,1.3050908258710146e-31,8.6320298328781238e-66,2.9770221227037236e-90,7.043650869646e-43,1.5212184195901545e-103,1.4743605483883652e-95,1.6146634408271838e-107,5.7253322665333623e-61,6.7204671313552224e-43,5.3164077334453284e-62,7.5981337262826389e-43,3.476141794065944e-55,7.6347289261890395e-35,3.4688255766775875e-55,2.877244943293434e-56,7.4831280878706781e-47,7.8628928508457649e-46,6.7190828192666494e-67,1.2312435518247868e-46,3.1934225471601814e-49,1.2108457016429812e-71,3.8850705806692392e-54,1.060558545950187e-39,1.0517781980860713e-72,1.7250169791129043e-19,3.8361034715577939e-38,1.5879775720628939e-36,3.8361034715577939e-38,1.2397625826521025e-63,4.6485248543076444e-59,3.3614974625737072e-59,9.225630860495689e-104,2.0603148837942789e-105,2.8214865252849124e-46,3.6532194473850289e-56,3.431761814085222e-57,2.7903127489035031e-76,2.0128831495067385e-47,6.3052456385686758e-86,1.3025270670149009e-57,3.3008727682656629e-69,6.150704844655712e-81,1.4354419884033357e-81,9.0718222210226084e-71,5.2705368071156723e-62,5.4769336325632674e-87,5.2705370850678468e-62,8.8378455621079671e-78,6.4443300824540138e-64,5.6038083899522605e-76
