Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500)
0.0,0.29231243355388586,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.40486480078347e-24,0.29231243355388586,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,5.0727696796498276e-18,5.7839839911627436e-17,5.7839350936746971e-17,7.8852091712719257e-31,7.8852750872733122e-31,5.1066958926909873e-16,1.5517208219788578e-27,4.0768103348040861e-31,3.6528741755562314e-45,1.0707992055709079e-49,3.0139181703450228e-34,3.5540234351973576e-27,8.9302049621127993e-33,3.7772129250968108e-45,1.8431209169604276e-49,3.0577825422942413e-51,1.0934056049364908e-65,1.8028742322833695e-44,2.6095341152724847e-32,2.4492308945888816e-45,2.4492308945889015e-45,1.7263273616031833e-59,2.6335224103656705e-60,7.0716201766875793e-48,9.7167398273218865e-33,1.3697584712442142e-46,1.0447872492315347e-47,1.7468356633618588e-105,1.5812164111418823e-59,4.3240943701950568e-49,1.6016354423848948e-105,4.0935972104020508e-29,1.0778321272755155e-73,1.0778321253998672e-73,3.288943806717114e-42,9.7429137031866447e-43,1.082319392834503e-30,3.2887449025538634e-42,1.823265752506407e-55,1.601635442384894e-105,1.4149463413166828e-62,6.6299883077532732e-59,9.6004835300677904e-76,3.1862680814351962e-90,4.9291283297278086e-50,8.7671698975392658e-105,2.0605395936544936e-36,1.4434434245410836e-74,1.0039259024141726e-104,1.1471693564338273e-49,8.3762415738289782e-120,6.3042104793103768e-110,1.1905776318048178e-123,7.3649601220183923e-72,7.4196651531973465e-50,5.1474060801251406e-73,1.1423541150535092e-49,7.7868276498038464e-64,1.1461103733953632e-39,8.0518221856420215e-64,6.4892774824102732e-65,1.5624864178551486e-53,8.2539109932267752e-53,1.5625444720202434e-77,1.6074420883497653e-53,2.2920475277651298e-56,1.5640910705563502e-84,5.7799936170675164e-63,2.0136479934596239e-46,1.3721344804861817e-85,4.8897488086921676e-22,7.7649249438954063e-45,3.939429641653655e-41,7.7649249438954063e-45,9.7324517234916946e-75,1.0373507935191896e-67,7.2383181224787782e-68,3.6596883128410594e-120,2.3415908450112179e-122,6.2721769996303424e-53,9.4626335344756633e-65,8.6174308777135282e-66,2.079260266884292e-89,4.5602342092464874e-54,6.3180413666419917e-101,1.1629662224701003e-66,2.9805079729280627e-80,8.8496393362402541e-94,2.1007951828933144e-94,1.2539228645640168e-81,1.4742840676118528e-70,5.5426462160342478e-102,1.4742840686683028e-70,5.3757117822446171e-91,6.9768752951914426e-73,6.4641699060578312e-87,4.1771607688060092e-82,9.8116708391244523e-92,1.428722774370957e-28,9.2490072272584299e-73,9.3759961334679057e-64
9.533621442193716e-24,0.29231243355388586,76.950000000000003,0.0,0.0,0.0,0.99999999999999822,9.5,1.4203755103019506e-17,1.619515517525527e-16,1.6195018262288859e-16,4.7626663394461784e-30,4.7627057188217908e-30,1.4298748499360891e-15,9.3723937646572045e-27,2.4623934422026135e-30,4.336689463530475e-44,1.2712819088285093e-48,1.8204065748884735e-33,2.1466301548374228e-26,5.3938437971160128e-32,4.4842994894985084e-44,2.18815315007321e-48,3.6301994342117168e-50,2.445958072918088e-64,2.1403722885468861e-43,1.5761586056244142e-31,2.907726918055618e-44,2.9077269180556623e-44,3.8617252546670162e-58,5.8910842910301477e-59,8.3954274735857182e-47,5.8689108556462801e-32,1.6261772569828373e-45,1.2403714222616528e-46,1.8613889537593155e-103,3.5371178630023155e-58,5.1335648362239437e-48,1.706666850771248e-103,2.4725327150577507e-28,4.4477044488582138e-72,4.4477044347388021e-72,3.9046340872738133e-41,1.156678714824152e-41,6.5372091326098824e-30,3.9043979482513098e-41,4.0785725576661644e-54,1.7066668507712468e-103,3.1651783676243768e-61,7.8711232670811688e-58,3.9617509188110692e-74,2.3985935675874206e-88,5.8518611529927531e-49,1.1967393747622381e-102,1.2445659145671269e-35,3.2289256528919542e-73,1.3703825416912583e-102,1.3619194599545573e-48,2.066454366890503e-117,8.6053960355859549e-108,2.9373520685319295e-121,3.0391714161951932e-70,8.8086264670989246e-49,2.1240915316639053e-71,1.3562028053913218e-48,1.7418821978707873e-62,6.9225066553071982e-39,1.8011604155904106e-62,1.4516254157035323e-63,1.854983875276722e-52,9.799043130945695e-52,6.4478449162438138e-76,1.9083552469525216e-52,2.7212298875449568e-55,1.1774087181784715e-82,1.2929614521484575e-61,2.3906028974808372e-45,1.0329085884154471e-83,1.3691296664654058e-21,9.2185188931014535e-44,2.3794155036411831e-40,9.2185188931014535e-44,4.016123454505495e-73,2.3205107593952204e-66,1.6191815776507636e-66,9.0286064778444179e-118,4.2757626737757007e-120,7.4463285339492043e-52,2.1112314996040507e-63,1.9276848170506961e-64,1.5652152305475072e-87,5.4139100532170667e-53,8.6240953299955815e-99,2.6015089210162812e-65,1.2299149604541735e-78,6.6617876053159131e-92,1.5814261777821912e-92,5.1743478104616813e-80,3.2979144838854762e-69,7.5656847705940748e-100,3.2979144882449468e-69,4.0467016518498134e-89,1.560759948419385e-71,2.6675592959085057e-85,1.723717087309874e-80,4.1151111006059656e-90,8.6294855511871221e-28,3.8166287294931229e-71,2.0973728310721185e-62
2.1791134725014207e-23,0.29231243355388586,76.950000000000003,0.0,0.0,0.0,0.999999999999996,9.5,3.2465725949758824e-17,3.701749754343868e-16,3.7017184599516043e-16,2.2930188270027792e-29,2.2930373445422624e-29,3.2682853712005214e-15,4.5124041501718707e-26,1.1855364453324462e-29,4.2577815902011293e-43,1.2481648646366662e-47,8.7644740393645183e-33,1.0335100149227197e-25,2.5969036029822261e-31,4.402695530531941e-43,2.1483417329282263e-47,3.5641513312981457e-49,4.8328525273169505e-63,2.1014302050877111e-42,7.5885252072098836e-31,2.8548235307318621e-43,2.8548235307319501e-43,7.6301183462335003e-57,1.1639789826202077e-57,8.2426804773959309e-46,2.8256279417009928e-31,1.5965904738395431e-44,1.2178040176235968e-45,4.2360857471897902e-101,6.9887488416702349e-57,5.0401643976772967e-47,3.8839744413183738e-101,1.1904180687472851e-27,1.7594676460007059e-70,1.759467634836912e-70,3.8335929009211608e-40,1.1356340211871177e-40,3.1473847941969612e-29,3.8333610582288059e-40,8.0585720754283756e-53,3.8839744413183668e-101,6.2538590760479939e-60,7.7279179306634305e-57,1.5672463705749205e-72,1.8965167779408238e-86,5.7453919809444158e-48,1.8905759656189733e-100,5.9920491383444549e-35,6.3798149151691297e-72,2.1648926672449007e-100,1.337140601847852e-47,6.5232550343739579e-115,1.359456809487518e-105,9.2726416876848362e-119,1.2022659887687562e-68,8.6483616939582343e-48,8.4026948658671526e-70,1.3315279565057367e-47,3.4416656903928194e-61,3.332888965832519e-38,3.558789459505806e-61,2.8681672016187831e-62,1.8212341686491367e-51,9.6207586530444026e-51,2.5506695785134751e-74,1.8736344971378917e-51,2.6719548923676079e-54,9.309416697084471e-81,2.5546739467407663e-60,2.347108100077808e-44,8.1668976211454365e-82,3.1294392377841786e-21,9.0507965137018448e-43,1.1455861399154018e-39,9.0507965137018448e-43,1.5887384996840111e-71,4.5849318572978378e-65,3.1992246099933844e-65,2.8500945177183328e-115,1.9455015863163113e-117,7.3108495107322838e-51,4.1477559559834268e-62,3.8087803533518727e-63,1.2375686180087528e-85,5.3154089942965698e-52,1.3623956962030584e-96,5.1401432361790633e-64,4.8654212730740834e-77,5.2672751450202925e-90,1.2503861264926364e-90,2.0469205368351301e-78,6.5161232567415718e-68,1.1951927681583808e-97,6.5161232739872066e-68,3.1996053150164389e-87,3.0840617835034257e-70,1.0553486686215612e-83,6.8188533801910552e-79,1.6395203768457332e-88,4.1547258188505562e-27,1.5098203703731401e-69,4.1440552766477186e-61
4.6306161290655194e-23,0.2923124335538858,76.950000000000003,0.0,0.0,0.0,0.99999999999999145,9.5,6.898966764323727e-17,7.8662182279798917e-16,7.8661517273965785e-16,1.0014215647483345e-28,1.0014292635525769e-28,6.945106413451188e-15,1.9706854437657449e-25,5.1775491249058426e-29,3.7659492075422798e-42,1.1039927505571693e-46,3.8276760763394082e-32,4.5136097623630331e-25,1.1341360301881437e-30,3.8941053422011871e-42,1.9001839239997409e-46,3.1524514898036223e-48,8.5998446887658584e-62,1.8586912183851154e-41,3.3141083263934712e-30,2.5250590830833836e-42,2.5250590830835403e-42,1.3577387919224293e-55,2.0712384083192466e-56,7.2905575362004899e-45,1.2340259579828612e-30,1.412166193004238e-43,1.0771338622983137e-44,7.1587976419450421e-99,1.2436105155317391e-55,4.4579683314299575e-46,6.5637451013194265e-99,5.1988684568217457e-27,6.2794150296557678e-69,6.2794149498616358e-69,3.3907695065776299e-39,1.004455431025463e-39,1.3745456287285187e-28,3.390564444342178e-39,1.4339798439434458e-51,6.5637451013194062e-99,1.1128408082686258e-58,6.8352602199534788e-56,5.5934189602323259e-71,1.3555577690948192e-84,5.0817341424249109e-47,2.7044210941968475e-98,2.6168852839383024e-34,1.135254672498269e-70,3.096824196670367e-98,1.182685719685043e-46,1.866881496099384e-112,1.9446685773125875e-103,2.653751430966392e-116,4.2908019159256471e-67,7.6493779682622917e-47,2.9988621125242364e-68,1.1777213984542355e-46,6.1242602073290893e-60,1.4555601742108732e-37,6.3326756970423105e-60,5.1037502896685251e-61,1.6108609973460111e-50,8.5094520761895443e-50,9.1029168756788417e-73,1.6572084932156243e-50,2.3637323366333823e-53,6.6539817923537975e-79,4.5459057922868358e-59,2.0759905330298011e-43,5.8373569300765517e-80,6.6500583809273056e-21,8.0053270182628611e-42,5.0030756461612936e-39,8.0053270182628611e-42,5.6700948559065346e-70,8.1586185168841125e-64,5.6928301969976899e-64,8.1566467696530297e-113,6.6029176477448532e-115,6.4663635994622522e-50,7.2974524116364782e-61,6.7775211276204169e-62,8.8456230063212121e-84,4.7014190603623702e-51,1.9488626247218076e-94,9.1466102519745391e-63,1.7364342929841532e-75,3.7648280288235024e-88,8.9372371968355757e-89,7.3053140018909126e-77,1.1595093118411048e-66,1.7096842875444184e-95,1.159509317995949e-66,2.2869440913544406e-85,5.4888639096028773e-69,3.7670999788538954e-82,2.4336003367176299e-77,5.8715296442922089e-87,1.8144779141302545e-26,5.3884416580187163e-68,7.3741249487687906e-60
9.533621442193717e-23,0.29231243355388586,76.950000000000003,0.0,0.0,0.0,0.99999999999998235,9.5,1.4203755103019353e-16,1.6195155175249305e-15,1.6195018262284691e-15,4.180737902579573e-28,4.1807667984964916e-28,1.4298748496839736e-14,8.2272237968052631e-25,2.1615248392473133e-28,3.1654897437796659e-41,9.2797443478068788e-46,1.5979794139180368e-31,1.8843432250377892e-24,4.7347946709105716e-30,3.2731814000473991e-41,1.5972190666772021e-45,2.6498254266314227e-47,1.4504928507029205e-60,1.5623419634736526e-40,1.3835749879151457e-29,2.1224643055528381e-41,2.1224643055531019e-41,2.2900249230953153e-54,3.4934463138799803e-55,6.1281528970948901e-44,5.1518154556628976e-30,1.1870107741199588e-42,9.0539591328066643e-44,1.0482056667761935e-96,2.0975309040343628e-54,3.7471909948550337e-45,9.6107686717748622e-97,2.1704252406051935e-26,2.12167240122507e-67,2.1216723472602621e-67,2.8501460790826898e-38,8.4430531264165809e-39,5.7384574192668322e-28,2.8499737119185401e-38,2.4186166013948561e-50,9.6107686717748019e-97,1.8769686791297504e-57,5.7454553479929514e-55,1.8898943441440717e-69,9.1676658892039303e-83,4.2715037437789665e-46,3.6594836227737611e-96,1.0924980925529989e-33,1.9147752848450548e-69,4.1904633323022849e-96,9.9411860953235323e-46,5.0533511211177312e-110,2.6314255683253505e-101,7.1833188436387073e-114,1.449764990236681e-65,6.4297630743196338e-46,1.0132477299964857e-66,9.8994579843711645e-46,1.0329459976190781e-58,6.0766771997310718e-37,1.0680983163845659e-58,8.6082208432615341e-60,1.3540257299198202e-49,7.1527072016370491e-49,3.0755065652817483e-71,1.3929835907182045e-49,1.9875634749530265e-52,4.5000911074338562e-77,7.6673345614640954e-58,1.744995128578051e-42,3.947807317822642e-78,1.3691296669235884e-20,6.7289597141415814e-41,2.0886855971377151e-38,6.7289597141415814e-41,1.9157969010185158e-68,1.3760625838109606e-62,9.6017258777158619e-63,2.2078744728784359e-110,1.9382547122457913e-112,5.4353682329111339e-49,1.2036405364978468e-59,1.1431279975298287e-60,5.9822991215789591e-82,3.9518260019813198e-50,2.63709432201566e-92,1.5427095086591915e-61,5.867019022367141e-74,2.5461550189087251e-86,6.0442578421198265e-87,2.4683004928856072e-75,1.9556819109974663e-65,2.3134512766510803e-93,1.9556819317932931e-65,1.5466613961924909e-83,9.2609460523683984e-68,1.273247522310599e-80,8.2225855171188455e-76,1.9877085979324788e-85,7.575088065827063e-26,1.8206326511446838e-66,1.2437539550853309e-58
1.9339632068450109e-22,0.29231243355388586,76.950000000000003,0.0,0.0,0.0,0.99999999999996414,9.5,2.8813331780410322e-16,3.2853029069777601e-15,3.2852751332053553e-15,1.7079678473097992e-27,1.7079770003276489e-27,2.9006032659165674e-14,3.3610893681158614e-24,8.8305342553484904e-28,2.5952310765528493e-40,7.6081030639584505e-45,6.5282673137034911e-31,7.6981569190022888e-24,1.9343181156120976e-29,2.6834718816377471e-40,1.3094966643462821e-44,2.1724869804613719e-46,2.3824415345397894e-59,1.2809023341741068e-39,5.6523552750251218e-29,1.7401244715811732e-40,1.7401244715816069e-40,3.7613728102158183e-53,5.7379960596572194e-54,5.0242299905934672e-43,2.1046847128941464e-29,9.731831479799144e-42,7.4229827115397191e-43,1.433332585642312e-94,3.4452008072307712e-53,3.0721735725815521e-44,1.3141913220803929e-94,8.8668952986561442e-26,6.9755945593231131e-66,6.9755942043245966e-66,2.3367219535735852e-37,6.9221250589318269e-38,2.3443470963499384e-27,2.3365806365595363e-37,3.9725850294038455e-49,1.3141913220803764e-94,3.0829266908422579e-56,4.7104833550275025e-54,6.2135663122027133e-68,6.0308039223550848e-81,3.5020368419112931e-45,4.8156804000547078e-94,4.4632111814172511e-33,3.1450318666946884e-68,5.5144206715326306e-94,8.1503849817289667e-45,1.3301266894147947e-107,3.4628122039840567e-99,1.8907746210643284e-111,4.7665100968592445e-64,5.2715082093822813e-45,3.3313368497180829e-65,8.1161737556255491e-45,1.6966169014653475e-57,2.4825209131798564e-36,1.7543546911207935e-57,1.4139028583633598e-58,1.1101121001676734e-48,5.8642215100533426e-48,1.0110519347218032e-69,1.142052104698307e-48,1.6306791523146603e-51,2.9603102372955594e-75,1.259362003818464e-56,1.4306524308888889e-41,2.596999513856847e-76,2.7773773253942324e-20,5.5168077172484945e-40,8.5329621905911305e-38,5.5168077172484945e-40,6.2987210573668404e-67,2.2601617026208751e-61,1.5770652248352656e-61,5.8114955356526965e-108,5.3073819501786248e-110,4.4562432683451826e-48,1.8932702317094881e-58,1.8775911587710734e-59,3.9353561761800389e-80,3.2399457156909091e-49,3.4702678570771823e-90,2.5339050004318684e-60,1.9289474918586037e-72,1.6749458157101204e-84,3.9761146908996942e-85,8.1152319883572608e-74,3.2122133428074335e-64,3.0443718062934711e-91,3.2122134111795609e-64,1.0174455263047397e-81,1.5221561635705806e-66,4.1889841164255325e-79,2.7034062188332549e-74,6.5447613306226917e-84,3.0946706071735052e-25,5.9858418245676875e-65,2.0428696059847998e-57
3.89516533209629e-22,0.2923124335538858,76.950000000000003,0.0,0.0,0.0,0.99999999999992772,9.5,5.8032485135191151e-16,6.6168776858792052e-15,6.6168217471561799e-15,6.9038791192882025e-27,6.9038946776404343e-27,5.8420600966012986e-14,1.3586060613180027e-23,3.5694431331657875e-27,2.1016389827576602e-39,6.1612423030036544e-44,2.6388300262169377e-30,3.1117181085240083e-23,7.8188230941565575e-29,2.1730155597923453e-39,1.0604643069776178e-43,1.7593362823061068e-45,3.8620425228438414e-58,1.0373079195142695e-38,2.2847723755423927e-28,1.4091979128549208e-39,1.4091979128556237e-39,6.0973474058688091e-52,9.3015388763257459e-53,4.0687517053483633e-42,8.507472116877626e-29,7.8810894339285744e-41,6.011323849245949e-42,1.8957195572566856e-92,5.584818968583554e-52,2.4879258093491131e-43,1.738143830818776e-92,3.5841408479356972e-25,2.2625173088296031e-64,2.262517078494479e-64,1.8923380205889615e-36,5.6057163378757542e-37,9.4762257868374194e-27,1.8922235784088857e-36,6.4397315196079225e-48,1.7381438308187324e-92,4.9975570155510606e-55,3.8146908793607214e-53,2.0153564869566077e-66,3.9129936165134791e-79,2.8360402300043799e-44,6.2498279392933919e-92,1.8041013201268022e-32,5.0982571866243787e-67,7.1566585651564365e-92,6.6003930705845866e-44,3.4526824896233533e-105,4.4940649537579561e-97,4.9079930913105469e-109,1.5460061236842185e-62,4.2690039742812302e-44,1.0805111212494803e-63,6.5726879332857914e-44,2.7502891050300433e-56,1.0034746451978008e-35,2.8438845518614453e-56,2.2919974625231319e-57,8.9899756030024386e-48,4.7489986154624135e-47,3.278627064873972e-68,9.2486339842232639e-48,1.3224362406252937e-50,1.9207502848203588e-73,2.0414800769446696e-55,1.1585794247353164e-40,1.6850218917932727e-74,5.5938726455712355e-20,4.4676539174242884e-39,3.449159751770388e-37,4.4676539174242884e-39,2.0429750757237796e-65,3.6637377422761732e-60,2.5564221740212968e-60,1.5085216187561952e-105,1.404787417199926e-107,3.6087813344504545e-47,2.8290308081804044e-57,3.0436561476013846e-58,2.5533933578152457e-78,2.6237920418255713e-48,4.5037383188295482e-88,4.1075691990548501e-59,6.2564949530748246e-71,1.0867619934496143e-82,2.5798388713451484e-83,2.6321560429865102e-72,5.2071360301094245e-63,3.951007393710336e-89,5.2071362518727671e-63,6.601533718314822e-80,2.4708622552027606e-65,1.3605194254993833e-77,8.7684332716549138e-73,2.126486764720705e-82,1.2509153092311847e-24,1.9414934465961558e-63,3.311579664521804e-56
7.817569582598848e-22,0.29231243355388586,76.950000000000003,0.0,0.0,0.0,0.999999999999855,9.5,1.1647079184474838e-15,1.3280027243665241e-14,1.3279914975046046e-14,2.7760194294202649e-26,2.7760084438128748e-26,1.1724973750848921e-13,5.4628952151152484e-23,1.4352573841075395e-26,1.691507156061344e-38,4.9591050973540338e-43,1.0610619475488859e-29,1.2512081647385232e-22,3.1439143777224294e-28,1.7488234695286782e-38,8.5355386366051356e-43,1.4160668987970984e-44,6.2197021037542632e-57,8.3491565683432459e-38,9.1869692340499832e-28,1.1342450777050905e-38,1.1342450777062224e-38,9.8195900004793864e-51,1.497984159885759e-51,3.2748853410441976e-41,3.4208171187438543e-28,6.3433863944894677e-40,4.8384364001743646e-41,2.4663831170263333e-90,8.9941787663833965e-51,2.0024991340761904e-42,2.2613727768371097e-90,1.4411672703338815e-24,7.2890004660259715e-63,7.2889989817557052e-63,1.5231182670106339e-35,4.5119681900977782e-36,3.8103487065405086e-26,1.5230261539907482e-35,1.0370989075625544e-46,2.2613727768369964e-90,8.0484114989620665e-54,3.0704262089154834e-52,6.4927411935544983e-65,2.5215185870433947e-77,2.2826919054022536e-43,8.0551660784066746e-90,7.2542120608967513e-32,8.2106665589708163e-66,9.2239456620612776e-90,5.3125705634276981e-43,8.9003027231503661e-103,5.7922298181542518e-95,1.2651800963250196e-106,4.9806646589302267e-61,3.4360657181859845e-43,3.4810105029130883e-62,5.2902710595799901e-43,4.4292558026904059e-55,4.0349274138903462e-35,4.5799883899322547e-55,3.6911912547478571e-56,7.2359144752506341e-47,3.8224072334892326e-46,1.0558058510646469e-66,7.4441051523174708e-47,1.0674220051380446e-49,1.2377240130318291e-71,3.2877407258963034e-54,9.3252550555239075e-40,1.0858215535843965e-72,1.1226863298868112e-19,3.5959565419574745e-38,1.3868919694527251e-36,3.5959565419574734e-38,6.58171633530595e-64,5.900073312658572e-59,4.116818432827151e-59,3.8886572494289373e-103,3.6564901076708432e-105,2.9046611746242173e-46,3.9380206745402331e-56,4.9017142931072213e-57,1.6453967489989829e-76,2.1118560999999911e-47,5.8046957531856929e-86,6.6151135656965366e-58,2.0156131894806598e-69,7.003052026874038e-81,1.662438133179016e-81,8.4798413100639149e-71,8.3859313335717182e-62,5.0923020428448276e-87,8.3859320480117749e-62,4.254002653931704e-78,3.9901391885449103e-64,4.3949016578519698e-76,2.8248675802534487e-71,6.8706081390785126e-81,5.0298752022023541e-24,6.2547797494888754e-62,5.3331969593767794e-55
1.5662378083603961e-21,0.29231243355388586,76.950000000000003,0.0,0.0,0.0,0.99999999999970957,9.5,2.3334740526384507e-15,2.660632635916988e-14,2.6606101430778643e-14,1.1133079516353225e-25,1.1132897168582091e-25,2.3490801030856836e-13,2.1908653121903506e-22,5.7560240387524908e-26,1.3572080391478689e-37,3.9793700408468314e-42,4.2553329812513681e-29,5.0179043501883529e-22,1.2608502804702935e-27,1.4029861946292122e-37,6.8492311005938778e-42,1.1363045055060897e-43,9.9840006079206045e-56,6.699672325911548e-37,3.6843855600426751e-27,9.1016024258526966e-38,9.1016024258708704e-38,1.576261657868049e-49,2.4045963265339014e-50,2.6278892333800528e-40,1.3719006626119952e-27,5.0901680549993602e-39,3.882540485737855e-40,3.1827367579407492e-88,1.4437648790509246e-49,1.6068794389896695e-41,2.9181817741819399e-88,5.7797253238584119e-24,2.3403449129090131e-61,2.340343959721764e-61,1.2222064839957776e-34,3.6205703108196947e-35,1.5281202498114164e-25,1.2221325691030236e-34,1.6647734259189192e-45,2.9181817741816463e-88,1.2919482882869475e-52,2.4638736054644595e-51,2.0846833081699599e-63,1.6193012677275547e-75,1.8317164925560982e-42,1.0346220266784351e-87,2.9092634889242895e-31,1.3180196754009443e-64,1.1847424698787608e-87,4.2630033015411197e-42,2.2863771266046535e-100,7.4396586665751658e-93,3.2500914097693004e-104,1.5991869646886462e-59,2.7572262221887585e-42,1.117679466333163e-60,4.2451093555901595e-42,7.1099364496924729e-54,1.6181863594839523e-34,7.3518956521272608e-54,5.9251794384674185e-55,5.8063656640158704e-46,3.0672410688046735e-45,3.3871042825837565e-65,5.9734254250714128e-46,8.6137004431150004e-49,7.9485743153487981e-70,5.2775519811360887e-53,7.4829297438349534e-39,6.9730676822416968e-71,2.2492844657233325e-19,2.885528646822331e-37,5.5620571259393813e-36,2.8855286468223305e-37,2.1132510798199218e-62,9.4700788978653398e-58,6.6076969909601085e-58,9.989476646519668e-101,9.4385098246397407e-103,2.3308076631943269e-45,4.9669497672602027e-55,7.8683366794914159e-56,1.0566619217937045e-74,1.6946315201824425e-46,7.4556690618952444e-84,1.0618722299355078e-56,6.4717112413336707e-68,4.4973094996226685e-79,1.0676057733504602e-79,2.7226992061281154e-69,1.3461274695795903e-60,6.5406561199301989e-85,1.3461276989712518e-60,2.7318898157161663e-76,6.4400242804501734e-63,1.4186927791602329e-74,9.070057380682101e-70,2.2181044604938294e-79,2.0172047310805361e-23,2.0082785988103373e-60,8.5609622446871091e-54
