Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155)
0.0,0.24468298689790938,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1363572886243536e-24,0.24468298689790938,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,4.8760885133646234e-18,6.6650345851863794e-17,6.6649762901667896e-17,1.0022486361546461e-30,1.0022573137725917e-30,5.134118855834045e-16,1.4407829199735243e-27,5.1679722354678277e-31,4.3560687336234007e-45,1.5365839341277488e-49,3.9050478363579226e-34,3.3227393376454116e-27,1.1593995667518517e-32,4.4923017047275735e-45,2.670462507555022e-49,3.8082717798006814e-51,1.5373903476369884e-65,1.620197111719724e-44,2.9129316271581268e-32,2.5740404110133023e-45,2.5740404110133253e-45,1.9958740208500762e-59,3.0512960482430632e-60,6.8848236691302503e-48,1.0815338605527134e-32,1.6772116907803877e-46,1.2820622320538662e-47,2.1232077357198679e-105,1.8449914515179945e-59,4.6622926410903254e-49,1.9459890755926669e-105,3.8309556231143514e-29,1.3872068582118586e-73,1.3872068559836344e-73,2.921630818473077e-42,8.6516856401991674e-43,1.0410340523568965e-30,2.9214520039516745e-42,1.5207360885880942e-55,1.9459890755926657e-105,1.6787553024847935e-62,8.817847637042286e-59,1.2683089988983446e-75,3.917666515085187e-90,5.2737097144308319e-50,1.1875022477086315e-104,2.3749090107536244e-36,2.1278662854045601e-74,1.1799575602015112e-104,1.234041264238469e-49,1.0833856926494371e-119,8.7962098687029916e-110,1.8206183766002206e-123,5.9133560942898105e-72,8.2197808050861639e-50,4.2224872737690937e-73,1.2362379511560672e-49,9.2949903061742398e-64,1.3259556555715967e-39,9.5856117867157684e-64,7.7419681047563678e-65,1.9939114397917178e-53,9.178511513602695e-53,1.7534906632821002e-77,1.7582104667844044e-53,2.6219208535567945e-56,1.1849526506365358e-84,5.8865656741413688e-63,2.1407837413586022e-46,1.0387712301306221e-85,5.8295019639067517e-22,8.2157200144619194e-45,5.3013636703732606e-41,8.2157200144619194e-45,8.1116373597187103e-75,1.238643396825712e-67,8.6661268122706243e-68,4.0137218273365959e-120,2.7417035259503223e-122,7.9670395577649112e-53,1.1430826103985296e-64,1.0198943114787303e-65,1.6419068977729658e-89,5.7839207507834345e-54,4.607668012445481e-101,1.231113604774309e-66,2.9715328653953141e-80,9.7185776537717708e-94,2.3040839696117513e-94,1.4634883327952315e-81,2.091709567024557e-70,4.0392445862365883e-102,2.0917095684055303e-70,4.3108371782423337e-91,8.7956831453597219e-73,7.6457328136861734e-87,4.233820998149385e-82,1.3991010271658767e-91,1.3348620095494504e-28,7.4152437734234537e-73,1.1075564195724523e-63,8.1399182119389218e-79,1.3846967207405664e-95
8.781800408148191e-24,0.24468298689790938,76.950000000000003,0.0,0.0,0.0,0.99999999999999811,9.5,1.3653047837420936e-17,1.8662096838521345e-16,1.8661933612466655e-16,6.0535817623715703e-30,6.0536336602869725e-30,1.4375532796173106e-15,8.7023288365581452e-27,3.1214552302000337e-30,5.1715216864229664e-44,1.8242764789004488e-48,2.3586488931602765e-33,2.0069345599189312e-26,7.0027733831810173e-32,5.3332519284555518e-44,3.1703730855485938e-48,4.5211802569793525e-50,3.4391600115529622e-64,1.9234980110170343e-43,1.7594107028033305e-31,3.0559007759546853e-44,3.0559007759547366e-44,4.4646903495251903e-58,6.8256272080113733e-59,8.1736626598308243e-47,6.5324645176804227e-32,1.9911857192054327e-45,1.5220642818645915e-46,2.2624426033295507e-103,4.1271720773166499e-58,5.5350738234308268e-48,2.073602368796033e-103,2.3138971963392814e-28,5.7243479378570765e-72,5.724347921083564e-72,3.4685601076412467e-41,1.0271281191894981e-41,6.2878456761371839e-30,3.4683478190415266e-41,3.4018258006812213e-54,2.0736023687960315e-103,3.7553084613943131e-61,1.0468550328988582e-57,5.2338303528361845e-74,2.9491870400796088e-88,6.2609481729126256e-49,1.6209704383169967e-102,1.4344450424949805e-35,4.7599524669895961e-73,1.6106717500923924e-102,1.4650537889001804e-48,2.6727615560481561e-117,1.2007047729808786e-107,4.4917842877434787e-121,2.4401629496729965e-70,9.7585237688906948e-49,1.742421196457262e-71,1.467661695612267e-48,2.0792521514407434e-62,8.0087721596515246e-39,2.1442630141867987e-62,1.7318472971596533e-63,2.3671716613196177e-52,1.0896728868724003e-51,7.2357864863863234e-76,2.0873474658261486e-52,3.1128611144572771e-55,8.9200277896469829e-83,1.3168011950285194e-61,2.5415384573938037e-45,7.8196105429986497e-84,1.6322605499293987e-21,9.7537028008840004e-44,3.202023657012929e-40,9.7537028008840004e-44,3.3472898690276107e-73,2.7707940725631507e-66,1.9385765050258145e-66,9.9020334740494234e-118,5.0047577292719604e-120,9.4584693629640843e-52,2.5506807163646066e-63,2.2814627783809858e-64,1.2359865306277776e-87,6.866670715329652e-53,6.2894441302899534e-99,2.7539518893354909e-65,1.2262113572002263e-78,7.3159026820523086e-92,1.7344569023346798e-92,6.039125582950672e-80,4.679070627822755e-69,5.5135489547264316e-100,4.6790706335213781e-69,3.2450906292418812e-89,1.9676295912946546e-71,3.1551432907745937e-85,1.7470980895961817e-80,5.8728963452721617e-90,8.0625665324940993e-28,3.0599211057446751e-71,2.4775594083266606e-62,3.3589600394070857e-77,1.0423651293497783e-93
2.0072686647195867e-23,0.24468298689790938,76.950000000000003,0.0,0.0,0.0,0.99999999999999578,9.5,3.120696648553352e-17,4.265622134518919e-16,4.2655848257064925e-16,2.9145390339339694e-29,2.9145634961016041e-29,3.2858360676202355e-15,4.189796731160096e-26,1.5028463260402425e-29,5.0774240621059669e-43,1.7911047595185276e-47,1.1355879108130199e-32,9.6625259935893955e-26,3.3715339401141355e-31,5.2362000353911855e-43,3.1126910882018722e-47,4.4389215865356194e-49,6.7952770921780325e-63,1.8885017533689826e-42,8.4708051717731532e-31,3.0003015030761495e-43,3.0003015030762511e-43,8.8214757653180658e-57,1.3486289146184864e-57,8.0249504682403336e-46,3.1451004664003384e-31,1.9549579464975824e-44,1.4943717375897339e-45,5.1487900185737438e-101,8.1545965364926898e-57,5.4343683022328856e-47,4.7190338279679919e-101,1.1140418951689724e-27,2.2644951138854856e-70,2.2644951006231725e-70,3.40545288185725e-40,1.0084404781752791e-40,3.0273270241061489e-29,3.4052444556513802e-40,6.7214345252677734e-53,4.7190338279679843e-101,7.4198566958911567e-60,1.0278088210020492e-56,2.0704750738905767e-72,2.3318607054120122e-86,6.1470360429556312e-48,2.5607660993911847e-100,6.906235403268411e-35,9.4048669862280638e-72,2.5444965049252207e-100,1.438398497584796e-47,8.4372131491767837e-115,1.8968415498634881e-105,1.4179702602151545e-118,9.6530419634085765e-69,9.5809764973948732e-48,6.8928449755750294e-70,1.440958955866842e-47,4.1082518669065858e-61,3.8558790464008239e-38,4.2367023765760964e-61,3.4218384179494648e-62,2.3241031742177867e-51,1.0698473019557444e-50,2.8623685996446358e-74,2.0493701190289837e-51,3.0564726459609913e-54,7.0527977550675383e-81,2.6017772613352617e-60,2.4952975278514864e-44,6.1827309268528979e-82,3.7308812571488777e-21,9.5762432479727192e-43,1.5416365555043528e-39,9.5762432479727192e-43,1.3241545845840411e-71,5.4746149888134781e-65,3.8302944490684637e-65,3.1258144517961964e-115,2.2772364102688515e-117,9.2863813084862779e-51,5.012473452352983e-62,4.5077859880210319e-63,9.7725738463182562e-86,6.7417380271117932e-52,9.9357802607306055e-97,5.4413448527405298e-64,4.8507701869089148e-77,5.7844642674903027e-90,1.3713829188861042e-90,2.3890180237353681e-78,9.2450550471313346e-68,8.7100560456971756e-98,9.2450550696745252e-68,2.5657955832524574e-87,3.8880091551961095e-70,1.2482397015578901e-83,6.9113463000735009e-79,2.3406769722249962e-88,3.8817787159929312e-27,1.2104743596091064e-69,4.8952398863849538e-61,1.3287711857659369e-75,8.241667647237247e-92
4.265445912529121e-23,0.24468298689790935,76.950000000000003,0.0,0.0,0.0,0.99999999999999112,9.5,6.6314803781758502e-17,9.0644470358516548e-16,9.0643677546255666e-16,1.2728557679125328e-28,1.2728659903973978e-28,6.9824016433665315e-15,1.8297943082393649e-25,6.5633247386948508e-29,4.4909123486761934e-42,1.5842195390066251e-46,4.9594107521759672e-32,4.2198789585167601e-25,1.4724374497745933e-30,4.631327019447766e-42,2.7531400045199765e-46,3.9261758741031931e-48,1.2091894558265392e-61,1.6703584141903577e-41,3.699423166488049e-30,2.6537327021362652e-42,2.6537327021364462e-42,1.5697344792336291e-55,2.3998130964944556e-56,7.0979778088809544e-45,1.3735480028120947e-30,1.729138164147269e-43,1.3217548785645224e-44,8.701227511338505e-99,1.4510668837166671e-55,4.8066372207922739e-46,7.974958548072279e-99,4.8653136410175188e-27,8.0818221857166681e-69,8.0818220909232019e-69,3.0120845082875671e-39,8.9195418266466721e-40,1.3221132463406287e-28,3.011900157669165e-39,1.1960433612121711e-51,7.974958548072253e-99,1.3203238548111014e-58,9.0908587088603932e-56,7.3894174682749716e-71,1.6667254466133525e-84,5.4369837668012175e-47,3.6631121517700242e-98,3.0161344436538697e-34,1.6735469141847829e-70,3.6398389019397693e-98,1.2722471817550084e-46,2.4146352464495981e-112,2.7133846137203721e-103,4.058114038446113e-116,3.4451021103672541e-67,8.4742651998831556e-47,2.4600074112936779e-68,1.274511878122452e-46,7.3104146927260815e-60,1.6839636825745026e-37,7.5389855121371451e-60,6.0889786365861215e-61,2.0556429379604458e-50,9.4626782285983358e-50,1.0215328288285526e-72,1.8126446606207212e-50,2.7038550911978661e-53,5.0410449305990429e-79,4.6297236239007295e-59,2.2070624037312518e-43,4.4191575426909572e-80,7.9281226721559627e-21,8.4700787042530658e-42,6.7327318630188212e-39,8.4700787042530658e-42,4.7258136565607497e-70,9.7417591962521989e-64,6.8157827023090917e-64,8.9457284137620876e-113,7.7289649017686855e-115,8.2136991023806788e-50,8.8235780731507551e-61,8.0213643059491114e-62,6.9850271563561976e-84,5.9629909372247875e-51,1.4212809723100834e-94,9.6825824355048394e-63,1.7312054243977871e-75,4.1344931879174949e-88,9.8020716754749029e-89,8.5262356332353837e-77,1.6451081414144339e-66,1.2459451196304628e-95,1.6451081494599376e-66,1.8339233971237243e-85,6.9195937451483516e-69,4.4555691873983163e-82,2.4666104028351071e-77,8.3838337888362919e-87,1.6952747440917009e-26,4.3200970084276293e-68,8.7108178261562509e-60,4.7422899627555273e-74,5.8907994189214417e-90
8.78180040814819e-23,0.24468298689790938,76.950000000000003,0.0,0.0,0.0,0.99999999999998168,9.5,1.365304783742078e-16,1.8662096838513795e-15,1.8661933612461398e-15,5.3139222688571221e-28,5.3139610947829946e-28,1.437553279382091e-14,7.6390310405565212e-25,2.7400588789306789e-28,3.7748626867386915e-41,1.3316350172041826e-45,2.0704563628382344e-31,1.7617163965559752e-24,6.1471365029159916e-30,3.8928545540356976e-41,2.3141800412448231e-45,3.3001873920265787e-47,2.0394797184505364e-60,1.4040368936662024e-40,1.5444363487167425e-29,2.2306222355339049e-41,2.2306222355342098e-41,2.6475866356305894e-54,4.0476355509474799e-55,5.9662780325926034e-44,5.7342925278418201e-30,1.4534448147915253e-42,1.1110146169506823e-43,1.2740513758699085e-96,2.4474363914100513e-54,4.0402682052407752e-45,1.167709601597909e-96,2.0311726710712915e-26,2.7306650398474723e-67,2.7306649757386064e-67,2.5318385206052358e-38,7.4974123470609358e-39,5.5195625442225903e-28,2.5316835628030804e-38,2.0173019458129601e-50,1.1677096015979024e-96,2.2269191634588454e-57,7.6414247429636552e-55,2.4967234170403085e-69,1.1272100970291789e-82,4.5701124584656679e-46,4.9567357474099293e-96,1.2591767574986615e-33,2.822685139766566e-69,4.9252435777480726e-96,1.069400414884772e-45,6.5360342296911913e-110,3.6716130880883466e-101,1.0984728494504078e-113,1.1640221397567692e-65,7.1231304948531208e-46,8.3118090521277951e-67,1.0713040286620762e-45,1.2330082887302766e-58,7.0302168858277802e-37,1.2715600984670365e-58,1.0269952454329593e-59,1.7278917511273615e-49,7.9539512188450462e-49,3.4513515524828207e-71,1.5236370551286578e-49,2.2734927343537724e-52,3.409261127032224e-77,7.8087055855980631e-58,1.8551689336215549e-42,2.9886783855818042e-78,1.6322605504442644e-20,7.1196115096440641e-41,2.8107830195093845e-38,7.1196115096440641e-41,1.5967456256370182e-68,1.6430814144473984e-62,1.1495740788314744e-62,2.4214666404873149e-110,2.2688270015168945e-112,6.9041090079609992e-49,1.4568837505251217e-59,1.3529203296665169e-60,4.7239772475364553e-82,5.0122531798916398e-50,1.9231996830196787e-92,1.6331090513456312e-61,5.8493518571862629e-74,2.7961597450037655e-86,6.6291458187670727e-87,2.8808223179084884e-75,2.7747153072781614e-65,1.6859447961702254e-93,2.7747153344621006e-65,1.240283281368804e-83,1.1674581998090264e-67,1.5059027573740915e-80,8.3341190698449197e-76,2.8383607909985653e-85,7.0774383023062722e-26,1.4596631399034681e-66,1.4692067463704692e-58,1.6023125866380142e-72,3.9839504997371903e-88
1.781450939938633e-22,0.24468298689790938,76.950000000000003,0.0,0.0,0.0,0.99999999999996292,9.5,2.7696182755910366e-16,3.7857396443824741e-15,3.7857065328123778e-15,2.1709106358269347e-27,2.1709233504616167e-27,2.9161795090576811e-14,3.1207934350116215e-24,1.119403457825112e-27,3.0948281266513916e-40,1.0917560502870197e-44,8.4584898154754088e-31,7.1971863126814594e-24,2.5113058375652097e-29,3.1915073909565733e-40,1.8973045791218722e-44,2.7056930129071178e-46,3.3498555244497129e-59,1.1511142735908866e-39,6.3095264216684448e-29,1.828798877206474e-40,1.8287988772069754e-40,4.3486689965612059e-53,6.6482535455811333e-54,4.8915151967855831e-43,2.3426456026269252e-29,1.1916218716774309e-41,9.1087690734266193e-43,1.7421574894107389e-94,4.0199216208517603e-53,3.3124559766352195e-44,1.5967441081345388e-94,8.2980031153172606e-26,8.9778290958505241e-66,8.9778286741210121e-66,2.0757541859129041e-37,6.1468316151413555e-38,2.2549213976040866e-27,2.0756271421454743e-37,3.3134245027741033e-49,1.5967441081345191e-94,3.657721412108098e-56,6.2649184606775044e-54,8.2086903685912693e-68,7.4151737150657919e-81,3.7468543073946833e-45,6.522793705137899e-94,5.1441479136281408e-33,4.6362808361874817e-68,6.4813517287173355e-94,8.7675907053541992e-45,1.7203938397984519e-107,4.831642433362866e-99,2.8913724308642477e-111,3.8270501216321757e-64,5.8399727108727086e-45,2.7327409639397466e-65,8.7831976815808371e-45,2.0252198152025246e-57,2.872072988183442e-36,2.0885412790560908e-57,1.6868427744644417e-58,1.4166300523851472e-48,6.5211297643604786e-48,1.1346125463463045e-69,1.2491697085305071e-48,1.865159599199622e-51,2.2427258416062056e-75,1.2825822369984179e-56,1.5209795727603645e-41,1.9660524665344345e-76,3.3111571178106042e-20,5.8370876614509843e-40,1.148296577707298e-37,5.8370876614509843e-40,5.2497502685705488e-67,2.6987376991103846e-61,1.8881549095563772e-61,6.373706325998882e-108,6.2126014657671052e-110,5.6604056932871171e-48,2.2961235458441865e-58,2.2221756933444951e-59,3.1075900184575516e-80,4.109347984452484e-49,2.5308226509649375e-90,2.6823865207469446e-60,1.9231389144746745e-72,1.8394072749571744e-84,4.3608735377773581e-85,9.4715134945907795e-74,4.5574781345376502e-64,2.2186085595786255e-91,4.5574782239124923e-64,8.1589976908293707e-82,1.9187611685426757e-66,4.9541472586230979e-79,2.7400760107353632e-74,9.3454953762620813e-84,2.8913644459293955e-25,4.7990530474590544e-65,2.4131764926627109e-57,5.2680531494543886e-71,2.6207757072336775e-86
3.587992738186261e-22,0.24468298689790938,76.950000000000003,0.0,0.0,0.0,0.99999999999992539,9.5,5.5782452592888454e-16,7.6247995654393321e-15,7.6247328759411432e-15,8.7751678886368198e-27,8.7751938407926402e-27,5.8734319667477229e-14,1.2614746032208599e-23,4.5248077526299966e-27,2.5062196255157946e-39,8.8413283778047684e-44,3.4190568230363024e-30,2.909217779760758e-23,1.015109971868829e-28,2.5844197208885781e-39,1.5364863815203901e-43,2.1911403516804341e-45,5.4302633191205036e-58,9.3220218312697453e-39,2.5504114602776492e-28,1.4810087455694028e-39,1.4810087455702155e-39,7.0493798316475565e-52,1.0777105486388963e-52,3.9612758247484059e-42,9.469348079760073e-29,9.6500628506846478e-41,7.376517351436361e-42,2.3041700562593013e-92,6.5164661735560607e-52,2.6825127298941259e-43,2.111846939117866e-92,3.3541855317897394e-25,2.9119372686594653e-64,2.9119369950269963e-64,1.6809995564721236e-36,4.9778636067964252e-37,9.1147528151627715e-27,1.6808966731369385e-36,5.3712039015508396e-48,2.1118469391178146e-92,5.9293240280489455e-55,5.0735205784006068e-53,2.6624706445470905e-66,4.8112206453924139e-79,3.0342997608816905e-44,8.4653333001299642e-92,2.0793468345270467e-32,7.5156499906869875e-67,8.4115495751410798e-92,7.1002222677073354e-44,4.4657203898025118e-105,6.2705438091508144e-97,7.505303482789678e-109,1.2412945328307103e-62,4.7293612638261296e-44,8.8635798070529838e-64,7.1128612022855182e-44,3.282968588132269e-56,1.1609378223154685e-35,3.3856154116818955e-56,2.7344448282907711e-57,1.1472237450171933e-47,5.280979951095319e-47,3.6793346244228641e-68,1.0116100111501369e-47,1.5124191189371498e-50,1.4551570456999787e-73,2.0791210756054233e-55,1.2317286862350405e-40,1.275641920223634e-74,6.668950256179301e-20,4.727024920158514e-39,4.6415983691435801e-37,4.727024920158514e-39,1.7027439150247633e-65,4.374677845171411e-60,3.06070277370258e-60,1.6544577972937859e-105,1.6443909653573005e-107,4.583943286151672e-47,3.4430127894817974e-57,3.602242524292952e-58,2.0163104321609053e-78,3.3278565398433505e-48,3.2845196455448665e-88,4.3482641419879085e-59,6.2376549715165682e-71,1.1934701995414829e-82,2.8294835389069778e-83,3.0720626984905391e-72,7.3878681606067113e-63,2.879325976192369e-89,7.3878684504918513e-63,5.293836079982241e-80,3.1143096361646812e-65,1.6088563000887051e-77,8.8873708625471373e-73,3.0362127254881224e-82,1.168735712366198e-24,1.5565613517585248e-63,3.911863085432834e-56,1.7086803658661219e-69,1.7004486987048669e-84
7.201076334681516e-22,0.24468298689790938,76.950000000000003,0.0,0.0,0.0,0.99999999999985034,9.5,1.1195499226684023e-15,1.5302919407531728e-14,1.5302785562183828e-14,3.5284564133312142e-26,3.5284463879798782e-26,1.1787936875483241e-13,5.0723338946261759e-23,1.8194052956095529e-26,2.0171391945524569e-38,7.1162721876145798e-43,1.3747877109882866e-29,1.1697836732862115e-22,4.0817125507194143e-28,2.0799313081881174e-38,1.2366978184254198e-42,1.7636203799342889e-44,8.7452741675209358e-57,7.5031741628709389e-38,1.0255092310534181e-27,1.1920446832747858e-38,1.1920446832760947e-38,1.1352808870745978e-50,1.7356196134286972e-51,3.1883794026123794e-41,3.8075832128620686e-28,7.7672100945901231e-40,5.9372628988758241e-41,2.9977884143061094e-90,1.0494567867896108e-50,2.1591196164108463e-42,2.7475707661775451e-90,1.3487032492229514e-24,9.3811932911720357e-63,9.3811915278953994e-63,1.3530146853500368e-35,4.0066176910447242e-36,3.6650020149246552e-26,1.3529318758936653e-35,8.6501582900801022e-47,2.7475707661774116e-90,9.5489935469756981e-54,4.0836545016492869e-52,8.5775063699774867e-65,3.1003328060439134e-77,2.4422684240536511e-43,1.0910647046713269e-89,8.3609621685541776e-32,1.2103848117474204e-65,1.0841327243384699e-89,5.7148765854166433e-43,1.1511705496565924e-102,8.0818661479365101e-95,1.9347136166325283e-106,3.9989956810314193e-61,3.8066013114499873e-43,2.8555202994012975e-62,5.7250495004800808e-43,5.287119686936961e-55,4.6680799235935818e-35,5.4524292380737426e-55,4.4037390973870921e-56,9.2338547616990956e-47,4.2505920934122168e-46,1.1848615998065575e-66,8.1423173583209353e-47,1.2204889315100836e-49,9.3769754070199622e-72,3.3483603939875966e-54,9.914023952471421e-40,8.2201869216500078e-73,1.3384536547460757e-19,3.8047208898874155e-38,1.8663662939423399e-36,3.8047208898874155e-38,5.485616331975633e-64,7.0449866545784755e-59,4.9289172093462096e-59,4.2648506607208376e-103,4.2801554229465789e-105,3.6895563504755497e-46,4.8197458502287737e-56,5.8013004228298668e-57,1.299302600672725e-76,2.6785484602295482e-47,4.233291521381866e-86,7.0027453510761403e-58,2.0095436384327189e-69,7.6906755575530754e-81,1.823308186144595e-81,9.8970591987541989e-71,1.1897932981544627e-61,3.7110529267230239e-87,1.1897933915448113e-61,3.4113273818381606e-78,5.0281099829838523e-64,5.1959702973282154e-76,2.8631849093719009e-71,9.8078531186946765e-81,4.6994346905360469e-24,5.0146697325311866e-62,6.2999349030443127e-55,5.5047411111092217e-68,1.0957625297986724e-82
1.4427243527672029e-21,0.24468298689790938,76.950000000000003,0.0,0.0,0.0,0.99999999999970024,9.5,2.2430007161472627e-15,3.0659159091631204e-14,3.0658890934609814e-14,1.4150688357365126e-25,1.4150484041219457e-25,2.3616946666376021e-13,2.0342327548115732e-22,7.2966289771190296e-26,1.6184917395751242e-37,5.710361040630637e-42,5.5135136099241968e-29,4.6913557223897953e-22,1.6369492918889465e-27,1.668637628741804e-37,9.9237196598004924e-42,1.4151942859645183e-43,1.4038103732106574e-55,6.0208247250700395e-37,4.1127506866811441e-27,9.5654078596266285e-38,9.5654078596476452e-38,1.8223772416035598e-49,2.7860538574977718e-50,2.5584736664890073e-40,1.5270111648314873e-27,6.2326969003694205e-39,4.764279547646198e-40,3.8684871433321348e-88,1.6846105581157123e-49,1.7325575124506491e-41,3.5455945234974078e-88,5.408903244711187e-24,3.0121040992526741e-61,3.0121029668895866e-61,1.0857090729303179e-34,3.2150583625929749e-35,1.4698297260677e-25,1.0856426235606418e-34,1.3885419749769389e-45,3.5455945234970618e-88,1.5328249396035679e-52,3.2769457774858674e-51,2.7540577965301162e-63,1.9910116513294878e-75,1.9597665990149417e-42,1.4013858617606324e-87,3.3531197826965601e-31,1.9429759744010804e-64,1.3924822842124559e-87,4.5858285478183846e-42,2.9572140611607339e-100,1.0380514573841626e-92,4.9700404598588332e-104,1.2839936441923798e-59,3.0545576945840603e-42,9.1684768036417863e-61,4.5939916730175519e-42,8.4869979666547089e-54,1.872108834309247e-34,8.7523564267906127e-54,7.0689765313283122e-55,7.4095869179204858e-46,3.4108324522313671e-45,3.8012347551020298e-65,6.5336967467912541e-46,9.8444083937878706e-49,6.0218259568627966e-70,5.3748599741531467e-53,7.9553797074405824e-39,5.278944738811917e-71,2.6815709188199938e-19,3.0530488887769801e-37,7.484963625131624e-36,3.0530488887769801e-37,1.7613163570412732e-62,1.1307809940724005e-57,7.9112004132175461e-58,1.0955870843330643e-100,1.1048387585842158e-102,2.9606366107798148e-45,6.1264405015282618e-55,9.3123716149247448e-56,8.3440275672207975e-75,2.1493664502249697e-46,5.4373255678102943e-84,1.1240957162372382e-56,6.4522231856267674e-68,4.9388963712779469e-79,1.1709153609496026e-79,3.1777381484169692e-69,1.9098814425639596e-60,4.7665517160631098e-85,1.9098817424207131e-60,2.1907298354183952e-76,8.1117148285957208e-63,1.6765530407811666e-74,9.1930862879526027e-70,3.1650037016245998e-79,1.8846833330083735e-23,1.6101052808921533e-60,1.0112790744422888e-53,1.7674567375836494e-66,7.0369079379374775e-81
