Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374)
0.0,0.2858099204596185,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8493722866611165e-22,0.2858099204596185,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,4.0917756392893252e-17,3.5347488292890393e-16,3.5347459037734123e-16,7.1735305423923376e-28,7.1734952694863797e-28,1.6104955215528707e-16,6.9699727161042039e-26,4.483268435952791e-28,1.5408761537437541e-40,3.0168752874456314e-45,6.8928375913391708e-32,9.8472782756075881e-26,1.8897779769831592e-30,1.9259553759082566e-40,2.3353442143613373e-45,5.6407889883478533e-48,5.9353567468695175e-61,4.0292853361411605e-42,7.5765119930689212e-31,2.6061206363357116e-42,2.6061206363394541e-42,3.3054508009949664e-54,4.3739426972039562e-55,5.1978820885342913e-48,3.7930867411489926e-31,9.6218581992842231e-43,6.3660690988279533e-44,3.4750495629346075e-97,1.6699060950930324e-54,7.7929039958198792e-47,3.2736485445269873e-97,1.0521120521236082e-27,1.6944812215124048e-66,1.6944807983111158e-66,1.7438649427463151e-39,5.2828529337270765e-40,4.0293089556418379e-30,1.7438225542173519e-39,4.3021509860831223e-51,3.2736485445269821e-97,4.6184010447526574e-58,1.3220220300917356e-57,2.1577475842718282e-69,5.9882892401595834e-82,1.5520485426090229e-47,2.6834440778763014e-94,5.9439229140310396e-36,3.2756983345678411e-71,2.4156919586621681e-95,2.2218405209428569e-47,3.5413468822257106e-108,2.5859755809701981e-100,1.128540170962683e-111,1.2933845117079091e-66,1.6938442171756544e-48,1.9283375801464966e-68,1.4664137566011315e-47,1.4879943467102412e-59,2.5743324912167638e-39,1.8599133391538194e-59,1.2997750595791851e-60,5.2244357175075386e-51,1.4672189868060989e-51,1.1931229071994168e-71,9.5900234121727434e-52,5.6610059520150559e-56,8.3455434347779307e-78,2.7984901136615699e-59,9.7462411874723966e-44,7.6580223605149265e-79,2.9255201084074823e-22,5.2285247055454993e-42,7.4149574637757875e-40,5.2285247055454993e-42,1.1390388890299368e-70,1.9439383683425334e-63,1.1222060986411511e-63,6.147727551430565e-109,3.3365506778902407e-113,2.8052796153552993e-50,7.0147125841141598e-61,2.9619864217020558e-61,5.7972906068000187e-84,2.3113128484776684e-51,2.5089766996463858e-93,3.3422404590646647e-64,3.1270549373895182e-76,1.5169626436159358e-87,3.9661733628502554e-88,5.6128264793361307e-77,4.2690904386934004e-66,2.3022826328014886e-94,4.2690909267855192e-66,4.8562814870878295e-86,2.6717548039998714e-70,1.147805142872196e-82,1.3468164096892113e-78,1.1244995278536543e-87,4.1242582803387062e-27,1.7603436601399347e-67,3.831582033224511e-59,2.1173217189720524e-72,6.5335282633907088e-90,8.9191693500368443e-90,3.4241392875724142e-98
1.6378242402651125e-21,0.2858099204596185,76.950000000000003,0.0,0.0,0.0,0.99999999999999745,9.5,1.1456971790010084e-16,9.8972967219715223e-16,9.8972885305422667e-16,4.3328124475518591e-27,4.3327671092732096e-27,4.5093874546241233e-16,4.2098635160679453e-25,2.7078941338697889e-27,1.8293028421097552e-39,3.5816360617718306e-44,4.1632739051622789e-31,5.9477560721672473e-25,1.1414258980941911e-29,2.2864006491444508e-39,2.7725203367899176e-44,6.6967446869400598e-47,1.3277161680559312e-59,4.7835675464245333e-41,4.5762132437892182e-30,3.093986419438714e-41,3.0939864194470868e-41,7.3941611988920073e-53,9.7843348489739254e-54,6.1709256019963412e-47,2.2910243892853734e-30,1.1423070002974455e-41,7.5577972211814144e-43,3.7029349731271569e-95,3.7355131323659615e-53,9.2517356093229397e-46,3.4883265592964952e-95,6.3547567880957863e-27,6.9923235874029215e-65,6.9923204016504475e-65,2.070316456184471e-38,6.2718029912337126e-39,2.4337026042801246e-29,2.0702661325237076e-38,9.6237396527569217e-50,3.4883265592964852e-95,1.0331178381447184e-56,1.5701276273009977e-56,8.9040097837556564e-68,4.5078366506518417e-80,1.8425920277813432e-46,3.6628895380378809e-92,3.5901294400458212e-35,7.3303850711223562e-70,3.2974090555782809e-93,2.6377690661777268e-46,8.7364751359499726e-106,3.5298454647266121e-98,2.7841026900122186e-109,5.337187393090796e-65,2.0109318376123905e-47,7.9573390009571116e-67,1.7409264118203731e-46,3.3285838265427482e-58,1.5548968246862579e-38,4.1605517353768199e-58,2.9075448170813871e-59,6.2024500837408505e-50,1.7418823926973826e-50,4.9232962673163407e-70,1.138527553604692e-50,6.7774382548116196e-55,6.2823167789832029e-76,6.2601104351256767e-58,1.1570737250270158e-42,5.7647680765572745e-77,8.1914563199722837e-22,6.207304506368905e-41,4.4786343160846389e-39,6.207304506368903e-41,4.7002758605447753e-69,4.3484424986264879e-62,2.5102893949027625e-62,1.5166395239476459e-106,6.2137882142747537e-111,3.3304279592234006e-49,1.5095323850217551e-59,6.625844901011139e-60,4.3640556592424669e-82,2.7439906136940013e-50,3.424740823344863e-91,7.4764582172344434e-63,1.2903879761290645e-74,1.1419316150590533e-85,2.985636303411016e-86,2.3161485625761322e-75,9.5497827029286371e-65,3.1426044414795127e-92,9.5497847170538603e-65,3.6556874844534518e-84,6.0247698135017773e-69,4.773692668703544e-81,5.5576756335301044e-77,4.678498373499632e-86,2.4910517383210843e-26,7.2641073906163219e-66,8.5710957449930473e-58,8.7371864901478685e-71,4.9182770068750114e-88,6.7197624692957089e-88,4.6778268197535094e-96
3.7435982634631144e-21,0.2858099204596185,76.950000000000003,0.0,0.0,0.0,0.99999999999999423,9.5,2.61873640914515e-16,2.2622392507185324e-15,2.2622373783986813e-15,2.0860626816480204e-26,2.0860163745194167e-26,1.0307171297870977e-15,2.0268680591546132e-24,1.3037344590065246e-26,1.7959667314819814e-38,3.5164722785004372e-43,2.0044371715515507e-30,2.8635885130970839e-24,5.4954743570124653e-29,2.2446035343867011e-38,2.7220762413102303e-43,6.5749036447360374e-46,2.6233439788188974e-58,4.6965349734151593e-40,2.2032496875478282e-29,3.0376942136538743e-40,3.0376942136704171e-40,1.4609616398601746e-51,1.9332196830023447e-52,6.0586513205097055e-46,1.1030296207732004e-29,1.1215237758316796e-40,7.4202901014577583e-42,8.4270136182056029e-93,7.3807444353154842e-52,9.0834088525328768e-45,7.9386150805446575e-93,3.0595418374792424e-26,2.7660931341475641e-63,2.7660906152709833e-63,2.032648965348849e-37,6.1576933433223566e-38,1.1717230369093291e-28,2.0325995572820344e-37,1.9014887741194477e-48,7.9386150805446115e-93,2.0412667444432684e-55,1.5428804050149701e-55,3.5223385073341519e-66,3.5642116967720685e-78,1.809067775052404e-45,5.7864690568703055e-90,1.7284927833568331e-34,1.4495622162438747e-68,5.2090993380792271e-91,2.5897773103255286e-45,2.7578460825176493e-103,5.5762919889690317e-96,8.7885902168051503e-107,2.1113382482672919e-63,1.9743447667824461e-46,3.1478441611367671e-65,1.7092518746431561e-45,6.5767206954459233e-57,7.4861588843283279e-38,8.2205490825457689e-57,5.7448185945052009e-58,6.0896022720660744e-49,1.7101904868608522e-49,1.9474681982733954e-68,1.1178130486686428e-49,6.7742136988984115e-54,4.9672389484806631e-74,1.2368923259764314e-56,1.1360217836876972e-41,4.5580287548219918e-75,1.8723328808827219e-21,6.0943683222142277e-40,2.1562696423987292e-38,6.0943683222142269e-40,1.8593823808149296e-67,8.5914874711881258e-61,4.959732582405604e-61,4.787580672838089e-104,2.8245348131066598e-108,3.2698339192824797e-48,2.7533174649442994e-58,1.3091551915199325e-58,3.4505275700329026e-80,2.6940662561276328e-49,5.4102511131431061e-89,1.4772221545968151e-61,5.1046465132734813e-73,9.0289099166526553e-84,2.3606528345963202e-84,9.1624533807981502e-74,1.8868753367697457e-63,4.9645447807106549e-90,1.8868761335371575e-63,2.8904421594543832e-82,1.2112186974289123e-67,1.9209906509381619e-79,2.1985612186611018e-75,1.8829905787092211e-84,1.1993339134173367e-25,2.8736086338627465e-64,1.6935040838731245e-56,3.4563433282420038e-69,3.8887337532013796e-86,5.3150229609256029e-86,7.3925031439346095e-94
7.955146309859117e-21,0.2858099204596185,76.950000000000003,0.0,0.0,0.0,0.99999999999998768,9.5,5.5648148694333927e-16,4.807258407700828e-15,4.8072544290503284e-15,9.1103837880150022e-26,9.1099664853770508e-26,2.190273889278205e-15,8.8518652803379482e-24,5.6937508912517249e-26,1.5884168110809728e-37,3.1102802076558115e-42,8.7539037408986128e-30,1.2506043312375739e-23,2.4000180307122316e-28,1.9849739503589107e-37,2.4076444238453112e-42,5.8154278152544186e-45,4.668100860263199e-57,4.1540319799270372e-39,9.6221702308191788e-29,2.6868061311126984e-39,2.686806131142136e-39,2.5997031407535245e-50,3.4400611236062089e-51,5.3588084300349987e-45,4.8172201245456402e-29,9.9197505957193706e-40,6.5631625138418405e-41,1.4241280468909971e-90,1.3133640276436199e-50,8.0341722090413758e-44,1.3415908531646131e-90,1.336182295764232e-25,9.8719860441806575e-62,9.8719680403343056e-62,1.7978549763496033e-36,5.446409984472428e-37,5.1172222972881887e-28,1.7978112754771265e-36,3.3835976509983857e-47,1.3415908531645974e-90,3.6323250769371922e-54,1.3670080381923287e-54,1.257097709469786e-64,2.5475497258340097e-76,1.600099952441583e-44,8.2773561085864562e-88,7.5487821003710213e-34,2.5837145883746373e-67,7.4514474721946928e-89,2.2906287016117691e-44,7.8926025293559708e-101,7.9767046606738003e-94,2.5151825688841579e-104,7.5352161805196861e-62,1.7462855233486737e-45,1.1234432111461955e-63,1.5118139263981454e-44,1.170292297225222e-55,3.2694022637109351e-37,1.4628027749914001e-55,1.0222597741443081e-56,5.3861842467740775e-48,1.5126441619009084e-48,6.9493816209912544e-67,9.8869288516753231e-49,6.2053355207332532e-53,3.5503746660371483e-72,2.2009837924376628e-55,1.0047982943030943e-40,3.2578883346649684e-73,3.9787074049438407e-21,5.3903996738330142e-39,9.4169961022377574e-38,5.3903996738330129e-39,6.636003593131265e-66,1.5287012867362592e-59,8.8249491102947407e-60,1.3701440408133346e-101,9.5743738638759303e-106,2.8921310715124183e-47,4.242048257576327e-57,2.329571336902272e-57,2.4662928042225316e-78,2.382871094144862e-48,7.739187750353223e-87,2.6286378963124305e-60,1.8218120848498258e-71,6.453487283726004e-82,1.6872959169763604e-82,3.2700145298946332e-72,3.3575909944415963e-62,7.1016193812718725e-88,3.3575938380443266e-62,2.0659671794614163e-80,2.2297536734316072e-66,7.0891094679461891e-78,7.8465088748577715e-74,6.9494161374836892e-83,5.2378039394785407e-25,1.0255705021274127e-62,3.0135000336004646e-55,1.2335438395187467e-67,2.779504301829744e-84,3.7996054239165887e-84,1.0576553631782768e-91
1.6378242402651125e-20,0.2858099204596185,76.950000000000003,0.0,0.0,0.0,0.99999999999997458,9.5,1.1456971790009717e-15,9.8972967214235783e-15,9.8972885302045641e-15,3.8034058928354767e-25,3.8030519504883163e-25,4.5093873716273729e-15,3.6954794718754989e-23,2.3770289045746905e-25,1.3349995372671978e-36,2.6143780428929555e-41,3.6545824908360947e-29,5.2210268538458356e-23,1.00196028334573e-27,1.6678975860823788e-36,2.0237682161063955e-41,4.8882174843651174e-44,7.8734345769438455e-56,3.4917141489049259e-38,4.0170666583846254e-28,2.2584224452934345e-38,2.2584224453430858e-38,4.3847791975626127e-49,5.8021658585363689e-50,4.5044012922252621e-44,2.0110945571149724e-28,8.3381477608590239e-39,5.5167334710201518e-40,2.0852371634200486e-88,2.2151803660263572e-49,6.753205744883324e-43,1.9643845307533399e-88,5.5782980064646211e-25,3.3355183475804014e-60,3.3355061716112602e-60,1.5112054121439373e-35,4.5780356886849361e-36,2.1363395395420519e-27,1.5111686789326483e-35,5.7069319063722908e-46,1.9643845307532942e-88,6.1264470516724043e-53,1.1530022555232163e-53,4.2474491430563299e-63,1.7229091558046824e-74,1.3449804105780109e-43,1.1200465888105954e-85,3.1514679286157009e-33,4.3723105418258503e-66,1.0082891461508479e-86,1.9254114426271196e-43,2.1363967440624966e-98,1.0793640844759094e-91,6.8081832270242764e-102,2.5459792038986408e-60,1.4678580960909071e-44,3.7958606277802398e-62,1.2707706986556591e-43,1.9738689748374793e-54,1.3649110867222101e-36,2.4672306471986371e-54,1.7241905247155377e-55,4.5274124008272537e-47,1.271468635011491e-47,2.3473674846922994e-65,8.3105577909297146e-48,5.5753261692523071e-52,2.4011200582543558e-70,3.7122808187765226e-54,8.4459332775779664e-40,2.2033114166956442e-71,8.1914565582266026e-21,4.5309555693202464e-38,3.9314105581854495e-37,4.5309555693202443e-38,2.2421555985472501e-64,2.5780137454919681e-58,1.4882440825627527e-58,3.7087514332261414e-99,2.8085181452066871e-103,2.4310104289966099e-46,5.6344469997128387e-56,3.9291612797456702e-56,1.6679549864324539e-76,2.0029467332644142e-47,1.047224541192509e-84,4.4335820215324474e-59,6.1554913041389462e-70,4.3644965862965938e-80,1.1411190168552496e-80,1.1048640034780859e-70,5.6630583432096939e-61,9.6095227844652426e-86,5.6630679510765253e-61,1.3972145825920448e-78,4.0120726811320993e-65,2.5528963603479998e-76,2.6511580430907658e-72,2.5026914484624239e-81,2.1866780713421771e-24,3.4651708829514185e-61,5.0827082688362148e-54,4.1678621638533539e-66,1.8797801293224544e-82,2.5698903347067326e-82,1.4312821647536586e-89
3.322443458823514e-20,0.2858099204596185,76.950000000000003,0.0,0.0,0.0,0.99999999999994837,9.5,2.3241285631161718e-15,2.0077373347901822e-14,2.0077356731916821e-14,1.5538154089770224e-24,1.5535239566803508e-24,9.1476141897935358e-15,1.5097239175338732e-22,9.7109385922600123e-25,1.0942501609454819e-35,2.1434251228636069e-40,1.493016193556589e-28,2.1329597892035362e-22,4.0933346888350186e-27,1.3664723630672974e-35,1.6592041851775827e-40,4.0076560270676355e-43,1.2932139552616014e-54,2.8627181714977139e-37,1.6411028034583977e-27,1.8515911685905243e-37,1.851591168672076e-37,7.2020125718558761e-48,9.5300747261077913e-49,3.6929801833723754e-43,8.2159773250408855e-28,6.8361167716163315e-38,4.5229512719499992e-39,2.8513854383221792e-86,3.638440298084963e-48,5.5366859302783459e-42,2.686129685639336e-86,2.2789167098842692e-24,1.0966437338398282e-58,1.0966357241344006e-58,1.2389774601017343e-34,3.7533501293591066e-35,8.7276437882861524e-27,1.2389473440043245e-34,9.3736525004578479e-45,2.6861296856392099e-86,1.0062707342610287e-51,9.5177796028306306e-53,1.3964683104810251e-61,1.1333871588827577e-72,1.1026961800524048e-42,1.4739182971521553e-83,1.287477478529109e-32,7.2291632128220989e-65,1.3268517901331026e-84,1.5785686261560427e-42,5.6233473692531854e-96,1.4203824270581299e-89,1.792025820552222e-99,8.3706223379789392e-59,1.2034385745127739e-43,1.2479958786620189e-60,1.0418545953182444e-42,3.2420855936503006e-53,5.5761071482514185e-36,4.052433613362841e-53,2.8319881109634319e-54,3.7118462200598929e-46,1.0424269260639936e-46,7.7132195618459504e-64,6.8134946885700233e-47,5.1603208379300877e-51,1.5795369116978616e-68,6.0974322287680356e-53,6.9244833941308064e-39,1.4494117881262561e-69,1.6616955285434222e-20,3.7147508744772741e-37,1.6061095403608024e-36,3.7147508744772725e-37,7.3717168272101318e-63,4.2331986342851056e-57,2.4437473182683235e-57,9.7620355171418208e-97,7.6875477164711391e-101,1.9930892243582462e-45,6.4815578299717008e-55,6.453655004959649e-55,1.0972364603578866e-74,1.6421367446804068e-46,1.3780885628743645e-82,7.2821717822974216e-58,2.0237908794638935e-68,2.8711116482525857e-78,7.5066616594798808e-79,3.632551112490261e-69,9.3015587145526119e-60,1.2645591214116495e-83,9.3015903029581309e-60,9.1913439289510483e-77,7.41531092109613e-64,9.4300156585581908e-75,8.7164278317542812e-71,9.2447843598098338e-80,8.9332773422990226e-24,1.1392723378622925e-59,8.3483635931411857e-53,1.3702994754167073e-64,1.2365821874164143e-80,1.6906279678546294e-80,1.8835635113076004e-87
6.691681895940317e-20,0.2858099204596185,76.950000000000003,0.0,0.0,0.0,0.99999999999989597,9.5,4.6809913313463119e-15,4.0437526596990016e-14,4.043749313295644e-14,6.2807703141702913e-24,6.2784052599728775e-24,1.8424067239997285e-14,6.102545238426224e-22,3.9253165721052321e-24,8.8572627983505337e-35,1.7358012586202858e-39,6.0350101667815291e-28,8.621764187600992e-22,1.6545913278383213e-26,1.1050355109482059e-34,1.3436612716859557e-39,3.2455037557719255e-42,2.0963553514206709e-53,2.3183033180969991e-36,6.633599920135978e-27,1.4994665337468449e-36,1.4994665338790434e-36,1.1674771351001086e-46,1.5448661422866667e-47,2.9906708719747925e-42,3.3210292799164564e-27,5.5360637376202239e-37,3.662802987462108e-38,3.7712302036569196e-84,5.8980681741168103e-47,4.4837515702328421e-41,3.5526636509034279e-84,9.2117453761958146e-24,3.5569264931663713e-57,3.5568745241623616e-57,1.0033560051288027e-33,3.0395600501508355e-34,3.5278529187587479e-26,1.0033316163461272e-33,1.5195093692695521e-43,3.5526636509030942e-84,1.6312081143441333e-50,7.8126528668541354e-52,4.5294110719673046e-60,7.353801918941423e-71,8.9299192219227277e-42,1.9128614810813707e-81,5.2041898167236508e-32,1.1873207768440229e-63,1.7219975391937188e-82,1.278365795807345e-41,1.4596820002116228e-93,1.843382297857648e-87,4.6516562765696834e-97,2.7149911239336629e-57,9.7457547234776487e-43,4.0478444112707301e-59,8.4372086291556359e-42,5.2555600540385195e-52,2.2539516631777989e-35,6.5691690863347917e-52,4.590774755846607e-53,3.0059493037007097e-45,8.4418454612790063e-46,2.4989079642124335e-62,5.5177402916970038e-46,5.1334961354959742e-50,1.0248573600290568e-66,9.8841998694108027e-52,5.6076213412832671e-38,9.4042775026363286e-68,3.3467954422417779e-20,3.0083011645576923e-36,6.492151949663997e-36,3.0083011645576896e-36,2.3909985359960631e-61,6.8583208384915099e-56,3.9591584296280151e-56,2.5339790955594515e-94,2.0344069960883625e-98,1.6140553270934337e-44,6.5538984126235527e-54,1.0461639268493439e-53,7.1192439913934846e-73,1.3298449107977234e-45,1.7884930053241824e-80,1.1804714265029938e-56,6.5641172901208282e-67,1.8628752175561471e-76,4.8705777156744337e-77,1.178209245374548e-67,1.5078124994939376e-58,1.6411537030024913e-81,1.507822745014707e-58,5.9636571815483742e-75,1.4696816093547794e-62,3.7310771213452318e-73,2.8271526197907829e-69,3.6578502737727538e-78,3.6109605368941967e-23,3.6952022921934246e-58,1.3533057137168653e-51,4.4445178255279367e-63,8.0233675582981892e-79,1.0969562576258686e-78,2.4445452295143809e-85
1.3430158770173923e-19,0.28580992045961856,76.950000000000003,0.0,0.0,0.0,0.99999999999979128,9.5,9.3947168678055557e-15,8.1157833079699574e-14,8.1157765925496167e-14,2.5254701173859339e-23,2.5235650951244045e-23,3.6976970995891455e-14,2.4538064232112425e-21,1.5783524720256071e-23,7.1222496257046601e-34,1.3971238769659221e-38,2.4266510448620044e-27,3.4667732095997562e-21,6.6530389562230101e-26,8.869129572048994e-34,1.0814869632457819e-38,2.6122637743716948e-41,3.3761149683157555e-52,1.8659720724101708e-35,2.6673413512843116e-26,1.206901116483511e-35,1.2069011166964127e-35,1.8801854890597937e-45,2.4879591719474992e-46,2.4071517340299705e-41,1.3353711729131382e-26,4.4559043345321746e-36,2.9481421500453065e-37,4.90647388363285e-82,9.4986558714987244e-46,3.6089129478904723e-40,4.6221128064936445e-82,3.7040020335723458e-23,1.1459040524501186e-55,1.1458705647251425e-55,8.0758809873982559e-33,2.4465020473400344e-33,1.4185339467618743e-25,8.075684685479981e-33,2.4471226897881984e-42,4.6221128064927755e-82,2.6270100295863043e-49,6.4571820933905771e-51,1.459209814547849e-58,4.7387604066449127e-69,7.1875753320246413e-41,2.465413377599685e-79,2.0925818352969317e-31,1.9618822469228033e-62,2.2194162055346586e-80,1.028940000034677e-40,3.7627570401979838e-91,2.3758644508973451e-85,1.1991004006895342e-94,8.7467044828448205e-56,7.8442266502102714e-42,1.3040667991960321e-57,6.7909995208369492e-41,8.4639161451652926e-51,9.0630405017990963e-35,1.0579442905425047e-50,7.3933011842545436e-52,2.4194495090185461e-44,6.7947347847663689e-45,8.0322243790079665e-61,4.4411504024709413e-45,5.66847612374892e-49,6.6041399297989381e-65,1.5918197470922287e-50,4.5134937151366682e-37,6.0600789390439047e-66,6.7169959426657487e-20,2.4213418415375741e-35,2.6104660612496862e-35,2.4213418415375693e-35,7.7029193325735865e-60,1.1032648857222934e-54,6.3688313883042352e-55,6.5320508866157861e-92,5.2948218161994758e-96,1.2991321452189588e-43,6.0112431219050877e-53,1.6848103720010783e-52,4.5876124560692726e-71,1.0703748775960175e-44,2.3051197510423754e-78,1.9011128391370356e-55,2.1147178763893704e-65,1.2004295714297008e-74,3.1385807064401412e-75,3.7957580237962797e-66,2.4282525290137654e-57,2.1152198075645937e-79,2.4282855356610523e-57,3.8429570300743305e-73,3.2288911911969999e-61,1.6353085193875335e-71,9.1080496980941967e-68,1.6032367567083279e-76,1.4519408993019674e-22,1.1904584942915889e-56,2.1794571309734509e-50,1.4318505201895805e-61,5.1702273857781504e-77,7.0687669654086102e-77,3.1506915043828099e-83
2.6907112518641135e-19,0.2858099204596185,76.950000000000003,0.0,0.0,0.0,0.99999999999958189,9.5,1.8822167940719892e-14,1.6259844598330169e-13,1.6259831147241756e-13,1.0128264697907223e-22,1.0112980492591967e-22,7.4082769129634357e-14,9.8408598275920068e-21,6.3298988874356711e-23,5.7042003134443451e-33,1.1211039348388457e-37,9.7319560340038061e-27,1.3903309114771607e-20,2.6681661847276436e-25,7.0768729356489555e-33,8.6781149852925166e-38,2.0961771631534107e-40,5.4194099326226726e-51,1.4973248713598179e-34,1.0697231808447434e-25,9.6846213717229118e-35,9.6846213751404585e-35,3.0181126773075384e-44,3.9937250706814152e-45,1.9315870816991136e-40,5.355434907777814e-26,3.5755803775785689e-35,2.3656978447175047e-36,6.3315446218386129e-80,1.524744279119086e-44,2.8959247279198177e-39,5.964591716128537e-80,1.4854702664689534e-22,3.6792113756432185e-54,3.6789963314363229e-54,6.4803842190885458e-32,1.9631633092979278e-32,5.6889540107540525e-25,6.4802266995188169e-32,3.9281728920626738e-41,5.9645917161262943e-80,4.2169317648730991e-48,5.452512460261441e-50,4.6852147441767208e-57,3.0431964994570724e-67,5.7675756745094462e-40,3.1666256980481527e-77,8.3921890804256446e-31,3.3089389938562555e-61,2.8506620664077908e-78,8.256595372256748e-40,9.6660497936737251e-89,3.0516075747077031e-83,3.080338230901613e-92,2.8083826842278892e-54,6.2944904717874286e-41,4.1870837368057647e-56,5.4493494260897606e-40,1.3586455707749499e-49,3.6346845928543885e-34,1.6982344387713106e-49,1.1867885659859973e-50,1.9414558557231658e-43,5.4523517763189886e-44,2.5672810735770947e-59,3.5637322429888883e-44,7.0146301118479652e-48,4.2411296840888709e-63,2.5552226813223641e-49,3.6217819507811732e-36,3.8917378089770161e-64,1.3457399635622239e-19,1.9429732906969202e-34,1.0469138998188014e-34,1.9429732906969112e-34,2.4732452457181445e-58,1.7669958278677748e-53,1.0200119467643386e-53,1.6779909911634887e-89,1.3666905502856941e-93,1.0424717274630024e-42,5.1797889204744827e-52,2.7044797124344533e-51,2.9461307449371896e-69,8.5890842860297568e-44,2.9607416898331785e-76,3.0517071354982994e-54,6.7899159493186157e-64,7.7090724442417267e-73,2.0155730769488837e-73,1.2187382944876052e-64,3.8977770871719262e-56,2.7168304445468531e-77,3.8978830603392974e-56,2.4679186849885069e-71,7.9505299938103352e-60,8.0330379352107149e-70,2.9244043492185365e-66,7.8755981288819771e-75,5.8228485777459654e-22,3.8223116240116504e-55,3.4985113693423986e-49,4.5973068726141689e-60,3.3202834160070369e-75,4.5394697074797105e-75,4.0467755810012314e-81
