Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82)
0.0,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2160537710188643e-22,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,9.242297183745701e-18,1.3385720922558805e-16,1.3385720922564667e-16,9.4245049504818879e-29,9.4244933564813311e-29,3.9737576914811497e-17,3.5935619107157532e-27,5.8601934268388914e-29,4.3599953150061286e-42
3.4049505588528204e-22,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,2.5878432114487949e-17,3.7480018583115106e-16,3.7480018583150511e-16,5.6924009900743336e-28,5.6923872256918456e-28,1.1126521534927567e-16,2.170511393873781e-26,3.5395568294064372e-28,5.1761706536085227e-41
7.782744134520732e-22,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.999999999999998,9.5,5.9150701975972366e-17,8.5668613904029512e-16,8.5668613904199926e-16,2.7406460395750432e-27,2.7406325256544111e-27,2.5432049216941775e-16,1.0450078033383408e-25,1.7041442479183692e-27,5.081961607947752e-40
1.6538331285856556e-21,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999999999567,9.5,1.2569524169894098e-16,1.8204580454506549e-15,1.8204580454580974e-15,1.196912128685274e-26,1.1969001758319323e-26,5.4043104561455715e-16,4.5638236235317397e-25,7.4424456458194531e-27,4.4948780157064537e-39
3.404950558852821e-21,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999999999112,9.5,2.5878432114487708e-16,3.7480018582396638e-15,3.7480018582707331e-15,4.9968725245121647e-26,4.9967720545267816e-26,1.1126521517242567e-15,1.9053065222919521e-24,3.1070745492706345e-26,3.7781157592654369e-38
6.907185419387151e-21,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999999998201,9.5,5.2496248003674534e-16,7.6030894836908399e-15,7.6030894838177645e-15,2.041385470096625e-25,2.0413031002888472e-25,2.2570943608213389e-15,7.7837988176379783e-24,1.2693413322523661e-25,3.0973635035101952e-37
1.391165514045581e-20,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999999996381,9.5,1.0573187978204655e-15,1.5313264734085846e-14,1.5313264734598867e-14,8.2516064587594773e-25,8.2509394319074376e-25,4.545978766526236e-15,3.1463359245148502e-23,5.1308805952066374e-25,2.5080595839760401e-36
2.7920594582593126e-20,0.17203094247241255,76.950000000000003,0.0,0.0,0.0,0.99999999999992728,9.5,2.1220314333878405e-15,3.0733615232846651e-14,3.073361523490922e-14,3.31793466451887e-24,3.3173978238519176e-24,9.123747527978964e-15,1.2651278292700029e-22,2.063104504835721e-24,2.0182769846092605e-35
5.593847346686775e-20,0.17203094247241252,76.950000000000003,0.0,0.0,0.0,0.99999999999985434,9.5,4.2514567045223286e-15,6.1574316222252841e-14,6.1574316230522501e-14,1.3306401981938449e-23,1.3302094824689691e-23,1.8279284851056143e-14,5.0737283743448138e-22,8.2739716815846806e-24,1.6188544066967803e-34
1.1197423123541704e-19,0.17203094247241257,76.950000000000003,0.0,0.0,0.0,0.99999999999970846,9.5,8.5103072467902572e-15,1.2325571816861479e-13,1.2325571820171933e-13,5.3295013709251839e-23,5.3260514465213844e-23,3.6590358697897465e-14,2.0321377417161924e-21,3.3139042501336543e-23,1.2959559528168833e-33
2.2404574677251555e-19,0.17203094247241252,76.950000000000003,0.0,0.0,0.0,0.99999999999941658,9.5,1.7028008331321924e-14,2.4661852193162791e-13,2.4661852206399438e-13,2.1331894530930091e-22,2.1304290840695626e-22,7.3212503194328205e-14,8.1338464648797401e-21,1.3264252458012188e-22,1.0357996604127838e-32
