Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146)
0.0,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.184017252001608e-21,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,2.9821549014673713e-17,1.3908691927511482e-16,1.390869192746826e-16,6.2600906397540748e-28,6.2601647627278393e-28,2.0502022836949338e-17,2.9971344981465338e-26,6.6398496065646606e-21,4.3221368081359383e-28,3.2957970320810468e-26
6.115248305604503e-21,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,8.3500337241086189e-17,3.894433739682931e-16,3.8944337396568262e-16,3.7810515187491839e-27,3.7811395166223241e-27,5.7405663735009778e-17,1.8102692313954576e-25,1.8591578856045606e-20,2.6105706289997724e-27,1.9906614013453209e-25
1.3977710412810294e-20,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,1.9085791369391043e-16,8.9015628334653525e-16,8.9015628333396731e-16,1.8203695180211046e-26,1.8204559129033172e-26,1.3121294469733707e-16,8.7156670383343788e-25,4.2495037185665692e-20,1.2568773791344277e-26,9.5841776788172176e-25
2.9702634627221876e-20,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999999999556,9.5,4.0557306659955565e-16,1.8915821020705618e-15,1.8915821020156787e-15,7.9496451294154951e-26,7.9504092476523181e-26,2.788275032868176e-16,3.8063607276278298e-24,9.0301953167538663e-20,5.4891136980604443e-26,4.1856621372526456e-24
6.115248305604503e-20,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999999999079,9.5,8.3500337241083381e-16,3.8944337393887848e-15,3.8944337391596902e-15,3.3184971272559802e-25,3.3191393562874634e-25,5.7405660712508244e-16,1.5890806344008509e-23,1.8591578242181593e-19,2.2915968922287087e-25,1.7474315022681161e-23
1.2405217991369133e-19,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999999998135,9.5,1.6938639840333399e-15,7.9001370135059128e-15,7.900137012570248e-15,1.3554502850590539e-24,1.3559767274947253e-24,1.1645147614388336e-15,6.4919125605261415e-23,3.7714343009249627e-19,9.361920844060968e-25,7.1388274909729068e-23
2.4985157362898394e-19,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999999996247,9.5,3.4115852072781529e-15,1.5911543559662896e-14,1.5911543555882918e-14,5.4768130136498911e-24,5.4810747313332921e-24,2.3454308566152584e-15,2.6241345826832844e-22,7.5959868208236538e-19,3.7842379355172492e-24,2.885627913841454e-22
5.014503610595692e-19,0.4411234589463145,76.950000000000003,0.0,0.0,0.0,0.99999999999992462,9.5,6.8470276537669788e-15,3.1934356643667756e-14,3.1934356628485787e-14,2.200488331048664e-23,2.2039160402320682e-23,4.7072621931641048e-15,1.055152756369518e-21,1.5245090126561761e-18,1.5216253064321944e-23,1.1602980530187725e-21
1.0046479359207398e-18,0.44112345894631466,76.950000000000003,0.0,0.0,0.0,0.9999999999998489,9.5,1.3717912546741434e-14,6.3979982778441062e-14,6.3979982717691754e-14,8.8112237273427526e-23,8.8386890260607031e-23,9.4309214510482577e-15,4.2316327333754412e-21,3.0543289801804022e-18,6.1023970497156007e-23,4.6533122261082211e-21
2.011043085643081e-18,0.44112345894631455,76.950000000000003,0.0,0.0,0.0,0.99999999999969758,9.5,2.745968233267756e-14,1.2807123491504207e-13,1.2807123467282216e-13,3.5181438506811838e-22,3.5400858294699091e-22,1.8878226305982164e-14,1.694858900824134e-20,6.1139661407377887e-18,2.4441410181594077e-22,1.8637505052198668e-20
