Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52)
0.0,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2004819669714153e-24,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,1.8885577102481565e-18,3.1294961348024792e-17,3.1294961348024909e-17,2.1830586030640027e-31,2.1830585291818763e-31,2.013397231997076e-16,2.1642448370631162e-28,1.1248222294934847e-31,3.6502713028842613e-46,1.5625151424326159e-50,4.5410735042083196e-50
3.361349507519963e-24,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,5.2879615886948365e-18,8.7625891774468312e-17,8.7625891774468977e-17,1.3185673962504467e-30,1.3185673085375896e-30,5.6375122495844588e-16,1.3072038815846997e-27,6.7939262661218202e-31,4.333601084261298e-45,1.8550179770972606e-49,6.8624702795600906e-49
7.683084588617057e-24,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999999833,9.5,1.2086769345588191e-17,2.002877526273508e-16,2.0028775262735408e-16,6.3483344177069558e-30,6.3483335565369779e-30,1.28857422847298e-15,6.2936239861581964e-27,3.2709830433388119e-30,4.2547531104224364e-44,1.8212676500231897e-48,7.3823323743229501e-48
1.6326554750811248e-23,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,2.5684384859374874e-17,4.2561147433309784e-16,4.2561147433311209e-16,2.7724844258880147e-29,2.7724836641930198e-29,2.7382202354902807e-15,2.7485909430480996e-26,1.4285242314275429e-29,3.763277149967092e-43,1.6108906112500314e-47,6.785635315871793e-47
3.361349507519963e-23,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999999267,9.5,5.2879615886948133e-17,8.7625891774452002e-16,8.7625891774457968e-16,1.1574576713415925e-28,1.1574570310912196e-28,5.6375122494778095e-15,1.1474826125910117e-25,5.9638074605118109e-29,3.1632548187373328e-42,1.3540506222036906e-46,5.805253874904091e-46
6.818737572397638e-23,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999998501,9.5,1.0727007794209421e-16,1.7775538045670759e-15,1.7775538045673196e-15,4.728592256555843e-28,4.7285870073991929e-28,1.1436096277264573e-14,4.6878408867041058e-25,2.4364099417496938e-28,2.5934169531855579e-41,1.1101325083875113e-45,4.7998961663789457e-45
1.373351370215299e-22,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999996969,9.5,2.1605100205238467e-16,3.5801435782110346e-15,3.5801435782120199e-15,1.9113725937749911e-27,1.9113683428762612e-27,2.3033264332084939e-14,1.8949002384626727e-24,9.8483585320564099e-28,2.1001993409033956e-40,8.9901408744075941e-45,3.9031958478501001e-44
2.7563065961663695e-22,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999993905,9.5,4.3361285027295863e-16,7.1853231254943436e-15,7.1853231254983021e-15,7.6855451342647403e-27,7.6855109194047108e-27,4.6227600438713001e-14,7.6193105175527017e-24,3.9599816503373027e-27,1.6903958629677934e-39,7.2360475006187604e-44,3.1480688542857562e-43
5.52221704806851e-22,0.20202356206038993,76.950000000000003,0.0,0.0,0.0,0.99999999999987776,9.5,8.68736546714079e-16,1.4395682220042515e-14,1.4395682220058399e-14,3.082247343180567e-26,3.082219888024348e-26,9.2616272639918466e-14,3.0556842990770236e-23,1.5881297556933443e-26,1.356392443962842e-38,5.8064724093996389e-43,2.5287001031139758e-42
1.1054037951872792e-21,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999975531,9.5,1.7389839395962091e-15,2.8816400409065093e-14,2.8816400409128694e-14,1.2345066288959473e-25,1.2344846315439233e-25,1.8539361699412679e-13,1.2238675557347886e-22,6.3608026587869305e-26,1.0866943948678987e-37,4.6522437885589775e-42,2.0270661229710455e-41
2.2117679759481354e-21,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999999951028,9.5,3.4794787253600272e-15,5.7657836786815157e-14,5.7657836787069751e-14,4.9412437322769371e-25,4.9410676226369414e-25,3.7094830550973276e-13,4.8986597109297946e-22,2.5459787326801388e-25,8.6990397498685187e-37,3.7246237955376243e-41,1.6232969214015129e-40
