Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150)
0.0,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.520247526706713e-21,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,2.0486063874219204e-17,1.49245508148555e-16,1.4924550814984784e-16,1.778405649796301e-27,1.7783809163070084e-27,5.6460410714121487e-18,1.2625629487978155e-26,1.2928825773178044e-27,8.0027497936460344e-40,1.373176602438809e-44,2.6465599809164072e-45,1.2201362607513903e-26
9.856693074778797e-21,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,5.736097884781363e-17,4.1788742280600298e-16,4.1788742281381172e-16,1.074157012451416e-26,1.0741276492140271e-26,1.5808914917606399e-17,7.6258801775926967e-26,7.8090107554839592e-27,9.5007277436578313e-39,1.6302352625171497e-43,3.9994814435558734e-44,7.3696229829061179e-26
2.2529584170922963e-20,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,1.311108087950019e-16,9.55171252081096e-16,9.5517125211868995e-16,5.1716036292243939e-26,5.1713153468669814e-26,3.6134662280604445e-17,3.6715330053848853e-25,3.7597025175668054e-26,9.3275810570945914e-38,1.6005746481029638e-42,4.3024596310796804e-43,3.5481561982166247e-25
4.7875366363211296e-20,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999999999556,9.5,2.7861046868937616e-16,2.029738910472078e-15,2.029738910636249e-15,2.2585751748452765e-25,2.2583202059697937e-25,7.6786155689038743e-17,1.603454893596759e-24,1.6419608553444689e-25,8.249624366154218e-37,1.4156901506685511e-41,3.9547016511001399e-42,1.5495730015042347e-24
9.856693074778797e-20,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.9999999999999909,9.5,5.7360978847811574e-16,4.1788742266173053e-15,4.1788742273025761e-15,9.4291067516557589e-25,9.4269638134642464e-25,1.5808913723566063e-16,6.6941082921378365e-24,6.8548632642968513e-25,6.9334393904106044e-36,1.1899728739597014e-40,3.3833305260635855e-41,6.4691620076536118e-24
1.999500595169413e-19,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999999998157,9.5,1.1636084280555587e-15,8.4771448563613935e-15,8.4771448591600732e-15,3.8520977706670789e-24,3.8503412356234775e-24,3.2069507924792004e-16,2.7347614581253893e-23,2.8004352417633345e-24,5.6830312797001995e-35,9.7561165817581334e-40,2.7974031107289033e-40,2.6428635679047488e-23
4.0271631705524794e-19,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999999996292,9.5,2.3436057072102993e-15,1.7073686105668832e-14,1.7073686116974415e-14,1.557079507385571e-23,1.5556576270272826e-23,6.459068789485235e-16,1.1054341426631039e-22,1.1319806429265315e-23,4.5999657844576625e-34,7.9007561680350412e-39,2.2748017590035055e-39,1.0682875516188398e-22
8.082488321318613e-19,0.2567461683410374,76.950000000000003,0.0,0.0,0.0,0.9999999999999255,9.5,4.7036002655192007e-15,3.4266768563598446e-14,3.4266768609000534e-14,6.2609482062001813e-23,6.2495134395497882e-23,1.296330141054244e-15,4.4449007517327647e-22,4.5516439212942114e-23,3.698755055023543e-33,6.3592159395982624e-38,1.8347100410174272e-38,4.2955359871714168e-22
1.6193138622850878e-18,0.2567461683410375,76.950000000000003,0.0,0.0,0.0,0.99999999999985068,9.5,9.4235893821346811e-15,6.8652933317017208e-14,6.8652933498642435e-14,2.5109202502961616e-22,2.501760200625777e-22,2.5971753160851375e-15,1.7826029480117853e-21,1.8254124226626809e-22,2.9621009819491273e-32,5.1028703427191186e-37,1.4737389000938551e-37,1.7227010324218097e-21
