Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56)
0.0,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.868909663837406e-20,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,2.2064522377688353e-17,1.533181452632619e-16,1.5331814528145256e-16,2.1765994054109088e-26,2.1764606998472496e-26,4.9949353182236736e-19,1.0645503489746107e-26,1.8192027090301128e-26,4.0396950963012323e-38,7.2329711262578253e-43,3.932109483168145e-44,7.2714187037583891e-27,7.3201511621410385e-30
1.0832947058744737e-19,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,6.1780662657526913e-17,4.2929080660768164e-16,4.2929080671754511e-16,1.314666040649449e-25,1.314501378682793e-25,1.3985818294686686e-18,6.4298838790348481e-26,1.0987984277396584e-25,4.7957826310723628e-37,8.5869833221073749e-42,5.9422038573069446e-43,4.3919367408073257e-26,4.4213713008206694e-29
2.47610218485594e-19,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,1.4121294321720196e-16,9.8123612877877888e-16,9.8123612930764149e-16,6.3295510676538228e-25,6.3279346032038684e-25,3.1967581862254624e-18,3.0957120716604892e-25,5.2902413501418944e-25,4.7082241316776071e-36,8.4307511476513826e-41,6.3923517655302683e-42,2.1145283246588442e-25,2.1286999562819462e-28
5.261717142818872e-19,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999999556,9.5,3.0007750433654421e-16,2.0851267710505219e-15,2.0851267733594803e-15,2.7642812414813884e-24,2.7628518464194229e-24,6.7931099455960677e-18,1.3519785886015374e-24,2.3103873084938876e-24,4.1638307813420985e-35,7.4569039181766477e-40,5.8756726037408047e-41,9.234699331701173e-25,9.2965919586785179e-28
1.0832947058744737e-18,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999999079,9.5,6.1780662657519686e-16,4.2929080473163371e-15,4.2929080569497401e-15,1.1540330016974533e-23,1.15283209645405e-23,1.3985809647767375e-17,5.644242758898324e-24,9.6454115755187972e-24,3.4990423329018121e-34,6.2679770609248171e-39,5.0267616611686032e-40,3.8553040168685313e-24,3.8811441306547679e-27
2.1975406890596467e-18,0.20974777902602224,76.950000000000003,0.0,0.0,0.0,0.99999999999998135,9.5,1.2532648710523745e-15,8.7084705667703017e-15,8.70847060607659e-15,4.7146013502611101e-23,4.7047652232559272e-23,2.8371193785846567e-17,2.3058559358720748e-23,3.9404648302492336e-23,2.8672378503501954e-33,5.1388662988339112e-38,4.1562238231279793e-39,1.5750165312915986e-23,1.5855740091975434e-26
4.426032655429993e-18,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999996236,9.5,2.5241813600062199e-15,1.7539595473630763e-14,1.7539595632115613e-14,1.9057172349574652e-22,1.8977672211716747e-22,5.7141900997080882e-17,9.3206270631645086e-23,1.5927984663123907e-22,2.3195563367405624e-32,4.1615871775818615e-37,3.3797723080142487e-38,6.3664609215648737e-23,6.4091436018459277e-26
8.883016588170685e-18,0.20974777902602215,76.950000000000003,0.0,0.0,0.0,0.99999999999992439,9.5,5.0660143379118707e-15,3.5201844761252017e-14,3.5201845395334948e-14,7.6628050983579458e-22,7.5990651699057594e-22,1.1468307116089011e-16,3.7477740576406976e-22,6.4045691964153952e-22,1.8631172880549471e-31,3.3496074340520409e-36,2.7259090007600071e-37,2.5599197263368734e-22,2.5770884099313527e-25
1.7796984453652068e-17,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999984857,9.5,1.0149680293715016e-14,7.052634124857546e-14,7.0526343766338837e-14,3.073127502065415e-21,3.0223748831966453e-21,2.2976443446216583e-16,1.5030177287636197e-21,2.5685159863559521e-21,1.4888710397585812e-30,2.687849052849143e-35,2.189598662917517e-36,1.0266373249080517e-21,1.033527680461308e-24
3.562492018461484e-17,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999969691,9.5,2.0317012205288675e-14,1.4117532599962241e-13,1.4117533588660789e-13,1.2308538797857822e-20,1.1908084734169051e-20,4.5992325302570361e-16,6.0198522054603736e-21,1.0287439531874507e-20,1.1831497313937492e-29,2.1535501298968817e-34,1.7552348501381014e-35,4.1118643155590222e-21,4.1395012965466238e-24
7.128079164654037e-17,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999939349,9.5,4.0651676028305481e-14,2.8247326357509228e-13,2.8247330164019383e-13,4.9266227700782829e-20,4.6154935173068529e-20,9.2022525852756768e-16,2.4094629450141991e-20,4.1176394212431611e-20,9.3197864862558429e-29,1.724149651968673e-33,1.4056122552393935e-34,1.6457853723184602e-20,1.6568790872486358e-23
1.4259253457039143e-16,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999878675,9.5,8.1321003673817006e-14,5.6506901794798354e-13,5.6506915919958061e-13,1.9712904729401562e-19,1.7362282208328018e-19,1.840766747276897e-15,9.6406161019452385e-20,1.6475782298924244e-19,7.225492459408983e-28,1.3798438818233491e-32,1.1250608429758058e-33,6.5850296612990695e-20,6.6296728770554253e-23
2.8521602041809357e-16,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999757316,9.5,1.6265965896275173e-13,1.1302600884659714e-12,1.1302605785273988e-12,7.8864426616482966e-19,6.1957820872905076e-19,3.6815996697249358e-15,3.8565748646489421e-19,6.5912749050755611e-19,5.4403547931602441e-27,1.1040850019038619e-31,9.0027882734224725e-33,2.6342361946774582e-19,2.6522996242029037e-22
5.704629921134979e-16,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999514599,9.5,3.2533696953226792e-13,2.260640720899912e-12,2.2606422340207035e-12,3.154831525466807e-18,2.0313162149559808e-18,7.3622655660805434e-15,1.542516061166525e-18,2.6366361408614053e-18,3.8910862576971911e-26,8.833522698417308e-31,7.2031796778977339e-32,1.0536166888507373e-18,1.0610053300849796e-21
1.1409569355043064e-15,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999999029177,9.5,6.5069159063788707e-13,4.5213969591798311e-12,4.5214008123698763e-12,1.261982138007134e-17,5.9267425590452113e-18,1.4719599736745689e-14,6.1684005851048097e-18,1.0546269122682171e-17,2.5643371831794479e-25,7.0671600777462757e-30,5.7629711163997488e-31,4.2133303915609554e-18,4.2441881280137591e-21
2.2819448222859233e-15,0.20974777902602215,76.950000000000003,0.0,0.0,0.0,0.99999999998058331,9.5,1.301400832715473e-12,9.0428921318012358e-12,9.0428990386136489e-12,5.0480167049302752e-17,1.5206665153268809e-17,2.9418294947955098e-14,2.4658799475590942e-17,4.2180315819130202e-17,1.5118769041633474e-24,5.6538725835471989e-29,4.6106269509639539e-30,1.6843210458935028e-17,1.6977057609323206e-20
4.5639205958491576e-15,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999996116629,9.5,2.6028193163360344e-12,1.8085817995493616e-11,1.808581977004421e-11,2.0192156032565694e-16,3.5017995995842849e-17,5.8751931413243108e-14,9.8513973566316767e-17,1.6867812281172611e-16,7.8869274906615014e-24,4.5231683061542418e-28,3.688730111805438e-29,6.7290039467115002e-17,6.7908630526200217e-20
6.845896369412392e-15,0.2097477790260222,76.950000000000003,0.0,0.0,0.0,0.99999999994174926,9.5,3.904237799421986e-12,2.7128680395645671e-11,2.7128664781179101e-11,4.2908289403340882e-16,5.5092191128940535e-17,8.8021952184251353e-14,2.0916355471191989e-16,3.5837625465663049e-16,1.8320667167723875e-23,1.2933511794883516e-27,1.0951255437071133e-28,1.4286931429252468e-16,1.4430585867637799e-19
9.127872142975627e-15,0.20974777902602215,76.950000000000003,0.0,0.0,0.0,0.99999999992233224,9.5,5.2056562819733278e-12,3.6171479569370643e-11,3.6171434072779632e-11,7.3196340680330974e-16,7.522151095445106e-17,1.1722849522398108e-13,3.5652774708640093e-16,6.1124533771849581e-16,3.2878030358048143e-23,2.728067295894897e-27,2.3862937164025489e-28,2.4352653033967914e-16,2.4616856400663509e-19
1.3691823690102095e-14,0.20974777902602215,76.950000000000003,0.0,0.0,0.0,0.99999999988349819,9.4999999999999982,7.808493245821314e-12,5.425692972659576e-11,5.4256794949230995e-11,1.5154303481114208e-15,1.1550226007459712e-16,1.7549302974953822e-13,7.371762244249041e-16,1.2651507950105566e-15,7.1726032297929426e-23,7.4512861152703943e-27,6.9270947984505761e-28,5.0352874257408927e-16,5.0965933889518892e-19
1.8255775237228564e-14,0.20974777902602215,76.950000000000003,0.0,0.0,0.0,0.99999999984466414,9.4999999999999964,1.0411330207703347e-11,7.2342147817334628e-11,7.2341877384272722e-11,2.5773373923797155e-15,1.5578989491050364e-16,2.3352527575710393e-13,1.2521770558697664e-15,2.1511145614159374e-15,1.2584500164573566e-22,1.5590743319125152e-26,1.5149541076912941e-27,8.5530042550463219e-16,8.6679427905221342e-19
2.2819726784355032e-14,0.20974777902602215,76.950000000000003,0.0,0.0,0.0,0.9999999998058301,9.4999999999999947,1.3014167167479002e-11,9.0427117468069211e-11,9.0426661494321166e-11,3.9375680298708202e-15,1.9607827746562313e-16,2.9130955668875418e-13,1.9105973381438943e-15,3.2855162007401283e-15,1.963381392191183e-22,2.838264443500929e-26,2.8424059095121419e-27,1.3050348659744331e-15,1.3242610661764458e-18
3.1947629878607966e-14,0.20974777902602215,76.950000000000003,0.0,0.0,0.0,0.99999999972816211,9.4999999999999876,1.8219841080578873e-11,1.2659629717706205e-10,1.2659531603487979e-10,7.5717045551004499e-15,2.7665073658680129e-16,4.0612480836543484e-13,3.6631417326047851e-15,6.3139120238449567e-15,3.8747767359742454e-22,7.4940319984371205e-26,7.7783421672696091e-27,2.5021115567473013e-15,2.5464844109930985e-18
5.020343606711384e-14,0.2097477790260221,76.950000000000003,0.0,0.0,0.0,0.99999999957282615,9.4999999999999662,2.8631188881130679e-11,1.9893164434258274e-10,1.9892899294722043e-10,1.8472129334892294e-14,4.377873119087349e-16,6.3279514816920739e-13,8.8803467499955932e-15,1.5382947630254879e-14,9.6912650747921144e-22,2.8979552567096411e-25,3.0899884305607937e-26,6.0657271416412738e-15,6.2125268112013593e-18
6.845924225561971e-14,0.209747779026022,76.950000000000003,0.0,0.0,0.0,0.99999999941749029,9.4999999999999396,3.9042536647455829e-11,2.7126298193962644e-10,2.7125782307118835e-10,3.4219319738040581e-14,5.989147821129617e-16,8.5556176111092015e-13,1.6355411510379404e-14,2.8461538335911804e-14,1.8168131261151873e-21,7.1922750659537925e-25,7.7379463662408532e-26,1.1171575424291372e-14,1.1508701988933251e-17
1.0497085463263146e-13,0.20974777902602185,76.950000000000003,0.0,0.0,0.0,0.99999999910681892,9.4999999999998543,5.986523207745715e-11,4.1591370832937837e-10,4.1590094933909445e-10,8.0247612346562764e-14,9.2114324960596144e-16,1.2897284507091197e-12,3.7879782927463545e-14,6.6567483127590343e-14,4.3099480805951189e-21,2.6124644841607351e-24,2.8300549988122922e-25,2.5873812576552122e-14,2.698951491520429e-17
1.3783130577194204e-13,0.2097477790260216,76.950000000000003,0.0,0.0,0.0,0.99999999882721502,9.4999999999997478,7.860565784743817e-11,5.4608580001953773e-10,5.4606319577395613e-10,1.3824020416834811e-13,1.2111186601754327e-15,1.6677814200188607e-12,6.4595509954907194e-14,1.1442484740000541e-13,7.4631340953157232e-21,5.8029447895262642e-24,6.3007152804516458e-25,4.4122008858050264e-14,4.6494747536877294e-17
1.706917569112526e-13,0.20974777902602126,76.950000000000003,0.0,0.0,0.0,0.99999999854761146,9.4999999999996128,9.7346083506561128e-11,6.7624513630988574e-10,6.7620974985819923e-10,2.119250729244603e-13,1.5010656525981366e-15,2.0342042042088395e-12,9.8037969587246332e-14,1.7503756708237452e-13,1.1477664345581841e-20,1.0880902919658033e-23,1.1829732314071599e-24,6.6964904613186794e-14,7.127848230996157e-17
2.0355220805056316e-13,0.20974777902602088,76.950000000000003,0.0,0.0,0.0,0.99999999826800801,9.4999999999994493,1.1608650905482679e-10,8.0639179831863195e-10,8.0634061386486788e-10,3.0129994557108508e-13,1.7909844078612878e-15,2.3893376817448496e-12,1.380100025969758e-13,2.483245237849323e-13,1.6353414066341988e-20,1.8268893132433027e-23,1.9879521973369595e-24,9.4267830091925391e-14,1.0134019156470118e-16
2.3641265918987373e-13,0.2097477790260204,76.950000000000003,0.0,0.0,0.0,0.999999997988405,9.4999999999992575,1.348269344922355e-10,9.3652587001191644e-10,9.3645579009863834e-10,4.0636251743188864e-13,2.080875113392429e-15,2.7335268490121199e-12,1.8431206801090724e-13,3.3420175118125232e-13,2.209025675403955e-20,2.8407441633375743e-23,3.0932761894802032e-24,1.2589448869115328e-13,1.3667935009823047e-16
3.0213356146849485e-13,0.2097477790260193,76.950000000000003,0.0,0.0,0.0,0.99999999742919976,9.4999999999987903,1.7230778503448245e-10,1.1967565408037828e-09,1.1966390873656223e-09,6.6354264065719797e-13,2.6605730392760931e-15,3.3902569748887123e-12,2.952210697111986e-13,5.4342866570854118e-13,3.6146775428568952e-20,5.8517662851495201e-23,6.3785950563340255e-24,2.0165096091393008e-13,2.2318819797557605e-16
3.67854463747116e-13,0.2097477790260179,76.950000000000003,0.0,0.0,0.0,0.99999999686999563,9.4999999999982112,2.0978863513330251e-10,1.4569378102876652e-09,1.4567596597509998e-09,9.8344735075093934e-13,3.2401609038445657e-15,4.0069800259698046e-12,4.2926959079381968e-13,8.0205670701445376e-13,5.3646227313942668e-20,1.0473464164040042e-22,1.1426088886333801e-23,2.932128982530232e-13,3.3080099270222098e-16
4.335753660257371e-13,0.20974777902601624,76.950000000000003,0.0,0.0,0.0,0.99999999631079217,9.4999999999975202,2.4726948478869599e-10,1.717070368317466e-09,1.7168175263006407e-09,1.3660576018411281e-12,3.8196402437926679e-15,4.5862718508721661e-12,5.8496779727272031e-13,1.1093960196637507e-12,7.4587566987785769e-20,1.7077947914509585e-22,1.8645660071240549e-23,3.9956266854870107e-13,4.5951354462741508e-16
4.992962683043582e-13,0.20974777902601432,76.950000000000003,0.0,0.0,0.0,0.99999999575158993,9.4999999999967173,2.8475033400066291e-10,1.9771548818419564e-09,1.9768127056744424e-09,1.8113547340269564e-12,4.3990125455263706e-15,5.1304782937259829e-12,7.6095888646610884e-13,1.4647796534010643e-12,9.8969770214537668e-20,2.6030979862027386e-22,2.8441463765674129e-23,5.1977350676786002e-13,6.0932181735026658e-16
5.650171705829794e-13,0.2097477790260121,76.950000000000003,0.0,0.0,0.0,0.99999999519238836,9.4999999999958078,3.2223118276920306e-10,2.2371919886287543e-09,2.236745215990103e-09,2.3193206296099004e-12,4.9782792292542932e-15,5.6417099564744656e-12,9.5602211640741583e-13,1.8675698391926755e-12,1.2679184251818528e-19,3.7688247195957593e-22,4.1207772961997022e-23,6.530115842453288e-13,7.8022195454783679e-16
