Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109)
0.0,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3011179763738697e-24,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,2.0468748834457586e-18,3.4398973000792854e-17,3.4398973000792718e-17,2.6375912457590395e-31,2.6375913425071592e-31,2.1821796613358575e-16,2.5423097504502509e-28,3.1860433677769465e-18,1.3590204908869145e-31,5.8742943816755358e-28,4.7800042796075709e-46,2.6684314028549984e-32,6.0707944015025404e-50,2.0750922401551011e-50
3.643130333846835e-24,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,5.7312496736481228e-18,9.6317124402219059e-17,9.6317124402218221e-17,1.5931050560146835e-30,1.593105170874048e-30,6.1101030517127283e-16,1.5355550892661485e-27,8.9209214297486156e-18,8.2084837649323064e-31,3.5480738065186149e-27,5.6748196522251924e-45,1.6117325673208364e-31,9.1741844995513337e-49,2.4635495075139797e-49
8.327155048792765e-24,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999999999811,9.5,1.3099999254052841e-17,2.201534272050678e-16,2.2015342720506383e-16,7.6701144963107041e-30,7.6701156240066732e-30,1.3965949832355779e-15,7.3930367542222833e-27,2.0390677553584614e-17,3.952031587462163e-30,1.7082448061711324e-26,5.5715685598856865e-44,7.759798519448598e-31,9.8691690426369395e-48,2.418727515130252e-48
1.7695204478684627e-23,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.999999999999996,9.5,2.7837498414862244e-17,4.6782603281075063e-16,4.6782603281073337e-16,3.3497400075456349e-29,3.3497410049798092e-29,2.9677643393199115e-15,3.2287333829818703e-26,4.3330189800827243e-17,1.7259560233881648e-29,7.4603538645200943e-26,4.9279839124217768e-43,3.3889078815703189e-30,9.0714666582821539e-47,2.139337095921581e-47
3.643130333846835e-23,0.1992012244297795,76.950000000000003,0.0,0.0,0.0,0.99999999999999178,9.5,5.7312496736480926e-17,9.6317124402205722e-16,9.6317124402198524e-16,1.3984500913901534e-28,1.3984509297934408e-28,6.110103051311474e-15,1.3479326296077689e-25,8.9209214293595045e-17,7.2055266423384692e-29,3.1145508809773164e-25,4.1422583563941381e-42,1.4148023297437434e-29,7.7608307133571015e-46,1.7982417338628702e-46
7.39035010580358e-23,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999999998335,9.5,1.162624933797178e-16,1.9538616664444353e-15,1.9538616664441407e-15,5.7131214777587454e-28,5.7131283514915662e-28,1.2394780474586174e-14,5.5067446111798505e-25,1.8096726327226084e-16,2.943692743789479e-28,1.2723956600900765e-24,3.3960588154710377e-41,5.7799291554169071e-29,6.416804913562538e-45,1.4743072186279223e-45
1.488478964971707e-22,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999999996647,9.5,2.3416248666618944e-16,3.9352425112882501e-15,3.9352425112870605e-15,2.3093322582018294e-27,2.3093378247226084e-27,2.496413531830189e-14,2.2259142168234097e-24,3.6448336120211308e-16,1.1898876725155101e-27,5.1432266959845201e-24,2.7501924257444766e-40,2.3363397775588254e-28,5.2180391881229737e-44,1.193932209669525e-44
2.987366873754405e-22,0.19920122442977956,76.950000000000003,0.0,0.0,0.0,0.99999999999993283,9.5,4.699624732391245e-16,7.8980042009721095e-15,7.8980042009673259e-15,9.2857010206313458e-27,9.285745824732369e-27,5.0102844994398584e-14,8.9503031642770303e-24,7.3151555695190034e-16,4.7844859970440294e-27,2.0680688331897394e-23,2.2135554083911024e-39,9.3943194881839606e-28,4.2085376416935689e-43,9.6098051214301847e-44
5.985142691319801e-22,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999999986555,9.5,9.4156244638496189e-16,1.5823527580324763e-14,1.5823527580305578e-14,3.7239634384550148e-26,3.7239993907623742e-26,1.0038026430125295e-13,3.5894718791185238e-23,1.4655799480118059e-15,1.9187928753951888e-26,8.2938809832098804e-23,1.7761766772581446e-38,3.7675422848284544e-27,3.380526303937158e-42,7.7112634063029795e-43
1.1980694326450593e-21,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999999973088,9.5,1.8847623926765051e-15,3.1674574338969791e-14,3.1674574338892943e-14,1.4915133786662144e-25,1.4915421840025726e-25,2.0093510273360572e-13,1.4376610087564459e-22,2.9337087283729412e-15,7.6851798657804799e-26,3.3218784552104207e-22,1.423003206037671e-37,1.5089820526378175e-26,2.7099102578815805e-41,6.1783945147975241e-42
2.3971797596712177e-21,0.1992012244297795,76.950000000000003,0.0,0.0,0.0,0.99999999999946154,9.5,3.7711622852590642e-15,6.3376667856018759e-14,6.3376667855711166e-14,5.9698251928764514e-25,5.970055806558344e-25,4.020447788728873e-13,5.7543906758824752e-22,5.8699662820605079e-15,3.0760747569473053e-25,1.3296170858533926e-21,1.1391084363668048e-36,6.0398607239511853e-26,2.1701260403190196e-40,4.9464723421096883e-41
4.7954004137235344e-21,0.19920122442977956,76.950000000000003,0.0,0.0,0.0,0.99999999999892286,9.5,7.5439620704220769e-15,1.2678085488915226e-13,1.2678085488792164e-13,2.3886154035723422e-24,2.3887999579514855e-24,8.0426412824975494e-13,2.3025058049570921e-21,1.1742481361296826e-14,1.2308305760380312e-24,5.3202002279383684e-21,9.1137795356831292e-36,2.4167310120124283e-25,1.7369803956125112e-39,3.9586812106618069e-40
9.591841721828168e-21,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.9999999999978455,9.5,1.5089561640739682e-14,2.5358922895156173e-13,2.5358922894663914e-13,9.5552787123533968e-24,9.5567553213068656e-24,1.608702815396708e-12,9.2115224456205422e-21,2.3487511407214211e-14,4.9241237406229965e-24,2.1284265042608774e-20,7.2883309661491535e-35,9.6684976818917237e-25,1.3899362279328012e-38,3.1675464354934467e-39
1.9184724338037435e-20,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999999569078,9.5,3.0180760781341211e-14,5.072059770609502e-13,5.0720597704126387e-13,3.8218320174327902e-23,3.8230132464082998e-23,3.2175801432634853e-12,3.6849087991860146e-20,4.6977571048827954e-14,1.9698097755951024e-23,8.5143987872506243e-20,5.8247045807928392e-34,3.8677137938038115e-24,1.112089764377106e-37,2.5342777667388309e-38
3.8370489570455965e-20,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999999138145,9.5,6.03631590624095e-14,1.0144394732180057e-12,1.0144394731393046e-12,1.5283227670398452e-22,1.529267522619758e-22,6.435334613288537e-12,1.4740234495366774e-19,9.3957688531171448e-14,7.8795595175758504e-23,3.4058979896296699e-19,4.6495960019293602e-33,1.5471484414635529e-23,8.8972812817831848e-37,2.027518475238371e-37
7.674202003529303e-20,0.19920122442977956,76.950000000000003,0.0,0.0,0.0,0.99999999998276268,9.5,1.207279556240071e-13,2.0289064652852299e-12,2.028906464970797e-12,6.1096406587333968e-22,6.1171945269185625e-22,1.2870842810504714e-11,5.8962133683201944e-19,1.8791791629232304e-13,3.1518877672816117e-22,1.3623868238940719e-18,3.7032496355794589e-32,6.1887194359088083e-23,7.118050305839185e-36,1.6220533009485815e-36
1.5348508096496718e-19,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999996552513,9.5,2.4145754874504631e-13,4.0578404484321331e-12,4.0578404471774019e-12,2.4408664787014993e-21,2.4469026871674567e-21,2.5741856233602059e-11,2.3585090282271018e-18,3.7583834300048894e-13,1.2607677999340503e-21,5.4496020129772854e-18,2.9365476536911459e-31,2.4755127645419664e-22,5.694530369146313e-35,1.2976580732538226e-35
3.0697120282431545e-19,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999993105004,9.5,4.8291673497850061e-13,8.1157084107757588e-12,8.1157084057808432e-12,9.7394814127348593e-21,9.7876604128423416e-21,5.1483871194462166e-11,9.4340816081269952e-18,7.516790811603071e-13,5.0430957927572177e-21,2.1798513173791646e-17,2.3085621141039794e-30,9.9020998862980178e-22,4.5556603628938802e-34,1.0381326700225808e-34
6.13943446543012e-19,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999986209986,9.5,9.658351074109127e-13,1.6231444319662282e-11,1.6231444299873527e-11,3.876707060538871e-20,3.9150740269539167e-20,1.0296785357488799e-10,3.7736402488827466e-17,1.5033600964541708e-12,2.0172426012226008e-20,8.7194228432151211e-17,1.7849226261467666e-29,3.9608487982102708e-21,3.6445427454704597e-33,8.3050868201036456e-34
1.227887933980405e-18,0.1992012244297795,76.950000000000003,0.0,0.0,0.0,0.99999999972419962,9.5,1.9316718521377532e-12,3.2462916074232429e-11,3.2462915996584203e-11,1.5356163486761401e-19,1.566031526371548e-19,2.0593562817091325e-10,1.5094564259371841e-16,3.0067202829410713e-12,8.0689738973764373e-20,3.4877698914535309e-16,1.337928805787519e-28,1.5843405504639188e-20,2.9156400235203282e-32,6.6440806229446326e-33
1.841832421417798e-18,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999958629937,9.5,2.8975085967266083e-12,4.869438776559968e-11,4.869438760278559e-11,3.2413024184690389e-19,3.3278181269642371e-19,3.0890321260246336e-10,3.2075937650217963e-16,4.5100786253294062e-12,1.714656600470791e-19,7.4115083850504308e-16,3.6882067471233054e-28,3.3667234844688498e-20,8.655811287348969e-32,1.8997927846899186e-32
2.4557769088551914e-18,0.19920122442977956,76.950000000000003,0.0,0.0,0.0,0.99999999944839912,9.5,3.8633453411774796e-12,6.4925859393764024e-11,6.492585911942664e-11,5.4952397237676754e-19,5.676867154888301e-19,4.1187060686988944e-10,5.4717749967448444e-16,6.0134351236214384e-12,2.9250014482317978e-19,1.2643155349616728e-15,7.5310171883254225e-28,5.7432330364758485e-20,1.8860563258731584e-31,4.0072146606356482e-32
3.683665883729977e-18,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999917259852,9.5,5.7950188297553796e-12,9.7388802501759442e-11,9.7388801945396792e-11,1.1261020918799211e-18,1.1753234019162058e-18,6.1780494910227433e-10,1.1328604577607398e-15,9.0201437922313997e-12,6.0558397306923836e-19,2.6176022891137548e-15,1.9518838446742064e-27,1.1890628935911724e-19,5.4746415688158135e-31,1.0944952310572209e-31
4.911554858604764e-18,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999889679791,9.5,7.7266923178258623e-12,1.2985174537733531e-10,1.298517444496729e-10,1.8966408473460722e-18,1.9989173868535407e-18,8.2373859203626929e-10,1.926697075100329e-15,1.2026845679460328e-11,1.0299389630936826e-18,4.4518516289372959e-15,3.9016079442552227e-27,2.0222834948098873e-19,1.1972426010739491e-30,2.2900511601939804e-31
6.13944383347955e-18,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999862099753,9.5,9.6583658053526815e-12,1.6231468800389028e-10,1.6231468661526563e-10,2.8690060924273371e-18,3.0538941585485159e-18,1.0296714857243363e-09,2.9435547714554797e-15,1.5033540300938993e-11,1.573512758226383e-18,6.801416410291719e-15,6.7885279165065861e-27,3.0895904624645547e-19,2.2461903620013342e-30,4.1689523848092335e-31
8.595221783229122e-18,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999806939655,9.5,1.3521712778741183e-11,2.2724057249429574e-10,2.2724056994753745e-10,5.3934849101175962e-18,5.8725299603108958e-18,1.4415349783153201e-09,5.6603375538302948e-15,2.1046907290355752e-11,3.0258033851438486e-18,1.3078850477074331e-14,1.6044656075860346e-26,5.9411645189420911e-19,6.1459873037488545e-30,1.1007274116205913e-30
