Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83)
0.0,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8667034704588126e-27,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999999999978,9.5,9.3681265828209168e-20,7.1478428645844908e-19,7.1478428645844908e-19,5.3817354435996974e-36,5.3817354425556721e-36,2.3978942718699321e-16,7.411354263099022e-31,2.2835711888480984e-36,8.0317307187625909e-53,2.4911010529040458e-57,2.0632209651702366e-56,2.8399777086459098e-30,3.1033872324917766e-37,6.8160276363477954e-53,7.392443206480925e-57,3.8657030340089429e-75,0.0
8.026769717284675e-27,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,2.623075443189856e-19,2.0013960020836567e-18,2.0013960020836567e-18,3.2505682079342088e-35,3.2505682066947409e-35,6.7141039612356919e-16,4.4764579749117438e-30,1.3792769980642302e-35,9.5352706751461412e-52,2.957435170007683e-56,3.1179395225663539e-55,1.7153465360221047e-29,1.874445888425032e-36,8.0919879385828098e-52,8.7763085747181947e-56,1.0901901068394347e-73,0.0
1.83469022109364e-26,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,5.995601013005381e-19,4.5746194333340667e-18,4.5746194333340667e-18,1.5650086669987784e-34,1.565008665781862e-34,1.5346523339966736e-15,2.1552218197090969e-29,6.640625017169948e-35,9.3617852198663612e-51,2.9036273872649521e-55,3.3541370586621551e-54,8.2586551767419268e-29,9.0246500720860645e-36,7.9447615919301864e-51,8.6166318014246902e-55,2.3714016096847374e-72,0.0
3.898716719823985e-26,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999999999667,9.5,1.2740652152636421e-18,9.7210662958348675e-18,9.7210662958348675e-18,6.8348040133714752e-34,6.8348040026079891e-34,3.2611362097426924e-15,9.4124199141347345e-29,2.9001354098367518e-34,8.2803928793765206e-50,2.5682255415019467e-54,3.0830298238441675e-53,3.6067716899799127e-28,3.9413017852645325e-35,7.027051387875851e-50,7.6213132480496735e-54,4.396178926335801e-71,0.0
8.026769717284675e-26,0.5299520296644136,76.950000000000003,0.0,0.0,0.0,0.99999999999999323,9.5,2.6230754431898452e-18,2.0013960020836398e-17,2.0013960020836401e-17,2.8533961321964345e-33,2.8533961231490758e-33,6.7141039612339671e-15,3.929500030294179e-28,1.2107494443269624e-33,6.960168929620346e-49,2.1587483148297856e-53,2.6375969232400875e-52,1.5057561811237077e-27,1.6454159106671188e-34,5.9066596512190859e-49,6.406173003456566e-53,7.5559083458287416e-70,0.0
1.6282875712206056e-25,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999999998623,9.5,5.3210958990422329e-18,4.0599747470839164e-17,4.059974747083917e-17,1.1657054240253623e-32,1.1657054166077912e-32,1.3620039464213466e-14,1.6053289788035188e-27,4.9463065378899954e-33,5.7063666490013036e-48,1.7698722945770513e-52,2.1808161422745999e-51,6.1515053160323894e-27,6.7220608810663056e-34,4.8426357063389616e-48,5.2521676727382428e-52,1.2523363959202913e-68,0.0
3.2795087702048814e-25,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999999997236,9.5,1.0717136810746932e-17,8.1771322370843518e-17,8.177132237084353e-17,4.7119677041719496e-32,4.7119676441025376e-32,2.7431910470160266e-14,6.4889964023413875e-27,1.9993761872514852e-32,4.6211630845999516e-47,1.4332884711864521e-51,1.7734034688462662e-50,2.4865368028470422e-26,2.7171644846335597e-33,3.9216907484902415e-47,4.2533415527572578e-51,2.0391051737627644e-67,0.0
6.581951168173434e-25,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.9999999999999446,9.5,2.1509218634156034e-17,1.6411447217084757e-16,1.6411447217084764e-16,1.8946614898603362e-31,1.8946614415112477e-31,5.505565248200509e-14,2.6091969137358415e-26,8.0394037131703353e-32,3.7195131564684346e-46,1.1536352548896831e-50,1.4303141436198914e-49,9.9982551223762658e-26,1.0925598887475379e-32,3.1565159615288036e-46,3.4234593135786232e-50,3.291123971601438e-66,0.0
1.3186835964110538e-24,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999999988898,9.5,4.3093382280973037e-17,3.2880077177083693e-16,3.2880077177083727e-16,7.5984399824000197e-31,7.5984395944290439e-31,1.103031365054996e-13,1.0464046615901867e-25,3.2241604600938436e-31,2.9846735750029082e-45,9.2571963863830996e-50,1.1489061040440729e-48,4.0097474869547919e-25,4.3816538132307613e-32,2.5329021676942281e-45,2.7471104965158976e-49,5.2887478700633915e-65,0.0
2.639660555598475e-24,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999999977773,9.5,8.6261709574602229e-17,6.5817337097074066e-16,6.5817337097074195e-16,3.0433393182077845e-30,3.0433390073588991e-30,2.2079810455170803e-13,4.1910766640773197e-25,1.2913458971983535e-30,2.3913685090410032e-44,7.4170221339171382e-49,9.2099044855103024e-48,1.6059904679591804e-24,1.754946983785405e-31,2.0293990379456072e-44,2.2010313378086767e-48,8.4803982104790728e-64,0.0
