Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63)
0.0,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.897438637870313e-26,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,4.0750395053377014e-19,3.5193429132642173e-18,3.5193429132642173e-18,5.1010009047952987e-34,5.1010008931730999e-34,2.4995011980677885e-16,1.2137961956850849e-29,2.3647195587845302e-34,7.1551979355979113e-50,1.9559705549412202e-54,3.8504765390826077e-52,3.6873595215472445e-29,1.3931617284643525e-35,6.6340061538561098e-50,4.7266488355658712e-54,3.1381688022275229e-70,0.0,1.5026135720688138e-47,1.7630077564272696e-34
1.3712828186036877e-25,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,1.1410110614945564e-18,9.8541601571398017e-18,9.8541601571398017e-18,3.0810045464963055e-33,3.0810045326984304e-33,6.9986033545882008e-16,7.3313290219365084e-29,1.4282906135055992e-33,8.4946507591930885e-49,2.322128242826254e-53,5.818840145861316e-51,2.2271651510141089e-28,8.4146968399246838e-35,7.8758915598198301e-49,5.6114774974521906e-53,8.850138129289486e-69,0.0,1.7839028327597817e-46,1.0648566848820704e-33
3.1343607282370003e-25,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,2.6080252834161274e-18,2.252379464489094e-17,2.252379464489094e-17,1.4833710631143901e-32,1.483371049567555e-32,1.5996807667622589e-15,3.5297193370501192e-28,6.8766044769415537e-33,8.3400980008918311e-48,2.2798792788395934e-52,6.259642700055266e-50,1.0722841488652984e-27,4.0513143063743269e-34,7.732595880216679e-48,5.5093818823275845e-52,1.9250983543186123e-67,0.0,1.7514463796024344e-45,5.1268265556904909e-33
6.660516547503626e-25,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999999656,9.5,5.5420537272592631e-18,4.786306362039308e-17,4.7863063620393086e-17,6.4782711490891707e-32,6.4782710292689461e-32,3.3993216293665615e-15,1.5415211685178784e-27,3.0031938396523619e-32,7.3767213667178907e-47,2.0165274033224169e-51,5.7536900828195936e-49,4.6829465923583794e-27,1.7693153951497143e-33,6.8393914296727149e-47,4.8729858826581946e-51,3.5688079074420118e-66,0.0,1.549134488258015e-44,2.239019850662621e-32
1.3712828186036877e-24,0.4351410047819239,76.950000000000003,0.0,0.0,0.0,0.99999999999999289,9.5,1.1410110614945515e-17,9.854160157139685e-17,9.8541601571396887e-17,2.7045506797216935e-31,2.7045505790055765e-31,6.9986033545648666e-15,6.4355474295027e-27,1.2537743100639651e-31,6.2005773318985265e-46,1.6950127873835697e-50,4.9224030018436688e-48,1.9550380183183889e-26,7.3865434843178757e-33,5.7489171395832709e-46,4.0960382529655431e-50,6.1338689585313743e-65,0.0,1.3021408797339623e-43,9.347467124577281e-32
2.7817451463103377e-24,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999998546,9.5,2.3146224390317931e-17,1.9989867747340227e-16,1.9989867747340242e-16,1.1048971999816251e-30,1.1048971174084704e-30,1.419716680492027e-14,2.6291311116851061e-26,5.1220771530792229e-31,5.0836055294037855e-45,1.3896738914565366e-49,4.0699379918644789e-47,7.986968218001723e-26,3.0176440303228217e-32,4.7133039297467091e-45,3.3581796306206575e-49,1.0166437962099358e-63,0.0,1.067573765240898e-42,3.8187453207316329e-31
5.602669801723638e-24,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999997058,9.5,4.6618451941062412e-17,4.0261282927740453e-16,4.0261282927740507e-16,4.4661711401863149e-30,4.4661704714875467e-30,2.8594293705466277e-14,1.0627368315260167e-25,2.0704254802296522e-30,4.1168316873979342e-44,1.1253939470307612e-48,3.3096059831634655e-46,3.2284602543301276e-25,1.2197799650334199e-31,3.8169465292642533e-44,2.7195409293471346e-48,1.6553408744232842e-62,0.0,8.6454891380577702e-42,1.5435979151243079e-30
1.124451911255024e-23,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999994094,9.5,9.3562907042549969e-17,8.0804113288537512e-16,8.0804113288537719e-16,1.7958277725324235e-29,1.795827234305554e-29,5.7388547505899034e-14,4.2732180586463028e-25,8.3250897952802971e-30,3.3135780657219455e-43,9.0581495563187235e-48,2.6693171241301677e-45,1.2981496689651154e-24,4.9046815915271815e-31,3.0721958338367394e-43,2.1889231310850041e-47,2.6717268451492992e-61,0.0,6.9586417987797673e-41,6.2067393268118433e-30
2.252821773420344e-23,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999988165,9.5,1.8745181724551952e-16,1.6188977401011806e-15,1.6188977401011893e-15,7.2020725714397633e-29,7.2020682525093098e-29,1.1497705510412761e-13,1.7137515658212921e-24,3.3387333565670098e-29,2.6589277134551871e-42,7.2685945566267115e-47,2.1441406777910166e-44,5.2061607840441379e-24,1.9669966854478755e-30,2.4652199250719343e-42,1.756472953407064e-46,4.293393315707258e-60,0.0,5.583871803430769e-40,2.4891800732526264e-29
4.509561497750984e-23,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999976308,9.5,3.752296376514363e-16,3.2406109545322479e-15,3.2406109545322826e-15,2.8845856096680188e-28,2.8845821492699131e-28,2.3015407029003694e-13,6.8639451436289955e-24,1.3372348166328192e-28,2.1303617753307398e-41,5.8237207529145142e-46,1.7187941446242962e-43,2.0851798325544424e-23,7.8782465420222939e-30,1.9751377918116309e-41,1.4073157945840636e-45,6.8843676956482981e-59,0.0,4.4738924214565547e-39,9.9697037873299298e-29
9.023040946412266e-23,0.4351410047819239,76.950000000000003,0.0,0.0,0.0,0.99999999999952582,9.5,7.5078527846318031e-16,6.4840373833922116e-15,6.4840373833923488e-15,1.1545859885611771e-27,1.1545832181417259e-27,4.6050810061966434e-13,2.7473668528933609e-23,5.3524242005126003e-28,1.705559107596576e-40,4.6625176739035219e-45,1.3764293190816372e-42,8.3461534648177703e-23,3.1533517471095416e-29,1.5812502643962535e-40,1.1267083292291871e-44,1.1026952668752436e-57,0.0,3.5818342549368542e-38,3.9904796947211674e-28
1.8049999843734826e-22,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999905143,9.5,1.5018965600863109e-15,1.2970890241103449e-14,1.297089024110399e-14,4.6198478720484943e-27,4.619825700322672e-27,9.2121616111015441e-13,1.0993046020319314e-22,2.1416668653216376e-27,1.3649245643747515e-39,3.7314311734853596e-44,1.1017013291187843e-41,3.3395485220608516e-22,1.2617514419284167e-28,1.2653832598021151e-39,9.0170906953389237e-44,1.7652701212456182e-56,0.0,2.8665559959388878e-37,1.5967116619379928e-27
3.6103917638379947e-22,0.4351410047819241,76.950000000000003,0.0,0.0,0.0,0.99999999999810252,9.5,3.0041191233311408e-15,2.5944595956491147e-14,2.5944595956493327e-14,1.8482399751739776e-26,1.8482222345041302e-26,1.8426322814160744e-12,4.3979342304546128e-22,8.5680620276273049e-27,1.0920813030302487e-38,2.9857118737396599e-43,8.8158426732663825e-41,1.3360368666053433e-21,5.0478273708995716e-28,1.0123428275580097e-38,7.2150421913517659e-43,2.8251985676759132e-55,0.0,2.2936803259312712e-36,6.3878863639359598e-27
7.221175322767019e-22,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999620481,9.5,6.0085642498150799e-15,5.1892007387127486e-14,5.1892007387136214e-14,7.3935615958168073e-26,7.3934196582536467e-26,3.6854645193276749e-12,1.759316865738177e-21,3.4275037421596152e-26,8.7364284141443272e-38,2.3887962973103195e-42,7.0535670635269833e-40,5.3445824096006753e-21,2.019295280692467e-27,8.0970159077807436e-38,5.7725812140559162e-42,4.5209308944098421e-54,0.0,1.8351184899482391e-35,2.5553625036142756e-26
1.444274244062507e-21,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999999240941,9.5,1.2017454502760068e-14,1.0378683024784395e-13,1.0378683024787882e-13,2.9575449812864061e-25,2.9574314278799001e-25,7.3711289843499191e-12,7.0375538114217902e-21,1.3710572834534705e-25,6.9877925315472383e-37,1.9111277621982743e-41,5.6432108422323439e-39,2.1379199528882928e-20,8.0775097990808886e-27,6.4739305032843768e-37,4.6182832447780629e-41,7.2339800143984526e-53,0.0,1.4681644856330642e-34,1.0221865945296775e-25
2.888587667634117e-21,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999998481848,9.5,2.4035235008558488e-14,2.0757647596705196e-13,2.0757647596719143e-13,1.183042061255515e-24,1.1829512196294119e-24,1.4742457871190581e-11,2.8150787882105465e-20,5.4843406960317039e-25,5.5876773316930318e-36,1.5289385007511163e-40,4.5147115541392106e-38,8.5518537712648406e-20,3.2310696560193639e-26,5.1728950035763481e-36,3.6947127514734329e-40,1.1574760502100975e-51,0.0,1.1745594639540126e-33,4.0888295657280729e-25
5.777214514777336e-21,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999996963662,9.5,4.8070796019789118e-14,4.1515576739656864e-13,4.1515576739712612e-13,4.7322163806967334e-24,4.7314896911442581e-24,2.9485115472056599e-11,1.1260429624572837e-19,2.1937585806967179e-24,4.4658978540237823e-35,1.2231653176451553e-39,3.6118263954104435e-37,3.4207762835726022e-19,1.2924410097658123e-25,4.1282055988185315e-35,2.9558028141434913e-39,1.8519930787130134e-50,0.0,9.3965871706440654e-33,1.6355484639295954e-24
1.1554468209063775e-20,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999993927291,9.5,9.6141918040785487e-14,8.3031435022000653e-13,8.3031435022223351e-13,1.8928961776679489e-23,1.8923149058894137e-23,5.8970429982527406e-11,4.504194699019145e-19,8.7750788446893362e-24,3.5658832950133732e-34,9.7853806169812605e-39,2.8894839758793496e-36,1.3683174547250239e-18,5.1697903336055327e-25,3.2864440810771166e-34,2.3646523369805113e-38,2.9632140432428123e-49,0.0,7.5173142495902633e-32,6.5422271308904159e-24
2.3108975597636652e-20,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999987854549,9.5,1.9228416207691874e-13,1.660631515724515e-12,1.6606315157334e-12,7.5716039471856461e-23,7.5669550916208406e-23,1.1794105623842426e-10,1.8016824132493945e-18,3.5100403759863831e-23,2.8418060656142988e-33,7.8283277355997383e-38,2.3115963222176279e-35,5.4732835915364446e-18,2.0679213921296862e-24,2.6037020940695586e-33,1.891721168514665e-37,4.7411625579251847e-48,0.0,6.0138690916376761e-31,2.6168975072031485e-23
4.6217990374782413e-20,0.4351410047819241,76.950000000000003,0.0,0.0,0.0,0.99999999975709064,9.5,3.8456865012574723e-13,3.321265846164185e-12,3.3212658461995393e-12,3.0286454147364341e-22,3.0249284549347693e-22,2.3588229769004e-10,7.2067384306395814e-18,1.4040178649895099e-22,2.2561861583692159e-32,6.2626715038780107e-37,1.8492807106401445e-34,2.1893161031556814e-17,8.2716960840441477e-24,2.0433522184746403e-32,1.5133690779075421e-36,7.5858761470804607e-47,0.0,4.8111021687896987e-30,1.0467603336903498e-22
9.243601992907392e-20,0.4351410047819239,76.950000000000003,0.0,0.0,0.0,0.99999999951418106,9.5,7.6913762612965198e-13,6.6425345047671155e-12,6.642534504907048e-12,1.2114589239132873e-21,1.2084887564753524e-21,4.7176473635256751e-10,2.8826968960639588e-17,5.6160744649556708e-22,1.7779312958381103e-31,5.0101409589942709e-36,1.4794260236628815e-33,8.7572690417940327e-17,3.3086805352353052e-23,1.574682617722806e-31,1.210679997476798e-35,1.2137414625643834e-45,0.0,3.8488842031163475e-29,4.1870439950867676e-22
1.8487207903765694e-19,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999999902836179,9.5,1.5382755777624531e-12,1.3285071812875073e-11,1.328507181342298e-11,4.8458371384843806e-21,4.8221300514585187e-21,9.4352943671487426e-10,1.1530788778103419e-16,2.2464300476813302e-21,1.3809430634050595e-30,4.0081143171398203e-35,1.1835413913876223e-32,3.5029079794211894e-16,1.3234726332275008e-22,1.1733220139454625e-30,9.6851849759282187e-35,1.9419873462861084e-44,0.0,3.0791078855521622e-28,1.6748181290644941e-21
2.7730813814623996e-19,0.4351410047819239,76.950000000000003,0.0,0.0,0.0,0.99999999854254251,9.5,2.3074135290202462e-12,1.9927609111892846e-11,1.9927609113039823e-11,1.0297404738718267e-20,1.0229706181196848e-20,1.4152939601144988e-09,2.4502924814134544e-16,4.7736636332228209e-21,3.8828402516644571e-30,1.1460703108056571e-34,3.5136389101754889e-32,7.4436790494376771e-16,2.8123796061078821e-22,3.2238929920519485e-30,2.7693153676093966e-34,7.3469334023220224e-44,0.0,8.804323932285344e-28,3.5589888549932821e-21
