Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109),C7H11(46),C2H4(115),C5H7(210),S(340),S(339),S(204)
0.0,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.180919851737286e-22,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,3.3086395653038928e-17,1.4465368469774375e-16,1.4465368469767862e-16,1.0546401306894026e-28,1.0546446560519312e-28,1.485122072508541e-16,4.6289338596888928e-26,1.9414591867374379e-19,6.5415912105468313e-29,6.6659839985068892e-26,1.7065757640389891e-41,3.6007413274010232e-31,1.9136277890073489e-46,1.6919714343947088e-46,2.559219745487478e-31,6.6913062569013326e-43,6.6913062568979051e-43,3.0259713175366053e-55,4.025447961961553e-56,2.1170080613146967e-41
1.17065755848644e-21,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999999999867,9.5,9.2641907828508886e-17,4.050303171533395e-16,4.0503031715294596e-16,6.3699999975983058e-28,6.3700537224984091e-28,4.1583417992930577e-16,2.7958760491589429e-25,5.4360857196979368e-19,3.9511210896087515e-28,4.026254332083884e-25,2.0260249008115515e-40,2.1748477615541436e-30,2.8918743139395701e-45,2.0087084869394822e-45,1.5457687262694365e-30,7.9439187881697316e-42,7.9439187881620618e-42,6.7689767817410234e-54,9.0047660682425097e-55,2.51323215349617e-40
2.675788705111863e-21,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.999999999999997,9.5,2.117529321794483e-16,9.2578358206315898e-16,9.2578358206126413e-16,3.0668539127223948e-27,3.0669066597161308e-27,9.5047812379386615e-16,1.3460939632578075e-24,1.2425338772951376e-18,1.9022947216847173e-27,1.9384681422443872e-24,1.9891169887061268e-39,1.0470955777141064e-29,3.1109464213659567e-44,1.9721619040066563e-44,7.4422110198025821e-30,7.7993865729712425e-41,7.7993865729560895e-41,1.3374357378207411e-52,1.7791900297457408e-53,2.4673371803995751e-39
5.686050998362709e-21,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999999999356,9.5,4.4997498088132485e-16,1.9672901118773107e-15,1.967290111869036e-15,1.3393520597497482e-26,1.339398713100305e-26,2.0197660055536147e-15,5.878745969361093e-24,2.6403844828788026e-18,8.3078208131907036e-27,8.4657996313824458e-24,1.7592691402366613e-38,4.5729414827601557e-29,2.8594957267944627e-43,1.7443548701597695e-43,3.2502090766915945e-29,6.8984690984618045e-40,6.8984690984348395e-40,2.3798954106622438e-51,3.1659735888353684e-52,2.1820311268999049e-38
1.17065755848644e-20,0.5724075743454521,76.950000000000003,0.0,0.0,0.0,0.99999999999998679,9.5,9.2641907828506958e-16,4.0503031714836649e-15,4.0503031714491199e-15,5.5913338290146139e-26,5.5917259656165102e-26,4.1583417451956218e-15,2.4542607032076276e-23,5.4360856737780402e-18,3.468351638048543e-26,3.5343046739591768e-23,1.4786332666979725e-37,1.9091130490527943e-28,2.4463587913338104e-42,1.4662353737839001e-42,1.3568983089877088e-28,5.7985789410526487e-39,5.798578941007168e-39,4.0140413755943738e-50,5.3398771812326658e-51,1.8336230366082174e-37
2.3747624757867782e-20,0.5724075743454523,76.950000000000003,0.0,0.0,0.0,0.99999999999997324,9.5,1.8793072730925255e-15,8.2163292906085668e-15,8.2163292904674601e-15,2.2840810340500756e-25,2.2844025101420902e-25,8.4354931289696849e-15,1.0026455650218748e-22,1.1027487974504147e-17,1.4169348041260283e-25,1.4438787624109505e-22,1.2120459037781829e-36,7.7993497216454607e-28,2.022696747239594e-41,1.2021083458824666e-41,5.5433723369251241e-28,4.7540253510137485e-38,4.7540253509390468e-38,6.5930747259806408e-49,8.770764223459491e-50,1.5024864671313586e-36
4.782972310387455e-20,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999999994615,9.5,3.7850836627073017e-15,1.6548381528507171e-14,1.654838152793692e-14,9.2313171341436335e-25,9.233920187801148e-25,1.6989795514478016e-14,4.0528535796230411e-22,2.2210292251666893e-17,5.7274769495013607e-25,5.8363886650725472e-22,9.8117875395353446e-36,3.1526218486737994e-27,1.6448233875088118e-40,9.7349850565501384e-41,2.2407197292362778e-27,3.8499329852854204e-37,3.8499329851643266e-37,1.0687657315704114e-47,1.4217786500328313e-48,1.2154127572171298e-35
9.599391979588808e-20,0.5724075743454521,76.950000000000003,0.0,0.0,0.0,0.99999999999989186,9.5,7.5966364419363129e-15,3.3212486002899542e-14,3.3212486000607655e-14,3.7108240810979634e-24,3.7129186930627434e-24,3.4098398757335612e-14,1.6296345160914862e-21,4.4575899508834598e-17,2.3029932289840622e-24,2.3467860930747101e-21,7.8914716026563006e-35,1.2676553718255969e-26,1.3266096252473041e-39,7.8355629044426866e-40,9.0098354788381624e-27,3.0987610025198621e-36,3.0987610023248432e-36,1.7212139629383067e-46,2.2897305999195795e-47,9.7612011772279852e-35
1.9232231317991516e-19,0.5724075743454523,76.950000000000003,0.0,0.0,0.0,0.99999999999978328,9.5,1.5219742000392171e-14,6.6540694946064981e-14,6.6540694936881883e-14,1.4873665496582093e-23,1.4890464585044205e-23,6.8315599130415693e-14,6.5355626142207072e-21,8.9307108834539493e-17,9.2360323894153717e-24,9.4116608982104774e-21,6.3229469465242521e-34,5.0838649512483795e-26,1.0656049556082962e-38,6.2875457745267997e-39,3.6133470001613206e-26,2.4865605503472247e-35,2.4865605500341766e-35,2.7629286402386724e-45,3.6755244389313999e-46,7.7984666766248563e-34
3.849790999479693e-19,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999999956624,9.5,3.0465953117295234e-14,1.3319711280991861e-13,1.3319711277320548e-13,5.9505070968635334e-23,5.9639526449984746e-23,1.3674997542604409e-13,2.6176334426244295e-20,1.7876950673143198e-16,3.6992300459998893e-23,3.7695726859369682e-20,5.0509552279788217e-33,2.0361976603170633e-25,8.5421420400132505e-38,5.0376879114282717e-38,1.4472235105755904e-25,1.9922743187339965e-34,1.9922743182323036e-34,4.4278869424832687e-44,5.8904219770790777e-45,6.1940201605985944e-33
7.702926734840776e-19,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999999913203,9.5,6.0958375351066726e-14,2.6650994844771689e-13,2.665099483013047e-13,2.3763932962544322e-22,2.3871352976242553e-22,2.7361863021524377e-13,1.0477351241962586e-19,3.576942195071862e-16,1.4806557464285414e-22,1.5088108372834172e-19,4.0198703047813202e-32,8.1500967247799259e-25,6.8406405993631125e-37,4.0332134853044787e-37,5.7926656053991961e-25,1.5950308404373738e-33,1.5950308396340124e-33,7.0903783500723941e-43,9.4323470203543794e-44,4.874281706257727e-32
1.540919820556294e-18,0.5724075743454523,76.950000000000003,0.0,0.0,0.0,0.99999999999826372,9.5,1.2194321981847115e-13,5.3313561936367722e-13,5.3313561878210109e-13,9.4660415702247237e-22,9.5516504878903678e-22,5.4735554858597378e-13,4.1923018113423858e-19,7.1554331298687971e-16,5.9245490752791641e-22,6.0372037359818703e-19,3.1794120589495339e-31,3.2610999684907617e-24,5.4752834019582918e-36,3.2277966061739091e-36,2.3178207636176031e-24,1.2765094305804115e-32,1.2765094292945135e-32,1.1349191345791494e-41,1.5097889056140381e-42,3.7718498687895157e-31
3.082174114700727e-18,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999999652711,9.5,2.43912908752726e-13,1.0663869597570545e-12,1.0663869574640553e-12,3.7533507020397704e-21,3.8212820890562849e-21,1.0948278205012297e-12,1.6771909714840975e-18,1.4312401716614731e-15,2.3702033703438207e-21,2.415270668635177e-18,2.485681209330208e-30,1.3046520809075442e-23,4.3813334114878576e-35,2.5827277673624739e-35,9.2727922632735146e-24,1.0214014841504861e-31,1.021401482092641e-31,1.8162299988895211e-40,2.4161509252364166e-41,2.8302095679004434e-30
6.1646827029895935e-18,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999999305378,9.5,4.8785228661901912e-13,2.1328896347896325e-12,2.1328896258797756e-12,1.4751753988021224e-20,1.5286371799820133e-20,2.1897661050627045e-12,6.7092879800224541e-18,2.862628575891205e-15,9.4815687578841071e-21,9.6618374061743105e-18,1.9013537213957266e-29,5.2190310015710435e-23,3.5055063398643842e-34,2.0663785086269578e-34,3.7094187292977075e-23,8.1719876340830629e-31,8.1719876011545231e-31,2.9062312626892211e-39,3.8662255834795551e-40,2.0124809846326643e-29
1.2329699879567327e-17,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999998610711,9.5,9.7573104234274012e-13,4.2658949618380884e-12,4.265894928200313e-12,5.7006442053602161e-20,6.114797072025444e-20,4.3796176373957548e-12,2.6838068639018162e-17,5.7253841320306203e-15,3.7927687593880227e-20,3.864866976321542e-17,1.3978276172465744e-28,2.0876957081988215e-22,2.8045759371664926e-33,1.653181458469808e-33,1.4838278272506772e-22,6.5379002990001323e-30,6.537900246312857e-30,4.6501029560563386e-38,6.1862461976998278e-39,1.3148503700687453e-28
2.4659734232722793e-17,0.5724075743454521,76.950000000000003,0.0,0.0,0.0,0.99999999997221378,9.5,1.95148855375472e-12,8.5319055238682255e-12,8.5319054039006961e-12,2.1344510571002712e-19,2.4459682246307803e-19,8.7592205571921931e-12,1.0735305599025022e-16,1.1450810236291414e-14,1.517127914574438e-19,1.545958043722789e-16,9.6131892085781186e-28,8.3509396086241068e-22,2.2437211180690763e-32,1.3225768358567584e-32,5.9354317308891921e-22,5.2304441124982258e-29,5.2304440281998511e-29,7.4400224934567435e-37,9.8981516151645006e-38,7.6702138484670573e-28
3.6989768585878256e-17,0.5724075743454523,76.950000000000003,0.0,0.0,0.0,0.99999999995832045,9.5,2.9272460651312375e-12,1.2797915993831612e-11,1.279791575874086e-11,4.3373326907374495e-19,5.1977130407480189e-19,1.3138723334408843e-11,2.281245488613362e-16,1.7176151333796301e-14,3.2239007563089296e-19,3.2851508327376508e-16,2.5313858073511237e-27,1.7745833587049213e-21,6.6610890318508772e-32,3.7817667709007184e-32,1.2612867409630402e-21,1.4955891854259576e-28,1.4955891543989841e-28,2.7383792181366975e-36,3.6431811254525892e-37,1.8667152871479672e-27
6.164983729218918e-17,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.9999999999305339,9.5,4.8787610877424248e-12,2.1329936565491567e-11,2.1329936036568993e-11,1.0781244037474335e-18,1.4370225950735723e-18,2.1897328336841202e-11,6.3068619291259269e-16,2.862649351187922e-14,8.9130787995088376e-19,9.0823161391092099e-16,9.4498479094125201e-27,4.9062153069171423e-21,3.1201946090225371e-31,1.7379725544642332e-31,3.487106410823912e-21,6.873219833082581e-28,6.873219594373132e-28,2.1067874450862212e-35,2.8030705052356463e-36,6.0544084620340942e-27
8.344333542492727e-17,0.5724075743454523,76.950000000000003,0.0,0.0,0.0,0.99999999990597732,9.5,6.6034253417264927e-12,2.8870165651856901e-11,2.8870164842455821e-11,1.7775213137233481e-18,2.5331182874836376e-18,2.9637491554980766e-11,1.1117285502559381e-15,3.874554428089234e-14,1.57114497625301e-18,1.6009657842185406e-15,1.8831557208453057e-26,8.6484398418703875e-21,7.0865075640562272e-31,3.8496150171064219e-31,6.146913759313748e-21,1.5224198813111732e-27,1.5224198170578488e-27,5.6708136602399339e-35,7.5451877464299447e-36,1.1333759251100022e-26
1.0523683355766537e-16,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999988142074,9.5,8.3280895955924902e-12,3.6410394431684948e-11,3.6410393348101856e-11,2.5873541102136579e-18,3.9346154987902926e-18,3.7377321390866487e-11,1.7267878719038122e-15,4.8864312042832648e-14,2.4403923116188479e-18,2.4866936257880657e-15,3.1944223881773232e-26,1.3433335825760729e-20,1.3551304864639121e-30,7.2305623735273918e-31,9.5478150018532317e-21,2.8594931903457279e-27,2.8594930465838973e-27,1.2687960236032457e-34,1.6882228207219354e-35,1.8314042237624532e-26
1.2703033169040347e-16,0.5724075743454522,76.950000000000003,0.0,0.0,0.0,0.99999999985686416,9.5,1.005275384934815e-11,4.3950622925054559e-11,4.3950621591116323e-11,3.4824497770599621e-18,5.6215097619743369e-18,4.5116839693868843e-11,2.4670808879938704e-15,5.8982815341912457e-14,3.4866395159413924e-18,3.5527666242685754e-15,4.8651920689501732e-26,1.9192601845762502e-20,2.292856638026354e-30,1.2029758163092166e-30,1.3641267060898254e-20,4.7574443482587973e-27,4.7574440734927526e-27,2.4249895081803833e-34,3.2267093771275628e-35,2.6886990478044126e-26
