Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23),C7H11(40),C7H10(38)
0.0,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5732077943302008e-21,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,1.5279641661820836e-33,5.2280721713468776e-29,1.9206809991432619e-16,2.9247710451233803e-33,2.9247710451233803e-33,1.8821730842520074e-16,1.3005453408711598e-17,9.118555312547255e-26,3.4552973767746007e-19,8.0830755374323052e-37,5.8185864491538541e-28,8.1693811986178782e-32,2.7253612108118918e-32,1.0211261728924611e-34,3.9182420491690726e-45,0.0,0.0,1.5535459551800255e-32,0.0,0.0,0.0,3.8507914885435409e-18,3.0965647598373226e-24
4.4049818241245625e-21,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999999999889,9.5,9.2289035623605154e-33,3.1577555910215809e-28,5.377906797601129e-16,1.7665617113982837e-32,1.7665617113982837e-32,5.2700846358867621e-16,3.6415269544392438e-17,2.5532291015120742e-25,9.6748326532360608e-19,4.8821776238780214e-36,3.5144262152652198e-27,4.9343062439355202e-31,1.6461181710838237e-31,6.1676020846084331e-34,5.9212473846947325e-44,0.0,0.0,9.3834175683330203e-32,0.0,0.0,0.0,1.0782216167921902e-17,8.6703813266910218e-24
1.0068529883713287e-20,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999999999745,9.5,4.4433197931885941e-32,1.5203233867197717e-27,1.2292358394516841e-15,8.5052342013752156e-32,8.5052342013752156e-32,1.204590773908083e-15,8.3234901815753936e-17,5.8361106980221453e-25,2.2113903199227696e-18,2.3505583651886787e-35,1.692044939378378e-26,2.3756560525135592e-30,7.9253503973425907e-31,2.9694349112682864e-33,6.3698077344616031e-43,0.0,0.0,4.5177116362320123e-31,0.0,0.0,0.0,2.4645065526678588e-17,1.9818014456984504e-23
2.1395626002890733e-20,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999999999456,9.5,1.940514488913378e-31,6.639651650295563e-27,2.6121261588348177e-15,3.7144592295349987e-31,3.7144592295349987e-31,2.559755394516721e-15,1.7687416635847626e-16,1.2402411715023782e-24,4.6992044263485822e-18,1.026550592120712e-34,7.38960479005791e-26,1.0375114121784662e-29,3.4612087339094296e-30,1.2968302400823609e-32,5.8549507291641452e-42,0.0,0.0,1.9730033615994138e-30,0.0,0.0,0.0,5.2370764244191792e-17,4.2113280703915777e-23
4.4049818241245627e-20,0.2588472519712064,76.950000000000003,0.0,0.0,0.0,0.99999999999998879,9.5,8.1012659898565937e-31,2.7719238586646389e-26,5.37790679760105e-15,1.5507136101298904e-30,1.5507136101298904e-30,5.270084635613295e-15,3.6415269544391818e-16,2.5537165044953024e-24,9.6748326281101504e-18,4.2856466397478902e-34,3.0850145350106366e-25,4.3314059110931556e-29,1.4449865105329579e-29,5.4140109732363593e-32,5.0090336166276966e-41,0.0,0.0,8.2369006410515258e-30,0.0,0.0,0.0,1.0782216167921758e-16,8.6703813143155551e-23
8.935820271795541e-20,0.2588472519712065,76.950000000000003,0.0,0.0,0.0,0.99999999999997735,9.5,3.3096314862264853e-30,1.1324213390284095e-25,1.0909468075133374e-14,6.3351710915587253e-30,6.3351710915587253e-30,1.0690743117323629e-14,7.3870975361479089e-16,5.1815276888515393e-24,1.9626088987273059e-17,1.7508264850750724e-33,1.2603290989524962e-24,1.7695206447948685e-28,5.9032413679458326e-29,2.2118001393850146e-31,4.1415658593294498e-40,0.0,0.0,3.3650426694864928e-29,0.0,0.0,0.0,2.1872495654926652e-16,1.7588487780314402e-22
1.79974971671375e-19,0.2588472519712065,76.950000000000003,0.0,0.0,0.0,0.99999999999995448,9.5,1.337805956372096e-29,4.577428087627691e-25,2.1972590630197464e-14,2.5607774529828379e-29,2.5607774529828379e-29,2.1532060078813054e-14,1.4878238699564922e-15,1.0440592131045572e-23,3.9528601528157961e-17,7.0771205496186442e-33,5.0944517260803222e-24,7.1526853668038596e-28,2.3861845334494299e-28,8.9404498158973401e-31,3.3678525752410744e-39,0.0,0.0,1.3602040446941205e-28,0.0,0.0,0.0,4.4053054628935408e-16,3.5424700624915679e-22
3.6120850957821414e-19,0.25884725197120645,76.950000000000003,0.0,0.0,0.0,0.99999999999990874,9.5,5.3792588569193927e-29,1.8405636830213217e-24,4.4098835740323415e-14,1.0296773568487789e-28,1.0296773568487789e-28,4.3214693994066927e-14,2.9860521026397184e-15,2.0972489309359854e-23,7.9333625900164125e-17,2.8456790176426717e-32,2.0484566319020681e-23,2.8760633261592753e-27,9.5947429628140845e-28,3.5949155623818265e-30,2.7162951104790984e-38,0.0,0.0,5.4693206018445614e-28,0.0,0.0,0.0,8.8414172576948825e-16,7.1097125964532565e-22
7.236755853918924e-19,0.2588472519712064,76.950000000000003,0.0,0.0,0.0,0.99999999999981715,9.5,2.15732335089538e-28,7.3814834307215379e-24,8.8351325960566407e-14,4.1294667812391553e-28,4.1294667812391553e-28,8.6579961793674758e-14,5.9825085680054659e-15,4.2091356841693267e-23,1.5894367180512202e-16,1.1412445388771797e-31,8.2152272809919078e-23,1.1534300279200922e-26,3.8479209848690236e-27,1.4417219374194935e-29,2.1818759507340953e-37,0.0,0.0,2.1934421522644932e-27,0.0,0.0,0.0,1.7713640847295918e-15,1.4244197524542367e-21
