Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23),S(118),S(196),S(362)
0.0,0.3934078507469931,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.921392631631714e-21,0.3934078507469931,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,2.3785900825184111e-26,2.5008214589792824e-26,1.9297190081402356e-16,8.6626171312558172e-43,8.662617131310414e-43,1.9297190081523969e-16,2.0532588779284486e-17,1.3951797898971421e-30,1.010464186454399e-17,4.8838612038798738e-43,1.6624079550507161e-27,1.3509912635570825e-31,5.1348338627592784e-43,7.1721846849991364e-35,6.4542830130419014e-45,8.7548907131372424e-61,1.8025161828430482e-97,1.6623831956883326e-27,1.8025161828430472e-97,0.0,0.0,1.2162855391510048e-27,7.9690520224218233e-40,5.4599741019816456e-54
1.0979899368568799e-20,0.3934078507469931,76.950000000000003,0.0,0.0,0.0,0.99999999999999878,9.5,1.4366684028224751e-25,1.510496153844166e-25,5.403213222699388e-16,1.0284259058032736e-41,1.0284259058154873e-41,5.4032132227728389e-16,5.7491248581996412e-17,8.4268859308573502e-30,2.8292997055076733e-17,5.7981199953024057e-42,1.0040944048294623e-26,8.1599872317662076e-31,6.0960747345907194e-42,4.331999550288209e-34,9.7537124890276256e-44,1.9584340330922363e-59,1.9207208680343298e-95,1.0040650109015445e-26,1.9207208680343284e-95,0.0,0.0,7.3463646448590571e-27,9.4607178226778251e-39,1.2213743513711539e-52
2.509691284244297e-20,0.3934078507469931,76.950000000000003,0.0,0.0,0.0,0.99999999999999722,9.5,6.9169398546838561e-25,7.2723886920219416e-25,1.2350201651444612e-15,1.0097146527589861e-40,1.0097146527831186e-40,1.2350201651798239e-15,1.3140856818741962e-16,4.0571828288388085e-29,6.4669706773556422e-17,5.6926285388166575e-41,4.8342823329699319e-26,3.9286825942461399e-30,5.9851622658732138e-41,2.0856713072041375e-33,1.0492598807713696e-42,3.8695356255260432e-58,4.3711113018338719e-93,4.8339937498418712e-26,4.3711113018338659e-93,0.0,0.0,3.5369583304316077e-26,9.2882907621142272e-38,2.4132298327707094e-51
5.333093979019131e-20,0.3934078507469931,76.950000000000003,0.0,0.0,0.0,0.99999999999999423,9.5,3.0208092960093781e-24,3.1760431385242182e-24,2.6244178507442841e-15,8.9308117563754669e-40,8.9308117568048907e-40,2.6244178508987091e-15,2.7924320739826366e-16,1.7718783329812264e-28,1.374231235601728e-16,5.0350653778579809e-40,2.1112581025862746e-25,1.7157589045337102e-29,5.293808141576405e-40,9.1086745582036218e-33,9.6445060187227007e-42,6.8856318988858925e-57,7.3869848590519278e-91,2.1110028686621999e-25,7.386984859051905e-91,0.0,0.0,1.5446826167216165e-25,8.2148577523451451e-37,4.294213311803123e-50
1.09798993685688e-19,0.39340785074699297,76.950000000000003,0.0,0.0,0.0,0.99999999999998823,9.5,1.2611283638411628e-23,1.3259354346092961e-23,5.403213221347114e-15,7.5068854017788865e-39,7.5068854025031692e-39,5.4032132219917033e-15,5.7491248581994168e-16,7.3972432443414643e-28,2.8292994653203434e-16,4.2322756710810543e-39,8.8140869747256923e-25,7.1629556777255949e-29,4.4497645459556068e-39,3.8026923273823746e-32,8.2510779487883529e-41,1.1613624628511768e-55,1.081617301520191e-88,8.8119418251160514e-25,1.0816173015201843e-88,0.0,0.0,6.4487457665772915e-25,6.904191080895429e-36,7.2428176051490727e-49
2.2273510147668133e-19,0.3934078507469931,76.950000000000003,0.0,0.0,0.0,0.99999999999997624,9.5,5.1521204333660767e-23,5.416878441436024e-23,1.0960803960166103e-14,6.1545981972723828e-38,6.1545981984620157e-38,1.0960803962798574e-14,1.1662510426632579e-15,3.0220152306754319e-27,5.7394355007027889e-16,3.4698750287839404e-38,3.6008421244576864e-24,2.9263011151147478e-28,3.6481855346701942e-38,1.5535238977575454e-31,6.8221508049994264e-40,1.9075413345322093e-54,1.4790201692144683e-86,3.5990838033602432e-24,1.4790201692144499e-86,0.0,0.0,2.6345229920616785e-24,5.6590109867150062e-35,1.1896347035061192e-47
4.4860731705866805e-19,0.39340785074699314,76.950000000000003,0.0,0.0,0.0,0.99999999999995226,9.5,2.0825691076725294e-22,2.1895885098286899e-22,2.2075985428262121e-14,4.9841531856158451e-37,4.9841531875442933e-37,2.2075985438895862e-14,2.3489281563497316e-15,1.2215468735061083e-26,1.1559705875249024e-15,2.8099943240735932e-37,1.4555179581720139e-23,1.1828576976729047e-27,2.954394772303008e-37,6.2795920079202622e-31,5.5476597299092011e-39,3.0922067111220466e-53,1.9561457581367958e-84,1.4540946750975362e-23,1.9561457581367474e-84,0.0,0.0,1.0649162584069061e-23,4.5804476116571143e-34,1.9284482664735129e-46
9.003517482226416e-19,0.3934078507469931,76.950000000000003,0.0,0.0,0.0,0.9999999999999043,9.5,8.3739159981744313e-22,8.8042361640353657e-22,4.4306348326324036e-14,4.0116800900481861e-36,4.0116800931538899e-36,4.4306348369024636e-14,4.7142823837220439e-15,4.9117862479685154e-26,2.3200239839470835e-15,2.2617271928091439e-36,5.8525736853922562e-23,4.7562187736594792e-27,2.3779531999607255e-36,2.5249963487113934e-30,4.4743885413989775e-38,4.9799036011611443e-52,2.5449992556538912e-82,5.8411283297695487e-23,2.5449992556537651e-82,0.0,0.0,4.2819809768655559e-23,3.6829393558386063e-33,3.1057037357501289e-45
1.8038406105505885e-18,0.39340785074699297,76.950000000000003,0.0,0.0,0.0,0.99999999999980826,9.5,3.3583126107366014e-21,3.5308901288272997e-21,8.8767073970228219e-14,3.2191206170303695e-35,3.2191206220157033e-35,8.8767074141018953e-14,9.4449908384641236e-15,1.9698459665876908e-25,4.6481280628463439e-15,1.8148925050998896e-35,2.3471438038514422e-22,1.9074564515421439e-26,1.9081564981829682e-35,1.012636485879489e-29,3.5940721904247289e-37,7.9938482273856899e-51,3.2841867063771743e-80,2.3379763769924386e-22,3.2841867063768492e-80,0.0,0.0,1.7172655178675175e-22,2.949241195474535e-32,4.9853334875327208e-44
