Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109),C7H11(46),C2H4(115),C5H7(210),S(340),S(339),S(204),C5H8(336),S(200),C7H8(273),S(400),S(399),S(388)
0.0,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.287688307572331e-23,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,1.3416079007288015e-17,7.9038489244661344e-17,7.903848924465719e-17,7.4235725694555291e-30,7.4235778462848843e-30,2.5947022287036296e-16,9.0230851364853229e-27,1.0230788081365211e-18,4.2305240399548061e-30,1.61094388281759e-26,2.2157889671056836e-43,1.27135344591907e-31,1.1618071079151262e-47,3.0473703106108817e-48,7.1572875346809908e-32,3.8249922954533897e-44,3.8249922954531562e-44,2.0473217552230465e-57,2.8961401607309059e-58,2.5254381685360615e-43,4.6768703387754829e-63,3.5600974920550488e-48,3.1173791902025494e-64,3.1960981968987673e-102,2.9711900055675191e-102,2.9711900055675211e-102
1.2005527261202528e-22,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999999999878,9.5,3.7565021220406422e-17,2.2130776988502727e-16,2.2130776988500212e-16,4.4838347544989413e-29,4.4838410191468154e-29,7.2651662395418179e-16,5.4499434219186326e-26,2.8646206625667853e-18,2.5552365199753865e-29,9.7301010512925283e-26,2.6305771871014384e-42,7.6789748130180331e-31,1.7557229045397875e-46,3.6178380327697422e-47,4.3230016709446888e-31,4.5410308531597355e-43,4.5410308531592137e-43,4.5797768719997288e-56,6.4785496934162019e-57,2.9981760990584211e-42,1.0461971873046251e-61,4.2265476964201837e-47,8.7915081118107267e-63,3.4056906460133126e-100,3.1660335152744542e-100,3.1660335152744593e-100
2.7441205168462917e-22,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999999999722,9.5,8.5862905646643112e-17,5.058463311656611e-16,5.0584633116554011e-16,2.1587702870256724e-28,2.1587764376857629e-28,1.6606094257904825e-15,2.6239131569121782e-25,6.5477043705654217e-18,1.2302363905828833e-28,4.6846248098449833e-25,2.5827004487928047e-41,3.6970958202329289e-30,1.888726591034026e-45,3.5520148340846543e-46,2.081339215081286e-30,4.4584110195726261e-42,4.4584110195715938e-42,9.0488673338997894e-55,1.2800522462893284e-55,2.9435760371614216e-41,2.0671093428171058e-60,4.1496494936818982e-46,1.9123450532461559e-61,7.750555076493979e-98,7.2051515198206158e-98,7.2051515198206366e-98
5.831256098298369e-22,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999999999412,9.5,1.824586744991161e-16,1.0749234537265368e-15,1.0749234537260085e-15,9.4278894628947827e-28,9.4279438646383674e-28,3.5287950281377354e-15,1.1459318115299576e-24,1.3913871783115127e-17,5.3727655283042047e-28,2.0458987297434862e-24,2.2843411344506222e-40,1.6146188758008352e-29,1.7360651522524013e-44,3.1417168955025368e-45,9.0897551690040817e-30,3.9434140569041524e-41,3.9434140569023147e-41,1.6101975917369126e-53,2.2777845785196775e-54,2.6034688861543834e-40,3.6783106303410246e-59,3.6703178099884076e-45,3.5451654685119195e-60,1.3098095439163072e-95,1.2176387539838105e-95,1.2176387539838176e-95
1.2005527261202527e-21,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.9999999999999879,9.5,3.7565021220406042e-16,2.2130776988467194e-15,2.2130776988445145e-15,3.9359352462773147e-27,3.9359809739711535e-27,7.2651662275308476e-15,4.7840397321314141e-24,2.8646206594424245e-17,2.2430238437894784e-27,8.5412244537851893e-24,1.9200789869110288e-39,6.7407159656154541e-29,1.4852403159809861e-43,2.6408023533853706e-44,3.7947938508511593e-29,3.3146771233332887e-40,3.3146771233301888e-40,2.7158335817322026e-52,3.8418166168887773e-53,2.1882197618322794e-39,6.2040085113433816e-58,3.0851229800061598e-44,6.0932337569357498e-59,1.9178496934684522e-93,1.7828913538843616e-93,1.7828913538843825e-93
2.4354069587010838e-21,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999999997546,9.5,7.6203328761394265e-16,4.4893861890808114e-15,4.4893861890718034e-15,1.6079391657905413e-26,1.6079766557073939e-26,1.4737908605111497e-14,1.954436326779239e-23,5.8110876161881376e-17,9.163484272923103e-27,3.4893688770046379e-23,1.5741190687653294e-38,2.753802414063697e-28,1.2280254609651502e-42,2.1650893199808963e-43,1.5502971091309675e-28,2.7175725700389348e-39,2.7175725700338431e-39,4.4607647863259156e-51,6.3101953203674783e-52,1.7937843907863367e-38,1.0190102609645073e-56,2.5293697345695746e-43,1.0099088461380116e-57,2.6224972322723242e-91,2.4379531185000474e-91,2.4379531185001052e-91
4.905115423862746e-21,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.9999999999999506,9.5,1.5347994384336811e-15,9.0420031695239012e-15,9.0420031694874889e-15,6.4993951388227066e-26,6.4996987352599797e-26,2.9683393275450495e-14,7.9001440947043816e-23,1.170402150761511e-16,3.7040268468503091e-26,1.410458685719428e-22,1.2746366163246584e-37,1.1131309636308218e-27,9.9860998512518987e-42,1.7533454652424414e-42,6.2665487861592662e-28,2.2007607250017953e-38,2.2007607249935411e-38,7.2310918591268475e-50,1.0229098509505945e-50,1.452247738200021e-37,1.6518595452513613e-55,2.048348412397407e-42,1.6443748733317661e-56,3.4685036409038633e-89,3.2244263840651767e-89,3.2244263840653281e-89
9.844532354186072e-21,0.49068663699598997,76.950000000000003,0.0,0.0,0.0,0.99999999999990086,9.5,3.0803317400730534e-15,1.8147237130309711e-14,1.814723713016332e-14,2.6132559242128209e-25,2.6135002743667461e-25,5.9574362276839251e-14,3.1766131737804259e-22,2.3489889202211263e-16,1.4893728979652014e-25,5.671392304265356e-22,1.0257359591138729e-36,4.4758506342424643e-27,8.0541525079774951e-41,1.4112449683419748e-41,2.5197517055272568e-27,1.7713636932687872e-37,1.7713636932554942e-37,1.1645450237044827e-48,1.6473647708728048e-49,1.1682432956340485e-36,2.6602688739400832e-54,1.6486877537886236e-41,2.6540280599093103e-55,4.5126183290289887e-87,4.1950671262860674e-87,4.1950671262864621e-87
1.9723366214832724e-20,0.4906866369959901,76.950000000000003,0.0,0.0,0.0,0.99999999999980138,9.5,6.1713963433513816e-15,3.6357705051479812e-14,3.6357705050892824e-14,1.0479344428965592e-24,1.0481305013828521e-24,1.1935629892245995e-13,1.2739639436562474e-21,4.7061624238372361e-16,5.9730514090083802e-25,2.2744819437253517e-21,8.2276373846622379e-36,1.795016281024989e-26,6.4695352364980694e-40,1.1324352104831524e-40,1.0105331324820846e-26,1.4214078071493251e-36,1.4214078071279875e-36,1.8693525809920612e-47,2.6443852629203114e-48,9.3639694203360938e-36,4.2703207043375944e-53,1.3229660843236208e-40,4.2649530794915503e-54,5.8232949007589965e-85,5.4135118956923411e-85,5.4135118956933607e-85
