Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761)
0.0,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.911587441144707e-23,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,1.2825305510391597e-17,1.8775576276566167e-16,1.8775576276571805e-16,9.4602480603705171e-29,9.4602373729215192e-29,1.0877066990110265e-16,7.496127156789471e-27,5.6561076319815258e-29,4.210878713183684e-42,1.4080231200422908e-46,1.8196300151358992e-46,1.1847490984759087e-26,3.4775120524057137e-31,5.035175771690618e-42,1.3335247301836284e-46,4.6674621719967016e-63,0.0,1.5194769141112523e-43,1.4238264304874536e-31,1.0701183928423496e-43,1.0701183928427163e-43,3.2237118669795124e-56,4.4023822956656924e-57,7.5163652779619243e-49,2.1170640944124299e-33,1.2755232860095069e-45,8.7094339751197276e-47
2.4952444835205184e-22,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999999999867,9.5,3.5910855429096441e-17,5.2571613574336246e-16,5.2571613574370315e-16,5.71398982844675e-28,5.7139771403199704e-28,3.0455787565925402e-16,4.5276608019089863e-26,3.4162890093693908e-28,4.9991378339959816e-41,1.6716050481534713e-45,2.749824900212848e-45,7.1558845535429755e-26,2.1004172796514157e-30,5.9777005499219781e-41,1.5831605284998821e-45,1.3162990217498859e-61,0.0,1.8039229921437457e-42,8.5999116401336961e-31,1.2704445559806294e-42,1.2704445559814491e-42,7.211314493623647e-55,9.8479530987790742e-56,8.9234288546978219e-48,1.2787067130235466e-32,1.5143012441929488e-44,1.0339840013790987e-45
5.703415962332614e-22,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999999999689,9.5,8.208195526650602e-17,1.2016368816968024e-15,1.2016368816984431e-15,2.7510401359301806e-27,2.7510276786789163e-27,6.9613228692022324e-16,2.179873776006596e-25,1.6447960988590502e-27,4.9081463681636062e-40,1.6411917488381321e-44,2.9581362052241926e-44,3.445250376490675e-25,1.0112605048371285e-29,5.8688144921117251e-40,1.5543563288622615e-44,2.8632379434505485e-60,0.0,1.7711022901917645e-41,4.1404872598417263e-30,1.2473299986914364e-41,1.247329998693056e-41,1.4248342210231078e-53,1.945789579539226e-54,8.7610753577668373e-47,6.1564223865278636e-32,1.4867499392042998e-43,1.0151716236838885e-44
1.2119758919956805e-21,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999999999334,9.5,1.744241549413247e-16,2.5534783735958368e-15,2.5534783736030016e-15,1.2014515036406366e-26,1.2014404853907264e-26,1.4792811084208273e-15,9.5200814768488754e-25,7.1832566872310272e-27,4.3411344139569281e-39,1.4516155160802103e-43,2.7190369265151381e-43,1.5046313531245603e-24,4.4164403065299042e-29,5.1906734166479034e-39,1.3748104528865989e-43,5.3079608101533142e-59,0.0,1.5665199174898829e-40,1.8082595667027492e-29,1.1032492582729741e-40,1.1032492582758557e-40,2.5354163610088356e-52,3.4624285915905572e-53,7.7490719254938965e-46,2.6886713998794889e-31,1.315013480710746e-42,8.9790780414119317e-44
2.4952444835205182e-21,0.18230400921986337,76.950000000000003,0.0,0.0,0.0,0.99999999999998623,9.5,3.5910855429096018e-16,5.257161357362521e-15,5.2571613573924346e-15,5.0158235213706728e-26,5.0157309071446081e-26,3.0455787473366974e-15,3.9744466074833988e-24,2.9988682616296469e-26,3.6488749214691576e-38,1.2201703078935895e-42,2.3261935286178467e-42,6.2815397026606742e-24,1.8437768901626921e-28,4.3626927150939092e-38,1.1556108265839903e-42,9.1230291730188522e-58,0.0,1.3167543787232402e-39,7.5491277342976262e-29,9.2734747732153165e-40,9.2734747732639202e-40,4.2763502544715797e-51,5.8398918919636608e-52,6.5135618490778745e-45,1.1224673828355906e-30,1.1053480599736917e-41,7.5474561145187452e-43
5.061781666570194e-21,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999999997191,9.5,7.2847735299022345e-16,1.066452732477036e-14,1.0664527324892561e-14,2.0491275706671778e-25,2.0490516412466473e-25,6.1781740088270885e-15,1.6236911173166258e-23,1.2251355334139686e-25,2.9913875344554722e-37,1.0003693383763437e-41,1.9233421121490302e-41,2.5662139224811476e-23,7.5324302057996833e-28,3.5761743352118494e-37,9.4743925063395052e-42,1.5120754226105724e-56,0.0,1.0795547916203741e-38,3.0840650013687047e-28,7.6029548986405677e-39,7.6029548987203996e-39,7.023918059747293e-50,9.5920399457959875e-51,5.3402115024154902e-44,4.5856455108757992e-30,9.0623111192931915e-41,6.1878605054804302e-42
1.0194856032669546e-20,0.18230400921986342,76.950000000000003,0.0,0.0,0.0,0.99999999999994327,9.5,1.4672149503887194e-15,2.1479259259083916e-14,2.1479259259577847e-14,8.2829012671052763e-25,8.2822863923103685e-25,1.2443364466442468e-14,6.5632190629400218e-23,4.9521936912094516e-25,2.4222107467680564e-36,8.1012502715960415e-41,1.5640303816867228e-40,1.0373046915133182e-22,3.0447287223008041e-27,2.895067329976864e-36,7.6726034430024487e-41,2.4620236350339132e-55,0.0,8.7425145473407666e-38,1.2466283834581486e-27,6.1570699965317772e-38,6.1570699966611871e-38,1.1386073615142858e-48,1.5549110027108273e-49,4.3246416734502048e-43,1.853591233582168e-29,7.3388943394617331e-40,5.0110898436844044e-41
2.0461004764868252e-20,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999999988598,9.5,2.9446901451855899e-15,4.3108723125702765e-14,4.3108723127688587e-14,3.3305181693024771e-24,3.330023298921646e-24,2.4973745120211633e-14,2.6390414876554032e-22,1.9912552888892064e-24,1.9491353437397928e-35,6.5205910213394873e-40,1.2614479995725439e-39,4.1709564925248344e-22,1.2242720279687497e-26,2.3285756235256254e-35,6.1755703028584833e-40,3.9737186210402607e-54,0.0,7.0367362109086645e-37,5.0126379007586885e-27,4.9557455857021618e-37,4.9557455859105723e-37,1.8336919768219636e-47,2.5041362107668194e-48,3.4808477647097257e-42,7.4532088257061729e-29,5.9069803742406947e-39,4.0333610212846836e-40
4.0993302229265656e-20,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999999977141,9.5,5.8996405347788441e-15,8.6367650850908648e-14,8.6367650858870704e-14,1.3356867464129161e-23,1.3352896992097374e-23,5.0034505381903618e-14,1.0583736453261039e-21,7.9858242083968342e-24,1.563303646912675e-34,5.2323636580570855e-39,1.0132649765563252e-38,1.6727400642011191e-21,4.9098784006811633e-26,1.8659303549509102e-34,4.9554926838905189e-39,6.3856673357658896e-53,0.0,5.6465375253171814e-36,2.0102919935783886e-26,3.9766737297837273e-36,3.9766737301182726e-36,2.9434814752232827e-46,4.0196931241830258e-47,2.7931609715597373e-41,2.9890700915202982e-28,4.7399793251753995e-38,3.2365181433801713e-39
8.205789715806048e-20,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999999954237,9.5,1.1809541313963409e-14,1.7288550626920367e-13,1.7288550630107751e-13,5.3497138863758139e-23,5.3465335598789036e-23,1.0015602172190257e-13,4.2390148267491327e-21,3.1984949784376078e-23,1.2513376048565791e-33,4.1922581827933359e-38,8.1225944861033511e-38,6.699684903114843e-21,1.966512338830373e-25,1.4908575378286657e-33,3.9704027260439639e-38,1.0239312227460987e-51,0.0,4.5241010551754015e-35,8.0516535989868301e-26,3.1861781721396955e-35,3.1861781726758398e-35,4.7172445450559123e-45,6.4419899051309176e-46,2.2379275275686331e-40,1.1971871268887296e-27,3.7977508441039584e-37,2.5931529109901327e-38
1.6418708701565012e-19,0.18230400921986337,76.950000000000003,0.0,0.0,0.0,0.99999999999908418,9.5,2.3629342872324741e-14,3.4592121697741016e-13,3.459212171048613e-13,2.1412797267416635e-22,2.1387349441389863e-22,2.003990376683632e-13,1.6967104879993123e-20,1.2802314722089135e-22,9.9990258584272712e-33,3.3563556595085866e-37,6.5046977829561904e-37,2.6816196937257384e-20,7.8711742310413586e-25,1.1869891292994496e-32,3.1787015628323896e-37,1.6400778612747776e-50,0.0,3.6220313685567783e-34,3.2227597589287354e-25,2.5508798684243572e-34,2.5508798692828864e-34,7.5537348341226637e-44,1.0315576359156778e-44,1.7917024096399187e-39,4.7918684640445427e-27,3.0405088016502583e-36,2.0760989125733649e-37
3.2844546673082935e-19,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999999816791,9.5,4.7268945989016264e-14,6.9199263788095521e-13,6.9199263838990989e-13,8.5679080250975364e-22,8.5475646002917211e-22,4.0088500262715765e-13,6.7890507245598239e-20,5.1225928992676652e-22,7.9715659036361534e-32,2.6861046579559612e-36,5.2064498080822429e-36,1.0729969699280155e-19,3.1494949576690956e-24,9.3955062290374581e-32,2.5438716346421312e-36,2.6255759256613937e-49,0.0,2.8987253875961685e-33,1.2895236857478321e-24,2.0414791559754501e-33,2.0414791573496545e-33,1.2090886895973902e-42,1.6511637644801692e-43,1.4339058733729891e-38,1.9173715528262582e-26,2.4333294034006857e-35,1.6615098360769792e-36
6.569622261611879e-19,0.18230400921986337,76.950000000000003,0.0,0.0,0.0,0.99999999999633538,9.5,9.4548152222274702e-14,1.3841354776418846e-12,1.3841354796699308e-12,3.4277210964043413e-21,3.4114792687766772e-21,8.0185666480841842e-13,2.7160613299352583e-19,2.0493702682425875e-21,6.3298877506590939e-31,2.1492919441522058e-35,4.1663029978707336e-35,4.2926849354898775e-19,1.2600030637311729e-23,7.3565636795873296e-31,2.0353946988159168e-35,4.2021475573611552e-48,0.0,2.3194199012167237e-32,5.1589344166103552e-24,1.6334934916701085e-32,1.6334934938692809e-32,1.9349329290918393e-41,2.6423987903250198e-42,1.1473416161114752e-37,7.6707347081959328e-26,1.947030493042003e-34,1.3294598897038029e-35
1.313995745021905e-18,0.1823040092198634,76.950000000000003,0.0,0.0,0.0,0.99999999999267031,9.5,1.8910656468829313e-13,2.7684211490212283e-12,2.7684211570696682e-12,1.3712000104047987e-20,1.3582625565574741e-20,1.6037989182270565e-12,1.0865121243989675e-18,8.1981446093112026e-21,4.9883564150328803e-30,1.7195969853963327e-34,3.3336057125068449e-34,1.7172124124113919e-18,5.0404224327396393e-23,5.6432095563977976e-30,1.6283277954624143e-34,6.7246240076606031e-47,0.0,1.8557107841476611e-31,2.0637417050600377e-23,1.3069188671401202e-31,1.3069188706591463e-31,3.0961992574354902e-40,4.2282655975547089e-41,9.1795893732411882e-37,3.0685435881897993e-25,1.5577679127837235e-33,1.0636682260930111e-34
