Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532)
0.0,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.768335709510476e-26,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,3.2814882112318547e-19,4.3417057716204438e-18,4.3417057716204438e-18,5.4491998494955963e-34,5.4491998417406948e-34,2.9148274648822042e-16,8.1764273137709515e-30,2.469372604725566e-34,5.0402393606456045e-50,2.236174743899273e-54,4.6786381594528994e-52,2.6357699758079946e-29,1.7967180067736752e-35,4.5680940074126677e-50,5.7331561779092723e-54,3.0705791929728347e-70,0.0,8.6492481031328017e-48,1.8769596187765548e-34,4.2168829952869422e-49,4.216882995286943e-49,2.3983788615882708e-65,4.0938213733076068e-66,1.7078825041664027e-49,5.6802685191937077e-36,6.4613772588928297e-52,5.5145008045022108e-53,4.2469794280015271e-115
7.751339986629332e-26,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,9.1881669914491924e-19,1.215677616053723e-17,1.215677616053723e-17,3.2913167090952979e-33,3.2913166998886801e-33,8.1615169016690379e-16,4.9385620975170836e-29,1.4915010532540741e-33,5.9837720554410374e-49,2.6547866559609141e-53,7.0703579865649844e-51,1.5920050653878441e-28,1.0852176760912984e-34,5.4232409449014388e-49,6.8064030143169139e-53,8.6595246168539901e-69,0.0,1.0268387348038166e-46,1.133683609741036e-33,5.0062834920046457e-48,5.0062834920046463e-48,5.3650775782160492e-64,9.1577146592327564e-65,2.0275981089458567e-48,3.4308821855930539e-35,7.6709470817540087e-51,6.5468153551040602e-52,4.5254861461392303e-113
1.7717348540867045e-25,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.999999999999998,9.5,2.1001524551883852e-18,2.778691693837076e-17,2.7786916938370766e-17,1.5846273162332562e-32,1.5846273071941432e-32,1.8654895775238164e-15,2.3777050628437342e-28,7.1809355345394276e-33,5.874902646864519e-48,2.6064852815000403e-52,7.6059684830589879e-50,7.6648190896468782e-28,5.2248559636978275e-34,5.3245695668737586e-48,6.6825668406704248e-52,1.8836357518439904e-67,0.0,1.0081563589008193e-45,5.4581985714021791e-33,4.9151988193064236e-47,4.9151988193064246e-47,1.0600489201648657e-62,1.8094100959732871e-63,1.9907078468548191e-47,1.6518220853816114e-34,7.5313813329544553e-50,6.4277021377247853e-51,1.0298947634805366e-110
3.764936564934247e-25,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999999999589,9.5,4.4628239672753107e-18,5.9047198494037666e-17,5.9047198494037666e-17,6.9204838088587516e-32,6.9204837289088227e-32,3.9641653522358258e-15,1.038406268848023e-27,3.1361032079988683e-32,5.196284432252857e-47,2.3054067139932581e-51,6.9911954289067221e-49,3.3474278692732894e-27,2.2818318686025483e-33,4.70952050073297e-47,5.910654692546041e-51,3.4919432302464431e-66,0.0,8.9170288243986513e-45,2.3837387158461811e-32,4.3474376928209504e-46,4.347437692820952e-46,1.8863004152330991e-61,3.2197485893717633e-62,1.7607585464921618e-46,7.213941019376842e-34,6.6614214988049931e-49,5.685229749403316e-50,1.7404766202272162e-108
7.751339986629332e-25,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999999999156,9.5,9.1881669914491446e-18,1.2156776160537072e-16,1.2156776160537077e-16,2.8891657602019746e-31,2.8891656929992415e-31,8.161516901652583e-15,4.3351417617533651e-27,1.3092613550231548e-31,4.3677894453518007e-46,1.9378332543084235e-50,5.9811148793858988e-48,1.3974852411708217e-26,9.5261988719138554e-33,3.9586340982074025e-46,4.9682614121319659e-50,6.0017582174423163e-65,0.0,7.4953000181922801e-44,9.9516398987529053e-32,3.6542833335876023e-45,3.654283333587606e-45,3.1815213577426426e-60,5.4305766043153043e-61,1.4800236519846725e-45,3.0116783688772487e-33,5.5993261504783573e-48,4.7787781651573391e-49,2.5484411593463007e-106
1.5724146830019502e-24,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.9999999999999829,9.5,1.8638853039796726e-17,2.4660888782803403e-16,2.4660888782803418e-16,1.1803184841996434e-30,1.180318429102784e-30,1.6556220000457041e-14,1.7710468618652752e-26,5.348759836719948e-31,3.5809764979726965e-45,1.5887527808719439e-49,4.9453014456969024e-47,5.7091831983773317e-26,3.8917630713919072e-32,3.2455246942643413e-45,4.0732808743690105e-49,9.947474097288329e-64,0.0,6.1450998018557107e-43,4.0655696126544391e-31,2.9960022593746041e-44,2.9960022593746101e-44,5.2256583835607913e-59,8.9197383795639769e-60,1.2134128091545659e-44,1.2303688823320647e-32,4.5906658751620344e-47,3.91793106140167e-48,3.4847777226089667e-104
3.1669760516799843e-24,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999999996558,9.5,3.754022513649156e-17,4.9669114027334926e-16,4.9669114027334995e-16,4.7710360298220486e-30,4.7710355836334176e-30,3.3345626197949753e-14,7.158854581661855e-26,2.162054245305958e-30,2.8999656998295879e-44,1.2866131932059853e-48,4.0214370061519649e-46,2.3077431307607919e-25,1.5731128573945592e-31,2.6283056539019875e-44,3.2986484573695241e-48,1.6196882853067951e-62,0.0,4.9764611419956529e-42,1.6433682403003034e-30,2.4262403062454148e-43,2.4262403062454248e-43,8.4710174285224852e-58,1.4459280290813928e-58,9.8265315269655924e-44,4.9733477414481916e-32,3.7176402466965754e-46,3.1728421527291957e-47,4.608952135502982e-102
6.356098789036052e-24,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999999993094,9.5,7.534296932987992e-17,9.9685564516393475e-16,9.9685564516393712e-16,1.9184126038109781e-29,1.9184122446795826e-29,6.6924438592470325e-14,2.8785439414771607e-25,8.6935250297083207e-30,2.334141609742228e-43,1.0355782308042722e-47,3.2434346320206406e-45,9.279333630485512e-25,6.3254176115660336e-31,2.1154819817006413e-43,2.6550392517925599e-47,2.6141834225756644e-61,0.0,4.0054888693829991e-41,6.6079114162854065e-30,1.9528492766021624e-42,1.9528492766021787e-42,1.364231242127934e-56,2.3286225153323971e-57,7.9092474616892164e-43,1.9997612532604204e-31,2.9922802978367898e-45,2.5537793955191224e-46,5.9963730873644207e-100
1.2734344263748188e-23,0.289775529489379,76.950000000000003,0.0,0.0,0.0,0.99999999999986167,9.5,1.509484577166514e-16,1.9971846549449247e-15,1.9971846549449345e-15,7.6936925722767948e-29,7.6936896904740219e-29,1.3408206337965208e-13,1.1544248665385569e-24,3.4864923642698909e-29,1.8729967048588653e-42,8.3098631193240006e-47,2.6053030819788957e-44,3.721427814106198e-24,2.5367753734549394e-30,1.6975297219944207e-42,2.1305017868136747e-46,4.2009225804288314e-60,0.0,3.2141525607543468e-40,2.6500680239911276e-29,1.5670385583211337e-41,1.5670385583211591e-41,2.1898932751195768e-55,3.7379548491209035e-56,6.34667298078306e-42,8.0199370406722936e-31,2.4011164916284425e-44,2.0492471334535141e-45,7.7380018165843009e-98
