Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751)
0.0,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.034445530163294e-23,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,1.1333491522426683e-17,1.6069379872406877e-16,1.6069379872408837e-16,3.4348651379845033e-29,3.4348629236181851e-29,1.9551613249593116e-16,6.3553726020732411e-27,1.9705631503481398e-29,9.2118504181730017e-43,3.0370287837556257e-47,6.7149479353280141e-47,1.1155387528347686e-26,1.7295881454618034e-31,1.056952078841354e-42,3.4485332263442953e-47,1.522076109971055e-63,0.0,1.264294899819013e-43,1.2067874763278072e-31,5.7471856246568812e-44,5.7471856246576857e-44,7.0476846627162625e-57,9.9201570925379737e-58,2.1787416880085122e-48,1.9999516782937039e-33,4.9050194964238764e-46,3.4520957076672922e-47,1.6517333683734557e-101,1.7767504485860772e-58,4.0260715196630662e-50
1.1296447484457225e-22,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,3.1733776262794699e-17,4.499426364272169e-16,4.4994263642733523e-16,2.0746585433386152e-28,2.0746559144444219e-28,5.4744517093088381e-16,3.8386450513144965e-26,1.1902201427432917e-28,1.0936281637832135e-41,3.6055605721397603e-46,1.0147629347865619e-45,6.7378540665291759e-26,1.044671239858589e-30,1.254804659864925e-41,4.0940986050793712e-46,4.2924981737181567e-62,0.0,1.5009709049440715e-42,7.2889963570150415e-31,6.8230587735875934e-43,6.8230587735893928e-43,1.5765388678155958e-55,2.2190994608058861e-56,2.5866021315209004e-47,1.2079708136888727e-32,5.8232391442301802e-45,4.0983280238014502e-46,1.7600500785098166e-99,3.9745196831522789e-57,4.7797521081413585e-49
2.5820451393045084e-22,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999999999656,9.5,7.2534345743530627e-17,1.0284403118328106e-15,1.0284403118333803e-15,9.9885878211985651e-28,9.9885620105912228e-28,1.2513032475698941e-15,1.8481423521762857e-25,5.7303976402076139e-28,1.0737248594131589e-40,3.5399607505393528e-45,1.0916356667497069e-44,3.2439866923542653e-25,5.0296423269978147e-30,1.2319559142837534e-40,4.0196102007935223e-45,9.3371211911354711e-61,0.0,1.4736621348537518e-41,3.5093379811538922e-30,6.6989195640843875e-42,6.6989195640879408e-42,3.1149751311405413e-54,4.3845665835907715e-55,2.5395413100460244e-46,5.8158594804701712e-32,5.7172907190664576e-44,4.0237627557993658e-45,4.0054621775000194e-97,7.8529811286897561e-56,4.6927889633110611e-48
5.48684592102208e-22,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999999999278,9.5,1.5413548470500211e-16,2.1854356626411866e-15,2.1854356626436743e-15,4.3622787251779324e-27,4.362255896044503e-27,2.6590193999243377e-15,8.07132319939802e-25,2.5026151999038657e-27,9.4968723770567313e-40,3.1310551953012296e-44,1.0034012647165972e-43,1.4167342151812738e-24,2.1965769447312093e-29,1.0896177164003256e-39,3.5552995465818101e-44,1.7309449326325575e-59,0.0,1.303437469129302e-40,1.5326200949286967e-29,5.9251184915633362e-41,5.9251184915696596e-41,5.5429318057235639e-53,7.8021019664322165e-54,2.246195527526192e-45,2.5399386314247957e-31,5.0568788875061672e-43,3.5589725885556165e-44,6.7690540046505663e-95,1.3973960330433235e-54,4.1507186938945556e-47
1.1296447484457224e-21,0.20169464657853053,76.950000000000003,0.0,0.0,0.0,0.99999999999998512,9.5,3.1733776262794353e-16,4.4994263642466943e-15,4.4994263642570797e-15,1.8211654961032352e-26,1.8211463069360231e-26,5.4744517009389095e-15,3.3696185489077332e-24,1.0447925813801387e-26,7.9825211878015331e-39,2.6318405522636631e-43,8.5843093248156241e-43,5.9145864592599998e-24,9.1702763471909435e-29,9.1583326580007964e-39,2.9884432303731945e-43,2.9750521656599545e-58,0.0,1.0956177300349065e-39,6.3983871994214634e-29,4.9804191072979244e-40,4.9804191073085892e-40,9.3489646364523661e-52,1.3159385336899056e-52,1.8880626812587528e-44,1.0603743798239239e-30,4.2506113925614045e-42,2.9915309027034963e-43,9.9113861310333917e-93,2.356912655772506e-53,3.4889291617643147e-46
2.291565061132751e-21,0.2016946465785306,76.950000000000003,0.0,0.0,0.0,0.99999999999996991,9.5,6.4374231847382005e-16,9.1274077674127312e-15,9.1274077674551562e-15,7.4400552830045596e-26,7.4398979601759366e-26,1.1105316288190795e-14,1.3765991231104021e-23,4.2683185982684487e-26,6.5442706557836394e-38,2.1577418944854684e-42,7.0976733726514137e-42,2.4163015531883355e-23,3.7463571065558334e-28,7.5076349493332947e-38,2.4501058857273657e-42,4.9309310660003098e-57,0.0,8.9825360825927011e-39,2.6139499451670273e-28,4.0832484883585714e-39,4.0832484883760886e-39,1.5355702403649013e-50,2.1614329902480925e-51,1.5479478530194697e-43,4.3319753331886174e-30,3.4849080107417566e-41,2.4526377711739468e-42,1.355298216802196e-90,3.8712361090411692e-52,2.8604349190080754e-45
4.615405686506809e-21,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999999993949,9.5,1.2965514301655477e-15,1.8383370573564907e-14,1.8383370573736389e-14,3.0073893014410076e-25,3.0072618998585794e-25,2.2367045403585548e-14,5.5644337381867015e-23,1.725322618653056e-25,5.2992625473123578e-37,1.7473953304128294e-41,5.771710792467208e-41,9.7670771820735928e-23,1.5143374415496822e-27,6.0783886755177275e-37,1.9841585752382394e-41,8.028743897199392e-56,0.0,7.2742905872750455e-38,1.056600361276103e-27,3.3067204911537376e-38,3.3067204911821337e-38,2.4892255043172429e-49,3.5037760104109374e-50,1.2535682965043432e-42,1.7510536919751227e-29,2.8221688270408734e-40,1.9862096502804937e-41,1.7925116341808713e-88,6.2754405380371355e-51,2.3164543591513571e-44
9.263086937254923e-21,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999999987865,9.5,2.6021696535489037e-15,3.6895296185149694e-14,3.6895296185839165e-14,1.2092580109708132e-24,1.2091554711549348e-24,4.4890503397938987e-14,2.2374343194350439e-22,6.9374463405399053e-25,4.2645712301507039e-36,1.4064557835195178e-40,4.6550949472768728e-40,3.9272987541880261e-22,6.0890842493555557e-27,4.8900211446601123e-36,1.5970223215616699e-40,1.2958427978741483e-54,0.0,5.8549818808045993e-37,4.2485435815237467e-27,2.6615363293244997e-37,2.6615363293702307e-37,4.008820847489869e-48,5.6427232195712027e-49,1.0089808099176367e-41,7.040909881081743e-29,2.2715269429854218e-39,1.5986743136325837e-40,2.3321067793887559e-86,1.0106403468743662e-49,1.8644839951475527e-43
1.8558449438751153e-20,0.20169464657853053,76.950000000000003,0.0,0.0,0.0,0.99999999999975697,9.5,5.2134061003152142e-15,7.3919147405441283e-14,7.3919147408205931e-14,4.8496654765745576e-24,4.8488427243015444e-24,8.9937418440901546e-14,8.9731122302426242e-22,2.7822262460773488e-24,3.4208687712804668e-35,1.1285921934234897e-39,3.7392271814584073e-39,1.5750224342638859e-21,2.4419951248323445e-26,3.9200959944432384e-35,1.2815080423584278e-39,2.0823855394298914e-53,0.0,4.6982541728061496e-36,1.7038559967903562e-26,2.1357152863596904e-36,2.1357152864330989e-36,6.4350449954575915e-47,9.05782034642863e-48,8.0964353556548376e-41,2.823719774535793e-28,1.82275723227177e-38,1.2828354408576126e-39,3.0094602569620248e-84,1.622301561600493e-48,1.496130984889664e-42
3.7149174441743616e-20,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999999951361,9.5,1.0435878993846235e-14,1.4796684983451458e-13,1.479668498455843e-13,1.9423957616830719e-23,1.9417366630725073e-23,1.8003124474384966e-13,3.5939251563520155e-21,1.1143416828326255e-23,2.7389671629239605e-34,9.0424713580349009e-39,2.9974562389649703e-38,6.308304859089891e-21,9.7807178773968367e-26,3.1347144074702524e-34,1.0267630187253664e-38,3.3390653449692558e-52,0.0,3.764320530195047e-35,6.8243112515954606e-26,1.7111711674081166e-35,1.7111711675257612e-35,1.0312850143474746e-45,1.4516130068430145e-46,6.4870004499074022e-40,1.1309607540925569e-27,1.4604237536470507e-37,1.0278294033881834e-38,3.8677792601191886e-82,2.5999125116855292e-47,1.1987254202335014e-41
