Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109),C7H11(46),C2H4(115),C5H7(210),S(340),S(339),S(204),C5H8(336),S(200),C7H8(273),S(400),S(399),S(388),C7H10(238),C7H10(187),S(106),OH(D)(275),S(808),S(826),S(929)
0.0,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.322278534595683e-23,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,7.9250007892483197e-18,4.6854320883145713e-17,4.685432088314501e-17,1.3252001644392451e-30,1.3252005258617075e-30,3.0502852850725948e-16,3.4041337301548565e-27,2.0338097396984151e-18,7.2531380268744371e-31,6.7371267219197343e-27,1.6116805830444761e-44,9.1713725061751126e-32,1.8876346449168736e-48,2.2940240794502723e-49,2.8062556858279254e-32,6.4269073778108582e-45,6.4269073778107449e-45,9.9489749105350351e-59,1.4511511229631287e-59,1.7642175193164114e-44,3.5600841440772625e-64,3.1646586471409347e-49,2.9919012101553413e-65,2.6229328705459591e-104,2.4243692099301891e-104,2.4243692099301906e-104,5.3391734588477272e-44,2.6977762498182735e-44,1.2076556742279419e-65,1.2076556744976604e-65,2.6971859479132703e-75,2.7935496169541462e-89,1.6386548755377163e-103
3.702379896867913e-23,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999999999878,9.5,2.2190002209895283e-17,1.3119209847280351e-16,1.3119209847279927e-16,8.0042068853907e-30,8.0042111761971376e-30,8.5407987978693566e-16,2.0560967729464577e-26,5.6946672710080643e-18,4.3808953681312827e-30,4.0692245399067702e-26,1.9133845933051065e-43,5.5395089936225477e-31,2.8525934762999919e-47,2.7234653871269513e-48,1.6949784342396438e-31,7.6300244389353069e-44,7.630024438935052e-44,2.2255458913182663e-57,3.2461670159235296e-58,2.0944711599930136e-43,7.9637658269404702e-63,3.7570827316155584e-48,8.4376401194030414e-64,2.7949385131566697e-102,2.5833535242305982e-102,2.583353524230601e-102,6.3386667301543814e-43,3.2027999636884289e-43,2.7014774365146857e-64,2.7014774376276868e-64,1.1130013333235354e-73,2.1029144242651898e-87,2.2367558294165014e-101
8.462582621412372e-23,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999999999734,9.5,5.072000505118916e-17,2.9986765365210099e-16,2.9986765365208077e-16,3.8536789164574703e-29,3.8536831291944804e-29,1.9521825822127253e-15,9.8992208862841895e-26,1.3016382333037369e-17,2.1092125380637708e-29,1.9591564505351345e-25,1.8785668434751489e-42,2.6670351246348922e-30,3.0686898930633973e-46,2.6739144670176969e-47,8.1605915343812602e-31,7.4912032395709285e-43,7.4912032395704251e-43,4.3973036435244669e-56,6.4138789971048808e-57,2.0563475159960443e-42,1.5735059264736526e-61,3.6887260748699793e-47,1.8353710285561214e-62,6.3606261205845171e-100,5.8791081906010544e-100,5.8791081906010666e-100,6.2233405830450282e-42,3.1445279964911232e-42,5.3376641744797725e-63,5.3376641788826953e-63,4.4029225889669187e-72,1.6627112016866712e-85,3.5335260079528992e-99
1.798298807050129e-22,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999999999434,9.5,1.0778001073377673e-16,6.3721876401062382e-16,6.3721876401053527e-16,1.6830009417183453e-28,1.6830046678326237e-28,4.148387986530054e-15,4.3232498362569953e-25,2.7659812454736011e-17,9.2114852925669382e-29,8.5561509347804486e-25,1.661561321336678e-41,1.1647643081180473e-29,2.8206547052516145e-45,2.3650470649714822e-46,3.5639447209949049e-30,6.625884430216526e-42,6.6258844302156288e-42,7.8247668824643853e-55,1.141315498156114e-55,1.818786403035066e-41,2.7999697240682588e-60,3.2626363859576807e-46,3.4024685730578432e-61,1.0749176950324105e-97,9.9354329358171588e-98,9.9354329358171978e-98,5.5044742678990967e-41,2.7812994018888287e-41,9.4980882003525564e-62,9.4980882160662758e-62,1.5713717964889836e-70,1.1884364417260993e-83,5.0545937458718115e-97
3.7023798968679124e-22,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999999998845,9.5,2.2190002209895104e-16,1.3119209847273808e-15,1.311920984727011e-15,7.0261818678429988e-28,7.026213188013073e-28,8.540798793027707e-15,1.8048717027923994e-24,5.6946672688693422e-17,3.8456137804415888e-28,3.5720245861099901e-24,1.3966259587981574e-40,4.8626617012783163e-29,2.413129493607907e-44,1.9879645629047905e-45,1.4878767646200611e-29,5.5694551030722355e-41,5.5694551030707235e-41,1.3197613025224419e-53,1.9249954052983735e-54,1.5287496217545647e-40,4.7225581918447529e-59,2.7424423805291339e-45,5.8479741620180182e-60,1.5739162853925631e-95,1.4547662367432392e-95,1.4547662367432507e-95,4.6268422904222621e-40,2.3378497325407339e-40,1.6019913993220927e-60,1.601991404631403e-60,5.3093101439462224e-69,8.0374013972096329e-82,6.8395998153374004e-95
7.510542076503479e-22,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999999997669,9.5,4.5014004482929666e-16,2.6613254261597405e-15,2.6613254261582307e-15,2.8704116688878557e-27,2.8704373469480004e-27,1.7325620397474992e-14,7.3734898169423188e-24,1.1552039311884876e-16,1.5710587079816499e-27,1.4592885949067996e-23,1.1450113686495244e-39,1.9865559690611711e-28,1.9952221443691475e-43,1.6298534564627841e-44,6.0784620656807245e-29,4.5661757857846763e-40,4.5661757857821934e-40,2.1677118977813761e-52,3.1618107318866865e-53,1.2532794134458186e-39,7.7568160111421143e-58,2.2484198066044863e-44,9.6925883678227362e-59,2.1521973887581486e-93,1.9892697756743556e-93,1.989269775674388e-93,3.7933648497536167e-39,1.9167104566722529e-39,2.631275675182589e-59,2.6312756926384389e-59,1.7455850088271564e-67,5.2872710798716897e-80,9.000528774422368e-93
1.5126866435774615e-21,0.5205708707315976,76.950000000000003,0.0,0.0,0.0,0.99999999999995315,9.5,9.0662009028997512e-16,5.3601343090198441e-15,5.3601343090137407e-15,1.1602558753589198e-26,1.1602766699435522e-26,3.4895263572177503e-14,2.9804824726528887e-23,2.3266783382812147e-16,6.3504704833531401e-27,5.8986778142261192e-23,9.2721620789003994e-39,8.029976844619588e-28,1.6224815342853804e-42,1.3198975859022866e-43,2.4570115531741449e-28,3.6978075374008825e-39,3.6978075373968564e-39,3.5139543844147384e-51,5.1254314425012971e-52,1.0148055517464222e-38,1.2574133018222849e-56,1.8208284133386932e-43,1.578186772725542e-57,2.8464870761900288e-91,2.6309997108501969e-91,2.630999710850282e-91,3.0719652017627282e-38,1.5522018202741876e-38,4.2654112306859844e-58,4.2654112873036153e-58,5.6617630972716848e-66,3.4305618533979455e-78,1.1680950222687067e-90
3.0359515154316882e-21,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999999990608,9.5,1.8195801812112827e-15,1.0757752074721584e-14,1.0757752074697041e-14,4.6652540886166021e-26,4.6654214587200864e-26,7.0034549784814277e-14,1.1984388909501418e-22,4.6696271464251506e-16,2.5534962469637819e-26,2.3718324004976201e-22,7.462339565686508e-38,3.2288183678396117e-27,1.3085901717971614e-41,1.062368405716317e-42,9.8795353918510831e-28,2.976317208038057e-38,2.9763172080315729e-38,5.6591151588141976e-50,8.2543493119891587e-51,8.1659040063053836e-38,2.0250253587787995e-55,1.4655607287649484e-42,2.5471998816788613e-56,3.703357725335505e-89,3.4230027552359584e-89,3.4230027552361809e-89,2.4725848441710509e-37,1.2493470608658336e-37,6.8693132010441331e-57,6.8693133834453711e-57,1.8240123759205563e-64,2.2106406902292877e-76,1.5055128999664754e-88
6.082481259140142e-21,0.5205708707315978,76.950000000000003,0.0,0.0,0.0,0.99999999999981193,9.5,3.6455003630536968e-15,2.155298760605119e-14,2.1552987605952762e-14,1.870908371313269e-25,1.8710426707800276e-25,1.4031312166301477e-13,4.8062759462255497e-22,9.3555247385469519e-16,1.0240661997281959e-25,9.5121087116526687e-22,5.9869294033126154e-37,1.2949005745173005e-26,1.0511308479541939e-40,8.524837401023438e-42,3.9621355650176453e-27,2.3883071174641273e-37,2.3883071174537177e-37,9.0841329804026542e-49,1.3250058650857874e-49,6.5492015893011287e-37,3.2506141765839138e-54,1.1760195663065621e-41,4.0932820461158512e-55,4.7789869621156811e-87,4.4172037247923373e-87,4.4172037247929133e-87,1.9840936112437946e-36,1.0025223310469558e-36,1.1026768719962854e-55,1.1026769305614959e-55,5.8565210568570035e-63,1.4196574698679e-74,1.9337112864398725e-86
