Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895)
0.0,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.172358640566454e-27,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,9.3129628223576899e-20,1.0051046573403077e-18,1.0051046573403077e-18,8.1191470219728472e-36,8.1191470206909037e-36,3.1622455764239034e-16,7.5305015214748867e-31,3.3843900902325857e-36,1.0345395768541291e-52,4.8071719251563851e-57,6.7031609436576932e-54,3.024643945238696e-30,5.4708651611015413e-37,8.6247618481753808e-53,1.4750858939022651e-56,1.2485257732112839e-72,0.0,2.8168396612877276e-49,1.5920548665352644e-35,5.6063276524236721e-51,5.6063276524236721e-51,1.8877635886861297e-68,3.4860045120195853e-69,6.4798867137485117e-50,5.9517875973330145e-37,4.008173838709451e-54,3.700810888196179e-55,4.4895784643623957e-120,4.2847700978788622e-69,1.9971166519168483e-55,3.9959032735296048e-120,3.7346842144593548e-32,1.7305998000275573e-86,1.7305998000254085e-86
6.0826041935860715e-27,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,2.6076295902601521e-19,2.8142930405528594e-18,2.8142930405528594e-18,4.9039648012715861e-35,4.9039647997496615e-35,8.8542876139867987e-16,4.5484229189707752e-30,2.0441716145004548e-35,1.2282053817364472e-51,5.7070745095493464e-56,1.0129816818055384e-52,1.8268849429241501e-29,3.304402557305327e-36,1.0239317186752805e-51,1.7512219732382157e-55,3.5210424445794936e-71,0.0,3.3441520458807506e-48,9.6160113938729885e-35,6.6558321889573778e-50,6.6558321889573778e-50,4.222851637347131e-67,7.7980526532071888e-68,7.6929215065620399e-49,3.5948797087891755e-36,4.7585039813156775e-53,4.3936026864664175e-54,4.7839942450669724e-118,9.5848593181507937e-68,2.3709768891556951e-54,4.2579450200398265e-118,2.2557492655334227e-31,7.1413685316022272e-85,7.1413685315860516e-85
1.3903095299625305e-26,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.999999999999998,9.5,5.960296206308915e-19,6.432669806977955e-18,6.4326698069779543e-18,2.3610479539896838e-34,2.3610479524954493e-34,2.0238371689112081e-15,2.1898698424448135e-29,9.8418063823959593e-35,1.2058593186763712e-50,5.6032395959733003e-55,1.0897194682885041e-51,8.795664592753796e-29,1.5909275888483231e-35,1.0053022164090118e-50,1.7193601179245662e-54,7.6590364088365118e-70,0.0,3.2833083091968577e-47,4.6296955518845394e-34,6.5347355116650193e-49,6.5347355116650193e-49,8.3436432240347089e-66,1.5407637958475951e-66,7.5529559535446725e-48,1.7307798333044939e-35,4.6719274263991711e-52,4.3136651712812016e-53,1.0887251584492973e-115,1.8938066825728567e-66,2.3278391694743184e-53,9.6900866287441816e-116,1.0860461695647391e-30,2.8250543728188224e-83,2.8250543728060311e-83
2.9544077511703775e-26,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999999999567,9.5,1.2665629438406426e-18,1.3669423339828111e-17,1.3669423339828108e-17,1.0311316717905308e-33,1.0311316704688977e-33,4.3006539839360588e-15,9.5637369322722513e-29,4.2981754145949735e-34,1.06656889673345e-49,4.9560019679820329e-54,1.0016399334887958e-50,3.8412978104528011e-28,6.9479987545989035e-35,8.8917839580943912e-50,1.52075455316086e-53,1.4198562706120419e-68,0.0,2.9040490172009516e-46,2.0219096804997764e-33,5.7798995565426826e-48,5.7798995565426826e-48,1.4847067318019798e-64,2.741706852016827e-65,6.6805040064049233e-47,7.558770248613479e-35,4.1322669007547094e-51,3.8153879932941757e-52,1.8398973869236607e-113,3.369927805935117e-65,2.0589473834602775e-52,1.6375818018832574e-113,4.7430489523629566e-30,1.0082418391153097e-81,1.0082418391061673e-81
6.082604193586071e-26,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999999999112,9.5,2.6076295902601383e-18,2.8142930405528286e-17,2.8142930405528286e-17,4.30477175104982e-33,4.3047717399406933e-33,8.8542876139849413e-15,3.9926719066852169e-28,1.7944036258409484e-33,8.9651539854926718e-49,4.1658182756308362e-53,8.5692405124390872e-50,1.6036662197652483e-27,2.9006527084159891e-34,7.4740796836340867e-49,1.2782858342512493e-52,2.4403701543369747e-67,0.0,2.4410281810369214e-45,8.4410749023698916e-33,4.8583538423478703e-47,4.8583538423478703e-47,2.5041749124810746e-63,4.6242893422236932e-64,5.6153661479447865e-46,3.1556377841064567e-34,3.4734193178420385e-50,3.2070635027355855e-51,2.6940150619190611e-111,5.6838758037110228e-64,1.7306693366848612e-51,2.3977804799073316e-111,1.9801295705059693e-29,3.4066213003057117e-80,3.4066213002438821e-80
1.233899707841746e-25,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.9999999999999819,9.5,5.2897628830991051e-18,5.708994453692809e-17,5.7089944536928077e-17,1.7586397215472509e-32,1.7586397124393178e-32,1.7961554874079426e-14,1.6311367515568968e-27,7.3307243110442687e-33,7.3501744831821062e-48,3.4153895105371918e-52,7.0852137685468206e-49,6.5514997711422199e-27,1.1850112773551972e-33,6.1277012641184933e-48,1.0480159576697649e-51,4.0447345625338473e-66,0.0,2.0013023835244589e-44,3.4484545231099755e-32,3.9831720093323786e-46,3.9831720093323794e-46,4.1131148133133287e-62,7.5954091304715182e-63,4.6038164342158516e-45,1.2891810007331362e-33,2.8477190119210438e-49,2.6293444221572508e-50,3.6838377208431369e-109,9.3357830752005884e-63,1.4189072848515019e-50,3.2787619872814968e-109,8.0894753958843217e-29,1.1200225510598502e-78,1.1200225510191769e-78
2.4851782848080234e-25,0.3802094612573043,76.950000000000003,0.0,0.0,0.0,0.99999999999996358,9.5,1.065402946877694e-17,1.1498397279972553e-16,1.1498397279972545e-16,7.1087029367930025e-32,7.1087028630345959e-32,3.6176089394255282e-14,6.5933155461189565e-27,2.963195974720393e-32,5.9523612051680102e-47,2.7658709756441067e-51,5.7615781683275389e-48,2.6482209569637071e-26,4.7900050500717923e-33,4.9623700181759946e-47,8.487104941265906e-51,6.5858017060796345e-65,0.0,1.6207065574457061e-43,1.3939204542851618e-31,3.2256759638654863e-45,3.2256759638654863e-45,6.6675363585197911e-61,1.2312485508885159e-61,3.728289910426333e-44,5.2110757272731429e-33,2.3061566879518356e-48,2.1293112834191663e-49,4.872228039157961e-107,1.5133706671086375e-61,1.1490679069285811e-49,4.3364766036713736e-107,3.2698952945988123e-28,3.6327662970522475e-77,3.6327662967883453e-77
4.987735438740578e-25,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999999992695,9.5,2.1382562640132215e-17,2.307720293253118e-16,2.3077202932531141e-16,2.8583781856725909e-31,2.8583781263054114e-31,7.2605158434554525e-14,2.6511431826369906e-26,1.191488068824662e-31,4.790977083280778e-46,2.2262135866288058e-50,4.6469215202556666e-47,1.0648379994953259e-25,1.9260399634261679e-32,3.9941449549602286e-46,6.8311604174814278e-50,1.0629510505558089e-63,0.0,1.3044856357151563e-42,5.6048928398316096e-31,2.5963046431853747e-44,2.5963046431853767e-44,1.0737861756667843e-59,1.9828878339254044e-60,3.0008520737975905e-43,2.0953506307942479e-32,1.8561955335561777e-47,1.7138549667884216e-48,6.3389022559957131e-105,2.4372368047547133e-60,9.2486981814507107e-49,5.6418749502612112e-105,1.3148105164351272e-27,1.1703440529923541e-75,1.1703440528222964e-75
9.992849746605688e-25,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999999985356,9.5,4.2839628982841198e-17,4.6234814237644974e-16,4.6234814237644806e-16,1.1463374965432971e-30,1.1463374489048757e-30,1.4546329651494316e-13,1.0632269915126395e-25,4.7784000620420884e-31,3.8444556856000208e-45,1.7863962013856599e-49,3.7326600754965867e-46,4.2704766384048435e-25,7.7242816957660923e-32,3.2050463300402415e-45,5.4815760224623832e-49,1.7081338025500027e-62,0.0,1.0467675690240377e-41,2.247812713731578e-30,2.0833709666009831e-43,2.0833709666009851e-43,1.7236646196998875e-58,3.1829741168547743e-59,2.4079948021518945e-42,8.4032931979712103e-32,1.4894800165594186e-46,1.3752606760282709e-47,8.1800175635214958e-103,3.9123048381449511e-59,7.4214978279533771e-48,7.2805407498874698e-103,5.27297823427259e-27,3.7577293103286218e-74,3.7577293092365253e-74
