Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990)
0.0,0.30220936557773764,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.403937987618327e-26,0.30220936557773764,76.950000000000003,0.0,0.0,0.0,0.99999999999999978,9.5,5.3051337734214758e-19,6.5953268810723489e-18,6.5953268810723489e-18,1.799379607983214e-33,1.7993796026290979e-33,3.2390233386341184e-16,2.0562099613039286e-29,8.3439106374280583e-34,3.2940870851039255e-49,1.2953529803486656e-53,1.7824111921852568e-51,6.2419103127836629e-29,4.9029600962007227e-35,3.0550047843830418e-49,3.1278630326769081e-53,1.8911859627572851e-69,0.0,3.3114169211016373e-47,4.2975540724192535e-34,1.8484951452886859e-48,1.8484951452886862e-48,2.3385767808200611e-64,3.9104580798593012e-65,3.3112586093790703e-49,1.2280042457059819e-35,3.1071568925413089e-51,2.5978207932875205e-52,1.8101552988720258e-113,2.6449118595987707e-65,1.6933463707389278e-53,1.6346925724428829e-113,7.4656742447169743e-31,3.6080095428047093e-81,3.6080095426779824e-81,3.9606400577010767e-49,3.9606400577010502e-49
1.7931026365331315e-25,0.30220936557773764,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,1.4854374565580123e-18,1.8466915267002557e-17,1.8466915267002557e-17,1.0868252832218357e-32,1.0868252768654293e-32,9.0692653481727828e-16,1.2419508166272584e-28,5.0397220250053591e-33,3.9107400493802812e-48,1.5378430582729322e-52,2.6935797936304137e-50,3.7701138289203788e-28,2.9613878981052332e-34,3.6269013520564838e-48,3.7133989922802392e-52,5.3334470047296815e-68,0.0,3.9313141687309494e-46,2.5957226597412168e-33,2.1945334364867178e-47,2.1945334364867188e-47,5.2313027156180777e-63,8.7475383063192198e-64,3.9311262210527379e-48,7.4171456440642836e-35,3.6888166628212951e-50,3.084132845789684e-51,1.9288609389993299e-111,5.9165620334455295e-64,2.0103408113412557e-52,1.7418917880815092e-111,4.509267243807911e-30,1.4888552402360943e-79,1.4888552401406984e-79,4.702071876501614e-48,4.7020718765015551e-48
4.098520312075729e-25,0.30220936557773764,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,3.3952856149897394e-18,4.2210092038862867e-17,4.2210092038862873e-17,5.2325959000147991e-32,5.2325958376072264e-32,2.0729749367239113e-15,5.9794585674671104e-28,2.4264092133622973e-32,3.8395874784263587e-47,1.5098634339033562e-51,2.8976302269123182e-49,1.8151475189560586e-27,1.4257807959751637e-33,3.5609125599915692e-47,3.6458371505354696e-51,1.1601412205842118e-66,0.0,3.8597875632332323e-45,1.2497287242595007e-32,2.1546059413484623e-46,2.1546059413484639e-46,1.0336172616135692e-61,1.7283661606996702e-62,3.8596030350857517e-47,3.5710363465132232e-34,3.6217020739345345e-49,3.0280199166520247e-50,4.3896361990905236e-109,1.1690129552102805e-62,1.9737645297332944e-51,3.9641381570140207e-109,2.1710180703619853e-29,5.8897632689545069e-78,5.8897632682002381e-78,4.6165220512529556e-47,4.616522051252838e-47
8.709355663160924e-25,0.30220936557773764,76.950000000000003,0.0,0.0,0.0,0.99999999999999545,9.5,7.2149819318531846e-18,8.9696445582583116e-17,8.9696445582583178e-17,2.2852121021382834e-31,2.2852120469394916e-31,4.4050717405327778e-15,2.6113866508511193e-27,1.0596766509515221e-31,3.396071122520245e-46,1.335457108638787e-50,2.6634213962602067e-48,7.9272260972204679e-27,6.226759322174851e-33,3.1495855974692146e-46,3.2247016714278443e-50,2.1507063015684861e-65,0.0,3.4139383889729882e-44,5.4578936719722655e-32,1.9057245549867614e-45,1.9057245549867633e-45,1.8392666910749682e-60,3.0755352367110247e-61,3.4137751759118111e-46,1.559565392046831e-33,3.2033544699099908e-48,2.6782493250394901e-49,7.4182911174345278e-107,2.0801960936702259e-61,1.745772374377003e-50,6.6992182369357473e-107,9.4814062907728767e-29,2.1020146751469847e-76,2.1020146746078656e-76,4.083261473880324e-46,4.0832614738801132e-46
1.7931026365331316e-24,0.30220936557773764,76.950000000000003,0.0,0.0,0.0,0.99999999999999056,9.5,1.4854374565580036e-17,1.8466915267002216e-16,1.8466915267002241e-16,9.5403106815234166e-31,9.5403102175443271e-31,9.0692653481329201e-15,1.0902025214789602e-26,4.4239414199477857e-31,2.854601531989766e-45,1.1225321671558651e-49,2.2786130791585923e-47,3.3094608478245938e-26,2.5995494430055637e-32,2.6474143925032053e-45,2.7105560569653731e-49,3.6965146245643563e-64,0.0,2.8696209211451354e-43,2.2785631691965206e-31,1.6018763169847372e-44,1.601876316984741e-44,3.1021921073421439e-59,5.187339706378835e-60,2.8694837307254153e-45,6.5108785107352126e-33,2.6926124485217511e-47,2.2512299343153708e-48,1.0862012276392752e-104,3.5085547598145519e-60,1.4674268713404184e-49,9.8091311839749128e-105,3.9583004845330279e-28,7.1022325070434957e-75,7.1022325033974265e-75,3.4322273037498069e-45,3.4322273037494534e-45
3.63743677696721e-24,0.30220936557773764,76.950000000000003,0.0,0.0,0.0,0.99999999999998079,9.5,3.0133159833033596e-17,3.7461456684489431e-16,3.746145668448952e-16,3.897528206072927e-30,3.8975278256748554e-30,1.8397652563262819e-14,4.453833024545655e-26,1.8073244196954378e-30,2.3403733685596578e-44,9.2031969120052519e-49,1.8840013579079698e-46,1.3520227413789286e-25,1.0620007686774112e-31,2.1705068597453216e-44,2.2222776192165307e-48,6.1267019006696145e-63,0.0,2.352688606338725e-42,9.3086740230215763e-31,1.3133149859546105e-43,1.3133149859546165e-43,5.0953598515206106e-58,8.5202210442844087e-59,2.3525761293316825e-44,2.6599063163707548e-32,2.2075663660511559e-46,1.8456943137223318e-47,1.4852883012290298e-102,5.7628117284822173e-59,1.2030852073221322e-48,1.3413157177555302e-102,1.6170949040892037e-27,2.3350586598553517e-73,2.3350586574568469e-73,2.8139473100420027e-44,2.8139473100414207e-44
7.326105057835366e-24,0.30220936557773764,76.950000000000003,0.0,0.0,0.0,0.99999999999996136,9.5,6.0690730367940107e-17,7.5450539519461499e-16,7.5450539519461874e-16,1.5754432170079921e-29,1.5754429089517996e-29,3.7054426993241098e-14,1.8003105191692096e-25,7.3054942706634639e-30,1.8952927076809604e-43,7.4529874688083051e-48,1.5320386155531006e-45,5.4650920904444571e-25,4.2927769063079368e-31,1.7577272072753761e-43,1.7996580305638304e-47,9.9757458014592548e-62,0.0,1.9052682309689653e-41,3.7627148729973636e-30,1.0635565256162803e-42,1.06355652561629e-42,8.2597978929895705e-57,1.381164547387646e-57,1.9051771441526409e-43,1.0751766613208353e-31,1.7877444781882226e-45,1.4946911080876711e-46,1.9644359648457241e-100,9.3417661481442364e-58,9.7428959297984679e-48,1.7740184407240114e-100,6.5365561535026397e-27,7.5737067861008381e-72,7.5737067705385218e-72,2.2788074881641984e-43,2.2788074881632556e-43
1.470344161957168e-23,0.30220936557773764,76.950000000000003,0.0,0.0,0.0,0.99999999999992251,9.5,1.2180587143775077e-16,1.5142870518939625e-15,1.5142870518939775e-15,6.3347878850689927e-29,6.3347854055652045e-29,7.4367975852071592e-14,7.238969416921362e-25,2.9375071154554985e-29,1.5254927160250707e-42,5.9988127109145509e-47,1.2356446453621151e-44,2.1974894931815888e-24,1.7261067137075146e-30,1.4147628861883844e-42,1.44852134662389e-46,1.6100893942836405e-60,0.0,1.5335256268489807e-40,1.5129711014105402e-29,8.5604281914228556e-42,8.5604281914230111e-42,1.3302149870353125e-55,2.2243229245862105e-56,1.5334523122228612e-42,4.3232380671895298e-31,1.4389322861988265e-44,1.2030574389422951e-45,2.5557850472584815e-98,1.5044626390527045e-56,7.8419302570910584e-47,2.3080466278877758e-98,2.6283204804597062e-26,2.4399705237520336e-70,2.4399705137237369e-70,1.8341825182155412e-42,1.834182518214023e-42
2.94581147430443e-23,0.30220936557773753,76.950000000000003,0.0,0.0,0.0,0.99999999999984468,9.5,2.4403615357736254e-16,3.033850365292281e-15,3.0338503652923405e-15,2.5405332722175576e-28,2.5405312825726477e-28,1.489950735652283e-13,2.9031505069058296e-24,1.178071736476691e-28,1.2241058272626432e-41,4.8136694097032492e-46,9.9253697640646891e-44,8.8129157185520332e-24,6.9224599420625351e-30,1.1352438519673927e-41,1.1623471510281742e-45,2.5873704326309554e-59,0.0,1.2305577374359545e-39,6.0676908095166793e-29,6.8692045066762557e-41,6.8692045066765055e-41,2.1352896520757932e-54,3.5705309070170184e-55,1.2304989070143837e-41,1.7338118264963006e-30,1.1546525387214691e-43,9.653778287852607e-45,3.2981052129908686e-96,2.4149957237484839e-55,6.292655163798286e-46,2.9784119065214062e-96,1.0540740671346404e-25,7.8342336219196347e-69,7.8342335575186375e-69,1.4718159580398188e-41,1.4718159580373815e-41
5.896746098998956e-23,0.30220936557773764,76.950000000000003,0.0,0.0,0.0,0.99999999999968914,9.5,4.8849671785654792e-16,6.0729769920874097e-15,6.0729769920876463e-15,1.0175384439989634e-27,1.017536849863015e-27,2.9824926897352446e-13,1.1627744779459194e-23,4.7184317351529434e-28,9.8076464583528042e-41,3.8567932541421709e-45,7.9564123804498237e-43,3.5297630796077614e-23,2.7725947127571761e-29,9.0955369400586188e-41,9.312921659231946e-45,4.1487951635864735e-58,0.0,9.8594364795605877e-39,2.4302412145246909e-28,5.5037226976527043e-40,5.503722697653104e-40,3.4220311050520751e-53,5.7221594343244738e-54,9.858965119462163e-41,6.9442908204905272e-30,9.2512712022189858e-43,7.7347702522678248e-44,4.2387477672348858e-94,3.8702901400287794e-54,5.0417816240406426e-45,3.82787570540519e-94,4.2217942893877445e-25,2.5111762584672344e-67,2.5111762171800722e-67,1.1792438100569311e-40,1.1792438100530249e-40
