Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978)
0.0,0.35138919223003756,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0977283808037339e-26,0.35138919223003756,76.950000000000003,0.0,0.0,0.0,0.99999999999999978,9.5,2.1789244322201591e-19,2.4433054494884103e-18,2.4433054494884103e-18,1.0325238706250474e-34,1.0325238699537355e-34,3.3164440752081513e-16,3.8071784643677902e-30,4.525724849532529e-35,4.7428115249208295e-51,1.9572912234230422e-55,9.5588892067143699e-53,1.3392917990050689e-29,4.5053427801027371e-36,4.1577071899445845e-51,5.4286893925061383e-55,4.1656194474790991e-71,0.0,2.9182156227242332e-48,7.767057794581778e-35,9.1073822370515931e-50,9.1073822370515931e-50,1.6869567459540666e-66,2.9689298773726719e-67,1.5383111762699713e-49,2.5547574325073753e-36,9.4643338181440771e-53,8.3282939854584462e-54,6.4778909133751062e-117,2.7692993755186061e-67,1.6886345009705103e-54,5.8049505671614422e-117,1.6301975416316324e-31,5.8514331695942061e-84,5.8514331695580694e-84,2.7101537336548017e-46,7.8280834087587813e-47,2.3605132647279494e-32,2.7098334580655258e-46
3.073639466250455e-26,0.35138919223003756,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,6.1009884102164412e-19,6.8412552585675423e-18,6.8412552585675423e-18,6.2364441785752426e-34,6.2364441706054269e-34,9.2860434105822491e-16,2.2995357924780263e-29,2.7335378091175074e-34,5.6306657847408839e-50,2.3236961404504616e-54,1.4445393369186197e-51,8.0893224659901988e-29,2.7212270391820496e-35,4.9360298498183889e-50,6.4449400467428073e-54,1.1747713341002219e-69,0.0,3.4645055872980454e-47,4.6913029079273872e-34,1.0812284191827639e-48,1.0812284191827639e-48,3.7736547624286571e-65,6.6413773784870952e-66,1.8262830284675136e-48,1.5430734892344779e-35,1.1236057108898463e-51,9.8873506195353807e-53,6.9026954525360628e-115,6.1948119310594326e-66,2.0047468795525453e-53,6.1856252934745397e-115,9.846393151454549e-31,2.4146102814368539e-82,2.4146102814096513e-82,3.2174945125947502e-45,9.2935006228777472e-46,1.4257500118955716e-31,3.2171142814151649e-45
7.025461637143897e-26,0.35138919223003756,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,1.3945116366208996e-18,1.5637154876725782e-17,1.5637154876725782e-17,3.0025794157775704e-33,3.0025794079527587e-33,2.1225242081328148e-15,1.1071274974379752e-28,1.3160807862438484e-33,5.528220934747838e-49,2.2814186500297437e-53,1.5539695005569732e-50,3.894660551506114e-28,1.3101536804538714e-34,4.8462231097395778e-49,6.3276803557796658e-53,2.5553842538257721e-68,0.0,3.4014721298468558e-46,2.2586604066643715e-33,1.0615564735507296e-47,1.0615564735507296e-47,7.45610589534082e-64,1.3122242532081866e-64,1.7930555070596699e-47,7.4292346137317839e-35,1.1031627498421945e-50,9.7074594694475977e-52,1.5708919817449201e-112,1.2239904460677929e-64,1.9682723743322864e-52,1.4077035909251523e-112,4.7406144510640248e-30,9.5519581491921824e-81,9.5519581489770987e-81,3.1589551919473235e-44,9.1244140212471337e-45,6.8643725738272298e-31,3.1585818787204734e-44
1.492910597893078e-25,0.35138919223003756,76.950000000000003,0.0,0.0,0.0,0.99999999999999545,9.5,2.9633372278194067e-18,3.3228954113042179e-17,3.3228954113042173e-17,1.31130531569374e-32,1.3113053087727836e-32,4.5103639422810776e-15,4.8351166497452564e-28,5.7476705589041301e-33,4.8896485944626444e-48,2.017888959716456e-52,1.4283656963805648e-49,1.7009005847357912e-27,5.7217853307304281e-34,4.2864289837397139e-48,5.596761615834601e-52,4.7372517415263982e-67,0.0,3.0085635784027049e-45,9.8641633991187596e-33,9.3893467911106234e-47,9.3893467911106234e-47,1.3267742062537894e-62,2.3350329467103908e-63,1.5859372902860116e-46,3.2445419392847131e-34,9.7573495931395511e-50,8.5861379672424217e-51,2.6547380024436115e-110,2.1780256012179835e-63,1.7409146251227511e-51,2.3789568362646144e-110,2.0703508778713864e-29,3.409026015226485e-79,3.4090260150727516e-79,2.7940600932472565e-43,8.0704408710895405e-44,2.9978518462027948e-30,2.7937299019257577e-43
3.0736394662504547e-25,0.35138919223003756,76.950000000000003,0.0,0.0,0.0,0.99999999999999056,9.5,6.100988410216405e-18,6.8412552585674567e-17,6.8412552585674567e-17,5.4744415620533686e-32,5.474441503878557e-32,9.2860434105739388e-15,2.01856602180615e-27,2.399539315220182e-32,4.1100439016655317e-47,1.6961572575881023e-51,1.2219969255186842e-48,7.1009251183190624e-27,2.3887327420104274e-33,3.6030010383154627e-47,4.704415368037424e-51,8.1421253706310626e-66,0.0,2.5288789672009135e-44,4.1180940426871677e-32,7.8923117285129526e-46,7.8923117285129557e-46,2.2377986242379099e-61,3.9383743602150245e-62,1.3330758523744193e-45,1.3545323907157196e-33,8.2016402574366669e-49,7.2171663150839525e-50,3.8871212138574845e-108,3.6735585233649901e-62,1.4633436403929817e-50,3.4833168382656395e-108,8.6433073657238414e-29,1.1518328426694496e-77,1.1518328425654794e-77,2.3485758631227963e-42,6.7836918326878148e-43,1.2515441329572286e-29,2.348298317421578e-42
6.235097202965209e-25,0.35138919223003756,76.950000000000003,0.0,0.0,0.0,0.9999999999999809,9.5,1.2376290775010342e-17,1.3877974953093789e-16,1.3877974953093784e-16,2.2364880047281409e-31,2.2364879570329175e-31,1.8837402347144984e-14,8.2465008409452191e-27,9.8029010530648016e-32,3.3696617097389956e-46,1.3906121973014657e-50,1.0103706891218385e-47,2.9009596083120183e-26,9.7587526754133634e-33,2.9539566246836514e-46,3.8569639471010277e-50,1.3494975686592705e-64,0.0,2.0733277657413145e-43,1.6823757865375139e-31,6.4705939884250815e-45,6.4705939884250852e-45,3.6755909599864226e-60,6.4687917128427584e-61,1.0929361248251026e-44,5.5337067891108864e-33,6.7242002052566241e-48,5.9170689879190497e-49,5.3153094633765615e-106,6.0338309056210274e-61,1.1997375278964651e-49,4.7631411360076215e-106,3.5310730830697907e-28,3.7869743803287822e-76,3.7869743796448326e-76,1.925504387562679e-41,5.5616804178278403e-42,5.1129661519183717e-29,1.9252768388282504e-41
1.2558012676394718e-24,0.35138919223003756,76.950000000000003,0.0,0.0,0.0,0.99999999999996148,9.5,2.4926895504597972e-17,2.7951414342145859e-16,2.7951414342145834e-16,9.0402420987757756e-31,9.0402417125274984e-31,3.7940120220228404e-14,3.3333674901087836e-26,3.9624893405448218e-31,2.7288384463435952e-45,1.1261538114721439e-49,8.2161666458122243e-47,1.1726142560312426e-25,3.9446438604330903e-32,2.3921885382706394e-45,3.1234694022240402e-49,2.1973069561461786e-63,0.0,1.6790345793469128e-42,6.8004319179298542e-31,5.2400547733044383e-44,5.2400547733044463e-44,5.9582913380630243e-59,1.048619012564993e-59,8.8508801016264292e-44,2.2368127605191135e-32,5.4454316628431113e-47,4.7917958767750445e-48,7.0300055992521635e-104,9.7810999133989516e-60,9.7157855539210205e-49,6.2997101272991937e-104,1.4273161971755666e-27,1.2282960626291362e-74,1.2282960621853666e-74,1.5593233751168579e-40,4.5039929986479472e-41,2.0667426678953708e-28,1.5591391002521752e-40
2.5203843623253735e-24,0.35138919223003745,76.950000000000003,0.0,0.0,0.0,0.99999999999992273,9.5,5.0028104963772264e-17,5.6098293120247612e-16,5.6098293120247504e-16,3.6350415874867251e-30,3.635041276600522e-30,7.6145555966160494e-14,1.3403324070852049e-25,1.5932995361662252e-30,2.1964050227712379e-44,9.0642656070690925e-49,6.62663605091057e-46,4.7150303500364762e-25,1.5861239471060453e-31,1.9254380339076487e-44,2.514039909509341e-48,3.5464622860871511e-62,0.0,1.3514331021610213e-41,2.7344237648131811e-30,4.217651956017314e-43,4.2176519560173243e-43,9.5956445159278147e-58,1.6887685926043163e-58,7.1239583149020043e-43,8.9941257314569141e-32,4.3829571440445368e-46,3.8568541984239281e-47,9.14623001932784e-102,1.5752159875897847e-58,7.8201094681258118e-48,8.1960955885297077e-102,5.7391756531758734e-27,3.9571193805643031e-73,3.9571193777046683e-73,1.2550791103555057e-39,3.6252054038286267e-40,8.3102813689189048e-28,1.2549307899129497e-39
5.049550551697177e-24,0.35138919223003756,76.950000000000003,0.0,0.0,0.0,0.99999999999984512,9.5,1.0023052388211693e-16,1.1239205067644158e-15,1.1239205067644115e-15,1.4578142577893968e-29,1.4578140083228167e-29,1.5255642745708575e-13,5.3753324306949199e-25,6.3898437606164667e-30,1.7624741985230293e-43,7.2735023032360542e-48,5.3228744479959716e-45,1.8909380552380193e-24,6.3610664391684088e-31,1.5450372778966886e-43,2.0173586969172261e-47,5.6990696863699604e-61,0.0,1.0844399541931497e-40,1.0966262297819114e-29,3.384400076261015e-42,3.3844000762610328e-42,1.5403134562328857e-56,2.7108475969287791e-57,5.7165278963999981e-42,3.6070466904265765e-31,3.5170470790009363e-45,3.0948825980030654e-46,1.1802725326349327e-99,2.5285705177605821e-57,6.2751453550238975e-47,1.0576627175951623e-99,2.3016661278122693e-26,1.2705480441075928e-71,1.2705480422711554e-71,1.0071219439288195e-38,2.9089990290813232e-39,3.3327945153201834e-27,1.0070029261147102e-38
