Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195)
0.0,0.24295016746179782,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.901791523588754e-23,0.24295016746179782,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,1.2724353694958255e-17,1.5202761468730894e-16,1.520276146873238e-16,2.6302580171638755e-29,2.6302562916661917e-29,2.5712506598146909e-16,8.1574443309481626e-27,1.4950844592107941e-29,7.2718838005978236e-43,2.0314812480794504e-47,5.5203232241960541e-47,1.4659370704099753e-26,1.4218479787764052e-31,8.2668853976073521e-43,2.3991767080957705e-47,1.4048509043028093e-63,0.0,1.8653101778445627e-43,1.315157814968659e-31,6.5308705228005537e-44,6.5308705228012866e-44,6.422650937985541e-57,9.102916903190176e-58,4.2476948173232994e-48,2.232953135463141e-33,4.3919041113618174e-46,3.1123548950711331e-47,1.7124938258931183e-101,1.7326893888146906e-58,5.1471567153134973e-50,1.5914032714458039e-101,1.6283821125578612e-28,1.4988790440952208e-71,1.4988790165556059e-71,5.1884919686792696e-41,1.5554577147885217e-41,1.6353627546485701e-30,5.1882900641243334e-41,1.6762618089593925e-53
1.0925016266048512e-22,0.24295016746179782,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,3.5628190345883082e-17,4.2567732112433075e-16,4.2567732112442018e-16,1.5886758423637856e-28,1.5886737938541247e-28,7.1995018467238327e-16,4.9270963754602249e-26,9.0303101331197737e-29,8.6331574912353725e-42,2.4117745377638826e-46,8.3423124756498622e-46,8.8542599044990865e-26,8.587961791807223e-31,9.8143726227504163e-42,2.8483025593343309e-46,3.9619043350931404e-62,0.0,2.2144962429588723e-42,7.943553202405494e-31,7.753449484663393e-43,7.7534494846650323e-43,1.4367213237729959e-55,2.0362860994215699e-56,5.0428632861903579e-47,1.3487036938193117e-32,5.2140685592892416e-45,3.694987731116504e-46,1.82479506100855e-99,3.8759568548888592e-57,6.1107044524288378e-49,1.6957636786180494e-99,9.8354279589862024e-28,6.185166298143624e-70,6.185166090832282e-70,6.1597776643207798e-40,1.8466393987269169e-40,9.8775910365138366e-30,6.1595379632337794e-40,3.7497306156492413e-52
2.4971465750968027e-22,0.24295016746179782,76.950000000000003,0.0,0.0,0.0,0.99999999999999634,9.5,8.1435863647732618e-17,9.729767339978375e-16,9.7297673399826822e-16,7.6487903138646289e-28,7.6487702015004712e-28,1.6456004217512912e-15,2.3721848107910274e-25,4.3477056066148542e-28,8.476036592187964e-41,2.3678945428922967e-45,8.9742791334059106e-45,4.2629449995864629e-25,4.1347339222783902e-30,9.6356530870622989e-41,2.7964802825538321e-45,8.6180073667526872e-61,0.0,2.1742055427432256e-41,3.8244789259210519e-30,7.6123826813595115e-42,7.6123826813627538e-42,2.8387192255772112e-54,4.0233581882335572e-55,4.9511130761708632e-46,6.4934277179203758e-32,5.1192034268728196e-44,3.6277608647278546e-45,4.1528066092005906e-97,7.6582375893103607e-56,5.9995258673944651e-48,3.859161372519013e-97,4.735335182023344e-27,2.4467902381861279e-68,2.4467900742712944e-68,6.0477062359172912e-39,1.8130415115204528e-39,4.7556348881727524e-29,6.0474708959699735e-39,7.408835810620489e-51
5.306436472080706e-22,0.24295016746179782,76.950000000000003,0.0,0.0,0.0,0.99999999999999223,9.5,1.730512102514312e-16,2.0675755597427031e-15,2.0675755597445854e-15,3.340427681748605e-27,3.3404098926350483e-27,3.4969008946974268e-15,1.0359954293600956e-24,1.8987572624019021e-27,7.4968718765778543e-40,2.0943759077904991e-44,8.2489087569862098e-44,1.8617400782160666e-24,1.8057469330425267e-29,8.5223482666501454e-40,2.4734550333329685e-44,1.5976333434110127e-59,0.0,1.923060179790599e-40,1.6702504250021291e-29,6.7330662741511595e-41,6.7330662741569252e-41,5.0513491827620569e-53,7.1593509263705595e-54,4.3792034427751664e-45,2.8358504820315114e-31,4.5278774514554625e-43,3.2087134005916863e-44,7.0180595803557301e-95,1.3627424607258012e-54,5.3065126872707647e-47,6.5218121119687647e-95,2.0680452816104051e-26,8.7324202754010035e-67,8.7324191038064686e-67,5.349127674201527e-38,1.6036146838805745e-38,2.0769106959802197e-28,5.3489195186855937e-38,1.3183627464373027e-49
1.0925016266048513e-21,0.24295016746179782,76.950000000000003,0.0,0.0,0.0,0.99999999999998401,9.5,3.5628190345882651e-16,4.2567732112238445e-15,4.2567732112317023e-15,1.3945628006557223e-26,1.3945478479092283e-26,7.1995018357429737e-15,4.32507697823583e-24,7.9269377955733768e-27,6.3014270188917721e-39,1.7604491463730129e-43,7.0571152850400033e-43,7.7723983364722709e-24,7.5386379834409312e-29,7.1630799894496899e-39,2.0790878115946119e-43,2.7459235857732686e-58,0.0,1.616447953052625e-39,6.9729667348912209e-29,5.6595479010665509e-40,5.6595479010762793e-40,8.5198386939365652e-52,1.2075291761995706e-52,3.680984354521828e-44,1.1839117524165373e-30,3.8059538121310113e-42,2.6971169507057586e-43,1.0275985144121161e-92,2.2984643410009142e-53,4.4604436550749065e-46,9.5493695384039533e-93,8.633681948739076e-26,2.9504872540858221e-65,2.9504864617360792e-65,4.4962641136122075e-37,1.3479347651231469e-37,8.6706933033355458e-28,4.4960891463626716e-37,2.2236114651006406e-48
2.2162175853984125e-21,0.24295016746179782,76.950000000000003,0.0,0.0,0.0,0.99999999999996747,9.5,7.2274328987360948e-16,8.6351685141517628e-15,8.6351685141838647e-15,5.6972440751203295e-26,5.6971214847057367e-26,1.4604703698447172e-14,1.7669350667528523e-23,3.2384127359649084e-26,5.1660519723716325e-38,1.4433225724802185e-42,5.8349596770368619e-42,3.1752783228117565e-23,3.0797795959221155e-28,5.8719596649028527e-38,1.7045615046968747e-42,4.551167184378121e-57,0.0,1.3252616917319678e-38,2.8486844334732407e-28,4.6400393047197806e-39,4.6400393047357578e-39,1.3993860561030003e-50,1.983370295243499e-51,3.0178933598157456e-43,4.8366658094875672e-30,3.1203508633538561e-41,2.2112594258881771e-42,1.4051540478402227e-90,3.7752345765672289e-52,3.6569411971648988e-45,1.3057955099216938e-90,3.5271407808886753e-25,9.700555284589408e-64,9.7005500722508908e-64,3.6863089638685785e-36,1.1051183564293483e-36,3.5422611226121956e-27,3.6861655151527605e-36,3.6522884995927087e-47
4.4636495029855346e-21,0.24295016746179782,76.950000000000003,0.0,0.0,0.0,0.99999999999993439,9.5,1.4556660627031453e-15,1.7391959119870153e-14,1.7391959119999911e-14,2.3029171461014289e-25,2.3028178712059592e-25,2.9415107346308006e-14,7.1422340270568742e-23,1.3090182031049315e-25,4.1832163972479224e-37,1.168840040549429e-41,4.7448927735358982e-41,1.2834982625727918e-22,1.2448961540997382e-27,4.7540248256272836e-37,1.3803976200989961e-41,7.4103966550193011e-56,0.0,1.0732312746939506e-37,1.1514837945296126e-27,3.757624130013668e-38,3.7576241300395677e-38,2.2684650755413426e-49,3.2151287092345949e-50,2.4439682711906431e-42,1.9550576518065001e-29,2.526941000751149e-40,1.7907352086038155e-41,1.8584507434227993e-88,6.1198179170646556e-51,2.9614857941965384e-44,1.7270395654511783e-88,1.4257266934986519e-24,3.1463510247825544e-62,3.1463476428430452e-62,2.9852685578813045e-35,8.9495349261844398e-36,1.4318385739166202e-26,2.985152389402484e-35,5.9205170167082714e-46
8.95851333815978e-21,0.2429501674617978,76.950000000000003,0.0,0.0,0.0,0.99999999999986822,9.5,2.9215116083620953e-15,3.4905540330757155e-14,3.4905540331278876e-14,9.259928557228688e-25,9.2591295387067831e-25,5.9035914331839335e-14,2.8718608724078771e-22,5.2635046015704671e-25,3.3663945882747397e-36,9.4078415253066975e-41,3.8269286735360002e-40,5.1608900326180192e-22,5.0056726830231594e-27,3.8244575847452274e-36,1.1110633236046081e-40,1.1960412364377372e-54,0.0,8.6382989405463503e-37,4.630065693499612e-27,3.0244628055991073e-37,3.0244628056408192e-37,3.6532929906233199e-48,5.1778656416805084e-49,1.9671182597226436e-41,7.8612008311828237e-29,2.0339019096964781e-39,1.4413394778710442e-40,2.4178953683034464e-86,9.8557780357437193e-50,2.3836614108185661e-43,2.2469258230092611e-86,5.7327842945152848e-24,1.0136383594274792e-60,1.0136361801234017e-60,2.4028038236127949e-34,7.2033642273496164e-35,5.7573598690392434e-26,2.4027103211313645e-34,9.5348100428651989e-45
1.794824100850827e-20,0.24295016746179782,76.950000000000003,0.0,0.0,0.0,0.99999999999973599,9.5,5.8532026996795111e-15,6.9932702750332299e-14,6.9932702752424295e-14,3.7136455108577681e-24,3.7130044004918255e-24,1.1827752706214076e-13,1.1517446431683338e-21,2.110900744862397e-24,2.7003221117893105e-35,7.5492003567268679e-40,3.0739984426436628e-39,2.0697477047573698e-21,2.0074986300028981e-26,3.0656891723731903e-35,8.9155710441447591e-40,1.9220068933070634e-53,0.0,6.9316908012117823e-36,1.8568634276769789e-26,2.4269409272430957e-36,2.4269409273100504e-36,5.8643440733663726e-47,8.3116209904031479e-48,1.5784884779376151e-40,3.1526931339672328e-28,1.6320781170654188e-38,1.1565841450317857e-39,3.1201658863899582e-84,1.5820706292478462e-48,1.9127381647635537e-42,2.8995387451949092e-84,2.2991028796294714e-23,3.2545767615262261e-59,3.2545627662516085e-59,1.928098706207819e-33,5.7802460229610128e-34,2.3089587618636863e-25,1.9280236763819409e-33,1.5305481461565775e-43
