Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23),S(118),S(196),S(362),S(361),C7H10(38),S(410),S(340),S(358),S(336),C7H8(308),S(197),S(793),S(853),S(958),S(950),S(1019),S(954),HO2(43),OO(1086),C5H8O(834),S(873)
0.0,0.36835264090609454,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0032908045832752e-22,0.36835264090609454,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,3.2209476274330486e-26,2.2289251598734285e-26,2.2082077338474055e-16,2.4341063868098066e-43,2.4341063868107353e-43,2.2082067175707322e-16,1.6211722521693555e-17,3.5442242725405743e-31,1.4904223282856034e-16,5.2217109192840834e-43,1.200189898764003e-28,1.9214124432743488e-31,3.6134716213481699e-43,2.6399994943867198e-35,1.2317892210434442e-32,7.5525244620307656e-62,7.5789659657422956e-100,1.2001879638272208e-28,7.5789659657422895e-100,5.7629962306638957e-59,3.8614104876872868e-73,7.4341622769653326e-29,9.3946408487482335e-42,8.1946737073994624e-56,1.0911904376063881e-56,9.9175854562068132e-20,8.0556266527726451e-100,1.1638238114155963e-41,1.4511252080570887e-46,1.1715235015571742e-46,3.9938850113497961e-49,6.0677138321415463e-63,8.0871254144641213e-72,7.947969705891318e-85,9.4986184934150778e-98,1.2398027978726976e-98,4.8297847169791234e-112,1.0025716593535526e-103,1.0162774155476071e-22,7.3989226582759555e-41,1.1748673140880574e-114,2.94587759252176e-85
5.609214252833171e-22,0.36835264090609454,76.950000000000003,0.0,0.0,0.0,0.99999999999999833,9.5,1.9454523662559684e-25,1.3462707960697377e-25,6.1829816547664282e-16,2.8897711024149901e-42,2.8897711024170675e-42,6.1829788091941452e-16,4.5392823060741893e-17,2.1407114605895871e-30,4.1731825173652495e-16,6.1992152012905674e-42,7.2491469885026806e-28,1.160533115735673e-30,4.2899135074227279e-42,1.5945596946484266e-34,7.4400068951007742e-32,1.6894695120833086e-60,8.0759763642397381e-98,7.2491207956331051e-28,8.0759763642397277e-98,6.8424660918874975e-58,8.6385890269392301e-72,4.4902340144295226e-28,1.1153259089141023e-40,1.8331157274675964e-54,2.440949360686506e-55,2.7769239269598748e-19,8.583895315138587e-98,1.3816702883206476e-40,1.7227768430063795e-45,1.390832645577858e-45,4.7415402854692432e-48,1.3573240615061564e-61,3.3371767409955795e-70,5.9830363882601245e-83,1.2965574264278634e-95,1.6923256008268735e-96,1.1915042305796058e-109,1.3685060956915225e-101,2.8455767643314967e-22,4.4689492868581621e-40,1.2519777408416118e-112,2.217584298890153e-83
1.2821061149332962e-21,0.36835264090609454,76.950000000000003,0.0,0.0,0.0,0.99999999999999611,9.5,9.3665156898714168e-25,6.4817143575047408e-25,1.413252949657925e-15,2.837194404448113e-41,2.8371944044522173e-41,1.4132522992425356e-15,1.0375502413883838e-16,1.0306604184174197e-29,9.5387028881867823e-16,6.0864262410586914e-41,3.4901522255578737e-27,5.587467385011302e-30,4.2118625173737898e-41,7.6771185302479653e-34,3.582043054791879e-31,3.3381070560133957e-59,1.8379032658322126e-95,3.4901248400711756e-27,1.8379032658322076e-95,6.7193230035392018e-57,1.7071718113271624e-70,2.1618543888552124e-27,1.0950211943173563e-39,3.6219277616173226e-53,4.8229045988818915e-54,6.3472546865261325e-19,1.9534937352109777e-95,1.3564868808980179e-39,1.6914329569064166e-44,1.3655276214555179e-44,4.655272369213079e-47,2.6818443331513421e-60,1.3201542926129779e-68,4.7306082773390875e-81,2.0482435351903869e-93,2.6734604273472371e-94,3.7612256591361872e-107,2.1619048320484549e-99,6.504175465092066e-22,2.1516067109097777e-39,2.84966360290086e-110,1.7533777089960348e-81
2.7244754942332545e-21,0.36835264090609454,76.950000000000003,0.0,0.0,0.0,0.99999999999999178,9.5,4.0906034757792868e-24,2.8307349453851575e-24,3.0031625180103993e-15,2.5094663205089053e-40,2.5094663205162084e-40,3.0031611358825309e-15,2.2047942629503054e-16,4.5011648257402759e-29,2.026974360047881e-15,5.3833750757815651e-40,1.5242411713808425e-26,2.4401938029269029e-29,3.7253446933588714e-40,3.3527993584562745e-33,1.5643723107226299e-30,5.9399831521509388e-58,3.1059752683529871e-93,1.5242162302098368e-26,3.1059752683529713e-93,5.9455652476911269e-56,3.0390086566616054e-69,9.4413860784541386e-27,9.6851179345600721e-39,6.445026899194741e-52,8.5821010372985466e-53,1.3487916193210128e-18,3.3013180515242135e-93,1.1997168828889132e-38,1.4960534690033628e-43,1.207793508050443e-43,4.1175356912670606e-46,4.7721992638505749e-59,4.7115374720568624e-67,3.3812414092779037e-79,2.929945961979867e-91,3.824298453320241e-92,1.076414678561064e-104,3.0925347657087548e-97,1.3821372879384357e-21,9.3966317954410081e-39,4.8173742562158795e-108,1.2532412245571759e-79
5.609214252833171e-21,0.3683526409060945,76.950000000000003,0.0,0.0,0.0,0.99999999999998301,9.5,1.7077464221103853e-23,1.1817761128762051e-23,6.1829816546749884e-15,2.1093576490409089e-39,2.1093576490532267e-39,6.1829788091375387e-15,4.5392823060741154e-16,1.8791477089533858e-28,4.1731824907658704e-15,4.5250511106687153e-39,6.3634068428017756e-26,1.0187328773956925e-28,3.1313766744850649e-39,1.3997277324481981e-32,6.5309464499494204e-30,1.0018649793474781e-56,4.5478319683109542e-91,6.3631942327759486e-26,4.5478319683109079e-91,5.0016435400508338e-55,5.1297402709720403e-68,3.9415928272843715e-26,8.1405542422157287e-38,1.0870479776544303e-50,1.4474967753238206e-51,2.7769239156784056e-18,4.8338568324281214e-91,1.0082990973107892e-37,1.2575231536804235e-42,1.0152228669079626e-42,3.461036848613629e-45,8.0490119689841306e-58,1.5919221062361376e-65,2.2867353202548297e-77,3.9646428462315691e-89,5.1748317892839009e-90,2.9136762781002976e-102,4.1846491461235437e-95,2.8455767759053563e-21,3.9229088108932056e-38,7.058300004273114e-106,8.4756768917440439e-78
1.1378691770033003e-20,0.36835264090609454,76.950000000000003,0.0,0.0,0.0,0.99999999999996558,9.5,6.9767013146426595e-23,4.8279409949680256e-23,1.2542619927842738e-14,1.7293788426466704e-38,1.7293788426669027e-38,1.2542614155547611e-14,9.2082583923216044e-16,7.6769315403505541e-28,8.4655987052401849e-15,3.7099102709403683e-38,2.5996593279420424e-25,4.1618562083897957e-28,2.5672917725646342e-38,5.7183445092516132e-32,2.6681047243295261e-29,1.6455662373788834e-55,6.2187755327816855e-89,2.5994838184058627e-25,6.2187755327815606e-89,4.1072710394786978e-54,8.4387809231192751e-67,1.6102692757114272e-25,6.6735099478082044e-37,1.7854795300849257e-49,2.3775177893780432e-50,5.633188488475563e-18,6.6098903406991941e-89,8.2644283793965518e-37,1.0309934855408819e-41,8.32340466836921e-42,2.8375671154777007e-44,1.3220526447429216e-56,5.2338916467343175e-64,1.504290889326936e-75,5.2172471331038684e-87,6.8097877575656671e-88,7.6692751471846967e-100,5.5067630863111835e-93,5.7724557722730462e-21,1.6026362582639124e-37,9.6642198865530836e-104,5.57558339611929e-76
2.2917646804432667e-20,0.3683526409060946,76.950000000000003,0.0,0.0,0.0,0.99999999999993061,9.5,2.8200941839746608e-22,1.9515309179004901e-22,2.5261896473532549e-14,1.4004958238551269e-37,1.4004958238879242e-37,2.5261884847967987e-14,1.8546210564816058e-15,3.1031384709533147e-27,1.7050430946342166e-14,3.0043814882464312e-37,1.0508238651731277e-24,1.682288821686407e-27,2.0790594146807162e-37,2.3114462809516929e-31,1.0784905888901696e-28,2.6675337843136289e-54,8.2249259638431215e-87,1.0506812568256467e-24,8.2249259638427858e-87,3.3368993242532651e-53,1.3722317046688326e-65,6.5089658299584661e-25,5.4033964593782182e-36,2.8943391385053957e-48,3.8540587562432138e-49,1.1345717554399368e-17,8.7422127386243078e-87,6.6891606202298008e-36,8.3492526655374394e-41,6.7404995595777109e-41,2.2979354189211078e-43,2.1431042551435089e-55,1.6976001696110171e-62,9.7603523197649573e-74,6.770980303644119e-85,8.8377908126015787e-86,1.9907544232962013e-97,7.1467162350340627e-91,1.1626213846743813e-20,6.4781120572531958e-37,1.2815164932834276e-101,3.6176286332720227e-74
4.5995556873232e-20,0.3683526409060946,76.950000000000003,0.0,0.0,0.0,0.99999999999986067,9.5,1.133947439794721e-21,7.8470197931991359e-22,5.0700449562329856e-14,1.1272408792695239e-36,1.1272408793223434e-36,5.0700426231209704e-14,3.7222114909802874e-15,1.2477583300812788e-26,3.4220094677159565e-14,2.4181875405513865e-36,4.225316543681027e-24,6.7644093614426256e-27,1.6734078519368432e-36,9.2942238494804645e-31,4.3365632241226865e-28,4.2959809282088325e-53,1.0700854171278244e-84,4.2241669062831527e-24,1.0700854171277377e-84,2.7030913949141544e-52,2.2236869282731635e-64,2.6172264986779434e-24,4.3475388886852416e-35,4.661243564362936e-47,6.2068427016818663e-48,2.2770775367564948e-17,1.1373858447042989e-84,5.3782518904367599e-35,6.7202049693205433e-40,5.4253254209182943e-40,1.8495783408688194e-42,3.451403091082405e-54,5.469044698107864e-61,6.289532651766631e-72,8.7268564925421747e-83,1.139068918814247e-83,5.1317521295948726e-95,9.211128300119716e-89,2.3333730322626911e-20,2.6048204161960334e-36,1.6759553580080981e-99,2.3311856309821547e-72
9.215137701083066e-20,0.36835264090609454,76.950000000000003,0.0,0.0,0.0,0.99999999999972078,9.5,4.5476361765187395e-21,3.1470057462161435e-21,1.0157755572959818e-13,9.045398142187979e-36,9.0453981430358427e-36,1.0157750899129695e-13,7.4573923599768089e-15,5.0040689692365774e-26,6.8559419133248374e-14,1.9404431185307509e-35,1.6945409149007977e-23,2.7128306988936021e-26,1.3428043509163011e-35,3.7273994698939366e-30,1.7391558103515061e-27,6.8960008190576154e-52,1.3808885433561864e-82,1.693617857953507e-23,1.380888543355962e-82,2.1967680179066571e-51,3.6136538430793282e-63,1.0496248569535823e-23,3.4860856544448043e-34,7.4823269762264214e-46,9.9633567873875276e-47,4.5620889719168059e-17,1.4677361799193959e-82,4.3064825997787181e-34,5.3925413007585794e-39,4.3534578463669521e-39,1.4841701359438827e-41,5.5402654918229726e-53,1.7559952946052564e-59,4.039091907206013e-70,1.1208950015049121e-80,1.4630430312799883e-81,1.3182829537703134e-92,1.1830958965750858e-86,4.6748764582159388e-20,1.0446495302363418e-35,2.1851009542497322e-97,1.4970703333123399e-70
