Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534)
0.0,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8401269192884044e-25,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,1.1858819293093709e-18,1.3988554632104648e-17,1.3988554632104654e-17,1.6135079148236624e-32,1.6135078973889491e-32,3.5299749908803018e-16,9.530079066857581e-29,7.8162854882680452e-33,9.7309512211977093e-48,3.295488366651705e-52,1.9015708576133961e-50,2.5822777005825702e-28,3.0768083656741203e-34,9.4278903607547424e-48,7.0128353850259962e-52,4.5100770346900707e-68,1.2419316145016928e-68,3.0622764615794147e-46,1.7863612792407959e-33,2.3812490291562483e-47,2.3812490291562502e-47,1.3305536361677942e-62,2.1421167158464824e-63,8.3714266510438808e-49,4.5749886697518481e-35,5.1126679615878207e-50,4.1155543096445708e-51,1.3196074754094431e-110,1.118527707333201e-63,1.2781315997920905e-52,1.1989378572273471e-110,3.0438560078333844e-30,6.4508212464671129e-79,6.4508212454871483e-79,4.2380707758438075e-44,1.2439435939476932e-44,1.5696627010740718e-31,4.2377311497013186e-44,3.1225820325224636e-58,1.198937857227347e-110,3.1339542389153828e-67,1.2419316145163877e-68,1.4694686356040875e-79,5.2382444801223126e-95
7.952355374007533e-25,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.999999999999999,9.5,3.3204694020662374e-18,3.9167952969892908e-17,3.9167952969892951e-17,9.7455878055342608e-32,9.7455875985493459e-32,9.8839299744531254e-16,5.7561677563762856e-28,4.7210364349098215e-32,1.155258410657839e-46,3.9124037889018323e-51,2.8736538800291891e-49,1.5596957311503297e-27,1.8583922528671643e-33,1.1192788438086403e-46,8.3256381681165605e-51,1.2719138850167829e-66,2.7781513443567103e-67,3.6355346151837767e-45,1.0789622126614255e-32,2.8270188474142603e-46,2.8270188474142638e-46,2.9763952619504851e-61,4.7918294086742979e-62,9.9385577200985213e-48,2.7632931565301991e-34,6.0697594039727865e-49,4.8859860764029936e-50,1.4061441665888332e-108,2.5021017401924723e-62,1.5173978352738137e-51,1.2775613244534447e-108,1.8384890287295454e-29,2.6619494494450988e-77,2.6619494487074047e-77,5.0314376250743975e-43,1.4768098347325087e-43,9.4807627144723397e-31,5.031034420918057e-43,6.9850911034616896e-57,1.2775613244534445e-108,7.0105302742865784e-66,2.7781513444173484e-67,6.0638034699016024e-78,3.9432196980278911e-93
1.817681228344579e-24,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999999999767,9.5,7.5896443475799651e-18,8.9526749645468977e-17,8.9526749645469161e-17,4.6920810163062163e-31,4.692080813087205e-31,2.2591839941551925e-15,2.7713469926336453e-27,2.2729758199822283e-31,1.1342393075423486e-45,3.8412212402078399e-50,3.0913457118212904e-48,7.5092635532709765e-27,8.947358727380267e-33,1.0989139710075896e-45,8.174160921728755e-50,2.7666905206673777e-65,5.4891588978233291e-66,3.5693894436067244e-44,5.1947386000320038e-32,2.7755838683844047e-45,2.7755838683844113e-45,5.8808554720660691e-60,9.4678474191987765e-61,9.7577349043923518e-47,1.3304067051639587e-33,5.959325775951499e-48,4.7970901032998761e-49,3.200055125798914e-106,4.9437313984001749e-61,1.4897901927195773e-50,2.9074306617915631e-106,8.8515332707522096e-29,1.0530407299115566e-75,1.0530407293282846e-75,4.9398952963006908e-42,1.4499406530986345e-42,4.5645791347008213e-30,4.9394994280690782e-42,1.380136293187512e-55,2.9074306617915616e-106,1.3851626446610165e-64,5.4891588980632074e-66,2.3987803503663434e-76,3.1177852458019414e-91
3.86257261023223e-24,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999999999489,9.5,1.6127994238607398e-17,1.9024434299661931e-16,1.902443429966201e-16,2.0491550518250235e-30,2.0491548720801175e-30,4.8007659875562084e-15,1.210320041482089e-26,9.9266825700371813e-31,1.003221376819972e-44,3.3975166865631397e-49,2.8414793011529682e-47,3.2794926797159556e-26,3.9075466244060544e-32,9.7197583280640278e-45,7.2299527621255475e-49,5.1289779483377813e-64,9.767664973740077e-65,3.1570845408084056e-43,2.2686788246355717e-31,2.4549724990986749e-44,2.4549724990986873e-44,1.0464668099462658e-58,1.6847528617230187e-59,8.6306060200249696e-46,5.810235610586088e-33,5.2709561615205135e-47,4.2429718710253027e-48,5.4079516931110603e-104,8.7971058808422082e-60,1.3177025541256155e-49,4.9134292854137853e-104,3.8656971299202175e-28,3.7582275655955439e-74,3.7582275614265587e-74,4.3692814470159422e-41,1.2824560876020409e-41,1.9934716303407379e-29,4.3689313060482344e-41,2.4558787933128748e-54,4.9134292854137798e-104,2.464822917221597e-63,9.7676649745961844e-65,8.5610766833102289e-75,2.228462527166921e-89
7.952355374007533e-24,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999999998934,9.5,3.3204694020662165e-17,3.9167952969891277e-16,3.9167952969891602e-16,8.5548189643858068e-30,8.5548174535216905e-30,9.8839299742832754e-15,5.0528479211684778e-26,4.1441945658228053e-30,8.4326726579910486e-44,2.8558174908705198e-48,2.430945365595862e-46,1.3691236368273616e-25,1.631323795480347e-31,8.1700235287643068e-44,6.0772109276481008e-48,8.8154026338047234e-63,1.647459464911918e-63,2.6537197851423145e-42,9.4712875025325429e-31,2.0635523086818819e-43,2.0635523086819022e-43,1.7650192297192323e-57,2.8415819499214674e-58,7.2545443927228669e-45,2.4256589927035405e-32,4.4305562525378306e-46,3.5664735157858099e-47,7.9184325272229843e-102,1.4837604879878939e-58,1.1076083942813655e-48,7.1943427903383074e-102,1.6138524553278984e-27,1.2698201533433259e-72,1.2698201505238389e-72,3.6726443251267668e-40,1.0779816153916745e-40,8.3223516408847414e-29,3.6723500105459821e-40,4.1421985436619552e-53,7.1943427903382948e-102,4.1572841159972168e-62,1.6474594652011773e-63,2.8925943211147319e-73,1.5071102861201696e-87
1.6131920901558136e-23,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999999997835,9.5,6.7358093584771318e-17,7.9454990310347098e-16,7.9454990310348419e-16,3.4949226838168107e-29,3.4949214451193342e-29,2.005025794743753e-14,2.0642532461303843e-25,1.6930387018526249e-29,6.913602225664021e-43,2.341371720366988e-47,2.0099526382155408e-45,5.5933167903876934e-25,6.6644899923841635e-31,6.698247734014187e-43,4.982464677851913e-47,1.4610883374960508e-61,2.7059571177938901e-62,2.1756798108215671e-41,3.8693299852849047e-30,1.6918248572361728e-42,1.6918248572362066e-42,2.8990493846389257e-56,4.6673068853855137e-57,5.9477137940491381e-44,9.9096084582386701e-32,3.6324376985120025e-45,2.9240104654218266e-46,1.0827786691342421e-99,2.4370810569120726e-57,9.0808428051864839e-48,9.8376552241082757e-100,6.5931138669926919e-27,4.1748908381618298e-71,4.1748908196143047e-71,3.0110557094862869e-39,8.8379445718126379e-40,3.3999521968566957e-28,3.0108144126114686e-39,6.8035735460409526e-52,9.8376552241082392e-100,6.828351644106302e-61,2.7059571187449123e-62,9.5102172644728568e-72,9.9142748518942576e-86
3.249105195665935e-23,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999999995637,9.5,1.3566489271298811e-16,1.6002906499124724e-15,1.6002906499125259e-15,1.412703627801583e-28,1.4127026246725839e-28,4.0382913892546542e-14,8.34404166627596e-25,6.8435331262857341e-29,5.5987944075239886e-42,1.8961035235184642e-46,1.6344601050568381e-44,2.2609080760398132e-24,2.6938934109487425e-30,5.4243641987495311e-42,4.034929058638024e-46,2.3790035953329512e-60,4.3864730944658923e-61,1.7619219190560129e-40,1.5640450453152156e-29,1.3700836329107158e-41,1.3700836329107706e-41,4.6994839803835024e-55,7.5659055888030603e-56,4.8166128349647711e-43,4.0056221798315983e-31,2.9416422251532755e-44,2.3679394848707009e-45,1.4320784442009051e-97,3.9506134140060442e-56,7.3539019404898014e-47,1.3011240791427658e-97,2.6650420397698708e-26,1.3541158322714925e-69,1.3541158202372251e-69,2.4384309803089897e-38,7.1571966530715001e-39,1.374315038453758e-27,2.438235571844115e-38,1.1028885903476932e-50,1.3011240791427562e-97,1.1069052268867991e-59,4.3864730975505093e-61,3.0846161727655601e-70,6.4327197921543299e-84
6.520931406686176e-23,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999999991229,9.5,2.7227849096941562e-16,3.2117721435300142e-15,3.211772143530228e-15,5.6804191544010187e-28,5.68041108035149e-28,8.104822577796655e-14,3.3551024553548864e-24,2.7517545709652108e-28,4.506364753421191e-41,1.5261490733346212e-45,1.3182512872871916e-43,9.0910119347934722e-24,1.0832026923686286e-29,4.3659189564459094e-41,3.2476619105533823e-45,3.8397213947805028e-59,7.0642796877077967e-60,1.4181480441093985e-39,6.2889563380061879e-29,1.102762502347697e-40,1.1027625023477849e-40,7.568374071343335e-54,1.2184657705881691e-54,3.8768290448628417e-42,1.6106430611470655e-30,2.3676895792349274e-43,1.9059237033122832e-44,1.8631733177788286e-95,6.3623411119850142e-55,5.9190600568784785e-46,1.6927980985926448e-95,1.0716016828385045e-25,4.3624645050933986e-68,4.362464427545049e-68,1.9626613914537233e-37,5.7607345278340875e-38,5.5260603244531216e-27,1.9625041097216815e-37,1.7761680744193449e-49,1.6927980985926191e-95,1.7826367439542105e-58,7.064279697645299e-60,9.9375018837335523e-69,4.1452196186773076e-82
1.3064583828726661e-22,0.30510029086029994,76.950000000000003,0.0,0.0,0.0,0.99999999999982425,9.5,5.4550568748224624e-16,6.434735130763257e-15,6.4347351307641153e-15,2.2781021438499294e-27,2.278095664942272e-27,1.6237884952961451e-13,1.3455461450408353e-23,1.1035766580582937e-27,3.6160224465932562e-40,1.2246385183668498e-44,1.0588911238109546e-42,3.6459023908072358e-23,4.3441272706418062e-29,3.5032446018255652e-40,2.6060441097127664e-44,6.1703292028947121e-58,1.1339733389493554e-58,1.1379744934098803e-38,2.5221527719825727e-28,8.848974585757797e-40,8.8489745857592065e-40,1.2148916519959674e-52,1.9559074109319839e-53,3.1109111534337864e-41,6.4593990529409351e-30,1.8999217743984697e-42,1.5293837407193641e-43,2.4043264665975136e-93,1.0212966528671477e-53,4.7496729265243713e-45,2.1844662717185314e-93,4.2976020331698537e-25,1.4006958477957373e-66,1.4006957979947476e-66,1.5749121622239632e-36,4.6226266592450554e-37,2.2161973487147842e-26,1.5747859535402852e-36,2.8511431207739704e-48,2.1844662717184659e-93,2.861526768660728e-57,1.1339733421400788e-58,3.1907234434562622e-67,2.6620301381023553e-80
