Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55)
0.0,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3441640939215554e-21,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,2.7509037310336367e-17,2.5661165330931705e-16,2.5661165331370114e-16,5.9864585433094975e-27,5.9863378054561317e-27,6.6461738416949963e-18,2.239332183608718e-26,4.3844482313076092e-27,3.882783835894456e-39,8.5629655436436348e-44,1.5692586278509011e-44,2.1244135477033722e-26,4.9878396785667707e-30,5.6871762185243655e-39,2.9862535436883264e-44,8.6337588285290178e-61,3.1292597249136708e-60,5.8440571546297776e-43,2.4001828102533212e-31,2.0799620364529345e-42,2.0799620364927035e-42,3.5538080950334041e-53,4.2306288496050176e-54,5.9093753104942225e-51,2.1037098793665445e-33,7.1887669749862172e-44,4.2789318028198543e-45,2.9220512579700525e-96,1.426468852836776e-55,7.9923671174458727e-50,2.8170663908015062e-96,2.1167526437429278e-28,1.6638938922399914e-66,1.6638907590430345e-66,5.4943258997800644e-40,1.6891307057581887e-40,1.6306583871231146e-31,5.4942680462880814e-40,4.0235421068647504e-51,2.8170663908015042e-96,4.7953685419651714e-60,3.129259755119802e-60,3.020613169675823e-68,4.256329999244631e-80,5.7871053582490388e-50,2.3607044009576926e-91,2.5757050795713055e-37
1.4963659462980355e-20,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,7.7025304468941574e-17,7.1851262923248649e-16,7.185126292589656e-16,3.6158209600152828e-26,3.6156776225920079e-26,1.8609286611292826e-17,1.3525566300781643e-25,2.6482067259809962e-26,4.6095486500166624e-38,1.0165952694632675e-42,2.3714652216730888e-43,1.2831457744440396e-25,3.0126551657367665e-29,6.7513849782750014e-38,3.5452779102907226e-43,2.4348596977114291e-59,7.0000287779681644e-59,6.938064612531169e-42,1.4497104173480523e-30,2.4693309295650551e-41,2.4693309296540164e-41,7.9497264205282686e-52,9.4637474837553703e-53,7.0156102757499714e-50,1.2706407670442518e-32,8.5345039995158962e-43,5.079947820449075e-44,3.1136723663862498e-94,3.1909537554581221e-54,9.4885382407825986e-49,3.0018028435982432e-94,1.2785185884821141e-27,6.8661011375863587e-65,6.8660775517221528e-65,6.5228636243556083e-39,2.005335948054718e-39,9.8491765200124083e-31,6.5227949406880887e-39,9.0005026408110377e-50,3.00180284359824e-94,1.0727047612255339e-58,7.0000289026146116e-59,1.2464644724043712e-66,3.204058960616367e-78,6.8704514756400911e-49,3.2223498489652029e-89,1.5557258680004306e-36
3.4202650201097955e-20,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,1.7605783878615082e-16,1.6423145809444243e-15,1.6423145810719028e-15,1.7408621441789215e-25,1.7407214200610816e-25,4.2535511568675817e-17,6.5119778576116302e-25,1.2749975370710567e-25,4.525486659294907e-37,9.9809926412729938e-42,2.5511184615620437e-42,6.1777944711894464e-25,1.4504637783508749e-28,6.6276378312887908e-37,3.4807700105269919e-42,5.2963605014006413e-58,1.3830877015954739e-57,6.8118328909560249e-41,6.9797316115423457e-30,2.4244037493427454e-40,2.4244037495185171e-40,1.5707319176534754e-50,1.8698770130460286e-51,6.8879675740188808e-49,6.1175883278005613e-32,8.3792263111616703e-42,4.9875228602048173e-43,7.0859897948692274e-92,6.3047868576466516e-53,9.3159031088235957e-48,6.8314009352996899e-92,6.1555165629252119e-27,2.7161581832625202e-63,2.716139534735236e-63,6.4041860088074636e-38,1.9688506705853942e-38,4.7419543824372122e-30,6.4041185747715151e-38,1.7783476025743671e-48,6.8314009352996762e-92,2.119483841368695e-57,1.3830877509043684e-57,4.9308894109427535e-65,2.5333530330300843e-76,6.7454499879880215e-48,5.0905229157895322e-87,7.4901503704837969e-36
7.268063167733315e-20,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999999999256,9.5,3.7412290742056483e-16,3.4899184838307425e-15,3.4899184843874124e-15,7.6028023477764319e-25,7.6015577551957889e-25,9.0387959156191258e-17,2.8439517364498017e-24,5.5682491649643885e-25,4.0023938964015303e-36,8.8280749642958786e-41,2.3449256796696949e-41,2.6980050758669264e-24,6.3345563899576769e-28,5.8604489303162727e-36,3.0786930014496789e-41,9.8185933630939043e-57,2.461130579802692e-56,6.0249888943281871e-40,3.048232168324929e-29,2.1443576603732475e-39,2.1443576606860243e-39,2.7950333137365878e-49,3.3273461948135189e-50,6.0923289655314574e-48,2.6717115453515072e-31,7.4113302032788986e-41,4.4114074281948227e-42,1.197500948887934e-89,1.1219031201554074e-51,8.2398107965169201e-47,1.1544765571324435e-89,2.6882757283049916e-26,9.6937530948456124e-62,9.6936198044938651e-62,5.6644296836872989e-37,1.7414260243111314e-37,2.0709359374189981e-29,5.6643700390392452e-37,3.1644743711114177e-47,1.1544765571324387e-89,3.7715082499795508e-56,2.4611307557826263e-56,1.7597993450361618e-63,1.810734756247212e-74,5.9662741032074402e-47,7.2818268123842408e-85,3.2711454501157187e-35
1.4963659462980356e-19,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999999998468,9.5,7.7025304468937506e-16,7.1851262874535104e-15,7.185126289776974e-15,3.1740203176587341e-24,3.1729743245776536e-24,1.8609284502222112e-16,1.1872938006894065e-23,2.3246343723228022e-24,3.3636682777570446e-35,7.4205289460234916e-40,2.0061475474931483e-40,1.126363946247614e-23,2.6445525959363372e-27,4.9233345316888412e-35,2.5878124139394842e-40,1.6875769401048701e-55,4.1510561553157072e-55,5.064365935777233e-39,1.2725769253692004e-28,1.8024618200762393e-38,1.802461820603783e-38,4.7142315061020742e-48,5.6120555484040336e-49,5.1209689971964276e-47,1.115386976740552e-30,6.229668630950105e-40,3.7080536501074102e-41,1.7534051702251971e-87,1.8922535429493782e-50,6.926057453601327e-46,1.6904079834426279e-87,1.1223021353888332e-25,3.2752848519319402e-60,3.2751947096635922e-60,4.7612939250258833e-36,1.4637733385421935e-36,8.6457488404807068e-29,4.7612437900936938e-36,5.3373479793560316e-46,1.6904079834426136e-87,6.3611999115720886e-55,4.1510567499120903e-55,5.9459638379353177e-62,1.2246007077311596e-72,5.0150128427659315e-46,9.8533691273569217e-83,1.365638832342926e-34
3.0354852053474436e-19,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999999996891,9.5,1.562513319226924e-15,1.4575541886102455e-14,1.4575541895590252e-14,1.296690864618332e-23,1.2958335618001514e-23,3.7750257951828347e-16,4.8504820410764786e-23,9.4968895703178683e-24,2.7567796882436757e-34,6.0837979710859198e-39,1.6587451906428106e-39,4.6015637324289392e-23,1.0803860243481901e-26,4.0319840202518516e-34,2.1216210909745172e-39,2.7970735333818713e-54,6.818121234317958e-54,4.1520727394147901e-38,5.1988919690115679e-28,1.4777670990918518e-37,1.4777670999583436e-37,7.7431370782184091e-47,9.2178176161666001e-48,4.1984788144156741e-46,4.5567197361007669e-30,5.1074571319423695e-39,3.040086248667185e-40,2.3976332534613903e-85,3.1080319621149259e-49,5.6784003442150477e-45,2.3114899293356227e-85,4.5849699115793179e-25,1.0768319861414251e-58,1.0767726902580493e-58,3.9035955532126301e-35,1.2000895519751409e-35,3.5320696604321048e-28,3.9035544495471047e-35,8.7666081881573934e-45,2.3114899293355841e-85,1.0448289932417212e-53,6.8181231892205061e-54,1.9549025474059764e-60,8.055831370420255e-71,4.1116104638384881e-45,1.2966477981742452e-80,5.5790802233949712e-34
6.113723723446259e-19,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999999993738,9.5,3.1470338683017354e-15,2.9356373049036973e-14,2.9356373087353456e-14,5.2414317907211467e-23,5.23449342674067e-23,7.6032189956647661e-16,1.9606419576416044e-22,3.8387943234517114e-23,2.2309602888137523e-33,4.926817348984969e-38,1.3489024366389788e-38,1.8600252197944039e-22,4.3670930434757234e-26,3.2579995365674862e-33,1.7181050973332586e-38,4.5544346095701642e-53,1.1052465202922188e-52,3.3624554563101891e-37,2.1014752547841526e-27,1.1967341086603701e-36,1.1967341100649902e-36,1.2551951335396441e-45,1.4942478041650804e-46,3.4000354331776427e-45,1.8418989684109463e-29,4.1361486259664347e-38,2.4619403967149505e-39,3.1710994947807961e-83,5.0382532122254212e-48,4.5985158033809081e-44,3.0571667024270366e-83,1.8533177335860284e-24,3.4926137749596029e-57,3.4922290782203884e-57,3.1612314745177227e-34,9.7186319885204853e-35,1.4277183467387642e-27,3.1611981876727713e-34,1.4211043508004202e-43,3.0571667024269349e-83,1.6937128150584831e-52,1.1052471543599974e-52,6.3406777852305433e-59,5.2268968071747563e-69,3.3296886587976076e-44,1.6827982761849316e-78,2.2551534251212051e-33
1.227020075964389e-18,0.19780751180813014,76.950000000000003,0.0,0.0,0.0,0.99999999999987432,9.5,6.3160749664502119e-15,5.8918035237636342e-14,5.8918035391426404e-14,2.1075566646863397e-22,2.1019789697693034e-22,1.5259599438876007e-15,7.8836515740355179e-22,1.5435620861890682e-22,1.7931785813840574e-32,3.9655312562867757e-37,1.088000616443273e-37,7.4790762763317303e-22,1.7559889009466799e-25,2.6107959309643809e-32,1.3828182096625044e-37,7.35128078832776e-52,1.7799644396984766e-51,2.7063955549087267e-36,8.4499395553837597e-27,9.6323572113216281e-36,9.6323572339425735e-36,2.0214506375556637e-44,2.4064395284931543e-45,2.7366417958842055e-44,7.4061947053378676e-29,3.3291280989613242e-37,1.981583385420088e-38,4.1256873606172544e-81,8.1139497622952685e-47,3.7012855516928059e-43,3.9774576749439648e-81,7.452105781287712e-24,1.1251501978309957e-55,1.1249023460820727e-55,2.544431838566278e-33,7.8223935275474427e-34,5.7407871866899768e-27,2.5444050463677903e-33,2.2886427678766191e-42,3.9774576749437021e-81,2.7276722495222577e-51,1.7799664824311478e-51,2.0427326708171556e-57,3.3681901135276703e-67,2.6800229552091873e-43,2.1688930262189678e-76,9.0678727131155765e-33
2.4583154832039153e-18,0.19780751180813008,76.950000000000003,0.0,0.0,0.0,0.9999999999997482,9.5,1.2654157162742582e-14,1.1804135906721959e-13,1.1804135968175854e-13,8.4522448073679143e-22,8.4075977228638544e-22,3.0572336494325068e-15,3.1616940744154776e-21,6.1903725148382903e-22,1.4349290475128371e-31,3.1820891415262736e-36,8.7404074897314236e-37,2.9994414292557503e-21,7.0423008407147087e-25,2.0767363594598354e-31,1.1095246448213434e-36,1.1814612268842578e-50,2.8572338910324437e-50,2.1717101871512524e-35,3.3888036801641674e-26,7.729359988755545e-35,7.7293600250670945e-35,3.2448681573135857e-43,3.86286679995663e-44,2.1959786538355193e-43,2.9702152973648255e-28,2.6714089748347247e-36,1.5900951812299484e-37,5.3239809300067519e-79,1.302468083055312e-45,2.9700485103795781e-42,5.1326983749495527e-79,2.9886250640784131e-23,3.6123525848637911e-54,3.6107614808051421e-54,2.04174265977567e-32,6.2769669367145193e-33,2.3023080195986661e-26,2.041721160643806e-32,3.673772147280569e-41,5.132698374948872e-79,4.3785179689537696e-50,2.8572404498113374e-50,6.5587788916674973e-56,2.1630250023481197e-65,2.1505493928652759e-42,2.7857671657094329e-74,3.6366225092332618e-32
