Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361)
0.0,0.23532924176581874,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3927944470649708e-23,0.23532924176581874,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,8.4820269625137295e-18,1.110959406387523e-16,1.1109594063875624e-16,7.3278430816466556e-30,7.3278409653729903e-30,3.3202927454948516e-16,3.9068942073405251e-27,4.0067140576820037e-30,9.451796709172292e-44,2.9831802301579123e-48,1.4504512427244249e-47,7.751836605995131e-27,5.3484420855309277e-32,1.0336066621833481e-43,4.1317199473767028e-48,2.4605533097196768e-64,3.3865545794083517e-64,6.5751287101048244e-44,7.1424607712510787e-32,1.7370386358676399e-44,1.7370386358677116e-44,6.2646907530351919e-58,9.1446447671317921e-59,4.8157530053191327e-48,1.3419159865932202e-33,9.6793341252932449e-47,7.0645204725447572e-48,4.4644719265134964e-103,2.2415928251992065e-59,2.1761137491287884e-50,4.1259150826936708e-103,8.7426230210368388e-29,7.3927275489160804e-73,7.3927274986709366e-73,1.534787526761955e-41,4.5795960870493156e-42,1.3042835059513482e-30,1.5347157006556709e-41,2.3339798315573961e-54,4.1259150826936683e-103,3.2348180017860529e-63,3.3865545802109709e-64,8.0262297204378016e-74,8.7896535483701607e-88,1.1382235415718099e-50,1.2018306042122539e-101,2.8772927878797974e-36,3.2467758464310919e-79
3.899824451781918e-23,0.23532924176581874,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,2.3749675495038421e-17,3.1106863378846924e-16,3.11068633788493e-16,4.4260172213099683e-29,4.4260147088705116e-29,9.2968196869988425e-16,2.3597641011517643e-26,2.4200552907808249e-29,1.1221156852198304e-42,3.5416315692906305e-47,2.1919219193079044e-46,4.6821093098585334e-26,3.2304590196603563e-31,1.2270929174526799e-42,4.9051779018423174e-47,6.9391540259162134e-63,7.575587130533056e-63,7.8059928043879526e-43,4.3140463058343433e-31,2.0622122685014137e-43,2.0622122685015742e-43,1.4013862625120208e-56,2.045620455761462e-57,5.717261967494536e-47,8.1051725590225519e-33,1.1491305472006199e-45,8.3869987046949927e-47,4.7572412807199214e-101,5.0143534860792157e-58,2.583482242968633e-49,4.3964826916190129e-101,5.2805443045229533e-28,3.0506297138104319e-71,3.0506296759871423e-71,1.8220997516699072e-40,5.436896474238682e-41,7.8778723754667499e-30,1.8220144797166313e-40,5.2210195237218218e-53,4.3964826916190085e-101,7.2361584772769382e-62,7.5755871338450881e-63,3.3120461669759574e-72,6.6166318002660218e-86,1.3512989885480308e-49,1.6404928518340534e-99,1.7378848438792106e-35,1.3397911440187902e-77
8.913884461215813e-23,0.23532924176581874,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,5.4284972560087741e-17,7.1101402008775472e-16,7.11014020087869e-16,2.1309367681359289e-28,2.1309343014093321e-28,2.1249873568459885e-15,1.1361248353717571e-25,1.1651524478852683e-28,1.101696402147737e-41,3.4771948764126265e-46,2.3579695813156116e-45,2.2542340847795979e-25,1.5553269584719092e-30,1.2047566987056748e-41,4.8159327096440442e-46,1.5094175729748407e-61,1.4968083568154919e-61,7.6639700237278519e-42,2.0770275922778517e-30,2.0246922339653127e-42,2.0246922339656294e-42,2.7689031001673925e-55,4.0418013037664451e-56,5.6132417016969386e-46,3.9022916890123171e-32,1.1282231851661726e-44,8.2344050618366803e-46,1.0826368097052511e-98,9.9075174968896808e-57,2.5364781859930844e-48,1.0005365955410642e-98,2.5423547742425697e-27,1.2067987696244839e-69,1.2067987397187477e-69,1.788948340877889e-39,5.3379771981152658e-40,3.7928564345874341e-29,1.7888646203687301e-39,1.0315854760631445e-51,1.0005365955410621e-98,1.4297429754109397e-60,1.4968083581256992e-61,1.3102125260455334e-70,5.2315718056701125e-84,1.3267133600374275e-48,2.5915766404060883e-97,8.3671674271516518e-35,5.3000805285847652e-76
1.8942004480083603e-22,0.23532924176581874,76.950000000000003,0.0,0.0,0.0,0.99999999999999245,9.5,1.1535556669018611e-16,1.5109047926857313e-15,1.5109047926862312e-15,9.3063607136197615e-28,9.306338895726532e-28,4.5155981325194172e-15,4.9617556420528377e-25,5.088526852340009e-28,9.7443188681871199e-41,3.0755394903742351e-45,2.16738029449683e-44,9.8448324870946978e-25,6.7925214486192705e-30,1.0655751488384568e-40,4.259637868809188e-45,2.7982058031104289e-60,2.6634904945843662e-60,6.7786946933519791e-41,9.0709251794686039e-30,1.7908173520298852e-41,1.7908173520304495e-41,4.9271151220565557e-54,7.1921694664038326e-55,4.9648487156274293e-45,1.7042333029725857e-31,9.9790062997740924e-44,7.2832380243555713e-45,1.8296083466985696e-96,1.7629898026328175e-55,2.2434862308193765e-47,1.6908626142850298e-96,1.1103131233875718e-26,4.3069790334551694e-68,4.306978819701479e-68,1.5823045479272307e-38,4.7213803799105956e-39,1.6564400518151595e-28,1.5822304980853821e-38,1.8356512368228346e-50,1.6908626142850219e-96,2.5441512338710014e-59,2.663490499260403e-60,4.6760554364204399e-69,3.7393087717443497e-82,1.1734629423796503e-47,3.7071658872800413e-95,3.6541618406044512e-34,1.8915610939419088e-74
3.8998244517819183e-22,0.23532924176581874,76.950000000000003,0.0,0.0,0.0,0.99999999999998435,9.5,2.3749675495038169e-16,3.1106863378793079e-15,3.1106863378813949e-15,3.885222401824715e-27,3.8852040626114982e-27,9.2968196813911534e-15,2.0714353075892806e-24,2.1243597925584763e-27,8.1905844542884668e-40,2.5851762570948517e-44,1.854239484972551e-43,4.1100237662314098e-24,2.8357439937439911e-29,8.9564898480790132e-40,3.5804821663980152e-44,4.8094008605717115e-59,4.4923660156288523e-59,5.6979013351825249e-40,3.7869327008990828e-29,1.5052898892170728e-40,1.5052898892180249e-40,8.3102998062987178e-53,1.2130645031191203e-53,4.1732544973968918e-44,7.1148385609099741e-31,8.3879560654208528e-43,6.122000405516336e-44,2.6789496405763188e-94,2.9735399852161705e-54,1.885785357206538e-46,2.4757953258013329e-94,4.6353387231967712e-26,1.4552308351971339e-66,1.4552306906354245e-66,1.3300223128881124e-37,3.9686046918822818e-38,6.9153111418665722e-28,1.329960069534869e-37,3.09609411387236e-49,2.4757953258013116e-94,4.291082916889634e-58,4.4923660314281232e-59,1.5799334452575347e-67,2.5288963289245142e-80,9.8636630947829796e-47,5.0163341294438918e-93,1.5255406361312667e-33,6.3911574229222754e-73
7.911072459329034e-22,0.23532924176581868,76.950000000000003,0.0,0.0,0.0,0.99999999999996814,9.5,4.8177913147076841e-16,6.310249428256957e-15,6.3102494282654831e-15,1.5872401228025163e-26,1.5872250872742075e-26,1.8859262769234158e-14,8.4624891191933078e-24,8.6787029105205757e-27,6.7149675873643119e-39,2.1194836857951286e-43,1.5331210832409043e-42,1.679078814285401e-23,1.1584939494905257e-28,7.3425609949430667e-39,2.9354953990196266e-43,7.9712293201768424e-58,7.3787246459499218e-58,4.6714837646981395e-39,1.5470855728806256e-28,1.2341275969578722e-39,1.2341275969594366e-39,1.3649692355443841e-51,1.992462087831991e-52,3.4214861700130976e-43,2.9066437035941959e-30,6.876953145362459e-42,5.019185804903219e-43,3.663237031449549e-92,4.8840483516410694e-53,1.5460807702177263e-45,3.3854406900371931e-92,1.8936871146837719e-25,4.7844803530900643e-65,4.7844794021150434e-65,1.0904326476100507e-36,3.2537018962175933e-37,2.8251302395687992e-27,1.090381616749573e-36,5.0853438742451905e-48,3.3854406900371345e-92,7.0481165763206331e-57,7.3787246978944672e-58,5.1944754820798539e-66,1.6635924676321636e-78,8.0868269418998306e-46,6.601213651755561e-91,6.2323312702371276e-33,2.1012727308381362e-71
1.5933568474423266e-21,0.23532924176581876,76.950000000000003,0.0,0.0,0.0,0.99999999999993572,9.5,9.7034388451152431e-16,1.2709375608974227e-14,1.2709375609008694e-14,6.4158783540014569e-26,6.4157565934752252e-26,3.7984148905318286e-14,3.4206734014904754e-23,3.5080704740329666e-26,5.4376821093667687e-38,1.7164128408241776e-42,1.2467086353286491e-41,6.7871050209158318e-23,4.6828177710710467e-28,5.9453695596226038e-38,2.3772399505719216e-42,1.2979080862574935e-56,1.1961230542641426e-56,3.783088664864182e-38,6.2535672432203103e-28,9.9942852492427441e-39,9.9942852492681015e-39,2.2126739413912858e-50,3.2298669016808164e-51,2.7708082014187176e-42,1.174911858224627e-29,5.5691349282025162e-41,4.0646667907679262e-42,4.8449816552455846e-90,7.9172528360266413e-52,1.2520562926176823e-44,4.4775694003263892e-90,7.6545860830147925e-25,1.5518345735446664e-63,1.5518339565198733e-63,8.8306062769470031e-36,2.6349321483187379e-36,1.1419628104111917e-26,8.8301930158259592e-36,8.2435615470022017e-47,4.4775694003262331e-90,1.1425300694223041e-55,1.1961230711122308e-56,1.6848156603430694e-64,1.0793955469069642e-76,6.5489221216829694e-45,8.5671020009916305e-89,2.5192079458244605e-32,6.8154277372774482e-70
3.197856050461173e-21,0.23532924176581874,76.950000000000003,0.0,0.0,0.0,0.99999999999987088,9.5,1.9474733905929645e-15,2.5507627970256676e-14,2.550762797039526e-14,2.5797964679025661e-25,2.5796984661770344e-25,7.6233921019078975e-14,1.3754377268161534e-22,1.4105797062054596e-25,4.3762806407648297e-37,1.3815183800318875e-41,1.0055157309224613e-40,2.7290650716795704e-22,1.8829404299540475e-27,4.7840203820952627e-37,1.9134089939208448e-41,2.0948289876185797e-55,1.9263192789394207e-55,3.0449588720230046e-37,2.5145318842589936e-27,8.0442702515809136e-38,8.0442702516217526e-38,3.5634431376459471e-49,5.2016010619426485e-50,2.2301874839744625e-41,4.724268907399546e-29,4.4825242522118733e-40,3.2715974428219131e-41,6.3034539633100328e-88,1.2750491585180404e-50,1.0077638308059742e-43,5.8254405467058161e-88,3.0778753906038626e-24,4.999440757721321e-62,4.9994367816407396e-62,7.1076401494550049e-35,2.1208226185820154e-35,4.591782216264468e-26,7.1073075209804567e-35,1.3276001686700906e-45,5.8254405467054076e-88,1.8400094545797455e-54,1.9263193332177814e-55,5.427858005793115e-63,6.9555828423593047e-75,5.271142265245226e-44,1.1041809382984994e-86,1.0129624351295367e-31,2.1956808326558557e-68
6.406854456498866e-21,0.23532924176581876,76.950000000000003,0.0,0.0,0.0,0.99999999999974121,9.5,3.9017324027555605e-15,5.1104132692213232e-14,5.1104132692768968e-14,1.034613767699067e-24,1.0345351302768457e-24,1.5273346461297017e-13,5.5161204379838028e-22,5.6570555002384108e-25,3.5109852886289444e-36,1.1085814969036725e-40,8.0768499995657512e-40,1.0944771489819457e-21,7.5514332897035436e-27,3.8367418651654437e-36,1.5353893591297876e-40,3.3663342789601573e-54,3.0921689760907367e-54,2.4433877191777539e-36,1.0084397507334824e-26,6.4550202661671371e-37,6.4550202662326867e-37,5.7201153167094331e-48,8.3497216468684361e-49,1.7895849853035332e-40,1.894643129941729e-28,3.5969433458086461e-39,2.6252508963623118e-40,8.1342734190632825e-86,2.0467362699620017e-49,8.0866700758750073e-43,7.5174224273419862e-86,1.234365687131373e-23,1.605214915577518e-60,1.6052123621713451e-60,5.7034335520771647e-34,1.7018265733468154e-34,1.8415100259214581e-25,5.7031666387204074e-34,2.1310922737805071e-44,7.5174224273409347e-86,2.9536226752725851e-53,3.0921691503671646e-54,1.7427713276917063e-61,4.4668250168412465e-73,4.2297597002935246e-43,1.4182323794567127e-84,4.0624324233323708e-31,7.0498706892677241e-67
