Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376)
0.0,0.2197449807545941,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.020546311651916e-23,0.2197449807545941,76.950000000000003,0.0,0.0,0.0,0.99999999999999922,9.5,1.6534267463576661e-17,2.146870475741074e-16,2.1468704757414324e-16,6.2778656983768978e-29,6.2778597054351391e-29,2.7847003642407129e-16,1.348920622744564e-26,3.6066267646798612e-29,2.4882521083919725e-42,7.5065298500856391e-47,1.6832632449015564e-46,2.3592913684835057e-26,3.1273701886946677e-31,2.8589743425083595e-42,8.4726365953867785e-47,5.5663049405594728e-63,1.1459597302976235e-62,3.9009154511008831e-43,2.3429916215636605e-31,1.6462327958282011e-43,1.6462327958285164e-43,2.7655824264458943e-56,3.8887180467371367e-57,6.4441030563363825e-48,3.8686928265024607e-33,1.2998391140514802e-45,9.1385954949390006e-47,1.8562627289934167e-100,6.9007737724982734e-58,1.1426823993820301e-49,1.7276322835551666e-100,2.6096365548129078e-28,1.00896003898955e-70,1.008960010676442e-70,1.1391825710068193e-40,3.4194006726274358e-41,2.3516298227554392e-30,1.1391404647393358e-40,5.264455185518251e-53,1.7276322835551649e-100,7.7071365274587185e-62,1.1459597311085859e-62,8.1096689372456458e-72,3.1806304096981618e-85,6.3966239259943097e-50,1.9738021718551715e-98,5.1764857412680743e-36,4.5310857740166472e-77,4.1594283980704615e-99,3.0282487398170215e-48,8.1629200171072504e-113,4.5465502440328372e-104,2.3601022438287267e-116,6.5936865420423046e-69,6.0413062972538442e-49,1.9639423294211878e-70,2.3922754082491655e-48,3.497738659394021e-61,2.4934217433020666e-39,4.0188938322744965e-61,2.8255069931568765e-62,7.291248825088393e-52
1.6857529672625365e-22,0.2197449807545941,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,4.629594889801461e-17,6.011237332071795e-16,6.0112373320739594e-16,3.7918308818089069e-28,3.7918237669944571e-28,7.7971610186430215e-16,8.1474805603038435e-26,2.1784025656850038e-28,2.9540421148143565e-41,8.9117522382442038e-46,2.5437474259079693e-45,1.4250119863763114e-25,1.8889315939707357e-30,3.39413914498499e-41,1.0058714015482013e-45,1.569787060195174e-61,2.5634660768153443e-61,4.6311668229877063e-42,1.4151669394230742e-30,1.9544075752051682e-42,1.9544075752058736e-42,6.1864972617757111e-55,8.6989067208621353e-56,7.6504391463530917e-47,2.3366904672061104e-32,1.5431689954447044e-44,1.0849340570254315e-45,1.9779919837278677e-98,1.5436754896301954e-56,1.3565925445480518e-48,1.8409262623910607e-98,1.576220478899352e-27,4.1635018053036979e-69,4.1635015921696952e-69,1.3524375480020434e-39,4.0595124776459257e-40,1.420384412604215e-29,1.3523875594414702e-39,1.177637566932444e-51,1.8409262623910577e-98,1.7240556126444151e-60,2.5634660801618037e-61,3.3464775921532529e-70,2.3942991825624958e-83,7.5940719248025369e-49,2.6942302362051254e-96,3.126597387720967e-35,1.8697652317316604e-75,5.677599262587765e-97,3.5951369038333355e-47,2.0137851262830758e-110,6.2060186758751391e-102,5.8223512974635108e-114,2.7209032133386605e-67,7.1722388222371161e-48,8.1042630110701151e-69,2.8401093646684724e-47,7.8243014683661063e-60,1.5060267329534585e-38,8.9901047444158409e-60,6.3205461233537932e-61,8.6561706051212525e-51
3.853149639457226e-22,0.2197449807545941,76.950000000000003,0.0,0.0,0.0,0.99999999999999534,9.5,1.0581931176689031e-16,1.3739971044720388e-15,1.3739971044730807e-15,1.8256033450718927e-27,1.8255963597175962e-27,1.7822082322523735e-15,3.922661169331209e-25,1.048807062896455e-27,2.9002732141656919e-40,8.7496111939223363e-45,2.7364474313694346e-44,6.8608192967341426e-25,9.094392508711445e-30,3.3323113932380045e-40,9.8757047488432108e-45,3.4146297745939277e-60,5.0649769804305784e-60,4.5469070480694787e-41,6.8134196354864738e-30,1.9188489468109272e-41,1.9188489468123215e-41,1.2223476062835252e-53,1.7187573785087501e-54,7.5112465158643588e-46,1.1250158739448404e-31,1.5150924689910308e-43,1.0651946904755277e-44,4.501446961622455e-96,3.0500426351516439e-55,1.3319106047244355e-47,4.18951744930419e-96,7.5888230982812665e-27,1.6470398690553845e-67,1.6470397005367542e-67,1.3278312038440669e-38,3.9856534212327033e-39,6.838539519471766e-29,1.3277821247792553e-38,2.3268133822867413e-50,4.189517449304175e-96,3.4064433623568948e-59,5.0649769936688371e-60,1.3238332543269867e-68,1.8931003667061887e-81,7.4559048477113846e-48,4.2562234455567907e-94,1.5053220535533303e-34,7.3966053158289336e-74,8.9692153147143502e-95,3.5297267308906793e-46,6.3569209090259172e-108,9.8039884826391283e-100,1.8379431957090641e-111,1.0763622523297823e-65,7.0417465771048711e-47,3.2059658518090713e-67,2.7884362158399215e-46,1.5459501180297362e-58,7.2508704295075626e-38,1.7762932001379244e-58,1.2488334036378362e-59,8.4986796304495945e-50
8.187942983846606e-22,0.21974498075459406,76.950000000000003,0.0,0.0,0.0,0.99999999999999012,9.5,2.2486603750464093e-16,2.9197438469966173e-15,2.9197438470011678e-15,7.9728894367721952e-27,7.9728276523308066e-27,3.7871924910589577e-15,1.7131291892219473e-24,4.5804159883281219e-27,2.5652181636561025e-39,7.7389320156134412e-44,2.5152666914736339e-43,2.9963000350642966e-24,3.9717601396291574e-29,2.9472590873173883e-39,8.7349484442268136e-44,6.330148256981476e-59,9.0128558931878727e-59,4.0216877898261732e-40,2.9755993593645102e-29,1.6972001631735517e-40,1.6972001631760325e-40,2.1751022511368287e-52,3.0584369207070501e-53,6.6436124730977674e-45,4.9132398896366211e-31,1.340082128093012e-42,9.4215264027564031e-44,7.6072463630754844e-94,5.427387903276931e-54,1.1780598464764085e-46,7.0800992771838037e-94,3.3142384213939026e-26,5.8781680113714899e-66,5.8781668068710225e-66,1.1744516614700793e-37,3.5252653116101258e-38,2.9865698696283202e-28,1.1744082515937443e-37,4.140440088794933e-49,7.0800992771837547e-94,6.0615839577073134e-58,9.0128559404342776e-59,4.7246668402098918e-67,1.3531089810467176e-79,6.5946634018450903e-47,6.0883888571257761e-92,6.5741368913337173e-34,2.6397958989182247e-72,1.2830170050502504e-92,3.1220033202976707e-45,1.8192692293207017e-105,1.4024285862245421e-97,5.2599576893256868e-109,3.8414604203820591e-64,6.2283450499709787e-46,1.1441864392854085e-65,2.4663402548564165e-45,2.7509356303632853e-57,3.1666456139782811e-37,3.1608188385997257e-57,2.2222323167704796e-58,7.5169858885589089e-49
1.6857529672625365e-21,0.2197449807545941,76.950000000000003,0.0,0.0,0.0,0.99999999999997968,9.5,4.6295948898013895e-16,6.011237332025211e-15,6.0112373320442091e-15,3.3285243931296119e-26,3.3284724599645208e-26,7.7971610007938864e-15,7.1519771268188393e-24,1.91223350809949e-26,2.1561520517028838e-38,6.5050386660731223e-43,2.151863702288207e-42,1.2508962809511747e-23,1.658131674034148e-28,2.4771258034770296e-38,7.3422495330990335e-43,1.0879907945278346e-57,1.5201498733601134e-57,3.3804709086713713e-39,1.242254157733848e-28,1.4265990011155101e-39,1.4265990011196948e-39,3.6686278511102925e-51,5.1585008922656584e-52,5.5843565778211504e-44,2.0511809365922251e-30,1.1264197698676491e-41,7.9193606225911162e-43,1.1138684378377884e-91,9.1540829730435027e-53,9.9023028440297788e-46,1.0366824926157319e-91,1.3836292984651626e-25,1.9860999211117307e-64,1.9860991065078062e-64,9.8719738560252913e-37,2.9631979018893782e-37,1.2468341272809551e-27,9.8716089698698658e-37,6.9834573762991331e-48,1.0366824926157174e-91,1.0223747324287501e-56,1.5201498893236054e-57,1.5963581345460293e-65,9.1510825457258182e-78,5.5432119466545482e-46,8.2384747930436526e-90,2.7445727399512686e-33,8.9192737204831619e-71,1.736108435788215e-90,2.6242319050310372e-44,4.9244602469484158e-103,1.8976896600060873e-95,1.4237833592934999e-106,1.2979426523445711e-62,5.2352992125676797e-45,3.8659473722147613e-64,2.0731075923238761e-44,4.6398550093679397e-56,1.3220122082849452e-36,5.3311829525766237e-56,3.7481196102324046e-57,6.3184795715605923e-48
3.419670305018288e-21,0.2197449807545941,76.950000000000003,0.0,0.0,0.0,0.99999999999995881,9.5,9.3914639193112217e-16,1.2194224302000153e-14,1.2194224302077772e-14,1.3598108216043826e-25,1.3597682442822535e-25,1.5817097988750788e-14,2.9218160130126327e-23,7.8120978159145603e-26,1.7676315929293408e-37,5.333223718485945e-42,1.7792026747508812e-41,5.1103194536176731e-23,6.7740089234205892e-28,2.0305317164609635e-37,6.0196182021350759e-42,1.8032651022521562e-56,2.4968507064310101e-56,2.7715142845647751e-38,5.0750135718091505e-28,1.1696120525741967e-38,1.1696120525810697e-38,6.0257322121711513e-50,8.4728531889810752e-51,4.5783928929747183e-43,8.3797434097532059e-30,9.2350697488191118e-41,6.4927702921138822e-42,1.5231208708671961e-89,1.5035608739919209e-51,8.1185061436200386e-45,1.4175756196409503e-89,5.6525771386620554e-25,6.529860714226177e-63,6.5298553554937555e-63,8.0936405758074205e-36,2.4294086595169894e-36,5.0937242211155079e-27,8.0933414201107078e-36,1.1470349668203455e-46,1.4175756196409107e-89,1.6792535679729558e-55,2.4968507589154793e-56,5.2484762315771939e-64,6.0198876950087105e-76,4.5446600591927981e-45,1.0841369515911474e-87,1.1212475174431553e-32,2.9324620582611955e-69,2.2846210670190033e-88,2.1515038643530731e-43,1.2961988973398622e-100,2.4972528813344398e-93,3.7476318798186323e-104,4.2673514523423816e-61,4.2922144538118532e-44,1.271038909407027e-62,1.6996588560208758e-43,7.620975731475586e-55,5.4008512327450785e-36,8.7564839630882489e-55,6.1562977137040044e-56,5.1802712989755727e-47
6.887504980529791e-21,0.2197449807545941,76.950000000000003,0.0,0.0,0.0,0.99999999999991707,9.5,1.8915201978330381e-15,2.4560198241621078e-14,2.4560198241934799e-14,5.4965727554390733e-25,5.4962279633565787e-25,3.1856971838612771e-14,1.181044742974901e-22,3.1577748329154317e-25,1.4312923132003107e-36,4.3189828438858353e-41,1.4468183153190448e-40,2.0656728208544596e-22,2.7381627138893042e-27,1.6437852518976136e-36,4.8748403542025635e-41,2.9361502409647841e-55,4.047502509741021e-55,2.2444441145844181e-37,2.0514016281430672e-27,9.4718216437994436e-38,9.4718216439108603e-38,9.7679714219462572e-49,1.3734860085634409e-49,3.7077012317284622e-42,3.3872262667234843e-29,7.4787987904508152e-40,5.2580136964744716e-41,2.0144731597783227e-87,2.4373369594311898e-50,6.5745767618257196e-44,1.8748794612075984e-87,2.2848620461196273e-24,2.1179438313784534e-61,2.1179403544555726e-61,6.5544399300423674e-35,1.9673981040406768e-35,2.0589647550143661e-26,6.5541976660338001e-35,1.8593930965686561e-45,1.8748794612074931e-87,2.722142397501883e-54,4.0475026799731341e-55,1.7023306510544301e-62,3.9059084546362411e-74,3.680383541880524e-44,1.4070006235264694e-85,4.5322617373147806e-32,9.5113704014919018e-68,2.9649974213823603e-86,1.7423436095539645e-42,3.3646122311353581e-98,3.2409525242199918e-91,9.7279268624487766e-102,1.3841052045603738e-59,3.4759463144630726e-43,4.1225842053757376e-61,1.3764278081542197e-42,1.2353929895708912e-53,2.1831104204084537e-35,1.4194637700588739e-53,9.9796238835458081e-55,4.1951180051147224e-46
1.3823174331552798e-20,0.21974498075459406,76.950000000000003,0.0,0.0,0.0,0.99999999999983358,9.5,3.7962678096366665e-15,4.9292146119547152e-14,4.9292146120808484e-14,2.2101477297300522e-24,2.2098702273409817e-24,6.3936719034129475e-14,4.7489289246156453e-22,1.2697273646993508e-24,1.1517363770327446e-35,3.4762931413984019e-40,1.1669117867070504e-39,8.3059794864661281e-22,1.1010031843442564e-26,1.3221094174657985e-35,3.9236915377504862e-40,4.7389599016748411e-54,6.518377750318814e-54,1.8065238704841136e-36,8.2485957222948438e-27,7.6237460882276257e-37,7.6237460884070551e-37,1.5731016328585697e-47,2.2119568572694746e-48,2.9842804562946881e-41,1.3619887842319085e-28,6.0195877021052877e-39,4.2321068235286371e-40,2.6208848093705687e-85,3.9252560015714144e-49,5.2917913535491274e-43,2.4392695804544518e-85,9.1873297130498754e-24,6.8232327684400768e-60,6.8232103633557757e-60,5.2755833985166871e-34,1.5835331295762328e-34,8.2790065882162749e-26,5.2753884034156276e-34,2.9944952158747072e-44,2.4392695804541769e-85,4.3839264117805036e-53,6.5183782987442231e-54,5.4842847336097174e-61,2.5169521206194559e-72,2.9622928568980949e-43,1.813429123701636e-83,1.8224025107662502e-31,3.0642146763000002e-66,3.8214714236670072e-84,1.4023897153385142e-41,8.6732729429436699e-96,4.1771394367255776e-89,2.5076579174624445e-99,4.4590792221428149e-58,2.7977436186380768e-42,1.3281453974254026e-59,1.1078688463816622e-41,1.9895622682446474e-52,8.7781909833845129e-35,2.2860025949959843e-52,1.6071876599331421e-53,3.3765959368922231e-45
2.769451303359881e-20,0.2197449807545941,76.950000000000003,0.0,0.0,0.0,0.99999999999966671,9.5,7.6057630332431076e-15,9.8756041870136941e-14,9.8756041875194347e-14,8.863680905526923e-24,8.8614543847711559e-24,1.2809621140833385e-13,1.9045328655979157e-21,5.092174573996159e-24,9.2372731510908378e-35,2.7895063257025026e-39,9.3732765037906122e-39,3.3310692082504295e-21,4.4155152046615958e-26,1.0593849542420194e-34,3.1485088043638367e-39,7.6153864035004294e-53,1.0463439044394879e-52,1.449621610836796e-35,3.3080558116621135e-26,6.1175761081431971e-36,6.1175761084312222e-36,2.5251763443204528e-46,3.5506805749017603e-47,2.394697030128758e-40,5.4621841886990954e-28,4.830339701163918e-38,3.3959991389312932e-39,3.3821130065790272e-83,6.3009050906761902e-48,4.2463292964551046e-42,3.147748174640404e-83,3.6845300621141853e-23,2.190793474139406e-58,2.1907790858477561e-58,4.2333233033707159e-33,1.2706855700173276e-33,3.3202518211026514e-25,4.2331668321619675e-33,4.8068278600578053e-43,3.1477481746396959e-83,7.0371727827995811e-52,1.0463440805273711e-52,1.760888671672156e-59,1.6163683698210526e-70,2.3770534529721808e-42,2.3292050019502031e-81,7.3086491560393819e-31,9.8385507318636807e-65,4.908375099592386e-82,1.1253294237716114e-40,2.2280555188922453e-93,5.3652024558299181e-87,6.4418600916910625e-97,1.4317167812192574e-56,2.2450124552076842e-41,4.2643962089116755e-58,8.8899497786363425e-41,3.1936878809912364e-51,3.5204471982093442e-34,3.6695402871106745e-51,2.579892129211062e-52,2.7095055877411958e-44
