Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447)
0.0,0.2844962191740812,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3969043099852523e-25,0.2844962191740812,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,1.4300331064984616e-18,1.8100182209392158e-17,1.8100182209392171e-17,2.679113328793826e-32,2.6791132940848952e-32,4.2935151311348099e-16,1.3870796311170139e-28,1.2971621381741082e-32,1.9393773807926607e-47,7.0548258689158297e-52,3.8561622417147968e-50,3.7635180899775984e-28,5.1303990431467669e-34,1.877999200184819e-47,1.503679396925976e-51,1.1028879339362886e-67,3.2174955010099157e-68,5.3819554655738012e-46,2.7916343615051983e-33,4.4698315611039022e-47,4.4698315611039071e-47,3.2033358548433695e-62,5.1594763591827975e-63,1.494234569164785e-48,7.1589335797413119e-35,1.0260999013020201e-49,8.2634766112977729e-51,5.9638833174766303e-110,2.7025178144043972e-63,2.4143929895935223e-52,5.4181317557325193e-110,4.4370323574176214e-30,2.0000769642268985e-78,2.0000769638633775e-78,7.4323435578297186e-44,2.1813465894988604e-44,2.3003838085340521e-31,7.4317466587509811e-44,6.5741149342384732e-58,5.4181317557325181e-110,7.5949209000017195e-67,3.2174955010556227e-68,4.5707109493635719e-79,1.952714811421939e-94,1.0237704585204343e-52,5.6522087707086762e-110,4.8055960545407321e-37,8.6520534006258107e-85,1.529193278182936e-109,3.6803050667257885e-51,1.3078686970936078e-125,8.5166795291405124e-115,1.488378570012226e-129,7.7820983648386416e-75,4.8595425806450586e-51,9.1729937350998624e-76,4.2510249932796146e-51,3.1460947709491249e-66,2.9354445251978813e-40,3.0465266072487905e-66,2.4534551979557552e-67,4.3449223120592082e-55,5.9367943132546241e-54,9.8154684553532995e-81,7.752205794110876e-55,3.3101470225739212e-57,2.96346289175683e-88,3.6286967837980949e-65
9.511332067958707e-25,0.2844962191740812,76.950000000000003,0.0,0.0,0.0,0.99999999999999867,9.5,4.0040926981956902e-18,5.0680510186297853e-17,5.0680510186297914e-17,1.6181844505913382e-31,1.6181844093848963e-31,1.2021842367160405e-15,8.3779609719368419e-28,7.834859314563493e-32,2.3024285429772547e-46,8.3754892716105018e-51,5.8274323796896691e-49,2.2731649263437776e-27,3.0987610220606362e-33,2.2295599326471797e-46,1.7851681797771659e-50,3.1103204357750336e-66,7.1974087358803817e-67,6.3894575287222639e-45,1.6861471543491102e-32,5.3065840293424647e-46,5.306584029342474e-46,7.1657341738174727e-61,1.1541542236421232e-61,1.773955280507992e-47,4.323995882163909e-34,1.2181858028199223e-48,9.8103994329157606e-50,6.3549804721166825e-108,6.045424250099611e-62,2.8663673572469132e-51,5.7734398327571679e-108,2.67996754387707e-29,8.2533735942611959e-77,8.2533735915247015e-77,8.8236782718399646e-43,2.5896946710484444e-43,1.3894318203519264e-30,8.8229696332537372e-43,1.4706032143269491e-56,5.7734398327571664e-108,1.6989534256475014e-65,7.1974087360689934e-67,1.8861166712305101e-77,1.469954970265186e-92,1.2154202883554666e-51,7.7152371178721114e-108,2.9025800169425141e-36,3.5702940615311244e-83,2.0873412888389388e-107,4.3692581752148915e-50,3.2265004743863304e-123,1.1625225587311422e-112,3.6718167296945958e-127,3.2113046801208441e-73,5.7692489514028258e-50,3.7852615491641926e-74,5.0468168720214121e-50,7.0376881587736043e-65,1.7730084932194731e-39,6.8149581593264118e-65,5.4882811396181967e-66,5.1582917688761953e-54,7.0481622086652046e-53,4.0503730164022557e-79,9.2034187185886762e-54,3.9298213186582342e-56,2.2308208968756313e-86,8.1172495574744767e-64
2.1740187583905615e-24,0.2844962191740812,76.950000000000003,0.0,0.0,0.0,0.999999999999997,9.5,9.1522118815901385e-18,1.1584116614010851e-16,1.1584116614010878e-16,7.7908615601304555e-31,7.7908611555631751e-31,2.7478496839143321e-15,4.033627567273391e-27,3.7721474977981285e-31,2.2605373962027965e-45,8.223105032908727e-50,6.2688858331543618e-48,1.0944310605614467e-26,1.4919200417470633e-32,2.1889936425189946e-45,1.7526887042715245e-49,6.7656263268116879e-65,1.4220866794735234e-65,6.2732072906512627e-44,8.1180727232566763e-32,5.2100356676224347e-45,5.2100356676224516e-45,1.4158283197836999e-59,2.280414254288943e-60,1.7416798138047062e-46,2.0818178849890032e-33,1.1960220449395401e-47,9.6319083380760962e-49,1.4462448671591456e-105,1.1944739577036297e-60,2.8142164686746251e-50,1.313899824021987e-105,1.2902890095322828e-28,3.2649525164527339e-75,3.2649525142890696e-75,8.6631396509583349e-42,2.5425775847056021e-42,6.6895161151774026e-30,8.6624439053923117e-42,2.9056641336628531e-55,1.3138998240219862e-105,3.3568456709441164e-64,1.4220866795481361e-65,7.4612899839022221e-76,1.1622491946276121e-90,1.1933068464514373e-50,1.2188183737105998e-105,1.3974673326603134e-35,1.4123728254942922e-81,3.297487654849245e-105,4.2897635857694867e-49,1.0185102713156859e-120,1.8365007230060584e-110,1.1590833732411729e-124,1.2703601962098046e-71,5.6642828309490193e-49,1.4974118258121068e-72,4.9549947321662648e-49,1.390528584964099e-63,8.5362726792747342e-39,1.3465208904051695e-63,1.0843918677410211e-64,5.0644414469346748e-53,6.9199274514344685e-52,1.6022807059166382e-77,9.0359710730583981e-53,3.8583531672334305e-55,1.7638430041959627e-84,1.6038317251984499e-62
4.619789861579943e-24,0.2844962191740811,76.950000000000003,0.0,0.0,0.0,0.99999999999999367,9.5,1.9448450248379003e-17,2.4616247804772692e-16,2.461624780477282e-16,3.4024739275661046e-30,3.4024735697309463e-30,5.8391805782836101e-15,1.761591131503225e-26,1.6473959154685349e-30,1.9994186589197872e-44,7.2732432780253038e-49,5.7621861146514607e-47,4.7796679742298137e-26,6.5156067847962269e-32,1.9361373824743606e-44,1.5502333094054815e-48,1.2542330982731106e-63,2.5305272642299536e-64,5.5485808067426878e-43,3.5453756391111475e-31,4.6082175462351043e-44,4.6082175462351342e-44,2.5193908475872742e-58,4.0578753234158295e-59,1.5404960713972153e-45,9.091845646273822e-33,1.0578679542083313e-46,8.5193138470731035e-48,2.4440898892495444e-103,2.1255025872187535e-59,2.489142596560464e-49,2.2204326171175038e-103,5.6350310938711763e-28,1.1652383614715422e-73,1.1652383599250455e-73,7.662448914279359e-41,2.248881079879778e-41,2.9214874367973045e-29,7.6618335352054672e-41,5.1704740767760175e-54,2.220432617117501e-103,5.9733275158792725e-63,2.5305272644962414e-64,2.6628813971428546e-74,8.3072712622840012e-89,1.0554663919162651e-49,1.743479946086091e-103,6.1031069892653764e-35,5.0406582925318854e-80,4.7169485812672876e-103,3.7942473115788277e-48,2.9148457678778651e-118,2.6270544085597937e-108,3.3171479565005414e-122,4.5338253057510579e-70,5.0099940167350261e-48,5.3441564441682795e-71,4.3826367270706018e-48,2.4743713212110195e-62,3.728014547000584e-38,2.3960619801024609e-62,1.9296173898085563e-63,4.4794411068373386e-52,6.1205974649932345e-51,5.7183789041790133e-76,7.9922140843263507e-52,3.4127253496074512e-54,1.2607212263984957e-82,2.8539328625741055e-61
9.511332067958707e-24,0.2844962191740812,76.950000000000003,0.0,0.0,0.0,0.9999999999999869,9.5,4.0040926981956583e-17,5.0680510186295187e-16,5.0680510186295729e-16,1.4204658869246368e-29,1.4204655861426541e-29,1.2021842366912941e-14,7.354296204043963e-26,6.8775536564858758e-30,1.6806300597468455e-43,6.1135992211631955e-48,4.9296715360551328e-46,1.9954172912685596e-25,2.7201375726762645e-31,1.627435580852775e-43,1.3030645035133548e-47,2.155706238035025e-62,4.2681041004489096e-63,4.6639164950966596e-42,1.4801245384696479e-30,3.873484513546623e-43,3.8734845135466724e-43,4.2493209061917366e-57,6.8441998443817218e-58,1.2948797698326427e-44,3.7956665839809511e-32,8.8920175680096453e-46,7.1609966155244566e-47,3.5786859751618853e-101,3.5849707832791279e-58,2.0922743345103531e-48,3.2512024621608817e-101,2.3525145558585399e-27,3.9370770631003307e-72,3.9370770526413669e-72,6.4407500095354838e-40,1.8903200528599106e-40,1.2196634952479066e-28,6.4402327463448241e-40,8.7207602627329784e-53,3.2512024621608748e-101,1.007488993546912e-61,4.2681041013486359e-63,8.9972743990279699e-73,5.6182115769064769e-87,8.8718309902653854e-49,2.3591817137310899e-101,2.5479270281162776e-34,1.7031245125306057e-78,6.3827168545983648e-101,3.1892934859202924e-47,7.8900043754481577e-116,3.5547863552682613e-106,8.9789697211946892e-120,1.5318771012199007e-68,4.2112018437019452e-47,1.8056696784839909e-69,3.6838702427744977e-47,4.1733888946834545e-61,1.5563726872592646e-37,4.0413087450946745e-61,3.2545817667143045e-62,3.7652401568676687e-51,5.1447309627950373e-50,1.932079138166165e-74,6.7179375037607075e-51,2.8686949367281063e-53,8.5262637587475196e-81,4.8135749122729862e-60
1.9294416480716235e-23,0.2844962191740812,76.950000000000003,0.0,0.0,0.0,0.99999999999997347,9.5,8.122588044911119e-17,1.0280903494933549e-15,1.028090349493377e-15,5.8030666346849193e-29,5.8030641686929934e-29,2.438716594373471e-14,3.0044699640674792e-25,2.8097050776747649e-29,1.3778791153154319e-42,5.012298009944462e-47,4.0759477566875305e-45,8.1519307232970429e-25,1.111264954341634e-30,1.3342625529186613e-42,1.0683310051878357e-46,3.5729249976774706e-61,7.010373800264902e-62,3.8237605245738558e-41,6.0467916923912669e-30,3.1757166302816845e-42,3.1757166302817648e-42,6.9795223477669189e-56,1.1241618795962644e-56,1.0616206686031225e-43,1.5506536491080676e-31,7.2902132347205576e-45,5.8710176744227723e-46,4.8935503638038351e-99,5.8883252763499772e-57,1.7153729093368435e-47,4.4457443603412281e-99,9.6107895670859307e-27,1.2944247980373566e-70,1.2944247911571011e-70,5.2805159913814575e-39,1.5497985876138166e-39,4.9827233443251223e-28,5.280091907766548e-39,1.4323874917920738e-51,4.4457443603412086e-99,1.6548036972121749e-60,7.0103738032230022e-62,2.9581069732527464e-71,3.6958472290456766e-85,7.2736630592715566e-48,3.1045504908202414e-99,1.0409113277967091e-33,5.5995007759524797e-77,8.399296513866157e-99,2.614775488733345e-46,2.076778886969325e-113,4.6778989785696788e-104,2.363412471996189e-117,5.0364767537850442e-67,3.4525976980417214e-46,5.9366468455024488e-68,3.0202593950903839e-46,6.854803790584247e-60,6.3582902593540984e-37,6.6378617486825653e-60,5.3456603247098629e-61,3.0869713668234765e-50,4.2179612745328812e-49,6.3520440520241969e-73,5.5077710444026223e-50,2.3520830033326632e-52,5.608861086624897e-79,7.9063112474887213e-59
3.8860585306231285e-23,0.2844962191740811,76.950000000000003,0.0,0.0,0.0,0.9999999999999466,9.5,1.6359578738341817e-16,2.0706608447539727e-15,2.0706608447540622e-15,2.3456923167858958e-28,2.3456903197624949e-28,4.9117813095630678e-14,1.2144547967688189e-24,1.1357277156751951e-28,1.1158374582204482e-41,4.0590888815855121e-46,3.3144930243984387e-44,3.2951407363820964e-24,4.4919106214280109e-30,1.0805083228648401e-41,8.6516214208713305e-46,5.8175821388479261e-60,1.136411802438329e-60,3.0965804103691461e-40,2.4442098819443129e-29,2.5717776632143936e-41,2.5717776632145251e-41,1.1314106491934505e-54,1.8223148501588081e-55,8.5972794173458171e-43,6.2679899778899743e-31,5.9038036880358349e-44,4.754502328874181e-45,6.472188815113105e-97,9.5452290175436636e-56,1.3891534560502564e-46,5.8799225071200994e-97,3.8848348061638684e-26,4.1984357907532011e-69,4.1984357461117563e-69,4.2762987561824294e-38,1.255067077413976e-38,2.0140964425377481e-27,4.2759553222768042e-38,2.3219618498254792e-50,5.8799225071200464e-97,2.6825081035498735e-59,1.1364118033977821e-60,9.5945490584324026e-70,2.3979917818598551e-83,5.890400927848761e-47,4.0291077200731255e-97,4.2075300143525437e-33,1.8161846547713004e-75,1.0900666788089103e-96,2.1175129833757428e-45,5.3908052184331985e-111,6.0710105893885471e-102,6.1348352340725383e-115,1.633569162442229e-65,2.7960031248068167e-45,1.9255371739260828e-66,2.4458843636545042e-45,1.1111932335376078e-58,2.5701225831434148e-36,1.0760259938114691e-58,8.6655457464455662e-60,2.4999094479827565e-49,3.4158143976310591e-48,2.0601344117030515e-71,4.4603357873381755e-49,1.9050265419107206e-51,3.6392204440693704e-77,1.2816471237675509e-57
7.799292295726139e-23,0.2844962191740812,76.950000000000003,0.0,0.0,0.0,0.99999999999989275,9.5,3.2833560125202316e-16,4.155801835274454e-15,4.1558018352748153e-15,9.4319256384473328e-28,9.4319095646784193e-28,9.8579107392432272e-14,4.8832693237506126e-24,4.566711193287757e-28,8.9811537817536733e-41,3.2671078655063697e-45,2.6732587003968245e-43,1.3249615974367784e-23,1.8061775047351346e-29,8.6966764581217003e-41,6.9635775249007355e-45,9.3896010283983685e-59,1.8301561731204032e-59,2.4923973104837779e-39,9.8280604350304704e-29,2.0699904029526227e-40,2.0699904029528348e-40,1.8221019704892345e-53,2.9347818870518143e-54,6.9198384202815358e-42,2.5203312024941041e-30,4.7518948258617986e-43,3.826837106172286e-44,8.4204950900365559e-95,1.5372297067866275e-54,1.1181115550860506e-45,7.6499403857620874e-95,1.5620749893081443e-25,1.3525820064589461e-67,1.3525819776921737e-67,3.4419372681397963e-37,1.0101871721460208e-37,8.0985932112149614e-27,3.4416608426558269e-37,3.7394479766079124e-49,7.6499403857619504e-95,4.3200966037680636e-58,1.8301561762114091e-59,3.091011782098794e-68,1.5452565788394184e-81,4.7411071200331647e-46,5.1929625644983052e-95,1.6918293133783994e-32,5.8510807926901692e-74,1.4049451762407766e-94,1.7043586684336358e-44,1.3896379030450349e-108,7.8246929508610029e-100,1.5814334273245481e-112,5.2627606566863017e-64,2.2504665524308962e-44,6.2033744972122065e-65,1.9686605229957269e-44,1.7895424455609511e-57,1.0334349868703326e-35,1.7329066905554906e-57,1.3955594280596705e-58,2.0121446109297554e-48,2.7493445955182289e-47,6.6361222776424189e-70,3.5900662772212566e-48,1.5337315182032852e-50,2.3450995028049489e-75,2.0640531816600406e-56
1.562575982593216e-22,0.2844962191740812,76.950000000000003,0.0,0.0,0.0,0.99999999999978517,9.5,6.578152289891973e-16,8.3260838163124057e-15,8.326083816313854e-15,3.7826240341598682e-27,3.7826111359931388e-27,1.9750169595807439e-13,1.9584094080663523e-23,1.8314554393998939e-27,7.20668698309095e-40,2.6216483081740016e-44,2.1473067669482342e-42,5.3136886084215747e-23,7.2435796266177508e-29,6.9782229592737384e-40,5.5878323027329714e-44,1.5088836787051469e-57,2.9378059728348065e-58,1.9999918756608086e-38,3.9414918051844607e-28,1.661036934923595e-39,1.661036934923935e-39,2.9248771954568966e-52,4.7109748839256138e-53,5.5527345341425588e-41,1.010765536773076e-29,3.8130963313318071e-42,3.0707957711823464e-43,1.0866202845235161e-92,2.4675941238171166e-53,8.9721410681057401e-45,9.8718428188435751e-93,6.2646193612287351e-25,4.3428571026030913e-66,4.3428569178649643e-66,2.7619378913712322e-36,8.1061158608103514e-37,3.2478980952896979e-26,2.7617160773311851e-36,6.0026421638443783e-48,9.8718428188432174e-93,6.9347118065033449e-57,2.937805982759378e-58,9.9245905768493206e-67,9.9235262823296377e-80,3.8044398793319633e-45,6.6699465463850558e-93,6.7849922357742836e-32,1.8786593351847592e-72,1.8045401078419725e-92,1.3676404945727974e-43,3.5698065304471502e-106,1.0050194520333755e-97,4.0625053239901704e-110,1.6897620763775545e-62,1.8058576641472825e-43,1.9917734539624615e-63,1.5797260877886075e-43,2.8726119461922012e-56,4.1445365124300778e-35,2.7816990178544546e-56,2.240181951775278e-57,1.6146193298082814e-47,2.2061758888939961e-46,2.1301579262822564e-68,2.8808020851741863e-47,1.2313655827665095e-49,1.5060059855873773e-73,3.3132624747859938e-55
