Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063)
0.0,0.2356408007317234,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0421534626187465e-24,0.2356408007317234,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,2.5494223654857533e-18,3.7486015265620218e-17,3.7486015265620304e-17,1.994192996256397e-31,1.994192929016548e-31,4.32646619960604e-16,4.1479284435617349e-28,9.9931937079798716e-32,3.5020570571032082e-46,1.3889214746499472e-50,3.2597844978632077e-49,1.0296603900254515e-27,2.8957634667414926e-33,3.5098625891503706e-46,2.6507797456490055e-50,1.6621135011032127e-66,8.8964489013914984e-67,2.6250392271856471e-45,9.3098272297746547e-33,3.4518960700932253e-46,3.4518960700932366e-46,9.2022227071635583e-61,1.4400347939310367e-61,2.6175184220733457e-48,2.1886797920033399e-34,1.1669365746656145e-48,9.1305618398042757e-50,1.3174575104752337e-107,6.1197680393704438e-62,1.2301678973638732e-51,1.2026593959393272e-107,1.1994449023833092e-29,1.6278068597661576e-76,1.6278068588789528e-76,4.1881144909121648e-43,1.2353213251007873e-43,4.3680630090531267e-31,4.1878238731076125e-43,8.8848629492696522e-57,1.2026593959393269e-107,1.4144630584089417e-65,8.8964489016926297e-67,3.0113170970493309e-77,3.4520898857670186e-92,5.5799452341073601e-52,3.6513523831057347e-107,1.0667202324865705e-36,8.0152792721447402e-83,5.1347137817035105e-107,2.118651083582783e-50,1.6266434823625804e-122,3.7217493152004452e-112,2.543104777687109e-126,1.8358396357412687e-73,1.9283845975014238e-50,1.6468839512410054e-74,2.2631474861484443e-50,6.0197820898042368e-65,6.2017747119885541e-40,6.0332022644614397e-65,4.7206101482888639e-66,3.2992398918298306e-54,2.2422761787329053e-53,4.4388018972695802e-79,3.6050726887402471e-54,8.667948358733836e-57,1.5789229522263549e-86,4.5006735945967271e-64,3.2491087123643505e-47,1.373194672107283e-87
2.9180296953324903e-24,0.2356408007317234,76.950000000000003,0.0,0.0,0.0,0.99999999999999856,9.5,7.1383826233601075e-18,1.0496084274373552e-16,1.0496084274373605e-16,1.204492569738646e-30,1.2044924899115e-30,1.2114105358849045e-15,2.5053487799030277e-27,6.0358889996033644e-31,4.1576410243688377e-45,1.6489275747141938e-49,4.9261863332400089e-48,6.2191487557332203e-27,1.7490411339118455e-32,4.1669058984108344e-45,3.1470057128028746e-49,4.6874260113346162e-65,1.9901000334000433e-65,3.1164465705053641e-44,5.6231356467836589e-32,4.0980910144145123e-45,4.098091014414536e-45,2.0585004106755572e-59,3.2213002326200595e-60,3.1075178706637828e-47,1.3219625943700725e-33,1.3853871014246316e-47,1.083980301616784e-48,1.4038532121141113e-105,1.3689676313290913e-60,1.4604553277514262e-50,1.2815269127424272e-105,7.2446472103713026e-29,6.7171905836225002e-75,6.7171905769438454e-75,4.9721295235860716e-42,1.4665734771522419e-42,2.6383100574537765e-30,4.9717845021285669e-42,1.9875083022903466e-55,1.2815269127424268e-105,3.1640972831401278e-64,1.9901000335243058e-65,1.2426284317574763e-75,2.5986471017844894e-90,6.6245109819308657e-51,4.9840780089652799e-105,6.4429902042184481e-36,3.3075274344507698e-81,7.0088590080021396e-105,2.5152625664268147e-49,4.0129150419224742e-120,5.0801694745804597e-110,6.2738169281017802e-124,7.5756436603608954e-72,2.2893781938558537e-49,6.7959127375089887e-73,2.6868086955552523e-49,1.3466011743377945e-63,3.7458719260408857e-39,1.3496032137380135e-63,1.055981607731193e-64,3.9168575995795688e-53,2.6620302793628472e-52,1.8316782666156783e-77,4.2799422958298241e-53,1.029071226179855e-55,1.1885737885114263e-84,1.0067826804131309e-62,3.8573418631440939e-46,1.0337066742176055e-85
6.669782160759978e-24,0.2356408007317234,76.950000000000003,0.0,0.0,0.0,0.99999999999999667,9.5,1.6316303139108792e-17,2.3991049769996179e-16,2.3991049769996435e-16,5.7991132331103372e-30,5.7991124493627335e-30,2.7689383677143582e-15,1.2062175913753617e-26,2.9060207302558304e-30,4.0819942529067586e-44,1.618926870881167e-48,5.299366462760912e-47,2.9942524141632542e-26,8.4208801612840226e-32,4.0910866348991324e-44,3.0897488677104429e-48,1.0196175436941645e-63,3.9321023052608192e-64,3.0597457231783396e-43,2.7072977584181181e-31,4.0235300593001446e-44,4.0235300593001924e-44,4.0672499243948556e-58,6.3647464240897976e-59,3.0509794727014432e-46,6.3646808351465244e-33,1.3601812713732404e-46,1.064258288032766e-47,3.1948414494316881e-103,2.704849348704668e-59,1.4338837011704093e-49,2.9164554129032271e-103,3.487985776094835e-28,2.6572537933272909e-73,2.6572537880466794e-73,4.8816662505301836e-41,1.4398905365144985e-41,1.2702327230111816e-29,4.8813275064173803e-41,3.9269814814910027e-54,2.9164554129032246e-103,6.2517230354970386e-63,3.9321023057523892e-64,4.9157145009688851e-74,2.0546721240919111e-88,6.5039841648712119e-50,7.8736217180788537e-103,3.102022436070289e-35,1.3084249609426288e-79,1.1072279447692914e-102,2.4694997030158287e-48,1.2667579690230727e-117,8.0254226836284745e-108,1.9804574746647081e-121,2.9968492950239801e-70,2.247725085924365e-48,2.6883954960782955e-71,2.6379247098540661e-48,2.6606569986861387e-62,1.8034760862459712e-38,2.6665885226977454e-62,2.0864417087548159e-63,3.8455940179143538e-52,2.6135971138416152e-51,7.2458866603958836e-76,4.2020727252435785e-52,1.0103744914900245e-54,9.3976955512355023e-83,1.9892329190881844e-61,3.7871611145898112e-45,8.1732078458194749e-84
1.4173287091614952e-23,0.23564080073172336,76.950000000000003,0.0,0.0,0.0,0.99999999999999301,9.5,3.4672144170606097e-17,5.0980980761239654e-16,5.0980980761240817e-16,2.5326251052422502e-29,2.5326244120264591e-29,5.8839940312966803e-15,5.2678691231953652e-26,1.2691356008879031e-29,3.6104734926085302e-43,1.4319224835654993e-47,4.8710307800993262e-46,1.3076686953005399e-25,3.6776196027614469e-31,3.618508617037747e-43,2.7328478785564192e-47,1.8901990875498642e-62,6.9969659600754669e-63,2.7063104415978904e-42,1.1823480581810172e-30,3.5587667724222202e-43,3.5587667724223034e-43,7.2374539277274217e-57,1.1325726194386947e-57,2.6985567922795152e-45,2.7796233358450689e-32,1.2030649308975581e-45,9.4132440340533608e-47,5.3991408105379229e-101,4.8131348963822039e-58,1.2682538954726153e-48,4.9286807158212628e-101,1.5232950259897797e-27,9.4835500307272208e-72,9.4835499929836214e-72,4.3177785153890325e-40,1.2735668732776517e-40,5.5474400212756424e-29,4.3174789000576361e-40,6.9878537283511942e-53,4.9286807158212533e-101,1.1124607113410241e-61,6.9969659618298462e-63,1.7543835885877792e-72,1.4685937204940665e-86,5.752700338546217e-49,1.1262959160904655e-100,1.3547346952572631e-34,4.6696757474584794e-78,1.5838534756016377e-100,2.1842445211131517e-47,3.6252988395766964e-115,1.1480105494929413e-105,5.6678152894981236e-119,1.0695542265617316e-68,1.9880873827011462e-47,9.5946925668336956e-70,2.3332145323184214e-47,4.7344969704475786e-61,7.8762538842223598e-38,4.7450518006622787e-61,3.7127115425697301e-62,3.401384358875639e-51,2.3116970490386105e-50,2.5859693795215868e-74,3.7166857376043301e-51,8.9371150866359713e-54,6.7170798264179284e-81,3.5397336951519307e-60,3.3497011169607935e-44,5.8418672151260123e-82
2.9180296953324905e-23,0.2356408007317234,76.950000000000003,0.0,0.0,0.0,0.99999999999998568,9.5,7.1383826233600422e-17,1.0496084274371964e-15,1.0496084274372443e-15,1.0573211266121043e-28,1.0573205439226137e-28,1.2114105358154978e-14,2.1992316606611975e-25,5.2983913037410599e-29,3.0348134574482139e-42,1.2036171272968969e-46,4.1672693858487488e-45,5.459259387628894e-25,1.5353337900661148e-30,3.0415557140255668e-42,2.2971233005567718e-46,3.2487692840368004e-61,1.1801405787294426e-61,2.274816993540006e-41,4.9360703972232441e-30,2.9913579040036839e-42,2.9913579040038247e-42,1.2207023896255261e-55,1.9102492629153534e-56,2.2682995840177936e-44,1.1604380257209115e-31,1.0112485644028462e-44,7.9123988008202111e-46,7.9055314542960612e-99,8.1180555050255843e-57,1.0660438171806214e-47,7.2166742439946213e-99,6.3594568721030997e-27,3.2042772088472348e-70,3.2042771833212212e-70,3.6293530076991256e-39,1.07050969510359e-39,2.315947007200323e-28,3.6291011629602822e-39,1.1786036678542576e-51,7.2166742439945953e-99,1.8763275903603985e-60,1.1801405793222078e-61,5.9276656341427421e-71,9.9321064410848663e-85,4.8354912607371564e-48,1.5240420373727288e-98,5.655750672637663e-34,1.5777778951941846e-76,2.1431839034236572e-98,1.8359891305840167e-46,9.81308308595482e-113,1.5534250922860624e-103,1.5341836581152535e-116,3.6137820000710012e-67,1.6711072345234157e-46,3.2418297672880259e-68,1.9612074011343239e-46,7.9854211480821262e-60,3.288180952293537e-37,8.0032234124926367e-60,6.262030677848522e-61,2.8590685024119474e-50,1.9431206597302349e-49,8.7371620650666148e-73,3.1240983080339476e-50,7.5129695738305231e-53,4.5427643389553944e-79,5.9702782550301268e-59,2.8156256223302428e-43,3.9508576262008614e-80
5.919431667674481e-23,0.2356408007317234,76.950000000000003,0.0,0.0,0.0,0.99999999999997102,9.5,1.4480719035958801e-16,2.1292056670865155e-15,2.129205667086712e-15,4.3195017975854886e-28,4.3194970203474738e-28,2.4574328010646189e-14,8.9845789249168129e-25,2.1645657297286506e-28,2.4881118497010524e-41,9.8679804053709889e-46,3.4455789163900488e-44,2.2302855909685406e-24,6.2723394994988452e-30,2.4936202910564147e-41,1.8833204553374006e-45,5.3845968364597896e-60,1.9383844435091624e-60,1.8650324098598167e-40,2.0165458172753333e-29,2.4524959399326362e-41,2.4524959399328681e-41,2.0050073400522801e-54,3.1375901502536464e-55,1.8596890436407881e-43,4.740767976677169e-31,8.290826699711405e-44,6.4870625834154362e-45,1.0810145565358009e-96,1.3333930542983904e-55,8.7400712898924885e-47,9.8681915980442863e-97,2.598045636076228e-26,1.0534962358360855e-68,1.0534962190442214e-68,2.975562871726181e-38,8.7766852544041505e-39,9.4613991984391123e-28,2.9753563941940723e-38,1.9358600634133896e-50,9.8681915980442135e-97,3.0818737014518532e-59,1.9383844454580439e-60,1.948886770069337e-69,6.5336713573352875e-83,3.964427883614385e-47,2.0055536317571831e-96,2.3105586923700174e-33,5.1873885224956669e-75,2.8203095161656106e-96,1.5052548150161156e-45,2.5829648241031481e-110,2.0442200814056815e-101,4.0382236533958598e-114,1.1881324566529859e-65,1.3700746718126595e-45,1.0658427003406185e-66,1.6079163186083373e-45,1.3116078210491838e-58,1.3433292097132029e-36,1.3145318484974271e-58,1.0285404191992809e-59,2.3440370959121081e-49,1.5930877149522723e-48,2.8724272864061784e-71,2.5613245404739152e-49,6.1608750832285735e-52,2.9883821150194361e-77,9.8061999608623951e-58,2.3084199963034829e-42,2.5990061091379525e-78
1.1922235612358462e-22,0.23564080073172336,76.950000000000003,0.0,0.0,0.0,0.9999999999999416,9.5,2.9165391861155876e-16,4.2884001463840336e-15,4.288400146384828e-15,1.7460116894651415e-27,1.7460078207379466e-27,4.9494773310727071e-14,3.6317104521010403e-24,8.7495207630334444e-28,2.0149187313350235e-40,7.9913463784809572e-45,2.801887553841804e-43,9.0151709496678468e-24,2.5353799117770201e-29,2.0193484034014945e-40,1.5251617123752584e-44,8.7674200878694548e-59,3.1422047110094277e-59,1.5103515995761905e-39,8.1512006113519061e-29,1.9860947974057584e-40,1.9860947974061348e-40,3.2502032984057587e-53,5.0861688408371557e-54,1.5060244028695134e-42,1.9162942145340773e-30,6.7141264125282106e-43,5.2533914676999141e-44,1.4297452364088538e-94,2.1614876004959378e-54,7.0779363323675367e-46,1.3051628069181424e-94,1.050171585159839e-25,3.4169897559765688e-67,3.4169896470252276e-67,2.4096879597826068e-37,7.1075872687000802e-38,3.8244488300600217e-27,2.4095207489248064e-37,3.1381125841395842e-49,1.3051628069181241e-94,4.9958500770907653e-58,3.1422047173305787e-59,6.3211675183472115e-68,4.2392688986485971e-81,3.210496484861243e-46,2.602821774199449e-94,9.3396476610887952e-33,1.6825170332884054e-73,3.6602177585444795e-94,1.2189943755216855e-44,6.7047389267521951e-108,2.653003371450148e-99,1.0482231533670009e-111,3.8536791427028507e-64,1.1095219858037676e-44,3.4570352493744728e-65,1.3021323228517241e-44,2.1261727976575269e-57,5.4299514455126927e-36,2.1309127727173428e-57,1.6673083423134732e-58,1.8982620135217771e-48,1.2901237346706931e-47,9.3156084317582676e-70,2.0742270156142398e-48,4.9913236889961637e-51,1.9389642777900931e-75,1.5896272712300685e-56,1.8694183598924057e-41,1.6863238399845997e-76
2.3927843501726424e-22,0.2356408007317234,76.950000000000003,0.0,0.0,0.0,0.99999999999988287,9.5,5.8534737511548255e-16,8.6067891049745866e-15,8.6067891049777831e-15,7.0206362108689064e-27,7.0206050720512358e-27,9.9335663891282668e-14,1.4602947996187253e-23,3.5181438163706238e-27,1.6217517011695011e-39,6.4321307993066963e-44,2.2598238203598533e-42,3.6249605878843124e-23,1.0194651115189441e-28,1.6252668558007249e-39,1.2275827988075176e-43,1.4150651386588064e-57,5.0604238100123746e-58,1.2156623647026893e-38,3.2775619155325659e-28,1.5985818792899135e-39,1.598581879290519e-39,5.2343522092249701e-52,8.1911181181861977e-53,1.2121794600033182e-41,7.705334754981075e-30,5.404113047615258e-42,4.2283864866373126e-43,1.8601377504680695e-92,3.4810091445885309e-53,5.6969389270945384e-45,1.6980525941489983e-92,4.2226937547542488e-25,1.1008287452103816e-65,1.1008286750025665e-65,1.9395265074740773e-36,5.7208045779581187e-37,1.5377940534614002e-26,1.9393919216303021e-36,5.0538335724393124e-48,1.6980525941489492e-92,8.0456625359480951e-57,5.0604238303768041e-58,2.036448314214018e-66,2.7317683896834055e-79,2.584086877860045e-45,3.354677253809836e-92,3.7554312472436168e-32,5.4204527453483188e-72,4.717514422362222e-92,9.8115272346147933e-44,1.7283427902935187e-105,3.4193544014121166e-97,2.7021021255239717e-109,1.2415140685588698e-62,8.9303981233342834e-44,1.1137299547781019e-63,1.0480693763779908e-43,3.4241357402455886e-56,2.1833595944386326e-35,3.4317693257621015e-56,2.6851486849659164e-57,1.5278864135233038e-47,1.0384038191090733e-46,3.0004770686864686e-68,1.6695183492628963e-47,4.0208116641341543e-50,1.2494610404433472e-73,2.5600457141611577e-55,1.5046705270235383e-40,1.0866605248500367e-74
4.793905928046234e-22,0.2356408007317234,76.950000000000003,0.0,0.0,0.0,0.9999999999997653,9.5,1.1727342881232597e-15,1.7243567022137759e-14,1.7243567022150582e-14,2.8155891261182126e-26,2.8155641392816124e-26,1.990174449739692e-13,5.8564352766506117e-23,1.4109330226674777e-26,1.3013051608095778e-38,5.1613798889798866e-43,1.8152133915654406e-41,1.4537713254129763e-22,4.0885110641013191e-28,1.3040452526988555e-38,9.8505783200433776e-43,2.2739716949013249e-56,8.1231009032616348e-57,9.754924875219455e-38,1.3144489206606271e-27,1.282761282952621e-38,1.2827612829535935e-38,8.4022945149552901e-51,1.3148558631863294e-51,9.7269767531318561e-41,3.0901838662842905e-29,4.336460373560653e-41,3.3930138589670525e-42,2.4004092277738987e-90,5.5877906008963892e-52,4.57143470873043e-44,2.1912469198682206e-90,1.6934890594893758e-24,3.5345301020821453e-64,3.5345296512126808e-64,1.5563478740541025e-35,4.5905853868991758e-36,6.1672419450195793e-26,1.5562398773929579e-35,8.1125221336205795e-47,2.1912469198680941e-90,1.2915070216533937e-55,8.1231009686475442e-57,6.5386084339329026e-65,1.7543219506731986e-77,2.0735669793145851e-44,4.3088155633098294e-90,1.5060958958984792e-31,1.7403937006154843e-70,6.0592712876551382e-90,7.8731326962167503e-43,4.4398971513119898e-103,4.3918882294950477e-95,6.9413634882974805e-107,3.9862413024138164e-61,7.1660819475906031e-43,3.5759533116411689e-62,8.410096694316559e-43,5.4964961815223829e-55,8.7562485050812121e-35,5.5087497826649513e-55,4.3102583098520636e-56,1.2260326238921041e-46,8.3325366719147381e-46,9.6296012331617365e-67,1.3396833221376242e-46,3.2318407210576682e-49,8.0239486738018712e-72,4.1094403336588507e-54,1.2074033294901892e-39,6.9784555069324815e-73
