Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887)
0.0,0.2492754705372797,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.558842438124396e-23,0.2492754705372797,76.950000000000003,0.0,0.0,0.0,0.99999999999999922,9.5,1.918815722405774e-17,2.2103164609413789e-16,2.2103111762554022e-16,6.2283929913672383e-29,6.2284012639898663e-29,3.4557498614953585e-16,1.8307303546061208e-26,3.5642355636754083e-29,2.7631108348583572e-42,7.4117535276490672e-47,1.1425455294202081e-32,3.2340412598964482e-26,3.197294551437253e-31,3.1623865383164783e-42,8.5377282716552645e-47,4.3846686508295791e-49,1.3527211337974328e-62,6.2055292163973293e-43,2.8299828430533368e-31,2.2363507320612924e-43,2.2363507320617038e-43,3.6062170050430119e-56,5.0855290542592207e-57,1.1536136926964008e-47,1.2080525635170248e-31,3.8960791212837598e-44,2.7471479865400031e-45,3.2897848323201804e-100,2.3697079451955924e-56,1.5113997207273317e-47,3.0601046567433252e-100,3.5828061337340334e-28,3.3387769781469847e-69,3.3387768756906609e-69,1.7799974043708951e-40,5.3404581012691554e-41,3.3598548219639912e-30,1.7799303523948994e-40,9.2145501988492425e-53,3.0601046567433216e-100,1.127598049942447e-59,8.1864211057394343e-58,1.0739739464831356e-71,4.6573331464755199e-85,2.318039182753949e-48,2.7799668337816467e-98,6.5581938985369321e-36,3.1359988675257857e-72,6.9998354957224107e-99,4.2614888631111588e-48,1.319260131803477e-112,6.6733167916659626e-104,3.3081485786060044e-116,1.3415165927516191e-68,8.8862907053216032e-49,4.1254213825054966e-70,3.3951219951126166e-48,4.7835242057229882e-61,3.1752936038507281e-39,5.4747882343383007e-61,4.079647663871894e-62,8.9475982566687284e-52,8.6049856256372299e-52,8.4973136199851648e-74,3.174582694698708e-52,8.2430595493373335e-56,2.1854979327017453e-80,1.4686930762971237e-60,1.1988991689237209e-44,1.9669369090290723e-81,5.2846863318221121e-22,5.5284380946002231e-43,3.7595687902928465e-40,5.5284380946002231e-43,4.2177047886765312e-72,6.2973296525470423e-65,3.969431251630185e-65,3.0249820551497465e-113,1.5526601292022033e-116,4.236937948441792e-51,3.5935628712439106e-62
1.836475882674831e-22,0.2492754705372797,76.950000000000003,0.0,0.0,0.0,0.99999999999999778,9.5,5.3726840227361597e-17,6.1888860906326745e-16,6.1888712935130844e-16,3.7619493667739077e-28,3.761950503322507e-28,9.6760996105058047e-16,1.105761134021782e-25,2.1527982802607898e-28,3.2803515599467588e-41,8.7992597509478902e-46,6.9009749976980833e-32,1.953360920694253e-25,1.9311659090672703e-30,3.7543411123267772e-41,1.0135990836899521e-45,5.2054786222625094e-48,3.0259915947302585e-61,7.3672042847277657e-42,1.7093096372024226e-30,2.6549955891001837e-42,2.6549955891011042e-42,8.0669631874450926e-55,1.1376125071812089e-55,1.3695701755495166e-46,7.2966374826238056e-31,4.6254251296931397e-43,3.2614140887580469e-44,3.5055210261356504e-98,5.3009418837564191e-55,1.7943337480692061e-46,3.2607789758773017e-98,2.164014904461616e-27,1.3777556515332285e-67,1.3777555744066689e-67,2.1132129179587847e-39,6.3401918562866134e-40,2.0293523119324196e-29,2.1131333138532096e-39,2.061258020806274e-51,3.2607789758772958e-98,2.5223917331953917e-58,9.7190611435045592e-57,4.431795747625335e-70,3.5059336578994155e-83,2.751976117355434e-47,3.7946512486203962e-96,3.9611491147104311e-35,7.0152019448896024e-71,9.5547666904599344e-97,5.0592395781645525e-47,3.2546117729537299e-110,9.109069070591804e-102,8.1612473087952394e-114,5.5358057812080585e-67,1.0549804301439627e-47,1.7023666842039255e-68,4.0306888325911037e-47,1.0700552302414745e-59,1.9178773367239264e-38,1.2246882284712514e-59,9.1260086380624717e-61,1.0622588650280095e-50,1.0215838935597561e-50,3.5063751931476947e-72,3.7688645641979708e-51,9.7946813938839675e-55,1.6451882932237591e-78,3.2854076633198651e-59,1.4233330893237231e-43,1.4806610099674278e-79,1.4797121733603398e-21,6.563361702603118e-42,2.2707795500165601e-39,6.563361702603118e-42,1.7404476902292399e-70,1.4086811206006027e-63,8.87941524050949e-64,7.462623875692812e-111,2.867469953072513e-114,5.0300927323457179e-50,7.9267744548771559e-61
4.1976591603996137e-22,0.2492754705372797,76.950000000000003,0.0,0.0,0.0,0.99999999999999489,9.5,1.2280420623396904e-16,1.4146025350002527e-15,1.4145991528020297e-15,1.8112166818717365e-27,1.8112132973890097e-27,2.2116799101801905e-15,5.3237638687898753e-25,1.0364797016180733e-27,3.2206397575684871e-40,8.6391767795473098e-45,3.3225223995540012e-31,9.4045919795308524e-25,9.2977325555670724e-30,3.6859407759652444e-40,9.9515755550916079e-45,5.1107697793996152e-47,5.9788576831412144e-60,7.2331648515973834e-41,8.2295901075722108e-30,2.6066904132813978e-41,2.6066904132832162e-41,1.5938959840859077e-53,2.2477306094799175e-54,1.3446521189060094e-45,3.5130168531789709e-30,4.5412698141740337e-42,3.2020756904380695e-43,7.9777456641954651e-96,1.0473767871449555e-53,1.7616875133070952e-45,7.4207700204220768e-96,1.0418800232192469e-26,5.4502641954402429e-66,5.4502635856237952e-66,2.0747649729526532e-38,6.2248379580649286e-39,9.7704578142638159e-29,2.074686817170447e-38,4.0726984953728122e-50,7.4207700204220477e-96,4.9838210028220166e-57,9.5425326616795038e-56,1.7531767899121312e-68,2.7720402705477939e-81,2.7019064701468342e-46,5.9946275524558428e-94,1.907122785685728e-34,1.3861280294998444e-69,1.5094211274577091e-94,4.9671914184672205e-46,1.0273856531927376e-107,1.4390117267749008e-99,2.5762736507702416e-111,2.1899097144082085e-65,1.035786037197651e-46,6.7343933045364934e-67,3.9573541974828286e-46,2.1142488131448105e-58,9.23375379996922e-38,2.4197775601240376e-58,1.803145520434271e-59,1.0429320527858301e-49,1.0029971247849978e-49,1.3870302717655499e-70,3.7002935550009752e-50,9.6345256110043609e-54,1.3008009131349559e-76,6.4914119014376825e-58,1.397436858827682e-42,1.1707141376076762e-77,3.3821992555171907e-21,6.4439474328165897e-41,1.093282605233732e-38,6.4439474328165897e-41,6.8850379780153852e-69,2.7832891251270885e-62,1.7544039276573008e-62,2.3557318505244865e-108,1.3039774189192876e-111,4.9385748725695583e-49,1.519879905098689e-59
8.92002571584918e-22,0.24927547053727966,76.950000000000003,0.0,0.0,0.0,0.99999999999998912,9.5,2.6095893824718287e-16,3.0060303868691278e-15,3.0060231997002093e-15,7.9100590988518784e-27,7.9100097736591052e-27,4.6998198057494912e-15,2.325027547864892e-24,4.5265791627808378e-27,2.8485680616143439e-39,7.6412585449640215e-44,1.4510328223637009e-30,4.1072323956788719e-24,4.0605640803124411e-29,3.2600063962664693e-39,8.8020552504112825e-44,4.5204179922438414e-46,1.0639064441255518e-58,6.3976523945627708e-40,3.5940782106499497e-29,2.3055881507064969e-40,2.3055881507097335e-40,2.8362527357203547e-52,3.9997165216139255e-53,1.1893295698903598e-44,1.5342267540871331e-29,4.0167017107306409e-41,2.8321996825900689e-42,1.3482037488583503e-93,1.8637510295413751e-52,1.5581926536184097e-44,1.2540773273647651e-93,4.5501637849792503e-26,1.9451604708490451e-64,1.9451600349778422e-64,1.8351061206878867e-37,5.5057986740582064e-38,4.2670156156198805e-28,1.8350369927848441e-37,7.2471493617191389e-49,1.2540773273647549e-93,8.8684431806516118e-56,8.4407971667558371e-55,6.2569674531798386e-67,1.981339766405832e-79,2.3898056731825559e-45,8.5751248936988665e-92,8.3289062510508503e-34,2.4666921443523928e-68,2.1591791269631526e-92,4.3934245575252731e-45,2.9402479077520937e-105,2.0584607110594066e-97,7.3729791521542287e-109,7.8156322122460004e-64,9.1614101098510266e-46,2.403457132643565e-65,3.5002349720383857e-45,3.7621927916600704e-57,4.0326228768607712e-37,4.3058648738798755e-57,3.2086011117441686e-58,9.2246158984541801e-49,8.8713959860821258e-49,4.9498052250236316e-69,3.2728677036529198e-49,8.5537370130773158e-53,9.2975810004841115e-75,1.1551120634003791e-56,1.236017061007006e-41,8.3677751252957059e-76,7.1871734270332679e-21,5.6995985164852412e-40,4.7746523741627323e-38,5.6995985164852404e-40,2.4572211470410975e-67,4.9526163814114445e-61,3.1218005092248471e-61,6.741806700987437e-106,4.4224433889920559e-109,4.3681135470567339e-48,2.5526668628788294e-58
1.836475882674831e-21,0.2492754705372797,76.950000000000003,0.0,0.0,0.0,0.99999999999997746,9.5,5.3726840227360653e-16,6.188886090586493e-15,6.1888712934835179e-15,3.3022939638568465e-26,3.3022445021596799e-26,9.6760995861284265e-15,9.7065323177577222e-24,1.8897576930824631e-26,2.3943067459626865e-38,6.4229400202047383e-43,6.0577763969862625e-30,1.7146886720464423e-23,1.6952055711604483e-28,2.7399517858468687e-38,7.3986567416519117e-43,3.7996836980825148e-45,1.79443424549651e-57,5.377612318897808e-39,1.5004569033618707e-28,1.9379857627573825e-39,1.9379857627628409e-39,4.7837547725249633e-51,6.7461065172358224e-52,9.997031633151317e-44,6.4050946775518671e-29,3.3762797926842189e-40,2.380634480583809e-41,1.9740672668571163e-91,3.1434885159508801e-51,1.309754811118836e-43,1.8362454518877258e-91,1.8996038077291115e-25,6.5722568799685638e-63,6.572253932170804e-63,1.5425172646416903e-36,4.6279555250397624e-37,1.7813950191583595e-27,1.5424591584759877e-36,1.2223376639350454e-47,1.8362454518876961e-91,1.4957925631568901e-54,7.0958987884265962e-54,2.1140885245536455e-65,1.3399814532109943e-77,2.0087756623044926e-44,1.1603393616500422e-89,3.4771544049223329e-33,4.1609477006148061e-67,2.9216840115369766e-90,3.6929380635210129e-44,7.95876621991535e-103,2.7853973234388468e-95,1.9957451572852209e-106,2.640725477130383e-62,7.7007170620828286e-45,8.1207384229913143e-64,2.942158398934809e-44,6.3454880116498235e-56,1.6835406687349672e-36,7.2624704475117987e-56,5.4117747533723821e-57,7.7538454872197464e-48,7.4569428733407323e-48,1.672152152386396e-67,2.7510424405920047e-48,7.2439461887450496e-52,6.2879585162304956e-73,1.948265326346883e-55,1.0389467898926333e-40,5.6591303553734674e-74,1.4797121798874924e-20,4.79085595872071e-39,1.993323382049103e-37,4.7908559587207081e-39,8.3023948795537077e-66,8.3529810257219952e-60,5.2651449248716e-60,1.824895810919321e-103,1.297655861729044e-106,3.6716626346648605e-47,3.8695728064556798e-57
3.725422504854657e-21,0.2492754705372797,76.950000000000003,0.0,0.0,0.0,0.99999999999995426,9.5,1.0898873303264373e-15,1.2554597497939697e-14,1.2554567480997936e-14,1.3490948353615092e-25,1.3490510368161982e-25,1.9628659103847624e-14,3.9654351583562501e-23,7.7202767768210684e-26,1.96285573839386e-37,5.2659150014199532e-42,2.4747993185456136e-29,7.005062697137232e-23,6.9254678900970835e-28,2.2459189422883343e-37,6.0658640666210326e-42,3.1152102628830265e-44,2.9473640296428212e-56,4.4088914705052918e-38,6.1298560371555076e-28,1.588877816445509e-38,1.5888778164544748e-38,7.8573315073570686e-50,1.1080500187791836e-50,8.1961704844443211e-43,2.6166901626447126e-28,2.7680781281027222e-39,1.9517879700963745e-40,2.699370008613312e-89,5.1631893038855036e-50,1.0738161222754367e-42,2.5109103344652378e-89,7.7605013608574393e-25,2.1608137943439788e-61,2.1608118551858533e-61,1.264648843215814e-35,3.7942775327130629e-36,7.2775798755160495e-27,1.2646012042739456e-35,2.0076932753134562e-46,2.5109103344651576e-89,2.4568437662186878e-53,5.819122748914159e-53,6.9506614941829825e-64,8.8148468070088107e-76,1.6469156488081608e-43,1.5269415768902999e-87,1.4205310311293119e-32,6.8360473831581483e-66,3.8447724340464149e-88,3.0276937411365588e-43,2.0948784337707154e-100,3.665426805809902e-93,5.253131856314185e-104,8.6821275775684741e-61,6.3135128565863484e-44,2.6699211092403582e-62,2.4121592131014975e-43,1.0422483030840066e-54,6.8778129574588684e-36,1.1928629449777355e-54,8.8888562810558236e-56,6.3570709976502712e-47,6.1136523058196222e-47,5.4958625714932825e-66,2.2554706899692182e-47,6.0276043393134762e-51,4.1364291147395562e-71,3.2000316379369609e-54,8.5179130705972488e-40,3.7227649506410759e-72,3.0017018657796233e-20,3.9278331319147682e-38,8.1433764623916059e-37,3.9278331319147687e-38,2.7296457798459576e-64,1.3718711134129279e-58,8.6472676568509666e-59,4.8034260731850058e-101,3.5525270622337362e-104,3.0102508601192568e-46,5.2818627222356477e-56
7.50331574921431e-21,0.2492754705372797,76.950000000000003,0.0,0.0,0.0,0.99999999999990774,9.5,2.1951251864320333e-15,2.5286020312319993e-14,2.5285959855817965e-14,5.4532570256490538e-25,5.4528892629287756e-25,3.9533777967131288e-14,1.6028922849392866e-22,3.1206592999558035e-25,1.5893421836356407e-36,4.2644747843100741e-41,1.0003534531930216e-28,2.8315583295054218e-22,2.7993848498411208e-27,1.8180602740672464e-36,4.9122911739558096e-41,2.5227780381230328e-43,4.7778043348704308e-55,3.5704346045597238e-37,2.4777858180954879e-27,1.2867144501466059e-37,1.2867144501611397e-37,1.2737072737884492e-48,1.7961968217580197e-49,6.6374712877155179e-42,1.0577079959818659e-27,2.2416613832992855e-38,1.5806084871866072e-39,3.5701752465291783e-87,8.3697522842276957e-49,8.6960413001239057e-42,3.3209192862660349e-87,3.1369187142971597e-24,7.0085446632331456e-60,7.0085320813356772e-60,1.0241454128788555e-34,3.0727042933477016e-35,2.9417141177965304e-26,1.0241068336341152e-34,3.2545572902360076e-45,3.320919286265822e-87,3.9826495840683035e-52,4.7148674703233972e-52,2.2544305104330066e-62,5.7193736674833467e-74,1.3337149846723275e-42,1.9816757509528017e-85,5.7420135509054961e-32,1.1086968627541089e-64,4.9897732932271049e-86,2.4519048877960394e-42,5.437787466384353e-98,4.7570172898614777e-91,1.3635836204088671e-101,2.8160272460199502e-59,5.1128459974228155e-43,8.6598250348883415e-61,1.9534290701094712e-42,1.6895293860467639e-53,2.7801219640784269e-35,1.9336822156857412e-53,1.4409219072290883e-54,5.1481209114695972e-46,4.9509941585534757e-46,1.7813987266287942e-64,1.8265384574241988e-46,5.0247818059783754e-50,2.6838563141307343e-69,5.18738914860336e-53,6.8980261690994168e-39,2.4154568951956999e-70,6.0456812836590881e-20,3.1808610505071251e-37,3.29168300088938e-36,3.1808610505071251e-37,8.8535405859799643e-63,2.223510412158175e-57,1.4015166770359182e-57,1.2468506401868009e-98,9.4020247705557029e-102,2.437779192206386e-45,6.3899735590877043e-55
1.5059102237933615e-20,0.24927547053727975,76.950000000000003,0.0,0.0,0.0,0.99999999999981481,9.5,4.4056008986429607e-15,5.0748865939776258e-14,5.0748744604622817e-14,2.1927306652447162e-24,2.1924294261422557e-24,7.9344015005079806e-14,6.4451593162712877e-22,1.254803371439949e-24,1.2788719164694591e-35,3.4324204269149552e-40,4.0223772381467709e-28,1.1385571393943546e-21,1.1256203359462669e-26,1.4621382407602601e-35,3.9538347643947506e-40,2.0305512417462099e-42,7.6945065122677613e-54,2.8737963640011291e-36,9.9630677968702376e-27,1.0356597310243864e-36,1.0356597310477926e-36,2.0512662238437455e-47,2.8927195826557404e-48,5.3424142255618493e-41,4.2529972916614826e-27,1.8042840175259653e-37,1.2722111969478615e-38,4.6448958750980541e-85,1.3479227788914178e-47,6.9993304743028638e-41,4.3206070372430698e-85,1.2613412058817951e-23,2.2578940341133478e-58,2.2578859264160042e-58,8.2432131308968313e-34,2.4731796927741229e-34,1.1828502874239213e-25,8.242902611660646e-34,5.2413640984050126e-44,4.3206070372425155e-85,6.4139342688099296e-51,3.7987845105966484e-51,7.262948132580242e-61,3.6855421250385239e-72,1.0734898391313732e-41,2.5541059311763542e-83,2.3088383942926111e-31,1.7872747114113498e-63,6.4311275737267907e-84,1.9735063613225387e-41,1.4017489448284201e-95,6.131137388497764e-89,3.515036346059134e-99,9.0722067385527922e-58,4.1152626179904836e-42,2.7898779343562241e-59,1.5722896599336935e-41,2.7209349046799447e-52,1.1178748142593056e-34,3.1141355251515846e-52,2.3205603084847951e-53,4.1436555849443723e-45,3.9849908483567529e-45,5.7314847669060219e-63,1.4701567590430703e-45,4.2753394971680836e-49,1.7294665363068507e-67,8.3541301920961762e-52,5.5521304853316635e-38,1.5565110005070111e-68,1.2133640303798816e-19,2.5602336124913609e-36,1.3235712841724527e-35,2.5602336124913622e-36,2.8522859882999377e-61,3.5797624337261124e-56,2.2563181619063372e-56,3.2141214046421645e-96,2.4471013784743918e-99,1.9621367755066702e-44,6.8115793287971948e-54
3.0170675215372224e-20,0.2492754705372797,76.950000000000003,0.0,0.0,0.0,0.99999999999962896,9.5,8.8265523230637648e-15,1.0167455718947225e-13,1.0167431409889167e-13,8.7938306865971306e-24,8.7913927101568372e-24,1.589644863265015e-13,2.5847971015229315e-21,5.0323226805212652e-24,1.0256225608234335e-34,2.7543012813276991e-39,1.6131531777166168e-27,4.566123270832316e-21,4.514240992879995e-26,1.1713608317448947e-34,3.1726961212105477e-39,1.6293894917478052e-41,1.2351386122029434e-52,2.3060405541459129e-35,3.9956357950719546e-26,8.3105171044572118e-36,8.3105171048329344e-36,3.2927363374018409e-46,4.6434554902575242e-47,4.2869507799741416e-40,1.7056421014294987e-26,1.4478241595994275e-36,1.0208693269812887e-37,5.9939920659524547e-83,2.1637145029349212e-46,5.6165217386409507e-40,5.5755144997522243e-83,5.0585422842291041e-23,7.2496114612484717e-57,7.2495593945664459e-57,6.6146591761210843e-33,1.9845708810405737e-33,4.7437585251410212e-25,6.6144100041321654e-33,8.4135498917515445e-43,5.5755144997507957e-83,1.0295784626605107e-49,3.0544624768893154e-50,2.331980161158011e-59,2.3668284032695965e-70,8.6140797203733942e-41,3.2805452861607635e-81,9.2594746124522003e-31,2.8745983377647609e-62,8.26027025403272e-82,1.5836145626079788e-40,3.6009180402712881e-93,7.8749570724542223e-87,9.0296899439319651e-97,2.9128952292351805e-56,3.3022380403348754e-41,8.9577126080124524e-58,1.2616634324659595e-40,4.3677028412632292e-51,4.4831779863008816e-34,4.9988769665616108e-51,3.7250132154342746e-52,3.3250226469939658e-44,3.1977042264331755e-44,1.8354448900725804e-61,1.1797077356525175e-44,3.8013494309266259e-48,1.1106508885919755e-65,1.3410228754897258e-50,4.4552333037614488e-37,9.9958009882275798e-67,2.4309559081601446e-19,2.0544260923240727e-35,5.3081130467196388e-35,2.054426092324074e-35,9.1580918373288025e-60,5.7426789456246312e-55,3.6193847817483918e-55,8.2566703884579648e-94,6.316541567387035e-97,1.5744911908437602e-43,6.5084569032275403e-53
