Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971)
0.0,0.26599996346550264,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.905142241491661e-22,0.26599996346550264,76.950000000000003,0.0,0.0,0.0,0.99999999999999922,9.5,3.4326362079499115e-17,3.1863192760712264e-16,3.1863166381632265e-16,5.8265440765137027e-28,5.8265208274128981e-28,1.3516382043847696e-16,4.9055194605889029e-26,3.641348023252193e-28,1.0496951706561084e-40,2.2083458200481477e-45,5.5995698129937372e-32,6.9310177116258416e-26,1.5352117004854019e-30,1.3119980536224245e-40,1.7096645172025406e-45,3.8442572177959714e-48,3.6454943322928981e-61,2.3791662354857845e-42,5.7298729239291158e-31,1.6530997900214963e-42,1.6530997900236352e-42,1.8891740324084793e-54,2.4998952620979409e-55,3.0714710394143667e-48,2.8684492978973577e-31,6.5561679451998281e-43,4.3378039562280432e-44,1.2598190725357616e-97,9.5447332631884135e-55,4.9442593572140247e-47,1.1868004173156254e-97,7.4053789496416735e-28,8.7268169576913018e-67,8.7268151299268486e-67,1.0295774656578283e-39,3.1189872921430398e-40,2.836767623765346e-30,1.0295524363576141e-39,2.1303439738752571e-51,1.1868004173156236e-97,2.6401480588527947e-58,9.0144647240584454e-58,1.1115622262489975e-69,2.5871288546418164e-82,9.8463591028060969e-48,1.04460043216228e-94,4.4965622244112328e-36,2.012629605310346e-71,8.7547496914413909e-96,1.4096645308572277e-47,1.1564016789709766e-108,1.0069090921518771e-100,3.9591897481252989e-112,5.3729289215627678e-67,1.074976603921543e-48,8.0122500225813562e-69,9.3042606667067743e-48,8.5069518998563156e-60,1.9475332720091832e-39,1.0632974351947768e-59,7.4308383256802682e-61,3.5612871344644415e-51,9.3117925573402587e-52,5.7211780509959073e-72,6.0853857052217298e-52,3.5881720684620024e-56,2.9078971205902913e-78,1.489279866131185e-59,6.1827942498083255e-44,2.6683257372626109e-79,2.6379116389430045e-22,3.3167193505636353e-42,6.0255460961615534e-40,3.3167193505636353e-42,4.7334397794959068e-71,1.1113660117689279e-63,6.4159039761205512e-64,1.8685680622696902e-109,1.014765730537507e-113,1.9121839450674467e-50,4.0412449312485105e-61,1.6932602862943567e-61,2.0207652037587799e-84
1.373439827617665e-21,0.26599996346550264,76.950000000000003,0.0,0.0,0.0,0.99999999999999778,9.5,9.6113813822597317e-17,8.9216939729687401e-16,8.9216865868381211e-16,3.5192326221776614e-27,3.5192022078011073e-27,3.7845869683427272e-16,2.9629337516252964e-25,2.1993742050591029e-27,1.2461836337236988e-39,2.6217494176000286e-44,3.3821401670430712e-31,4.1863346941902846e-25,9.2726786709052018e-30,1.5575506202531103e-39,2.0297135217350092e-44,4.5639021689514049e-47,8.1548287246479731e-60,2.8245461525235993e-41,3.4608432460372831e-30,1.9625600707030158e-41,1.9625600707078009e-41,4.2260067315999216e-53,5.5921657021637341e-54,3.6464504113662847e-47,1.7325433744625301e-30,7.7834825554173098e-42,5.1498408495296923e-43,1.3424349837387701e-95,2.1351186491490136e-53,5.8698247012698767e-46,1.2646279403545986e-95,4.4728488817033001e-27,3.6011451855449897e-65,3.6011438096499642e-65,1.2223143653488096e-38,3.7028617075155646e-39,1.7134076418802612e-29,1.2222846505640013e-38,4.7654942487965832e-50,1.2646279403545956e-95,5.9059055924286629e-57,1.070579943322657e-56,4.5868946937535588e-68,1.9475268831070146e-80,1.1689597516403304e-46,1.4258750642833611e-92,2.7159235835254902e-35,4.5037098817084898e-70,1.1950195399837446e-93,1.6735537308813979e-46,2.8528339240534608e-106,1.3744265493621393e-98,9.7673003805890445e-110,2.2171541605044674e-65,1.2762122151160889e-47,3.3062774002634094e-67,1.1046018263423074e-46,1.9029711087017049e-58,1.1763100962877429e-38,2.3785538269039268e-58,1.662248810007422e-59,4.2279600859878108e-50,1.1054960185580218e-50,2.3607962494174141e-70,7.2245697714745669e-51,4.2900565458993473e-55,2.1889923672289177e-76,3.3314594850868289e-58,7.3402131805702335e-43,2.0086490100707893e-77,7.3861526017170349e-22,3.9376092002669044e-41,3.6394298476312683e-39,3.9376092002669033e-41,1.9532671758427469e-69,2.4860478058492674e-62,1.4351925087963831e-62,4.609742665245119e-107,1.8898336817610864e-111,2.2701447795105765e-49,8.748117833726904e-60,3.7877554126309354e-60,1.5211816049223733e-82
3.139291034554663e-21,0.26599996346550264,76.950000000000003,0.0,0.0,0.0,0.99999999999999489,9.5,2.1968871730879304e-16,2.0392443366640989e-15,2.039242648411225e-15,1.6943590173952615e-26,1.6943276989044215e-26,8.6504844805201253e-16,1.4265250552836518e-24,1.0589040036839054e-26,1.2234798260860213e-38,2.5740496773136969e-43,1.6283549016108539e-30,2.015539945093209e-24,4.4643956249716105e-29,1.529099189334766e-38,1.9927843626790734e-43,4.4808662130134522e-46,1.6112570874089687e-58,2.7731561571223443e-40,1.6662470462547329e-29,1.9268531152164935e-40,1.9268531152259479e-40,8.3498771069845535e-52,1.1049177052520245e-52,3.5801066229993858e-46,8.3414505362733917e-30,7.6418692666407409e-41,5.0561442687362566e-42,3.0550679316952563e-93,4.2186346399415875e-52,5.763028683163324e-45,2.8779973055703476e-93,2.1534841927353919e-26,1.4245769897550921e-63,1.424575901877031e-63,1.2000754881422555e-37,3.635491570000306e-38,8.2493202067995125e-29,1.2000463139911842e-37,9.4158135508748936e-49,2.8779973055703335e-93,1.1669074180201705e-55,1.0519123511468385e-55,1.8145303318651774e-66,1.5398512951105919e-78,1.1476916137841678e-45,2.2525336520198756e-90,1.3076002948304447e-34,8.9052221831111168e-69,1.8878384201211295e-91,1.643104976695046e-45,9.0055505776152792e-104,2.1712575921200124e-96,3.0832483656132379e-107,8.7708413433455241e-64,1.2529927014462938e-46,1.3079304547145508e-65,1.0845046232830669e-45,3.7599502176512464e-57,5.6634267549156448e-38,4.699621525235139e-57,3.2843235352875059e-58,4.1510362837817939e-49,1.0853825595503971e-49,9.3385165969525049e-69,7.0931251509359786e-50,4.2759272267821711e-54,1.7307704364564099e-74,6.5824025251989988e-57,7.2066645038897579e-42,1.5881783676241914e-75,1.6882634577971595e-21,3.865968035578018e-40,1.7522288130786702e-38,3.8659680355780171e-40,7.7269306779499669e-68,4.9118666420966767e-61,2.8356140256696119e-61,1.4551589171160111e-104,8.590414424415263e-109,2.2288416061509182e-48,1.614254689408796e-58,7.4839658963578727e-59,1.2027525505151995e-80
6.670993448428659e-21,0.26599996346550264,76.950000000000003,0.0,0.0,0.0,0.99999999999998912,9.5,4.6683852428118154e-16,4.3333942153494394e-15,4.333390627835786e-15,7.3997109766048598e-26,7.3994276925343231e-26,1.8382279441920864e-15,6.2300096751066935e-24,4.6245119742593548e-26,1.0820995215932555e-37,2.2767180091306245e-42,7.1114536624222007e-30,8.8023924374730977e-24,1.9497188595751913e-28,1.3522695054331941e-37,1.7625944736539939e-42,3.9632754211549068e-45,2.8671461589336673e-57,2.4528252075206633e-39,7.2769386131434821e-29,1.7042797594521793e-39,1.7042797594690038e-39,1.4858159995124003e-50,1.9661420158077655e-51,3.1665637396564356e-45,3.6429305855837774e-29,6.7591467151864339e-40,4.472102319162243e-41,5.1629297445416096e-91,7.506834896249307e-51,5.097333577342115e-44,4.8636882144213523e-91,9.4048312059007149e-26,5.0842124149065447e-62,5.0842046392199868e-62,1.0614531717547248e-36,3.2155511014923837e-37,3.6026948376348709e-28,1.0614273675500185e-36,1.6754937020524924e-47,4.8636882144213044e-91,2.0764493883611912e-54,9.3184657523917032e-55,6.4759304767577505e-65,1.1006214240036822e-76,1.0151202312611837e-44,3.2221762600365582e-88,5.710634024709402e-34,1.58701431374353e-67,2.7004915707694005e-89,1.4533077437410772e-44,2.577273324654929e-101,3.1059135031624678e-94,8.8238640904383687e-105,3.1302509556879383e-62,1.1082578206011771e-45,4.6679108530823079e-64,9.5923205763542557e-45,6.6906304650098198e-56,2.4733672553617006e-37,8.3627253466869452e-56,5.8442782488642636e-57,3.6715445838325477e-48,9.6000860553186571e-49,3.3324503019225663e-67,6.2737883498074795e-49,3.895724983332843e-53,1.237082327698512e-72,1.1713033531409644e-55,6.3742125650401432e-41,1.1351634804979142e-73,3.5875598733306699e-21,3.419404898835281e-39,7.6524436280006927e-38,3.4194048988352797e-39,2.7576866565626129e-66,8.7398863028760385e-60,5.0455215047547376e-60,4.1644778934343026e-102,2.911907830065523e-106,1.9713851595736118e-47,2.5349235409408155e-57,1.3317315631137056e-57,8.5967722598276279e-79
1.373439827617665e-20,0.26599996346550264,76.950000000000003,0.0,0.0,0.0,0.99999999999997746,9.5,9.611381382259469e-16,8.9216939725236884e-15,8.9216865865638535e-15,3.0892336688567762e-25,3.0889929686925419e-25,3.7845869112906096e-15,2.6009063821471439e-23,1.9306427081844802e-25,9.0947812978760252e-37,1.9137187569562531e-41,2.9688919147774088e-29,3.674825540041472e-23,8.1396924356021841e-28,1.1363253175711794e-36,1.4815656354180589e-41,3.3313717966377585e-44,4.8358611946285251e-56,2.0617473664950463e-38,3.0379786240453747e-28,1.4325498283119247e-38,1.4325498283403014e-38,2.5060457923341441e-49,3.3161858695986445e-50,2.6616875809548396e-44,1.5208517972738974e-28,5.6814698986403213e-39,3.7590714173335086e-40,7.5596664211971714e-89,1.2661374123538824e-49,4.2846159608755085e-43,7.1215109050478057e-89,3.9263318649702275e-25,1.7178393352769623e-60,1.7178340765911783e-60,8.9221533629300164e-36,2.702864416055106e-36,1.5040541540279789e-27,8.9219364630669945e-36,2.825964987281063e-46,7.1215109050476662e-89,3.5022353451596847e-53,7.8569905615966669e-54,2.1880706061416634e-63,7.4435082357465237e-75,8.5326971333435952e-44,4.3600728257874118e-86,2.3840772911192606e-33,2.6847554687067191e-66,3.6541576139780876e-87,1.2215927260095343e-43,6.9762519296561373e-99,4.202752438934545e-92,2.3884740811115104e-102,1.0576410372626533e-60,9.3155741833021565e-45,1.5771815524171802e-62,8.0629234245201775e-44,1.1284726020341088e-54,1.032582140738304e-36,1.4104958424250848e-54,9.8572294795107001e-56,3.0861544495613979e-47,8.0694511679558488e-48,1.1256894519362643e-65,5.2734962588357755e-48,3.465892690429379e-52,8.3663936347987642e-71,1.9755742841754814e-54,5.3579087674295525e-40,7.6771159950250332e-72,7.386152785528085e-21,2.8742157714264219e-38,3.1947446174535324e-37,2.8742157714264208e-38,9.317599825780519e-65,1.4739348055458659e-58,8.5089899894401641e-59,1.1272547965965787e-99,8.5417038463288107e-104,1.657068011139998e-46,3.4585125967152217e-56,2.2461593188302985e-56,5.8140011682111414e-77
2.7861207931672634e-20,0.26599996346550264,76.950000000000003,0.0,0.0,0.0,0.99999999999995426,9.5,1.9497373661154305e-15,1.8098293486086536e-14,1.8098278503535764e-14,1.2620527527167069e-24,1.2618543749537032e-24,7.67730474476116e-15,1.0625551068823937e-22,7.8873053559208171e-25,7.4549475121933267e-36,1.5689822948738802e-40,1.2128892197128427e-28,1.5012861175147119e-22,3.325329951404946e-27,9.3107322040628126e-36,1.2146750131384908e-40,2.7312598717237951e-43,7.9429163670269603e-55,1.6903450332429868e-37,1.2411133946269146e-27,1.1744909001560009e-37,1.1744909002026099e-37,4.1161875345039641e-48,5.4468451914710485e-49,2.1822122223728242e-43,6.2131757438940712e-28,4.6580119801056377e-38,3.0819137855289675e-39,1.0337204386435263e-86,2.0796344521283971e-48,3.5127869511619711e-42,9.7380637800827266e-87,1.6040346561782988e-24,5.6478724575807987e-59,5.6478378643839691e-59,7.3149201852818809e-35,2.2159714890452766e-35,6.1445518043316396e-27,7.3147423577118373e-35,4.6416558574140593e-45,9.7380637800823409e-87,5.7524319115323988e-52,6.4814175740176397e-53,7.1938972913469992e-62,4.8965882467703317e-73,6.9956205251504496e-43,5.7376105896580471e-84,9.739733638332149e-33,4.4360791355808892e-65,4.808665878008652e-85,1.0015355207231857e-42,1.8362641851906407e-96,5.5305858677742443e-90,6.2868567395967262e-100,3.4772922438527917e-59,7.6374695969856441e-44,5.1854277144696587e-61,6.6104717637883533e-43,1.853519577639229e-53,4.2184349678172855e-36,2.3167435927164442e-53,1.6190529003575455e-54,2.5302158748458047e-46,6.6158242425682508e-47,3.6992455098013296e-64,4.3235294121098183e-47,3.1552652672323183e-51,5.5036929982527318e-69,3.2448866211241897e-53,4.3927357303240263e-39,5.0502631670449969e-70,1.4983338934444482e-20,2.3564556099661051e-37,1.3051574520258164e-36,2.3564556099661026e-37,3.0634228878216662e-63,2.4203684046747784e-57,1.3972693513522161e-57,2.9671179305835311e-97,2.3380571226036956e-101,1.3585644708847979e-45,4.1026405832565976e-55,3.6893214145430086e-55,3.8246440650597217e-75
5.611482724266461e-20,0.26599996346550264,76.950000000000003,0.0,0.0,0.0,0.99999999999990774,9.5,3.9269358218942103e-15,3.6451492510070161e-14,3.6451462335542674e-14,5.1014190095460479e-24,5.0998084960049016e-24,1.546274000879631e-14,4.295017502952399e-22,3.1881748833434844e-24,6.0347757077218511e-35,1.2706025569238083e-39,4.9026921501264838e-28,6.0684383425384514e-22,1.3441515336779527e-26,7.5310997309774564e-35,9.8367206718384793e-40,2.211845056546998e-42,1.2875808717782042e-53,1.3688851952730085e-36,5.016778777255252e-27,9.5113318150238636e-37,9.5113318157794157e-37,6.6725167086884231e-47,8.8295705903290455e-48,1.7672119237790546e-42,2.5114649033028633e-27,3.7721783782396757e-37,2.4958135645490202e-38,1.3671942376266959e-84,3.3711769034702238e-47,2.8447458199936644e-41,1.2879521568968049e-84,6.483764351613102e-24,1.8318690699300459e-57,1.8318466249363201e-57,5.9238117015868699e-34,1.794551068516991e-34,2.4837259402282945e-26,5.9236676922785101e-34,7.5243237782232474e-44,1.2879521568967034e-84,9.3249395007662133e-51,5.3132545531172379e-52,2.3333231660635277e-60,3.1770732860083718e-71,5.6652346990601137e-42,7.4463113022847909e-82,3.9369560606232381e-32,7.2765386699641444e-64,6.2407203346027039e-83,8.1106942867919139e-42,4.7664880855603907e-94,7.1776333157412326e-88,1.6319127079506755e-97,1.1278513467332461e-57,6.1850193690323424e-43,1.6818809438770834e-59,5.3533314208345132e-42,3.0046349150778475e-52,1.7051588606772587e-35,3.7555409918132812e-52,2.6245545160559993e-53,2.0490344149122653e-45,5.3576670340458837e-46,1.198691689648086e-62,3.5013038934268528e-46,3.0633400270537032e-50,3.5709835651686859e-67,5.2601008081084814e-52,3.557348711022054e-38,3.276782849544432e-68,3.0177712530363511e-20,1.9083186339808398e-36,5.2756553714429962e-36,1.9083186339808378e-36,9.936138200525895e-62,3.9216620009304166e-56,2.2639491026901628e-56,7.7018946191017114e-95,6.1873565461278898e-99,1.1002007310183704e-44,4.2651597290604176e-54,5.9805424759102092e-54,2.4815594380236795e-73
1.1262206586464853e-19,0.26599996346550264,76.950000000000003,0.0,0.0,0.0,0.99999999999981481,9.5,7.8813327334510189e-15,7.31578905454734e-14,7.315782999180891e-14,2.051258145427569e-23,2.0499605473958747e-23,3.1033608925242954e-14,1.7270075456215936e-21,1.2819510593395779e-23,4.8533987619305973e-34,1.0226914866647187e-38,1.9713509505377197e-27,2.4400922232561874e-21,5.4047741979293984e-26,6.0472900999512884e-34,7.9173962379993685e-39,1.7802853272468899e-41,2.0736089428274284e-52,1.1017978346237605e-35,2.0172246811077443e-26,7.6555473090508625e-36,7.655547310267656e-36,1.0745880320644222e-45,1.4219750637618707e-46,1.4224057206150086e-41,1.0098489334797663e-26,3.0361765415271283e-36,2.0088476896458044e-37,1.7787571850884178e-82,5.4291759569286753e-46,2.289698716834814e-40,1.6756610656250021e-82,2.6070929749582005e-23,5.9015791442777103e-56,5.9014345128673017e-56,4.7679985078031215e-33,1.4444106674113715e-33,9.9869516253524642e-26,4.7678825966932562e-33,1.2117690229340218e-42,1.6756610656247379e-82,1.5017525929057419e-49,4.3802951514734592e-51,7.5171101185254953e-59,2.0472933279627131e-69,4.5598734668953533e-41,9.5972637310461161e-80,1.5830327158641347e-31,1.1993913807467253e-62,8.0434239853967137e-81,6.5281923351859243e-41,1.2287016760505856e-91,9.2509754152491972e-86,4.2067322480214595e-95,3.6335229796644037e-56,4.9782392171964004e-42,5.4184028154102937e-58,4.308826854323788e-41,4.8388712785990403e-51,6.856368780866345e-35,6.0481823229321387e-51,4.2267641210445367e-52,1.6492411577758288e-44,4.3123182025685027e-45,3.8543585939173392e-61,2.818150245988832e-45,3.2836118453537574e-49,2.3011276206591192e-65,8.4712294301833326e-51,2.8632595833990899e-37,2.1115458617100381e-66,6.0566464914546086e-20,1.5359805117699025e-35,2.121318041735964e-35,1.535980511769899e-35,3.2010589506947112e-60,6.3097348267421421e-55,3.6425313183862925e-55,1.9853832018873082e-92,1.6103439923591909e-96,8.8553726264675921e-44,3.9912241794034727e-53,9.6314582858178626e-53,1.5991070897501169e-71
2.2563654310861637e-19,0.2659999634655026,76.950000000000003,0.0,0.0,0.0,0.99999999999962896,9.5,1.5790126556561634e-14,1.4657068656605818e-13,1.46570565273351e-13,8.2264625991237353e-23,8.2160495414527086e-23,6.2175340311642971e-14,6.9260718616717761e-21,5.14119680055853e-23,3.8882804511563312e-33,8.2064551887384428e-38,7.905999018277355e-27,9.7858600156238232e-21,2.1675561869562061e-25,4.8296271811994093e-33,6.353127872730499e-38,1.4285668559669268e-40,3.3286004125143726e-51,8.8412327582104286e-35,8.0899731919633285e-26,6.1430945814151551e-35,6.1430945833683784e-35,1.7249510909123011e-44,2.2825847054507179e-45,1.1413907225664662e-40,4.049945421494124e-26,2.4363391959960159e-35,1.6119734404052668e-36,2.2953919164668525e-80,8.715028127216564e-45,1.8373386888427521e-39,2.1623518359017483e-80,1.0455607643640101e-22,1.8948533381370199e-54,1.8947604610706887e-54,3.8260177066024371e-32,1.1590483461227191e-32,4.0052133630508809e-25,3.8259246954131804e-32,1.9451572457335146e-41,2.1623518359010663e-80,2.4106449650861108e-48,3.681377809856022e-50,2.4135855721773581e-57,1.3147565553058932e-67,3.6590108319016491e-40,1.2326916158858394e-77,6.3486692132827183e-31,2.0136635521023287e-61,1.0331133529863541e-78,5.2384631515459162e-40,3.1563803484621874e-89,1.1882137567006814e-83,1.0806567171438554e-92,1.1666477893520113e-54,3.9947195124383046e-41,1.739735072400916e-56,3.4575621861919059e-40,7.7674580458864873e-50,2.7497105378674169e-34,9.7086699556527369e-50,6.7848924482418713e-51,1.3234121614316895e-43,3.4603664526882752e-44,1.2328375465547317e-59,2.2613820989261558e-44,3.9476290682815865e-48,1.4777671712240739e-63,1.3598196885324033e-49,2.2975788472000257e-36,1.3560191821107662e-64,1.2134399045228627e-19,1.2325270746173372e-34,8.5074358950778917e-35,1.2325270746173312e-34,1.0277926877647909e-58,1.0109373938989968e-53,5.8359000718574152e-54,5.100172758501304e-90,4.1565930194306528e-94,7.1058788257875214e-43,3.4815835455352718e-52,1.5460556171712946e-51,1.0269348301522943e-69
