Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067)
0.0,0.3383466039393717,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1951739777949715e-23,0.3383466039393717,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,1.2451955284532083e-17,1.1268797819703499e-16,1.1268753148562498e-16,8.1165135856964966e-30,8.1165421520070483e-30,4.5215914079451279e-16,8.349076138398218e-27,4.4576365728271196e-30,1.6004923294510072e-43,3.4763760404087584e-48,2.0074657287615103e-33,1.6379489839487921e-26,5.7237633594616978e-32,1.7579917598625677e-43,4.7502449849781337e-48,4.9993746979527007e-50,5.6064742949146299e-64,2.0395667506473545e-43,1.0503766043794306e-31,3.8835429157165784e-44,3.8835429157167546e-44,1.5362262423052494e-57,2.2348293019085381e-58,1.3078259343398264e-47,4.2152414101031751e-32,3.3348746813828305e-45,2.4257090039470584e-46,2.4462641471335711e-102,1.1502925821229394e-57,3.8624307917789515e-48,2.2621768401539618e-102,1.8441477848821244e-28,4.1425902209013847e-71,4.1425901766995128e-71,4.8560714173569047e-41,1.449779712203021e-41,2.6297679083282794e-30,4.8558488303551449e-41,1.1277569261900662e-53,2.2621768401539598e-102,7.0664393265378783e-61,2.4982644719882084e-58,2.0262794169259758e-73,3.4387890490000484e-87,5.2488297429908966e-49,5.1452522481205307e-101,4.0109386425890445e-36,2.5975646109795969e-73,3.0384992103213661e-101,1.069155396977698e-48,1.4120861813578126e-115,1.9139211125006891e-106,2.203763113312512e-119,1.0848229080970635e-69,3.5395683742920785e-49,4.6601759761240976e-71,9.3152896491060478e-49,3.3547489226757533e-62,2.0520031751773221e-39,3.6848807198291338e-62,2.8326959467821815e-63,1.4779906373640661e-52,3.621698659078772e-52,2.7353629726488238e-75,1.0286426544973708e-52,5.3295747213242267e-56,8.60497132029445e-82,1.8739205436631218e-61,2.4706359607538589e-45,7.6680839526654184e-83,4.4671141441815837e-22,1.0603476410935447e-43,1.1400283760365872e-40,1.0603476410935447e-43,6.1274805834795108e-73,4.4373908010907555e-66,2.9144425442297051e-66,5.3442018385776077e-116,7.6945094211629897e-119,6.5620112852223781e-52,3.0822450906638148e-63,4.4926679626646718e-64,4.4827617702243116e-87,4.944321964884792e-53,8.2773775763496955e-98,1.5603845252681528e-65
6.146487137825921e-23,0.3383466039393717,76.950000000000003,0.0,0.0,0.0,0.99999999999999811,9.5,3.4865474796689801e-17,3.155263389516568e-16,3.1552508815972291e-16,4.9023742057531175e-29,4.9023893553750396e-29,1.2660455941426026e-15,5.0428419873198701e-26,2.6924124898862132e-29,1.9001003697871932e-42,4.1271817248182755e-47,1.2125093001720862e-32,9.8932118625158102e-26,3.4571530691144878e-31,2.0870752324741269e-42,5.6394908109699685e-47,5.9352576414089038e-49,1.2541540277014215e-62,2.4213736462484831e-42,6.3442746904490136e-31,4.6105421495367092e-43,4.6105421495371027e-43,3.4364766543058939e-56,4.9992237549454799e-57,1.5526509490704638e-46,2.5460058115708304e-31,3.9591632207257932e-44,2.8798017291860814e-45,2.6066842788673277e-100,2.5731584942551443e-56,4.5854778356459079e-47,2.4105249681056839e-100,1.1138652620085806e-27,1.7094514460708421e-69,1.7094514127967766e-69,5.7651279861820217e-40,1.7211784741758403e-40,1.5883798164791189e-29,5.76486373089403e-40,2.5227471333994618e-52,2.4105249681056803e-100,1.5807342114540241e-59,2.9659454670143044e-57,8.3615517946463249e-72,2.5886507679097061e-85,6.2314106705337804e-48,7.0232876039894546e-99,2.4226069401223309e-35,5.810659147851838e-72,4.1475622203722793e-99,1.2693012872780379e-47,3.4836256423532806e-113,2.6125091207079603e-104,5.4367780779979579e-117,4.4765521049391921e-68,4.2021755691953042e-48,1.9230346648507255e-69,1.1059111871411863e-47,7.5044391485783083e-61,1.2394099178066238e-38,8.2429307739393021e-61,6.3366275250807701e-62,1.7546704846756245e-51,4.2996806478699621e-51,1.1287403864514369e-73,1.2212045581556888e-51,6.3290443406736607e-55,6.4776076291315078e-80,4.1918852990654108e-60,2.9331390098193032e-44,5.7723422036228838e-81,1.2507919605141036e-21,1.2588447192780286e-42,6.8857713921125619e-40,1.2588447192780286e-42,2.5285220195125069e-71,9.9262431608792769e-65,6.5194745536884618e-65,1.31841800982319e-113,1.4148282229815908e-116,7.7904197977745765e-51,6.8403587899893928e-62,1.0049918508407356e-62,3.374511170567278e-85,5.8698990367089653e-52,1.1298579599635937e-95,3.4905177676417778e-64
1.4049113457887817e-22,0.3383466039393717,76.950000000000003,0.0,0.0,0.0,0.99999999999999567,9.5,7.9692513821005109e-17,7.212030604607356e-16,7.2120020150781013e-16,2.3602821507091908e-28,2.3602873011505177e-28,2.8938185005106486e-15,2.4279113406372216e-25,1.2962807152260739e-28,1.8655210756815597e-41,4.052103800105529e-46,5.8377103392404659e-32,4.7631556445207401e-25,1.6644703849308952e-30,2.0490761828025076e-41,5.5368854453826833e-46,5.8272711479319709e-48,2.4780048761483423e-61,2.3773190041823806e-41,3.0544951655312615e-30,4.5266576225530002e-42,4.5266576225537789e-42,6.7898987701183871e-55,9.8776236974296445e-56,1.5244019085153869e-45,1.2257922018607716e-30,3.8871299254829222e-43,2.8274064140711026e-44,5.9322035294233684e-98,5.0841275692722065e-55,4.5020493297999316e-46,5.4857908337767648e-98,5.3627817575338731e-27,6.7624198534846147e-68,6.7624195903965916e-68,5.6602368425085035e-39,1.6898632320739222e-39,7.6473650751512022e-29,5.6599773951007992e-39,4.9845232154355052e-51,5.4857908337767485e-98,3.1232644247516928e-58,2.911995314728749e-56,3.3077574726306708e-70,2.0467750526157843e-83,6.1180359473606482e-47,1.1095109844895233e-96,1.1663809572627147e-34,1.1480930929912673e-70,6.5521534953900055e-97,1.2462075306741594e-46,1.0996807008023676e-110,4.1271377891118051e-102,1.716245383131882e-114,1.7708794947342753e-66,4.1257208823056628e-47,7.6073338937819588e-68,1.0857901614976799e-46,1.4827507144992148e-59,5.9672252334084635e-38,1.6286642151956121e-59,1.2520108176352511e-60,1.7227458869022691e-50,4.2214519564383055e-50,4.4650552938536326e-72,1.1989858741650051e-50,6.2176493128667838e-54,5.1216495747709811e-78,8.2824589566230515e-59,2.8797732672128919e-43,4.5640174098096029e-79,2.8589530532790361e-21,1.2359412097511289e-41,3.3152025187862316e-39,1.2359412097511289e-41,1.0002581655195464e-69,1.9612486194414559e-63,1.288131027403692e-63,4.1618675023923334e-111,6.4353162109489722e-114,7.6486803539284373e-50,1.3285506099841519e-60,1.9856945341458787e-61,2.6681245132148698e-83,5.7631016822626936e-51,1.7848986621606992e-93,6.8966749063005459e-63
2.985436609801161e-22,0.33834660393937166,76.950000000000003,0.0,0.0,0.0,0.99999999999999067,9.5,1.6934659186963523e-16,1.5325565034782329e-15,1.5325504282035503e-15,1.0307972253717262e-27,1.0307975914355606e-27,6.1493643119342043e-15,1.0603326691539608e-24,5.6611984459192294e-28,1.6500167268099399e-40,3.5840448111432797e-45,2.5494814755291751e-31,2.0801952087858719e-24,7.2691794665104948e-30,1.8123372605880201e-40,4.8973123405866192e-45,5.1541553385977409e-47,4.4094836522463052e-60,2.1027117364658254e-40,1.3339782875576162e-29,4.003777404374052e-41,4.0037774043754361e-41,1.2082262067994424e-53,1.7576703606273451e-54,1.3483162241096449e-44,5.3533565887929641e-30,3.4381223949309377e-42,2.5008089527571203e-43,1.0025161711149423e-95,9.0469333617451965e-54,3.9820116467874213e-45,9.2707439907248902e-96,2.34206768586684e-26,2.4134595627333147e-66,2.4134593746890122e-66,5.0064153851565923e-38,1.4946648911059959e-38,3.3398052412338966e-28,5.0061859068645032e-38,8.869692736557067e-50,9.2707439907248336e-96,5.5576821663775679e-57,2.5756490570000724e-55,1.1805169021095689e-68,1.4629514297662885e-81,5.4113335095878476e-46,1.5871216989847302e-94,5.0938920760655612e-34,2.0429873462377959e-69,9.3726561818719622e-95,1.102256447977731e-45,3.1471499207204819e-108,5.9037450151583133e-100,4.9116963174745002e-112,6.3201431277307506e-65,3.6491533801448724e-46,2.7150034301290962e-66,9.6036910165978153e-46,2.638475671080487e-58,2.6060440324677694e-37,2.8981209500608576e-58,2.227886355249582e-59,1.5237492274773552e-49,3.7338264483376328e-49,1.593453846335541e-70,1.0604894228546345e-49,5.5061220917930872e-53,3.6607409586188375e-76,1.4738193178785887e-57,2.5471268319510047e-42,3.2621688041645176e-77,6.0752752411010679e-21,1.0931760025760359e-40,1.447836038878116e-38,1.0931760025760359e-40,3.5698503424788344e-68,3.4899022447995102e-62,2.292134305480713e-62,1.1910749060896446e-108,2.1831433574797641e-111,6.7651711543533847e-49,2.2859028832190955e-59,3.5334373014351066e-60,1.9070638367909938e-81,5.0973981729028705e-50,2.553239341539644e-91,1.2272264507803372e-61
6.146487137825921e-22,0.3383466039393717,76.950000000000003,0.0,0.0,0.0,0.99999999999998079,9.5,3.4865474796689348e-16,3.1552633895105872e-15,3.1552508815932935e-15,4.3033755030307167e-27,4.303361292270355e-27,1.2660455929531181e-14,4.4266801647752193e-24,2.3634389094988434e-27,1.3869123409215397e-39,3.0126075572283691e-44,1.0643583293912016e-30,8.6844055054346452e-24,3.0347393331813128e-29,1.5232989049282913e-39,4.1164858843614821e-44,4.3323781232441459e-46,7.4372437679957764e-59,1.7674559116249931e-39,5.5690967563813877e-29,3.3654161540495437e-40,3.3654161540518777e-40,2.037850092267938e-52,2.9645679683848595e-53,1.1333410273841931e-43,2.2349209938024399e-29,2.8899490289398383e-41,2.1020806079347165e-42,1.4679045059680183e-93,1.5258975429037316e-52,3.3471207210810198e-44,1.3574411335957778e-93,9.777671547043898e-26,8.1545340616107497e-65,8.1545327898664174e-65,4.2081937871849052e-37,1.2563559003293501e-37,1.3943029428869374e-27,4.2080008968564589e-37,1.4960033210757019e-48,1.3574411335957612e-93,9.3738432944447951e-56,2.1650255370895448e-54,3.9887026143326192e-67,9.8939546847155962e-80,4.5485518699250494e-45,2.1476078334661002e-92,2.1265996682804365e-33,3.4458542397745376e-68,1.2682574908729674e-92,9.2651296037051516e-45,8.5188193796947103e-106,7.9886306547842016e-98,1.3295177257119585e-109,2.1354335189452082e-63,3.067333263796928e-45,9.1733829609486234e-65,8.0724809652000684e-45,4.4501748592126803e-57,1.0879720834723285e-36,4.8881045748557488e-57,3.7576559726722099e-58,1.2808030384541172e-48,3.1385061085544073e-48,5.3832942807600658e-69,8.914052511806798e-49,4.6394678174084324e-52,2.475760880560274e-74,2.4858116960637693e-56,2.1410135604886381e-41,2.2062063399585949e-75,1.2507919625913789e-20,9.1888029751380551e-40,6.0444304615397747e-38,9.1888029751380551e-40,1.2061717472032606e-66,5.8861125075357659e-61,3.8659316785547804e-61,3.2240446385730976e-106,6.4069000788035762e-109,5.686533987144571e-48,3.6158838480328943e-58,5.9596583764109305e-59,1.2897481951749085e-79,4.2846703055909399e-49,3.454903839723806e-89,2.0698967844192188e-60
1.246858819387544e-21,0.3383466039393717,76.950000000000003,0.0,0.0,0.0,0.99999999999996092,9.5,7.0727106016140169e-16,6.4006771615647334e-15,6.4006517883658297e-15,1.7580693086268229e-26,1.7580506411035926e-26,2.5682639143724577e-14,1.8084432846612969e-23,9.6554191102337696e-27,1.1370316675889899e-38,2.4699184614444775e-43,4.3482510671422268e-30,3.5478630108747407e-23,1.239790038708371e-28,1.2487616898201917e-38,3.3749434697263895e-43,3.551945336691011e-45,1.2215699237670783e-57,1.4490671402905017e-38,2.2751577401175475e-28,2.7591714929486008e-39,2.7591714929524347e-39,3.3471748841541943e-51,4.8693117857958175e-52,9.2918144598223903e-43,9.1303814884097762e-29,2.3693548067717779e-40,1.7234126816286162e-41,2.0072352475120403e-91,2.5062912918761743e-51,2.7441717879777356e-43,1.8561859294657513e-91,3.9944978608531222e-25,2.6810321706386691e-63,2.681031334043034e-63,3.4501315098535365e-36,1.0300364713405327e-36,5.6961824623015844e-27,3.4499733667135129e-36,2.4571899434727259e-47,1.8561859294657055e-91,1.5396565735841575e-54,1.7750799260785562e-53,1.311398597312701e-65,6.5085761059530194e-78,3.7291776313068479e-44,2.8261321432159143e-90,8.6878535372219086e-33,5.6600147414513524e-67,1.6689561310973306e-90,7.5961130232267791e-44,2.2422941187669648e-103,1.051259246640893e-95,3.4995130912548946e-107,7.0208381949270022e-62,2.5147850806048007e-44,3.0160076105373473e-63,6.6183076139569535e-44,7.3094255437493671e-56,4.4447209575044601e-36,8.0287264235827028e-56,6.1719612180879364e-57,1.0500797137537415e-47,2.573136926387062e-47,1.7694979663670261e-67,7.3082786821931158e-48,3.8221493448900384e-51,1.628638197150622e-72,4.0829531702865569e-55,1.7553322425006206e-40,1.4513162175325848e-73,2.5373208432213887e-20,7.5335358193852292e-39,2.4693470736111274e-37,7.5335358193852279e-39,3.9656288043069623e-65,9.6675707441237197e-60,6.3495157929457088e-60,8.4862183077609116e-104,1.7541273125624248e-106,4.662164128241834e-47,5.2808542444395028e-57,9.7887564817266948e-58,8.4843944030576334e-78,3.5128315853761214e-48,4.5464591941655959e-87,3.3998116838839336e-59
2.511279030597448e-21,0.33834660393937177,76.950000000000003,0.0,0.0,0.0,0.99999999999992117,9.5,1.4245036845503853e-15,1.2891504705630778e-14,1.28914536018831e-14,7.1063972361941597e-26,7.1062177969175685e-26,5.1727005488109137e-14,7.3100168883326298e-23,3.9028747762171367e-26,9.2072830639625703e-38,2.0002043158088021e-42,1.7576326038985482e-29,1.4341029518015778e-22,5.0114295618131917e-28,1.0110678238009698e-37,2.7331161304991774e-42,2.8764574240448e-44,1.9802177932486376e-56,1.1734921377884989e-37,9.1965513518448774e-28,2.234448611307641e-38,2.234448611313857e-38,5.4259146889143181e-50,7.8933642236694136e-51,7.5247522261893082e-42,3.6906461733582463e-28,1.9187649351577955e-39,1.3956642670250756e-40,2.6547607671569334e-89,4.0628061734612941e-50,2.2223014554009306e-42,2.4549835841145977e-89,1.6146398989069948e-24,8.6958621650918024e-62,8.6958567369772935e-62,2.7940059388917458e-35,8.3415023743819592e-36,2.3024880179148153e-26,2.7938778704852091e-35,3.9832107741652995e-46,2.454983584114477e-89,2.4958496465726869e-53,1.4376048476861291e-52,4.2534905963720955e-64,4.2229869340771038e-76,3.0199847254824196e-43,3.6677750103188239e-88,3.5117693065003408e-32,9.1757399338833588e-66,2.1659835000066467e-88,6.1515292664006428e-43,5.8204428543890013e-101,1.3643319626670238e-93,9.0838768096724592e-105,2.2771920328236927e-60,2.0365380782631636e-43,9.7823483561271712e-62,5.3596770968794846e-43,1.184889370812385e-54,1.7966272759735726e-35,1.301491145338297e-54,1.0005015100581246e-55,8.5038177730242292e-47,2.0837929928967273e-46,5.736658787923361e-66,5.9184333440068329e-47,3.1251319180191845e-50,1.0567160264956219e-70,6.6186430194684823e-54,1.4215135131019036e-39,9.4166347676666024e-72,5.110378619151266e-20,6.100852588216912e-38,9.9814957279026731e-37,6.100852588216912e-38,1.2862421932526754e-63,1.5670295117742637e-58,1.0291903173936952e-58,2.2028129630162081e-101,4.6426177999117236e-104,3.775541385383286e-46,7.001614798880297e-56,1.5867995119683525e-56,5.5049645528887291e-76,2.8447820941086002e-47,5.9004270763301152e-85,5.5112412472917484e-58
5.040119453017255e-21,0.3383466039393717,76.950000000000003,0.0,0.0,0.0,0.99999999999984168,9.5,2.8589689333282201e-15,2.5873159793593894e-14,2.5873057228806445e-14,2.8574510733024372e-25,2.8572953026819639e-25,1.0381573784086935e-13,2.9393256293415932e-22,1.5693287780218513e-25,7.4097051981219793e-37,1.6099385718748427e-41,7.0673633968383855e-29,5.7664648737991015e-22,2.0150737857220961e-27,8.1345465067476114e-37,2.1998486835926945e-41,2.3152231809965229e-43,3.1890799048825633e-55,9.4452856074679206e-37,3.6978928505652777e-27,1.7984786349615919e-37,1.7984786349716022e-37,8.7382682129306421e-49,1.2712019698281401e-49,6.0565751820998801e-41,1.4839925890307063e-27,1.5443889211647045e-38,1.1233520140211501e-39,3.4539165408435499e-87,6.5430240473998311e-49,1.7887015375668958e-41,3.1940009486304173e-87,6.4923959951309644e-24,2.8014869181207812e-60,2.8014834202693025e-60,2.2488590389799524e-34,6.7139667641215724e-35,9.258202992864686e-26,2.2487559583981791e-34,6.4148381185396363e-45,3.1940009486301038e-87,4.0194888888485302e-52,1.1572689820887247e-51,1.3703187426615245e-62,2.7212765386208038e-74,2.4307464304500824e-42,4.727254996897863e-86,1.4120669927635035e-31,1.4779217934544551e-64,2.791653330722014e-86,4.9512859207865837e-42,1.5003896860767305e-98,1.7584353279801273e-91,2.3416358452802026e-102,7.3362774259336227e-59,1.6391828910631966e-42,3.1515138071806804e-60,4.3139344087522935e-42,1.9082277769122977e-53,7.2241592579609344e-35,2.096011347326949e-53,1.6112768376296744e-54,6.8446123583439098e-46,1.6772178814711654e-45,1.8464270652591403e-64,4.7636697048338868e-46,2.5634401718453696e-49,6.8094369320655968e-69,1.0659120490044475e-52,1.1441576686670779e-38,6.0680427854275791e-70,1.0256494229690458e-19,4.9104968633170692e-37,4.0135155655418606e-36,4.9104968633170709e-37,4.1438005362092062e-62,2.5232490171179363e-57,1.6571780244682064e-57,5.678395107444773e-99,1.2083769998851492e-101,3.0388841711108773e-45,8.2520794212978375e-55,2.5554913855759741e-55,3.5473777277417967e-74,2.289728119725892e-46,7.6048343311173118e-83,8.8756841262907532e-57
1.0097800297856869e-20,0.33834660393937177,76.950000000000003,0.0,0.0,0.0,0.9999999999996827,9.5,5.727899430883364e-15,5.1836469968844255e-14,5.1836264482208338e-14,1.1459656827759644e-24,1.1458361473193366e-24,2.0799320120235419e-13,1.1788010332274915e-21,6.2937102670091155e-25,5.9440295477153711e-36,1.2918743655078735e-40,2.8343288177280379e-28,2.3126103087894778e-21,8.0813471444035131e-27,6.5220001862358967e-36,1.765238495962453e-40,1.8578207950627922e-42,5.1191795214012697e-54,7.5792468044594139e-36,1.4830204252891492e-26,1.443165840240871e-36,1.4431658402569402e-36,1.4026855324774818e-47,2.0405606758715853e-48,4.8600200765211266e-40,5.9514739720110289e-27,1.2392748030008497e-37,9.0141923196929782e-39,4.45709632727939e-85,1.0503002510266982e-47,1.4353203200075122e-40,4.1216890243778808e-85,2.6037411543604226e-23,8.9949811115605495e-59,8.9949586486671892e-59,1.8045677286583424e-33,5.3875354314112334e-34,3.712953435207587e-25,1.8044850130049363e-33,1.0297235731541773e-43,4.1216890243770727e-85,6.4521697714213912e-51,9.2889150477122273e-51,4.3998061090850795e-61,1.7475841702310537e-72,1.9505209123652904e-41,6.0717823187452432e-84,5.663020202916986e-31,2.3730247740819197e-63,3.5856562308633861e-84,3.9730951242954467e-41,3.8543140722165147e-96,2.2585700911489744e-89,6.0153711632243047e-100,2.355524798534776e-57,1.3153408307054677e-41,1.0118849760852062e-58,3.4616606806266025e-41,3.0631281050036237e-52,2.8972109707094614e-34,3.364562346335526e-52,2.5864561665514747e-53,5.4923703576381321e-45,1.3458617141945028e-44,5.9175193953637978e-63,3.82254438304128e-45,2.1341330357119312e-48,4.3729712153398744e-67,1.7110248860559212e-51,9.1811435131105698e-38,3.8968532547575419e-68,2.0548725685486586e-19,3.9403643812445636e-36,1.6095992775757252e-35,3.9403643812445669e-36,1.3304874334176799e-60,4.0490780341610368e-56,2.65917109971814e-56,1.4587085417855741e-96,3.1191361315206745e-99,2.4385131644593466e-44,8.6021732517563597e-54,4.1021286344788015e-54,2.2781003591953386e-72,1.8373626139412802e-45,9.7678034767566758e-81,1.4247438689028107e-55
