Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237)
0.0,0.25967023258248983,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.801697628751427e-22,0.25967023258248983,76.950000000000003,0.0,0.0,0.0,0.99999999999999922,9.5,3.3332092465126533e-17,3.2484250942413756e-16,3.2484219237612139e-16,4.7733376112152975e-28,4.7733229544455299e-28,1.6686481263034517e-16,4.7590251374452698e-26,2.9421809413414401e-28,7.3368951679190726e-41,1.6226111918312991e-45,5.0797936710757465e-32,6.963125579571639e-26,1.3947398849931879e-30,9.0443950085155191e-41,1.340408225724928e-45,3.3864030469544867e-48,2.8997497041147503e-61,2.3209554566447257e-42,5.8902089030289662e-31,1.4738496258701744e-42,1.4738496258716875e-42,1.3349029587286163e-54,1.7837173505161592e-55,4.5593709583895759e-48,2.8694390078347889e-31,5.1978472622470428e-43,3.4727207271093749e-44,7.9506340574393966e-98,7.0184975247479256e-55,5.0037852413224992e-47,7.4748798478631488e-98,7.4830802236964442e-28,5.1566047480511192e-67,5.156603898214057e-67,9.4066103402612959e-40,2.8455269770620111e-40,3.2981348197228608e-30,9.4063650439557842e-40,1.6641785192101612e-51,7.4748798478631384e-98,2.1125032809533589e-58,1.0964537208972465e-57,7.6140865045117294e-70,1.446488289649e-82,9.564458611997198e-48,4.6628967811242206e-95,5.4845358768051892e-36,1.9970382144584148e-71,4.5779532900020571e-96,1.4277667699798448e-47,4.8008895351356648e-109,5.1751426913884434e-101,1.5850691274926343e-112,4.0940225790050265e-67,1.2766179196570832e-48,6.8438315000015135e-69,9.7032666193092385e-48,7.1291489386781028e-60,2.415657247725359e-39,8.788494502710257e-60,6.202664189263771e-61,3.5496459102174114e-51,1.1245696750973757e-51,4.1362868418024267e-72,6.7121131841738672e-52,4.9943344219276986e-56,1.9518774301606335e-78,1.3441217632035793e-59,5.8301326627324081e-44,1.78590578316928e-79,3.1704831014020365e-22,3.0548086589429101e-42,6.4865272305857108e-40,3.0548086589429101e-42,4.4097205058706218e-71,9.3216134631166977e-64,5.4559955399534137e-64,8.0794987510948684e-110,6.2594689037485246e-114,1.8709260975876927e-50,3.6422729389223629e-61,1.3610456944224293e-61,1.6836415237286693e-84,1.5256288322911628e-51,4.8017866720918594e-94,1.9827182250273844e-64,1.3484992437832874e-76,4.7058564816418956e-88,1.221369940903094e-88,2.401209663781788e-77
1.0644753360503996e-21,0.25967023258248983,76.950000000000003,0.0,0.0,0.0,0.99999999999999756,9.5,9.332985890235413e-17,9.0955902638508327e-16,9.0955813865158948e-16,2.8830959171476248e-27,2.8830757997038207e-27,4.6722147497539598e-16,2.8744511810170271e-25,1.777077287908918e-27,8.7102702432641347e-40,1.9263652401200955e-44,3.0681953773263877e-31,4.2057278471351101e-25,8.4242289053395116e-30,1.0737173815524185e-39,1.5913325233806779e-44,4.0203376973332481e-47,6.4866280505657842e-60,2.7554383163719654e-41,3.5576861774157154e-30,1.7497542758252761e-41,1.7497542758286614e-41,2.9861245156877598e-53,3.9901043624323147e-54,5.4128851938969223e-47,1.7331411595570108e-30,6.170884250998304e-42,4.1228140424565394e-43,8.4720175573618626e-96,1.570009820562254e-53,5.9404938323390798e-46,7.9650645285346319e-96,4.5197804519679988e-27,2.1278872610031484e-65,2.1278866212671799e-65,1.1167527782314644e-38,3.3782096230244774e-39,1.99207342845903e-29,1.1167236566544311e-38,3.7227007759871532e-50,7.9650645285346103e-96,4.7255853334815007e-57,1.3020142634565692e-56,3.1419759836111756e-68,1.0888809189007658e-80,1.1354925256023897e-46,6.3648348340917275e-93,3.3126596695711367e-35,4.4682925841132821e-70,6.2488873198000273e-94,1.6950447091871137e-46,1.184375876673709e-106,7.0640483886932894e-99,3.9103591588180291e-110,1.6894098785655191e-65,1.5156007846494443e-47,2.8241262272398804e-67,1.1519718130365463e-46,1.5947620984900856e-58,1.4590569776201915e-38,1.9659510637168262e-58,1.3875111684159376e-59,4.2141396245676843e-50,1.3350891229891286e-50,1.706803944492902e-70,7.9686206520766949e-51,5.9613645504753995e-55,1.469324608406107e-76,3.0067466163843599e-58,6.9215333852109649e-43,1.3443852954879075e-77,8.8773526962524852e-22,3.6266688305956985e-41,3.9178624521555492e-39,3.6266688305956985e-41,1.8196835118946513e-69,2.0851824425766365e-62,1.2204692850284657e-62,1.993206272771987e-107,1.1642973915446342e-111,2.2211634629927852e-49,7.9023939542023439e-60,3.0446047016927721e-60,1.2674033136421208e-82,1.8112265496872957e-50,6.554415134947057e-92,4.4352613606253038e-63,5.5646198887560629e-75,3.5424513018535579e-86,9.1941680433123598e-87,9.908658911353636e-76
2.4330864824009133e-21,0.25967023258248983,76.950000000000003,0.0,0.0,0.0,0.99999999999999445,9.5,2.1332539177680863e-16,2.0789920602969678e-15,2.078990031196324e-15,1.3880865773017851e-26,1.388065418112121e-26,1.0679347981072153e-15,1.3839245069692094e-24,8.5558621675012343e-27,8.5516007437379114e-39,1.8913173564585263e-43,1.4772039995437786e-30,2.0248769141501927e-24,4.0559035855311788e-29,1.054111787915081e-38,1.5623794490851711e-43,3.9471913914956751e-46,1.2816487701036353e-58,2.7053056748194666e-40,1.7128727489801529e-29,1.7179191238901105e-40,1.7179191238967991e-40,5.9000788082746504e-52,7.883773821519573e-53,5.3144027645990229e-46,8.3443286171555265e-30,6.0586107107768499e-41,4.0478032647387756e-42,1.9280329751427062e-93,3.1020748286502719e-52,5.8324120581925895e-45,1.8126623270287337e-93,2.1760797243339423e-26,8.4177092854605983e-64,8.4177042272634793e-64,1.0964344970313514e-37,3.3167462316184991e-38,9.590976015950418e-29,1.0964059052950878e-37,7.3554293858273309e-49,1.8126623270287243e-93,9.3369602642976518e-56,1.2789701156313172e-55,1.2429348269614882e-66,8.6094566306725269e-79,1.1148332932912475e-45,1.0054882182074829e-90,1.5949030329461534e-34,8.8329086073085859e-69,9.8717134706096474e-92,1.6642049466763363e-45,3.7387236636826314e-104,1.115946858230503e-96,1.2343852124798943e-107,6.6831374571948625e-64,1.4880258174932187e-46,1.1171962471355735e-65,1.1310127571223609e-45,3.1509811554233596e-57,7.024731276296465e-38,3.8843879997399742e-57,2.7414882528773553e-58,4.1374672728178887e-49,1.3107984279054251e-49,6.7515409899169101e-69,7.8236387549320628e-50,5.9208774475751434e-54,1.1617507826840082e-74,5.9408246207273474e-57,6.7956022845275538e-42,1.0629650252829219e-75,2.0291091935260512e-21,3.5606849440297503e-40,1.8862821259672159e-38,3.5606849440297503e-40,7.1984869941342718e-68,4.1198601468049285e-61,2.411376377224315e-61,6.2919611219909859e-105,5.2927425856492505e-109,2.1807514591588132e-48,1.4647995847720186e-58,6.0156255068999584e-59,1.0020976872779463e-80,1.7782729668913786e-49,1.0354369474703813e-89,8.7633290429953267e-62,2.201308291039662e-73,2.8009097269164929e-84,7.2695521793181329e-85,3.9197669272723999e-74
5.170308775101941e-21,0.2596702325824898,76.950000000000003,0.0,0.0,0.0,0.99999999999998834,9.5,4.5331645752571508e-16,4.4178581280807084e-15,4.4178538162609862e-15,6.0621387658339853e-26,6.0619455521055993e-26,2.2693614381377266e-15,6.0439618935567859e-24,3.7365697852533029e-26,7.5634485143520236e-38,1.672848998221535e-42,6.4513379622140109e-30,8.8431694407005023e-24,1.7713196539113709e-28,9.3222489788260028e-38,1.3819064688720382e-42,3.4912460852157914e-45,2.2806257967179046e-57,2.3928122261466314e-39,7.4805653066331891e-29,1.5194800102363679e-39,1.5194800102482698e-39,1.0498874893119868e-50,1.4028754256391265e-51,4.7005290318115971e-45,3.644187521734541e-29,5.3587724914797736e-40,3.5802361297828665e-41,3.2582904925325857e-91,5.5199763875458325e-51,5.1587023922986854e-44,3.0633191975846707e-91,9.5035118353523268e-26,3.0042198585393422e-62,3.0042162431555849e-62,9.6978389075761726e-37,2.9336244652973902e-37,4.1886311799175831e-28,9.6975860169202909e-37,1.3088593525820837e-47,3.0633191975846397e-91,1.6614621827543403e-54,1.1323816109895154e-54,4.4359466901081901e-65,6.1536804212759856e-77,9.8605741976385651e-45,1.4383183060875558e-88,6.9653605632450401e-34,1.5733117181032338e-67,1.4121166156136857e-89,1.4719704283128621e-44,1.0699749052122747e-101,1.5963258142890913e-94,3.532653625175626e-105,2.3851642756746658e-62,1.316141948165606e-45,3.9871940260461683e-64,1.0003679753332252e-44,5.6070025712048342e-56,3.0678847045193638e-37,6.9120608638841032e-56,4.878331867829831e-57,3.659542947321541e-48,1.1593863829234297e-48,2.4092865694953091e-67,6.9199194260198455e-49,5.3578696250886371e-53,8.3037087680113451e-73,1.0571379948676971e-55,6.0106328409486354e-41,7.5976294873665172e-74,4.31185706105051e-21,3.1493854744721608e-39,8.2378896583647709e-38,3.1493854744721608e-39,2.5690888639326913e-66,7.3306814329995009e-60,4.2906821174086759e-60,1.8006785809094049e-102,1.7942279145300416e-106,1.9288499691954966e-47,2.3177013307280152e-57,1.0704483018110565e-57,7.1625752099171693e-79,1.5728623008817721e-48,1.4811587853829614e-87,1.5593875808641934e-60,7.8563129385748144e-72,2.0019731577480017e-82,5.1959718850925599e-83,1.3989369739204541e-72
1.0644753360503995e-20,0.25967023258248983,76.950000000000003,0.0,0.0,0.0,0.99999999999997613,9.5,9.3329858902351687e-16,9.0955902634880864e-15,9.0955813862910812e-15,2.5308236010978509e-25,2.5306586952940788e-25,4.6722146932662393e-15,2.5232350999746471e-23,1.5599443258739418e-25,6.3569530601337434e-37,1.406130465359265e-41,2.6933066043573835e-29,3.6918491414689532e-23,7.3949108699640903e-28,7.8338092593656055e-37,1.1615748785795489e-41,2.9346026979106328e-44,3.8466089241269162e-56,2.011302842693178e-38,3.122988760193718e-28,1.2772145040930086e-38,1.2772145041130828e-38,1.7707886696648818e-49,2.3661544436019775e-50,3.9510778292605828e-44,1.5213765455599275e-28,4.5043710505525551e-39,3.0094041622698828e-40,4.7708550079062571e-89,9.3102469037760742e-50,4.3362001568221165e-43,4.4853740843894694e-89,3.9675290907359149e-25,1.0150574548047256e-60,1.0150550097244055e-60,8.1516178539608461e-36,2.4658881009509268e-36,1.7486710443996564e-27,8.1514052841494074e-36,2.2075825823645562e-46,4.4853740843893781e-89,2.8022987849559536e-53,9.5376459017346139e-54,1.4988062007068002e-63,4.1617372520695456e-75,8.2884067056871104e-44,1.9462537678156108e-86,2.9079009216143202e-33,2.6588268473103813e-66,1.9107990714894744e-87,1.2372798370258442e-43,2.8962448706939932e-99,2.1600609076373314e-92,9.5623096608918493e-103,8.0589309319992129e-61,1.1062965502870397e-44,1.347182729534715e-62,8.4086955991007479e-44,9.4570292428163869e-55,1.280781472661329e-36,1.1658200801359155e-54,8.2280197236742161e-56,3.0760663509587406e-47,9.7453414299601295e-48,8.1384726118733788e-66,5.8166084722132047e-48,4.7070338138324387e-52,5.6158021871126827e-71,1.7830177270659218e-54,5.0522983607473328e-40,5.1382804374127038e-72,8.8773528749908362e-21,2.6472481970434412e-38,3.4391568056058134e-37,2.6472481970434402e-38,8.6803705405028444e-65,1.2362951193734614e-58,7.2360753018500489e-59,4.8741374295006086e-100,5.263365132231155e-104,1.6213146207384915e-46,3.1971171935229244e-56,1.8054671303439297e-56,4.8440530238586854e-77,1.322085535898562e-47,2.0042230399810143e-85,2.6301350798411687e-59,2.6544705859273596e-70,1.3539354182214309e-80,3.5140382409966612e-81,4.7266918588490983e-71
2.1593642531308107e-20,0.25967023258248983,76.950000000000003,0.0,0.0,0.0,0.99999999999995171,9.5,1.8932628520190763e-15,1.845105453366247e-14,1.8451036525954369e-14,1.0339240196276826e-24,1.033787812396806e-24,9.4779211037932217e-15,1.0308238572501818e-22,6.3728815280758127e-25,5.2108614103535985e-36,1.1528307451000643e-40,1.1003036282899139e-28,1.5082408184766628e-22,3.0210623802622305e-27,6.4191845460648091e-36,9.5232799455359107e-41,2.4059645928585435e-43,6.3180666651827362e-55,1.6489875699782763e-37,1.2758428090689234e-27,1.0471376164244999e-37,1.0471376164574718e-37,2.9085255895233963e-48,3.8864157448254106e-49,3.2393322363394051e-43,6.2153195297272742e-28,3.6929553350562724e-38,2.4672913032080615e-39,6.5237406742884629e-87,1.5292108198835865e-48,3.5550788067165165e-42,6.1333696591623935e-87,1.6208650716320221e-24,3.3372833011423404e-59,3.3372672166592248e-59,6.6831886748542868e-35,2.0216840047699623e-35,7.1438916314984881e-27,6.6830143973170647e-35,3.6259609460135281e-45,6.1333696591621435e-87,4.6027840682852905e-52,7.8511823508824581e-53,4.9277468426945011e-62,2.7377297587261972e-73,6.7953364971536747e-43,2.5611605206819288e-84,1.1879724088327852e-32,4.3842361863483362e-65,2.5145041340155459e-85,1.0143967623107732e-42,7.62339270093326e-97,2.8425187217638294e-90,2.5169573041758595e-100,2.6496001179063004e-59,9.0700865209088844e-44,4.4292419582309001e-61,6.8939566833168388e-43,1.5533198501121699e-53,5.2324102241632301e-36,1.9148629384592416e-53,1.3514547092217354e-54,2.5219450421759101e-46,7.9898201829968722e-47,2.6744626299428574e-64,4.7688058009494893e-47,4.1927042322644854e-51,3.6942621556649298e-69,2.9286119188133573e-53,4.1421782790310254e-39,3.3801324117424347e-70,1.8008344818437126e-20,2.1703739152452521e-37,1.4050078017760855e-36,2.1703739152452513e-37,2.8539158608199524e-63,2.0301867325399121e-57,1.1882690018555885e-57,1.2829524382719417e-97,1.4407343579283112e-101,1.3292516813764182e-45,3.8426833201494484e-55,2.9654838997961826e-55,3.1865797981098869e-75,1.0839255992820616e-46,2.637444767339047e-83,4.3200047658926217e-58,8.7273185590650939e-69,8.9066394392298947e-79,2.3116516473987814e-79,1.5540328689771438e-69
4.3491420872916326e-20,0.25967023258248983,76.950000000000003,0.0,0.0,0.0,0.99999999999990274,9.5,3.8131913780100215e-15,3.7161983071450116e-14,3.7161946803693307e-14,4.179286196257928e-24,4.1781791998261447e-24,1.9089333525927044e-14,4.1667547467380516e-22,2.576020574580066e-24,4.2183482817658274e-35,9.3359224152863954e-40,4.4476031887958249e-28,6.0965503906517488e-22,1.221161716638141e-26,5.1928499774428209e-35,7.7121784326817458e-40,1.9484125059540585e-42,1.0241857703098534e-53,1.3353928574810947e-36,5.1571606232903487e-27,8.479991905253709e-37,8.4799919057881984e-37,4.7148449357437758e-47,6.3000472894521293e-48,2.6232950972797923e-42,2.5123314702549177e-27,2.9906506611085747e-37,1.9980763859096902e-38,8.6282715564869659e-85,2.4789165407014954e-47,2.8789948856207567e-41,8.1119685189556883e-85,6.551795618178008e-24,1.0824375500249724e-57,1.0824271139568532e-57,5.4122192325448381e-34,1.6372120529944371e-34,2.8876750873304155e-26,5.4120780981368737e-34,5.877838705292405e-44,8.1119685189550276e-85,7.4613109953748102e-51,6.4093445198888701e-52,1.5983027816902284e-60,1.7763323734615547e-71,5.5030395393500272e-42,3.3238921575770814e-82,4.8019744160000849e-32,7.1624927503614051e-64,3.2633411706559165e-83,8.2148479589272504e-42,1.9788444039748041e-94,3.6890408832918266e-88,6.5333995700684971e-98,8.5939141234583544e-58,7.3451896116148445e-43,1.4366139405794933e-59,5.5829048587260933e-42,2.5179982754023305e-52,2.1150238713558204e-35,3.1040751979504739e-52,2.1907663181937799e-53,2.0423364802804642e-45,6.4703643278941312e-46,8.6662063232470269e-63,3.8619005538471076e-46,3.9356787740450483e-50,2.3969632072050415e-67,4.7474059543920311e-52,3.3544414780712412e-38,2.1931451279772707e-68,3.6270329967592199e-20,1.7576249107009033e-36,5.6792664168192875e-36,1.7576249107009016e-36,9.2566073117123189e-62,3.2896213877295376e-56,1.9253975781877173e-56,3.3302240691612248e-95,3.8127549399566301e-99,1.0764624741987258e-44,4.0446787945722164e-54,4.8071730328725383e-54,2.0675615967934401e-73,8.7779105281980066e-46,3.4228944159695314e-81,7.0029138853792643e-57,2.8306848786178267e-67,5.7789315959092502e-77,1.4998783571215098e-77,5.0404683579626384e-68
8.728697755613276e-20,0.25967023258248983,76.950000000000003,0.0,0.0,0.0,0.99999999999980482,9.5,7.6530484299912147e-15,7.4583840136783873e-14,7.4583767352820646e-14,1.6804725972971769e-23,1.6795801695118339e-23,3.831215677451422e-14,1.6754336781377509e-21,1.0358065170096351e-23,3.3928134067995591e-34,7.5143626445706205e-39,1.7883616808115137e-27,2.4513959821989018e-21,4.9102375531902808e-26,4.1707154222437474e-34,6.2073990260873388e-39,1.5682518925473909e-41,1.6494193694426251e-52,1.0748403006409406e-35,2.0736716040609982e-26,6.8254352258577087e-36,6.825435226718486e-36,7.5931111888484283e-46,1.0146031585935852e-46,2.1114559015964171e-41,1.0101973878541891e-26,2.4071353248161763e-36,1.6082255748717194e-37,1.1225617842116221e-82,3.9922183571888276e-46,2.3172653839064146e-40,1.0553893435692015e-82,2.6344480772634096e-23,3.4872020044901483e-56,3.4871347560756669e-56,4.3562245209850795e-33,1.3177705821718001e-33,1.161121346711552e-25,4.3561109238319233e-33,9.4660772534722587e-43,1.0553893435690299e-82,1.2016210286217306e-49,5.2413050660127567e-51,5.1491445793240245e-59,1.1446615124131017e-69,4.4293247542822499e-41,4.2840366453190433e-80,1.9308527920601892e-31,1.1713597754274144e-62,4.2059948098017074e-81,6.6120242769280894e-41,5.1010501991922762e-92,4.7546629647356553e-86,1.6841748558653169e-95,2.7686436867227286e-56,5.912045023299988e-42,4.628242713354885e-58,4.4936075299219423e-41,4.0551581501450303e-51,8.5044179622385048e-35,4.9990169545306158e-51,3.5281616063444581e-52,1.6438500774381042e-44,5.2079133976294217e-45,2.7865701144105866e-61,3.10839028625923e-45,4.0375709941911067e-49,1.5445936082793135e-65,7.6455503925786411e-51,2.6999432961045198e-37,1.413254051918235e-66,7.2794305314952036e-20,1.4146891859380082e-35,2.2836082413879581e-35,1.414689185938006e-35,2.9821391077563808e-60,5.2933340432040186e-55,3.0980987812712196e-55,8.5846084851820058e-93,9.9232719752279606e-97,8.664306485508602e-44,3.8201934971516125e-53,7.7417905740379335e-53,1.3323285236449058e-71,7.0652260516725044e-45,4.4116370204261352e-79,1.1277976918877796e-55,9.119428551308168e-66,3.723921098125594e-75,9.6651564702506018e-76,1.6238540220479964e-66
1.7487809092256563e-19,0.25967023258248983,76.950000000000003,0.0,0.0,0.0,0.99999999999960898,9.5,1.5332762533950807e-14,1.4942755422650885e-13,1.4942740842567319e-13,6.7394467164819616e-23,6.7322825261322124e-23,7.6757796888967744e-14,6.7192377679183748e-21,4.1540471982171005e-23,2.7185469780358411e-33,6.029802844167177e-38,7.1721302032923335e-27,9.831193369601207e-21,1.9692248739556418e-25,3.3324744311855215e-33,4.9809936359874125e-38,1.2584233782310895e-40,2.6476825789582968e-51,8.6249157377400687e-35,8.3163506001856272e-26,5.4769819144638666e-35,5.4769819158456069e-35,1.2188621131017943e-44,1.6286626565687496e-45,1.694310042402909e-40,4.0513429725428448e-26,1.9315736868468113e-35,1.290499533934952e-36,1.448606514331429e-80,6.4083936081701395e-45,1.8594592663976865e-39,1.361924038180369e-80,1.056531407321848e-22,1.1196579589066776e-54,1.1196147740045767e-54,3.4955952391718971e-32,1.0574277216605855e-32,4.6566150787429073e-25,3.4955040847659265e-32,1.5195147914842032e-41,1.3619240381799258e-80,1.9288675319757416e-48,4.3382307391138862e-50,1.6532818455588742e-57,7.3509315033274302e-68,3.5542538121359948e-40,5.5025020312010161e-78,7.7435832850634211e-31,1.9376381089983124e-61,5.4022635440197724e-79,5.3057330136566979e-40,1.3103958200586773e-89,6.1069843252544149e-84,4.3264340511408524e-93,8.8895328033307829e-55,4.7440396418783408e-41,1.4860313760617178e-56,3.6058370418329176e-40,6.5094254785246208e-50,3.4106519703600452e-34,8.0245278554089943e-50,5.6634807111054126e-51,1.319086159237443e-43,4.1790245690025588e-44,8.9128463839807802e-60,2.4942822177033292e-44,4.6358067157956724e-48,9.9192666646809837e-64,1.2272799872102933e-49,2.1665295874328755e-36,9.0758137812005034e-65,1.4584227620586809e-19,1.1351985731044306e-34,9.1582919688095745e-35,1.1351985731044272e-34,9.5750217170311812e-59,8.4825632791186639e-54,4.9645057644141664e-54,2.2052689874930515e-90,2.5613857484645539e-94,6.9525602833915561e-43,3.3518300415433467e-52,1.2427245405454649e-51,8.5561160155176708e-70,5.669398950256639e-44,5.6663950154879734e-77,1.8103650631564249e-54,2.9280573536132686e-64,2.3914753322732838e-73,6.2068920506592562e-74,5.213854703343433e-65
